001_00	ആ സംഭവം സംഭവിച്ച് കഴിഞ്ഞാല്‍.
070_00	നാം ഉദ്ദേശിച്ചിരുന്നെങ്കില്‍ അത് നാം ദുസ്സ്വാദുള്ള ഉപ്പുവെള്ളമാക്കുമായിരുന്നു. എന്നിരിക്കെ നിങ്ങള്‍ നന്ദികാണിക്കാത്തതെന്താണ്‌?
071_00	നിങ്ങള്‍ ഉരസികത്തിക്കുന്നതായ തീയിനെ പറ്റി നിങ്ങള്‍ ചിന്തിച്ചു നോക്കിയിട്ടുണ്ടോ?
072_00	നിങ്ങളാണോ അതിന്‍റെ മരം സൃഷ്ടിച്ചുണ്ടാക്കിയത്‌? അതല്ല നാമാണോ സൃഷ്ടിച്ചുണ്ടാക്കിയവന്‍?
073_00	നാം അതിനെ ഒരു ചിന്താവിഷയമാക്കിയിരിക്കുന്നു. ദരിദ്രരായ സഞ്ചാരികള്‍ക്ക് ഒരു ജീവിതസൌകര്യവും.
074_00	ആകയാല്‍ നിന്‍റെ മഹാനായ രക്ഷിതാവിന്‍റെ നാമത്തെ നീ പ്രകീര്‍ത്തിക്കുക.
075_00	അല്ല, നക്ഷത്രങ്ങളുടെ അസ്തമന സ്ഥാനങ്ങളെകൊണ്ട് ഞാന്‍ സത്യം ചെയ്തു പറയുന്നു.
076_00	തീര്‍ച്ചയായും, നിങ്ങള്‍ക്കറിയാമെങ്കില്‍, അതൊരു വമ്പിച്ച സത്യം തന്നെയാണ്‌.
077_00	തീര്‍ച്ചയായും ഇത് ആദരണീയമായ ഒരു ഖുര്‍ആന്‍ തന്നെയാകുന്നു.
078_00	ഭദ്രമായി സൂക്ഷിക്കപ്പെട്ട ഒരു രേഖയിലാകുന്നു അത്‌.
079_00	പരിശുദ്ധി നല്‍കപ്പെട്ടവരല്ലാതെ അത് സ്പര്‍ശിക്കുകയില്ല.
080_00	ലോകരക്ഷിതാവിങ്കല്‍ നിന്ന് അവതരിപ്പിക്കപ്പെട്ടതത്രെ അത്‌.
081_00	അപ്പോള്‍ ഈ വര്‍ത്തമാനത്തിന്‍റെ കാര്യത്തിലാണോ നിങ്ങള്‍ പുറംപൂച്ച് കാണിക്കുന്നത്‌?
082_00	സത്യത്തെ നിഷേധിക്കുക എന്നത് നിങ്ങള്‍ നിങ്ങളുടെ വിഹിതമാക്കുകയാണോ?
083_00	എന്നാല്‍ അത് (ജീവന്‍) തൊണ്ടക്കുഴിയില്‍ എത്തുമ്പോള്‍ എന്തുകൊണ്ടാണ് (നിങ്ങള്‍ക്കത് പിടിച്ചു നിര്‍ത്താനാകാത്തത്‌?)
084_00	നിങ്ങള്‍ അന്നേരത്ത് നോക്കിക്കൊണ്ടിരിക്കുമല്ലോ.
085_00	നാമാണ് ആ വ്യക്തിയെ സംബന്ധിച്ചിടത്തോളം നിങ്ങളെക്കാളും അടുത്തവന്‍. പക്ഷെ നിങ്ങള്‍ കണ്ടറിയുന്നില്ല.
086_00	അപ്പോള്‍ നിങ്ങള്‍ (ദൈവിക നിയമത്തിന്‌) വിധേയരല്ലാത്തവരാണെങ്കില്‍
087_00	നിങ്ങള്‍ക്കെന്തുകൊണ്ട് അത് (ജീവന്‍) മടക്കി എടുക്കാനാവുന്നില്ല; നിങ്ങള്‍ സത്യവാദികളാണെങ്കില്‍.
088_00	അപ്പോള്‍ അവന്‍ (മരിച്ചവന്‍) സാമീപ്യം സിദ്ധിച്ചവരില്‍ പെട്ടവനാണെങ്കില്‍-
089_00	(അവന്ന്‌) ആശ്വാസവും വിശിഷ്ടമായ ഉപജീവനവും സുഖാനുഭൂതിയുടെ സ്വര്‍ഗത്തോപ്പും ഉണ്ടായിരിക്കും.
090_00	എന്നാല്‍ അവന്‍ വലതുപക്ഷക്കാരില്‍ പെട്ടവനാണെങ്കിലോ,
091_00	വലതുപക്ഷക്കാരില്‍പെട്ട നിനക്ക് സമാധാനം എന്നായിരിക്കും (അവന്നു ലഭിക്കുന്ന അഭിവാദ്യം)
092_00	ഇനി അവന്‍ ദുര്‍മാര്‍ഗികളായ സത്യനിഷേധികളില്‍ പെട്ടവനാണെങ്കിലോ,
093_00	ചുട്ടുതിളക്കുന്ന വെള്ളം കൊണ്ടുള്ള സല്‍ക്കാരവും
094_00	നരകത്തില്‍ വെച്ചുള്ള ചുട്ടെരിക്കലുമാണ്‌. (അവന്നുള്ളത്‌.)
095_00	തീര്‍ച്ചയായും ഇതു തന്നെയാണ് ഉറപ്പുള്ള യാഥാര്‍ത്ഥ്യം.
096_00	ആകയാല്‍ നീ നിന്‍റെ മഹാനായ രക്ഷിതാവിന്‍റെ നാമം പ്രകീര്‍ത്തിക്കുക.
