001_00	سه‌رنجی سه‌ره‌تای سوره‌تی (البقر‌ة) بده.
076_00	به ڕاستی ئێوه‌ش و باو باپیرانی دێرینیشتان (به هه‌ڵه‌دا چوون)...
077_00	بێگومان هه‌موو ئه‌وانه دوژمنی منن، به دوژمنی خۆمیان ده‌زانم جگه له په‌روه‌ردگاری جیهانه‌کان...
078_00	ئه‌وه‌ی دروستی کردووم هه‌ر ئه‌و ڕێنموییم ده‌کات (بۆ به‌خته‌وه‌ری هه‌ردوو جیهان)...
079_00	ئه‌و زاته‌ش خۆی خۆراکم پێ ده‌به‌خشێت و تینویه‌تیم ده‌شکێنێت...
080_00	کاتێکیش که نه‌خۆش ده‌که‌وم، ئه‌وه هه‌ر ئه‌و چاره‌سه‌رم ده‌کات و شیفام بۆ ده‌نێرێت...
081_00	هه‌ر ئه‌ویش ده‌ممرێنێت و له‌وه‌ودواش زیندووم ده‌کاته‌وه‌...
082_00	هه‌ر ئه‌وه ئومێدم پێیه‌تی که له گوناهم خۆش ببێت له ڕۆژی قیامه‌تدا...
083_00	(ئینجا ئیبراهیم نزای کردو وتی) په‌روه‌ردگارا: زانیاری ودانایی و ده‌سه‌ڵاتی ته‌واوم پێ ببه‌خشه و په‌یوه‌ستم بکه به چاکه‌کارانه‌وه‌.
084_00	په‌روه‌ردگارا؛ یادی خێرم با له‌سه‌ر زاری نه‌وه‌کانی داهاتوودا بمێنێت.
085_00	بمگێڕه له ئه‌و که‌سه‌ناش که به‌هه‌شتی پڕ له نازو نیعمه‌ت به‌ده‌ست ده‌هێنن و ده‌بنه خاوه‌نی.
086_00	له باوکیشم خۆش ببه به‌ڕاستی ئه‌و له ڕیزی گومڕاکاندا بوو (دیاره هێشتا لێی نا ئومێد نه‌بووه)
087_00	له ڕۆژی زیندوو بوونه‌وه‌ی ئه‌و خه‌ڵكه‌دا شه‌رمه‌زارو خه‌جاڵه‌تم مه‌که.
088_00	ئه‌و ڕۆژه‌ی نه ماڵ سوود ده‌به‌خشێت و (فریای ئاده‌میزاد ده‌که‌وێت) نه منداڵ و نه‌وه‌.
089_00	مه‌گه‌ر که‌سێک به دڵ و ده‌روونی پاک و بێگه‌ردو پڕ له ئیمان، به خزمه‌ت په‌روه‌ردگار گه‌یشتبێت.
090_00	ئه‌و کاته‌، به‌هه‌شت له چاکه‌کاران و خواناسان نزیک کراوه‌ته‌وه.
091_00	دۆزه‌خیش بۆ گومڕاو سه‌رلێشێواوه‌کان ده‌رخراوه‌...
092_00	پێشیان ده‌وترێ: له کوێن ئه‌وانه‌ی ده‌تانپه‌رست؟...
093_00	له جیاتی خوا، ئایا یارمه‌تی ئێوه‌یان پێ ده‌درێت یان فریای خۆیان ده‌که‌ون؟
094_00	ئینجا هه‌موویان به پاڵه‌په‌ستۆو توندو تیژی‌یه‌وه‌، بته‌کان و گومڕاکان به‌سه‌ر ڕوودا فڕێ ده‌درێنه ناو ئاگری دۆزه‌خه‌وه...
095_00	(هاوڕێ له‌گه‌ڵ) هه‌ر هه‌موو سه‌ربازان و ده‌ست و پێوه‌ندی شه‌یتاندا.
096_00	(بت په‌رستان: به بته‌کان و په‌رستراوه‌کانیان) ده‌ڵێن: به ڕق و کینه‌وه‌، له کاتێکدا که ئاژاوه‌و کێشه ده‌گێڕن له دۆزه‌خدا...
097_00	سوێند به خوا به ڕاستی ئێمه له گومڕاییه‌کی ئاشکرادا ده‌ژیاین...
098_00	کاتێک که ئێوه‌مان ده‌برده ڕیزی په‌روه‌ردگاری جیهانیانه‌وه و یه‌کسانمان ده‌کردن له‌گه‌ڵیدا...
099_00	ئێمه که‌س گومڕای نه‌کردین ته‌نها گوناهکار و تاوانباره‌کان نه‌بێت...
100_00	که‌واته ئێمه هیچ تکاکارێکمان بۆ نی‌یه...
101_00	یاخود هاوڕێیه‌کی دلسۆز هه‌وڵێکمان بۆ بدات، یان دڵخۆشیمان بداته‌وه‌...
102_00	جا خۆزگه جارێکی تر مۆڵه‌تمان بدرایه و (بگه‌ڕاینه‌وه بۆ دنیا) و به هۆی ئه‌وه‌وه بچینه ڕیزی ئیماندارانه‌وه‌.
103_00	سه‌رنجی ئایه‌تی 8 - 9 بده‌.
104_00	سه‌رنجی ئایه‌تی 8 - 9 بده‌.
105_00	قه‌ومی - نوح - یش به‌رنامه‌ی هه‌ر هه‌موو پێغه‌مبه‌رانیان به درۆ زانی.
106_00	کاتێک - نوح - ی برایان پێی وتن: باشه‌، ئه‌وه ئێوه له خوا ناترسن، پارێزکار نابن؟!
107_00	به ڕاستی دڵنیابن که من فرستاده‌یه‌کی ئه‌مین و دڵسۆزم بۆتان...
108_00	که‌وابوو له خوا بترسن و فه‌رمانبه‌رداری من بکه‌ن...
109_00	من داوای هیچ جۆره پاداشتێکتان لێ ناکه‌م له‌سه‌ری، من ته‌نها پاداشتی خۆم له په‌روه‌ردگاری جیهانه‌کان ده‌خوازم.
110_00	هه‌میشه له خوا بترسن و فه‌رمانبه‌رداری من بن...
111_00	هه‌ندێک له ده‌مدارانی قه‌وموکه‌ی) وتیان: ئێمه چۆن باوه‌ڕ له به‌ر خاتری تۆ بهێنین، له کاتێکدا که که‌سانی هه‌ژارو داماو شوێنت که‌وتوون.
112_00	نوح وتی: جا من چوزانم، ئه‌وان چ کارو کرده‌وه‌یه‌کیان ئه‌نجامده‌دا (من بانگم کردن بۆ ئیمان و بڕوایان هێناوه‌).
113_00	حساب و پرسینه‌وه‌یان ته‌نها له‌سه‌ر په‌روه‌ردگاری منه‌و له‌سه‌ر که‌سی تر نی‌یه، ئه‌گه‌ر هه‌ست و هۆشیاریتان هه‌یه‌...
114_00	من هه‌رگیز ئیمانداران ده‌رناکه‌م و (دڵیان نائێشێنم)...
115_00	به‌ڵکو من ته‌نها بێدارکه‌ره‌وه‌یه‌کی ئاشکرا نه‌بێت هیچی تر نیم...
116_00	(ئه‌وسا ده‌سه‌ڵاتداران) وتیان: ئه‌ی نوح ئه‌گه‌ر کۆڵ نه‌ده‌یت و کۆتای به‌م باسانه نه‌هێنیت، به‌ڕاستی له ڕه‌جم کراوان ده‌بیت و (به‌رد بارانت ده‌که‌ین).
117_00	(نوح سکاڵای کردو) وتی: په‌روه‌ردگارا به‌ڕاستی قه‌ومه‌که‌م بڕوایان پێنه‌کردم.
118_00	که‌واته داواکارم سه‌رکه‌وتنم پێببه‌خشیت به‌سه‌ریاندا و ده‌روم لێ بکه‌یته‌وه و خۆم و ئیماندارانی یاوه‌ریشم ڕزگار بکه‌یت.
119_00	ئه‌وسا ئێمه‌) خۆی و هه‌رچی له‌گه‌ڵیدا بوون ڕزگارمان کرد له که‌شتیه بارهه‌ڵگره‌که‌دا.
120_00	پاشان دوای ئه‌وان هه‌رچی مایه‌وه (له‌خه‌ڵکه گومڕاکه‌) نوقمی ئاوی زریانه‌که‌مان کرد.
121_00	سه‌رنجی ئایه‌تی 8 - 9 بده‌.
122_00	سه‌رنجی ئایه‌تی 8-9 بده‌.
123_00	قه‌ومی عادیش به‌رنامه‌ی هه‌ر هه‌موو پێغه‌مبه‌رانیان به درۆزانی.
124_00	کاتێک (هود)ی پێغه‌مبه‌ری برایان پێی وتن: باشه، ئێوه له خوا ناترسن، پارێزکار نابن.
125_00	به‌ڕاستی دڵنیابن که من فرستاده‌یه‌کی ئه‌مین و دڵسۆزم بۆتان.
126_00	له خوا بترسن و فه‌رمانبه‌ردارم بن...
127_00	سه‌رنجی ئایه‌تی 109 بده‌...
128_00	ئایا ئێوه له هه‌موو شوێنێکی بڵندو سازگاردا کۆشک و ته‌لار دروست ده‌که‌ن و خۆتان سه‌رگه‌رمی که‌یف و شادی ده‌که‌ن؟! (ئایا بۆ ئه‌وه دروست کراون؟)...
129_00	هه‌ر خه‌ریکی دروستکردنی کارگه‌و کارخانه‌ن و به ئومێدی ئه‌وه‌ن هه‌میشه بژین و نه‌مرن...
130_00	کاتێک په‌لامار ده‌ده‌ن، به شێوه‌یه‌کی زۆر دڵ ڕه‌ق و دڕندانه په‌لامار ده‌ده‌ن ده‌ست ده‌وه‌شێنن!...
131_00	که‌واته له خوا بترسن و فه‌رمانبه‌ردارم بن...
132_00	له‌و زاته بترسن که خۆتان ده‌زانن چی پێبه‌خشیوون...
133_00	ماڵاتی زۆر و نه‌وه‌ی زۆری پێبه‌خشیوون...
134_00	هه‌روه‌ها باخچه و باخات و کانی و سه‌رچاوه‌ی زۆر...
135_00	به‌ڕاستی من ده‌ترسم له ڕۆژێکی زۆر سه‌ختدا به‌ڵایه‌کی گه‌وره یه‌خه‌تان پێ بگرێت...
136_00	(سته‌مکاران) وتیان: چوونیه‌‌که به‌لای ئێمه‌وه ئامۆژگاری کردبێت یانه‌تکردبێت؟!...
137_00	ئه‌م بیر و باوه‌ڕه‌ی ئێمه هه‌مانه ڕه‌وشتی پێشینانمانه‌و هیچی تر.
138_00	(ئێمه بڕوا ناکه‌ین که وه‌ک تۆ ده‌ڵێیت) له سزادراوان وئازاردراوان بین.
139_00	ئه‌وان بڕوایان پێنه‌کرد، ئێمه‌ش له‌ناومان بردن، به‌ڕاستی له به‌سه‌رهاتیاندا به‌ڵگه و نیشانه‌و عیبره‌ت هه‌یه‌، هه‌رچه‌نده زۆربه‌شیان باوه‌ڕدار نه‌بوون.
140_00	به‌ڕاستی په‌روه‌ردگاری تۆ (ئه‌ی محمد صلی الله علیه وسلم، ئه‌ی ئیماندار) باڵا ده‌سته (به‌سه‌ر بێ باوه‌ڕاندا) و به‌سۆزو میهره‌بانه (به ئیمانداران).
141_00	قه‌ومی (ثمود) یش بڕوایان به پێغه‌مبه‌رانیان نه‌کرد.
142_00	کاتێک صالحی برایان پێی وتن: باشه ئه‌وه ئێوه له خوا ناترسن، پارێزکار نابن؟
143_00	سه‌رنجی ئایه‌تی 107 بده‌.
144_00	له 108 دا مانا کراوه.
145_00	له 109 دا مانا کراوه‌.
146_00	ئایا واده‌زانن هه‌روا ئالێره‌دا به خۆشی و ئاسووده‌یی ده‌هێلرێنه‌وه (ژیانتان کۆتای نایه‌ت)؟.
147_00	له ناو باخ و باخات و کانیاوی سازگاردا؟!!
148_00	له ناو بێستان و دارخورمادا که خورمای نه‌رم و ناسک و به‌تام ده‌گرێت؟!!
149_00	(هه‌روه‌ها بۆتان ده‌لوێت) ماڵو شوێنی خۆش له چیاکان دابتاشن و به جوانی دروستی بکه‌ن و به‌خۆشی تیایدا که‌شخه بکه‌ن؟!
150_00	له خوا بترسن و فه‌رمانبه‌رداری من بکه‌ن.
151_00	به فه‌رمانی موسریف وله سنوور ده‌رچووه‌کان هه‌ڵس وکه‌وت مه‌که‌ن...
152_00	ئه‌وانه‌ی که تۆوی فه‌سادو تاوان له زه‌ویدا ده‌چێنن و هه‌رگیز چاکسازی ناکه‌ن.
153_00	خوانه‌ناسان وتیان: وادیاره تۆ به‌ڕاستی له‌وانه‌ی که فێڵ و جادووت لێکراوه‌!!
154_00	تۆ جگه له‌وه‌ی که هه‌ر به‌شه‌رێکی وه‌ک ئێمه‌، هیچی تر نیت، به‌ڵگه‌یه‌کمان نیشان بده ئه‌گه‌ر له ڕاستگۆیانیت؟!
155_00	جا خوای به توانا حوشترێکی بۆ به‌دیهێنان، تا ده‌مکوتیان بکات و بیانویان ببڕێت)، ئینجا _ صالح_ پێغه‌مبه‌ر پێی وتن: ئه‌مه وشترێکه‌و موعجیزه‌یه‌که ده‌بێت ڕۆژێک ئاو ته‌نها بۆ ئه‌م بێت، ڕۆژێکیش بۆ ئێوه دیاریکراو بێت.
156_00	نه‌که‌ن ده‌ستدرێژی بکه‌نه سه‌رو ئازاری بده‌ن، به‌هۆی ئه‌وه‌وه سزایه‌کی سه‌خت له ڕۆژێکی سامناکدا یه‌خه‌تان نه‌گرێت.
157_00	به‌ڵام گوێیان نه‌دا به ئامۆژگاریه‌کانی صالح)، جا سه‌ریان بڕی و ده‌ستبه‌جێ له به‌یانیدا په‌شیمان بوونه‌وه‌...
158_00	ئه‌وسا به‌هۆی ئه‌وه‌وه خێرا سزای خوایی یه‌خه‌ی گرتن، به‌ڕاستی ئا له‌وه‌دا به‌ڵگه و نیشانه هه‌یه (له‌سه‌ر تۆڵه‌ی خوایی) هه‌رچه‌نده زۆربه‌شیان باوه‌ڕدار نه‌بوون.
159_00	سه‌رنجی ئایه‌تی 9 بده‌.
160_00	قه‌ومی لوطیش بڕوایان به پێغه‌مبه‌ران نه‌کرد...
161_00	کاتێک (لوط) ی برایان پێی وتن: باشه ئه‌وه ئێوه له خوا ناترسن.
162_00	ئایه‌ته‌کانی (162)، (163)، (164) له (107 - 108 - 109) دا مانا کراوه.
163_00	ئایه‌ته‌کانی (162)، (163)، (164) له (107 - 108 - 109) دا مانا کراوه‌
164_00	ئایه‌ته‌کانی (162)، (163)، (164) له (107-108-109) دا مانا کراوه‌.
