001_00	Tâ-Hâ.
117_00	Dicemmo: “O Adamo, in verità quello è un nemico manifesto, per te e per la tua sposa. Bada a che non vi tragga, entrambi, fuori dal Paradiso, ché in tal caso saresti infelice.
118_00	[Ti promettiamo che qui] non avrai mai fame e non sarai nudo,
119_00	non avrai mai sete e non soffrirai la calura del giorno”.
120_00	Gli sussurrò Satana: “O Adamo, vuoi che ti mostri l'albero dell'eternità e il regno imperituro?”.
121_00	Ne mangiarono entrambi e presero coscienza della loro nudità. Iniziarono a coprirsi intrecciando foglie del giardino. Adamo disobbedì al suo Signore e si traviò.
122_00	Lo scelse poi il suo Signore, accolse il suo pentimento e lo guidò
123_00	e disse: “Scendete insieme! Sarete nemici gli uni degli altri. Quando poi vi giungerà una guida da parte mia... chi allora la seguirà non si svierà e non sarà infelice”.
124_00	Chi si sottrae al Mio Monito, avrà davvero vita miserabile e sarà resuscitato cieco nel Giorno della Resurrezione.
125_00	Dirà: “Signore! Perché mi hai resuscitato cieco quando prima ero vedente?”.
126_00	[Allah] Risponderà: “Ecco, ti giunsero i Nostri segni e li dimenticasti; alla stessa maniera oggi sei dimenticato”.
127_00	Compensiamo così il trasgressore che non crede ai segni del suo Signore. In verità, il castigo dell'altra vita è più severo e durevole.
128_00	Non è servito loro da lezione che facemmo perire le generazioni, nelle cui dimore, oggi. si aggirano? In verità, in ciò vi sono certo segni per coloro che hanno intelletto.
129_00	Se non fosse stato per una precedente parola del tuo Signore e per un termine già stabilito, già [tutto questo] sarebbe avvenuto.
130_00	Sopporta dunque con pazienza quello che dicono, glorifica e loda il tuo Signore prima del levarsi del sole e prima che tramonti.
130_01	GlorificaLo durante la notte e agli estremi del giorno, così che tu possa essere soddisfatto.
131_00	Non volgere lo sguardo ai beni effimeri che abbiamo concesso ad alcuni di loro, per metterli alla prova. Il compenso del tuo Signore è certamente migliore e più duraturo!
132_00	Comanda la preghiera alla tua gente e assiduamente assolvila. Non ti chiediamo alcun nutrimento: siamo Noi a nutrirti! Il felice esito è nel timore di Allah.
133_00	Dicono: “Perché mai non ci porta un segno da parte del suo Signore?”. Non è forse giunta a loro la Prova che era [annunciata] nelle antiche scritture?
134_00	Se per castigo li avessimo fatti perire prima della sua venuta, avrebbero certamente detto: “O Signor nostro, perché non ci hai inviato un messaggero? Avremmo seguìto i Tuoi segni, prima di essere umiliati e coperti di abominio”.
135_00	Di': “Tutti aspettano, aspettate allora, e ben presto saprete chi sono i compagni della retta via e chi sono i ben guidati”.
