001_00	Alif, Lâm, Mîm;
025_00	Che accadrà quando li avremo riuniti, in un Giorno sul quale non c'è dubbio alcuno, e ogni anima riceverà quello che si sarà guadagnata e non verrà fatto loro alcun torto?
026_00	Di': “O Allah, Sovrano del regno, Tu dai il regno a chi vuoi e lo strappi a chi vuoi, esalti chi vuoi e umilî chi vuoi.
026_01	Il bene è nelle Tue mani, Tu sei l'Onnipotente.
027_00	Tu fai che la notte si insinui nel giorno e il giorno nella notte, dal morto trai il vivo e dal vivo il morto.
027_01	E concedi a chi vuoi senza contare”.
028_00	I credenti non si alleino con i miscredenti, preferendoli ai fedeli. Chi fa ciò contraddice la religione di Allah, a meno che temiate qualche male da parte loro.
028_01	Allah vi mette in guardia nei Suoi Stessi confronti. Il divenire è verso Allah.
029_00	Di': “Sia che nascondiate quello che avete nei cuori sia che lo manifestiate, Allah lo conosce. Egli conosce tutto quello che è nei cieli e sulla terra. Allah è onnipotente”.
030_00	Il Giorno in cui ogni uomo avrà dinanzi ciò che avrà fatto di bene e ciò che avrà commesso di male, e si augurerà che tra lui e tutto questo, ci sia un tempo immenso.
030_01	Allah vi mette in guardia da Se Stesso. Allah è indulgente con i servi.
031_00	Di': “Se avete sempre amato Allah, seguitemi. Allah vi amerà e perdonerà i vostri peccati. Allah è perdonatore, misericordioso”.
032_00	Di': “Obbedite ad Allah e al Messaggero. Ma se volgerete le spalle, ecco, Allah non ama i miscredenti”.
033_00	In verità, Allah ha eletto Adamo e Noè e la famiglia di Abramo e la famiglia di Imrân, al di sopra del resto del creato,
034_00	[in quanto] discendenti gli uni degli altri. Allah è audiente, sapiente.
035_00	Quando la moglie di Imrân disse: “Mio Signore, ho consacrato a Te, e solo a Te, quello che è nel mio ventre. Accettalo da parte mia. In verità Tu sei Colui Che tutto ascolta e conosce!”.
036_00	Poi, dopo aver partorito, disse: “Mio Signore, ecco che ho partorito una femmina”: ma Allah sapeva meglio di lei quello che aveva partorito.
036_01	“Il maschio non è certo simile alla femmina! L'ho chiamata Maria e pongo lei e la sua discendenza sotto la Tua protezione, contro Satana il lapidato.”
037_00	L'accolse il suo Signore di accoglienza bella, e la fece crescere della migliore crescita. L'affidò a Zaccaria e ogni volta che egli entrava nel santuario trovava cibo presso di lei.
037_01	Disse: “O Maria, da dove proviene questo?”. Disse: “Da parte di Allah”. In verità Allah dà a chi vuole senza contare.
038_00	Zaccaria allora si rivolse al suo Signore e disse: “O Signor mio, concedimi da parte Tua una buona discendenza. In verità Tu sei Colui Che ascolta l'invocazione”.
039_00	Gli angeli lo chiamarono mentre stava ritto in preghiera nel Santuario: “Allah ti annuncia Giovanni,
039_01	che confermerà una parola di Allah, sarà un nobile, un casto, un profeta, uno dei devoti”.
040_00	Disse: “O mio Signore, come mai potrò avere un figlio? Già ho raggiunto la vecchiaia e mia moglie è sterile”. Disse: “Così! Allah fa quel che vuole”.
041_00	“Signore, disse Zaccaria, dammi un segno.” “Il tuo segno, disse [il Signore], sarà che per tre giorni potrai parlare alla gente solo a segni. Ma ricorda molto il tuo Signore e glorificaLo, al mattino e alla sera.”
042_00	E quando gli angeli dissero: “In verità, o Maria, Allah ti ha eletta; ti ha purificata ed eletta tra tutte le donne del mondo.
043_00	O Maria, sii devota al tuo Signore, prosternati e inchinati con coloro che si inchinano”.
044_00	Ti riveliamo cose del mondo invisibile, perché tu non eri con loro quando gettarono i loro calami per stabilire chi dovesse avere la custodia di Maria e non eri presente quando disputavano tra loro.
045_00	Quando gli angeli dissero: “O Maria, Allah ti annuncia la lieta novella di una Parola da Lui proveniente: il
045_01	suo nome è il Messia, Gesù figlio di Maria, eminente in questo mondo e nell'Altro, uno dei più vicini.
046_00	Dalla culla parlerà alle genti e nella sua età adulta sarà tra gli uomini devoti”.
047_00	Ella disse: “Come potrei avere un bambino se mai un uomo mi ha toccata?”. Disse: “È così che Allah crea ciò che vuole: "quando decide una cosa dice solo Sii", ed essa è.
048_00	E Allah gli insegnerà il Libro e la saggezza, la Torâh e il Vangelo.
049_00	E [ne farà un] messaggero per i figli di Israele [che dirà loro]: In verità, vi reco un segno da parte del vostro Signore.
049_01	Plasmo per voi un simulacro di uccello nella creta e poi vi soffio sopra e, con il permesso di Allah, diventa un uccello.
049_02	E per volontà di Allah, guarisco il cieco nato e il lebbroso, e resuscito il morto.
049_03	E vi informo di quel che mangiate e di quel che accumulate nelle vostre case. Certamente in ciò vi è un segno se siete credenti!
050_00	[Sono stato mandato] a confermarvi la Torâh che mi ha preceduto e a rendervi lecito qualcosa che vi era stata vietata.
050_01	Sono venuto a voi con un segno da parte del vostro Signore. Temete dunque Allah e obbeditemi.
051_00	In verità, Allah è il mio e vostro Signore. AdorateLo dunque: "ecco la retta via"”.
052_00	Quando poi Gesù avvertì la miscredenza in loro, disse: “Chi sono i miei ausiliari sulla via di Allah?”.
052_01	“Noi, dissero gli apostoli, siamo gli ausiliari di Allah. Noi crediamo in Allah, sii testimone della nostra sottomissione.
053_00	Signore! Abbiamo creduto in quello che hai fatto scendere e abbiamo seguito il messaggero, annoveraci tra coloro che testimoniano.”
054_00	Tessono strategie e anche Allah ne tesse. Allah è il migliore degli strateghi!
055_00	E quando Allah disse: “O Gesù, ti porrò un termine e ti eleverò a Me e ti purificherò dai miscredenti.
055_01	Porrò quelli che ti seguono al di sopra degli infedeli, fino al Giorno della Resurrezione. Ritornerete tutti verso di Me e Io giudicherò le vostre discordie.
056_00	E castigherò di duro castigo quelli che sono stati miscredenti, in questa vita e nell'Altra, e non avranno chi li soccorrerà.
057_00	Quelli che invece hanno creduto e operato il bene, saranno ripagati in pieno. Allah non ama i prevaricatori”.
058_00	Ecco quello che ti recitiamo dei segni e del Saggio Ricordo.
059_00	In verità, per Allah Gesù è simile ad Adamo, che Egli creò dalla polvere, poi disse: “Sii”, ed egli fu.
060_00	[Questa è] la verità [che proviene] dal tuo Signore. Non essere tra i dubbiosi.
061_00	A chi polemizza con te, ora che hai ricevuto la scienza, di' solo: “Venite, chiamiamo i nostri figli e i
061_01	vostri, le nostre donne e le vostre, noi stessi e voi stessi e invochiamo la maledizione di Allah sui bugiardi”.
062_00	Ecco il racconto veridico. Non c'è altro dio che Allah e in verità Allah, Lui, è l'Eccelso, il Saggio.
063_00	Se dunque volgono le spalle, invero Allah ben conosce i seminatori di discordia.
064_00	Di': “O gente della Scrittura, addivenite ad una dichiarazione comune tra noi e voi: [e cioè] che non adoreremo altri che Allah, senza nulla associarGli, e che non prenderemo alcuni di noi come signori all'infuori di Allah”.
064_01	Se poi volgono le spalle, allora dite: “Testimoniate che noi siamo musulmani”.
065_00	O gente della Scrittura, perché polemizzate a proposito di Abramo, mentre la Torâh e il Vangelo sono scesi dopo di lui? Non capite dunque?
066_00	Ecco, già polemizzate su ciò che conoscete, perché dunque intendete polemizzare su ciò di cui non avete conoscenza alcuna? Allah sa e voi non sapete.
067_00	Abramo non era né giudeo, né nazareno, ma puro credente e musulmano. E non era uno degli associatori.
068_00	I più vicini ad Abramo sono quelli che lo hanno seguìto [così come hanno seguìto] questo Profeta e quelli che hanno creduto. Allah è il patrono dei credenti.
069_00	Una parte della gente della Scrittura avrebbe voluto, potendo, farvi perdere. Ma furono loro a perdersi e non ne sono coscienti.
070_00	O gente della Scrittura, perché smentite i segni di Allah mentre ne siete testimoni?
071_00	O gente della Scrittura, perché avvolgete di falso il vero e lo nascondete, mentre ben lo conoscete?
072_00	Una parte della gente della Scrittura dice così: “All'inizio del giorno credete in quello che è stato fatto scendere su coloro che credono, e alla fine del giorno rinnegatelo. Forse si ricrederanno.
073_00	Credete solo a quelli che seguono la vostra religione”. Di': “In verità la guida è quella di Allah: Egli può dare a chi vuole quello che ha dato a voi.
073_01	[E coloro che da Lui ricevono] dovrebbero forse polemizzare con voi, davanti al vostro Signore?”. Di': “In verità, la Grazia è nelle mani di Allah, che la dà a chi vuole. Allah è immenso, sapiente.
074_00	Riserva la Sua misericordia a chi vuole Lui, Allah possiede la grazia più grande”.
075_00	Tra le genti della Scrittura ci sono alcuni che, se affidi loro un qintâr, te lo rendono e altri che, se affidi loro un denaro, non te lo rendono finché tu non stia loro addosso per riaverlo.
075_01	E ciò perché dicono: “Non abbiamo obblighi verso i gentili”.
075_02	E consapevolmente dicono menzogne contro Allah.
076_00	Chi invece è fedele ai suoi impegni e agisce con pietà, ebbene Allah ama i pii.
077_00	In verità, coloro che svendono a vil prezzo il patto con Allah e i loro giuramenti, non avranno parte alcuna nell'altra vita.
077_01	Allah non parlerà loro, né li guarderà nel Giorno della Resurrezione, non li purificherà e avranno doloroso castigo.
078_00	Ci sono alcuni di loro che distorcono la Scrittura con la lingua, per farvi credere che ciò è parte della Scrittura, mentre le è estraneo.
078_01	Dicono: “Proviene da Allah”, mentre invece non proviene da Allah. E, consapevolmente, dicono menzogne contro Allah.
079_00	Non si addice ad un uomo al quale Allah ha dato la Scrittura e la saggezza e la dignità di profeta, dire
079_01	alle genti: “Adorate me all'infuori di Allah”, ma piuttosto: “Siate veri devoti del Signore, voi che insegnate il Libro e lo avete studiato”.
080_00	E non vi ordinerà di prendere per signori Angeli e Profeti. Vi ordinerebbe la miscredenza, mentre siete musulmani?
081_00	E quando Allah accettò il patto dei Profeti: “Ogni volta che vi darò una parte della Scrittura e della saggezza e che vi invierò un messaggero per confermarvi quello che avete già ricevuto, dovrete credergli e aiutarlo”. Disse: “Accettate queste Mie condizioni?”.
081_01	“Accettiamo” dissero. “Siate testimoni e io sarò con voi testimone.
082_00	Quanto poi a chi volgerà le spalle, questi saranno i perversi.”
083_00	Desiderano altro che la religione di Allah, quando, per amore o per forza, tutto ciò che è nei cieli e sulla terra si sottomette a Lui e verso di Lui [tutti gli esseri] saranno ricondotti?
084_00	Di': “Crediamo in Allah e in quello che ha fatto scendere su di noi e in quello che ha fatto scendere su Abramo, Ismaele, Isacco, Giacobbe e le Tribù,
084_01	e in ciò che, da parte del Signore, è stato dato a Mosè, a Gesù e ai Profeti: non facciamo alcuna differenza tra loro e a Lui siamo sottomessi”.
085_00	Chi vuole una religione diversa dall'Islàm, il suo culto non sarà accettato, e nell'altra vita sarà tra i perdenti.
086_00	Potrebbe mai Allah, guidare sulla retta via genti che rinnegano dopo aver creduto e testimoniato che il Messaggero è veridico e dopo averne avute le prove? Allah non guida coloro che prevaricano.
087_00	Loro ricompensa sarà la maledizione di Allah, degli angeli e di tutti gli uomini.
088_00	[Rimarranno in essa] in perpetuo. Il castigo non sarà loro alleviato e non avranno alcuna dilazione,
089_00	eccetto coloro che poi si pentiranno e si emenderanno, poiché Allah è perdonatore, misericordioso.
090_00	In verità, di quelli che rinnegano dopo aver creduto e aumentano la loro miscredenza, non sarà accettato il pentimento. Essi sono coloro che si sono persi.
091_00	Quanto ai miscredenti che muoiono nella miscredenza, quand'anche offrissero come riscatto tutto l'oro della terra, non sarà accettato.
091_01	Avranno un castigo doloroso e nessuno li soccorrerà.
092_00	Non avrete la vera pietà, finché non sarete generosi con ciò che più amate. Tutto quello che donate, Allah lo conosce.
093_00	Ogni cibo era permesso ai figli di Israele, eccetto quello che Israele stesso si era vietato, prima che fosse stata fatta scendere la Torâh.
093_01	Di': “Portate dunque la Torâh e recitatela, se siete veridici”.
094_00	Coloro che, dopo tutto ciò, costruiscono menzogne contro Allah... questi sono i prevaricatori.
095_00	Di': “Allah ha detto la verità. Dunque seguite la religione di Abramo con sincerità: egli non era politeista”.
096_00	La prima Casa che è stata eretta per gli uomini è certamente quella di Bakka, benedetta, guida del creato.
097_00	In essa, vi sono i segni evidenti, come il luogo in cui ristette Abramo: chi vi entra è al sicuro.
097_01	Spetta agli uomini che ne hanno la possibilità di andare, per Allah, in pellegrinaggio alla Casa. Quanto a colui che lo nega, sappia che Allah fa a meno delle creature”.
098_00	Di': “O gente della Scrittura, perché negate i segni di Allah, quando Allah è testimone di quello che fate?”.
099_00	Di': “O gente della Scrittura, perché spingete quelli che hanno creduto lontano dal sentiero di Allah e volete renderlo difficoltoso, mentre siete testimoni?”. Allah non è incurante di quello che fate.
100_00	O voi che credete, se obbedirete ad alcuni di coloro che hanno ricevuto la Scrittura, vi riporteranno alla miscredenza, dopo che avevate creduto.
101_00	E come potreste essere miscredenti, mentre vi si recitano i segni di Allah e c'è tra voi il Suo Messaggero? Chi si aggrappa ad Allah è guidato sulla retta via.
102_00	O voi che credete, temete Allah come deve essere temuto e non morite non musulmani.
103_00	Aggrappatevi tutti insieme alla corda di Allah e non dividetevi tra voi e ricordate la grazia che Allah vi ha concesso: quando eravate nemici è Lui che ha riconciliato i cuori vostri e per grazia Sua siete diventati fratelli.
103_01	E quando eravate sul ciglio di un abisso di fuoco, è Lui che vi ha salvati.
103_02	Così Allah vi manifesta i segni Suoi, affinché possiate guidarvi.
104_00	Sorga tra voi una comunità che inviti al bene, raccomandi le buone consuetudini e proibisca ciò che è riprovevole. Ecco coloro che prospereranno.
105_00	E non siate come coloro che si sono divisi, opposti gli uni agli altri, dopo che ricevettero le prove. Per loro c'è castigo immenso.
106_00	Il Giorno in cui alcuni volti si illumineranno e altri si anneriranno, a quelli che avranno i volti anneriti [sarà detto]: “Avete rinnegato dopo aver creduto? Gustate il castigo della miscredenza”.
107_00	E coloro i cui visi si illumineranno, saranno nella Misericordia di Allah e vi rimarranno in perpetuo.
108_00	Questi sono i segni di Allah che ti recitiamo sinceramente. Allah non vuole l'ingiustizia per il creato.
109_00	Ad Allah appartiene tutto quello che è nei cieli e sulla terra, ed è ad Allah che tutto sarà ricondotto.
110_00	Voi siete la migliore comunità che sia stata suscitata tra gli uomini, raccomandate le buone consuetudini e proibite ciò che è riprovevole e credete in Allah.
110_01	Se la gente della Scrittura credesse, sarebbe meglio per loro; ce n'è qualcuno che è credente, ma la maggior parte di loro sono empi.
111_00	Non potranno arrecarvi male, se non debolmente; e se vi combatteranno, volteranno ben presto le spalle e non saranno soccorsi.
112_00	Saranno avviliti ovunque si trovino, grazie ad una corda di Allah o ad una corda d'uomini.
112_01	Hanno meritato la collera di Allah, ed eccoli colpiti dalla povertà, per aver smentito i segni di Allah, per aver ucciso ingiustamente i Profeti, per aver disobbedito e trasgredito.
113_00	Non sono tutti uguali. Tra la gente della Scrittura c'è una comunità che recita i segni di Allah durante la notte e si prosterna.
114_00	Credono in Allah e nell'Ultimo Giorno, raccomandano le buone consuetudini e proibiscono ciò che è riprovevole e gareggiano in opere di bene. Questi sono i devoti.
115_00	Tutto il bene che fanno non sarà loro disconosciuto, poiché Allah riconosce perfettamente i devoti.
116_00	E quelli che sono miscredenti, i loro beni e i loro figli non li metteranno affatto al riparo da Allah: sono i compagni del Fuoco e vi rimarranno in perpetuo.
117_00	E ciò che spendono in questa vita sarà come un vento glaciale che impazza sul campo di quelli che sono stati ingiusti con loro stessi e lo devasta.
117_01	Non è Allah ad essere ingiusto con loro, ma sono essi ad esserlo con loro stessi.
118_00	O voi che credete, non sceglietevi confidenti al di fuori dei vostri, farebbero di tutto per farvi perdere.
118_01	Desidererebbero la vostra rovina; l'odio esce dalle loro bocche, ma quel che i loro petti celano è ancora peggio. Ecco che vi manifestiamo i segni, se potete comprenderli.
119_00	Voi li amate, mentre loro non vi amano affatto. Mentre voi credete a tutta la Scrittura loro, quando vi incontrano, dicono: “Crediamo”; ma quando son soli, si mordono le dita rabbiosi contro di voi.
119_01	Di': “Morite nella vostra rabbia!”. In verità Allah conosce bene quello che è celato nei cuori.
120_00	Se vi giunge un bene, se ne affliggono. Se un male vi colpisce, gioiscono.
120_01	Se però sarete pazienti e devoti, i loro intrighi non vi procureranno alcun male. Allah abbraccia tutto quello che fanno.
121_00	E quando un mattino lasciasti la tua famiglia per schierare i credenti ai posti di combattimento Allah è Colui Che tutto ascolta e conosce.
122_00	Quando due vostri clan stavano per ritirarsi, nonostante che Allah sia il loro patrono I credenti ripongano fede in Allah.
123_00	Allah già vi soccorse a Badr, mentre eravate deboli. Temete Allah! Forse sarete riconoscenti!
124_00	Quando dicevi ai credenti: “Non vi basta, che il vostro Signore faccia scendere in vostro aiuto tremila angeli?”.
125_00	Anzi, se sarete pazienti e pii, quando i nemici verranno contro di voi, il vostro Signore vi manderà l'ausilio di cinquemila angeli guerrieri.
126_00	E Allah non ne fece altro che un annuncio di gioia per voi, affinché i vostri cuori si rassicurassero, poiché la vittoria non viene che da Allah, l'Eccelso, il Saggio,
127_00	per fare a pezzi una parte di quelli che furono miscredenti, per umiliarli e farli ritornare sconfitti.
128_00	Tu non hai nessuna parte in ciò, sia che [Allah] accetti il loro pentimento sia che li castighi, ché certamente sono degli iniqui.
129_00	Ad Allah appartiene tutto quello che è nei cieli e sulla terra. Egli perdona chi vuole e castiga chi vuole. Allah è perdonatore, misericordioso.
130_00	O voi che credete, non cibatevi dell'usura che aumenta di doppio in doppio. E temete Allah, affinché possiate prosperare.
131_00	E temete il Fuoco che è stato preparato per i miscredenti.
132_00	E obbedite ad Allah e al Messaggero, ché possiate ricevere misericordia.
133_00	Affrettatevi al perdono del vostro Signore e al Giardino vasto come i cieli e la terra, che è preparato per i timorati,
134_00	quelli che donano nella buona e nella cattiva sorte, per quelli che controllano la loro collera e perdonano agli altri, poiché Allah ama chi opera il bene,
135_00	e quelli che, quando hanno commesso qualche misfatto o sono stati ingiusti nei confronti di loro stessi, si ricordano di Allah e
135_01	Gli chiedono perdono dei loro peccati (e chi può perdonare i peccati se non Allah?), e non si ostinano nel male consapevolmente.
136_00	Essi avranno in compenso il perdono del loro Signore e i Giardini in cui scorrono i ruscelli, e vi rimarranno in perpetuo. Che bella ricompensa per coloro che ben agiscono!
137_00	Certamente prima di voi avvennero molte cose. Percorrete la terra e vedrete che fine hanno fatto coloro che tacciavano di menzogna [gli inviati].
138_00	Questo è un proclama per gli uomini, una guida e un'esortazione per i timorati.
139_00	Non perdetevi d'animo, non vi affliggete: se siete credenti avrete il sopravvento.
140_00	Se subite una ferita, simile ferita è toccata anche agli altri.
140_01	Così alterniamo questi giorni per gli uomini, sicché Allah riconosca quelli che hanno creduto e che scelga i testimoni tra voi - Allah non ama gli empi -
141_00	e Allah purifichi i credenti e annienti i negatori.
142_00	Pensate forse di entrare nel Giardino senza che Allah riconosca coloro che lottano, coloro che sopportano?
143_00	Vi auguravate la morte prima ancora di incontrarla. Ora l'avete vista con i vostri occhi.
144_00	Muhammad, non è altro che un messaggero, altri ne vennero prima di lui; se morisse o se fosse ucciso, ritornereste sui vostri passi?
144_01	Chi ritornerà sui suoi passi, non danneggerà Allah in nulla e, ben presto, Allah compenserà i riconoscenti.
145_00	Nessuno muore se non con il permesso di Allah, in un termine scritto e stabilito.
145_01	A chi vuole compensi terreni gli saranno accordati, a chi vuole compensi nell'Altra vita glieli daremo; ben presto ricompenseremo i riconoscenti.
146_00	Quanti Profeti combatterono, affiancati da numerosi discepoli, senza perdersi d'animo per ciò che li colpiva sul sentiero di Allah, senza infiacchirsi e senza cedere!
146_01	Allah ama i perseveranti.
147_00	Solo dissero: “Signore, perdona i nostri errori e gli eccessi che abbiamo commesso, rinsalda le nostre gambe e dacci la vittoria sugli infedeli”.
148_00	E Allah diede loro ricompensa in questa vita e migliore ricompensa nell'altra. Allah ama coloro che fanno il bene.
149_00	O voi che credete! Se obbedite ai miscredenti, vi faranno tornare sui vostri passi e sarete sconfitti.
150_00	Sì, Allah è il vostro patrono, il Migliore dei soccorritori.
151_00	Ben presto getteremo lo sgomento nei cuori dei miscredenti, perché hanno associato ad Allah esseri ai quali Egli non ha dato autorità alcuna. Il Fuoco sarà il loro rifugio. Sarà atroce l'asilo degli empi.
152_00	Allah ha mantenuto la promessa che vi aveva fatto, quando per volontà Sua li avete annientati, [e ciò] fino al momento in cui vi siete persi d'animo e avete discusso gli ordini.
152_01	Disobbediste, quando intravedeste quello che desideravate.
152_02	Tra di voi ci sono alcuni che desiderano i beni di questo mondo e ce ne sono altri che bramano quelli dell'altro. Allah vi ha fatto fuggire davanti a loro per mettervi alla prova e poi certamente vi ha perdonati. Allah possiede la grazia più grande per i credenti.
153_00	Quando risalivate senza badare a nessuno, mentre alle vostre spalle il Messaggero vi richiamava Allora [Allah] vi ha compensato di un'angoscia con un'altra angoscia, affinché non vi affliggeste per quello che vi era sfuggito e per quello che vi era capitato.
153_01	Allah è ben informato di quello che fate.
154_00	Dopo la tristezza, fece scendere su di voi un senso di sicurezza e un sopore che avvolse una parte di voi, mentre altri piangevano su se stessi e concepirono su Allah pensieri dell'età dell'ignoranza, non conformi al vero.
154_01	Dicevano: “Cosa abbiamo guadagnato in questa impresa?”.
154_02	Di' loro: “Tutta l'impresa appartiene ad Allah”.
154_03	Quello che non palesano, lo nascondono in sé: “Se avessimo avuto una qualche parte in questa storia, non saremmo stati uccisi in questo luogo”.
154_04	Di': “Anche se foste stati nelle vostre case, la morte sarebbe andata a cercare nei loro letti, quelli che erano predestinati. Tutto è accaduto perché Allah provi quello che celate in seno e purifichi quello che avete nei cuori. Allah conosce quello che celano i cuori.
155_00	Quanto a quelli di voi che volsero le spalle il giorno in cui le due schiere si incontrarono, fu Satana a
155_01	sedurli e a farli inciampare, per una qualche colpa che avevano commesso; ma Allah ha perdonato loro, poiché Allah è perdonatore, indulgente.
156_00	O voi che credete, non siate come i miscredenti che, mentre i loro fratelli viaggiavano sulla terra o guerreggiavano, dissero: “Se fossero rimasti con noi non sarebbero morti, non sarebbero stati uccisi”. Allah ne voleva fare un [motivo di] rimpianto nei loro cuori.
156_01	È Allah che dà la vita e la morte. Allah osserva quello che fate.
157_00	E se sarete uccisi sul sentiero di Allah, o perirete, il perdono e la misericordia di Allah valgono di più di quello che accumulano.
158_00	Che moriate o che siate uccisi, invero è verso Allah che sarete ricondotti.
159_00	È per misericordia di Allah che sei dolce nei loro confronti! Se fossi stato duro di cuore, si sarebbero allontanati da te.
159_01	Perdona loro e supplica che siano assolti. Consultati con loro sugli ordini da impartire; poi, quando hai deciso abbi fiducia in Allah. Allah ama coloro che confidano in Lui.
160_00	Se Allah vi sostiene, nessuno vi può sconfiggere. Se vi abbandona, chi vi potrà aiutare? Confidino in Allah i credenti.
161_00	L'inganno non s'addice a un Profeta. Chi inganna porterà seco il suo inganno nel Giorno della Resurrezione, e ogni anima sarà ripagata per quello che avrà meritato. Nessuno sarà frodato.
162_00	E chi persegue il compiacimento di Allah, sarà come colui che ha meritato la Sua collera? Per costui l'Inferno, che infausto rifugio!
163_00	Vi sono [gradi] distinti presso Allah; Allah vede perfettamente quello che fanno.
164_00	Allah ha colmato [di grazia] i credenti, quando ha suscitato tra loro un Messaggero che recita i Suoi
164_01	versetti, li purifica e insegna loro il Libro e la saggezza, mentre in precedenza erano in preda all'errore evidente.
165_00	Quando vi giunge un dispiacere - e già ne avevate inflitto uno doppio - direte: “Come è successo?”. Di': “Viene da voi stessi”. In verità, Allah è onnipotente!
166_00	Quello che vi toccò, il giorno in cui le due schiere si incontrarono, avvenne con il permesso di Allah, affinché riconoscesse i credenti,
167_00	e riconoscesse gli ipocriti. Quando fu detto loro: “Venite a combattere sul sentiero di Allah o [almeno] difendetevi!”, dissero: “Vi seguiremmo certamente se sapessimo combattere!”.
167_01	In quel giorno erano più vicini alla miscredenza che alla fede. Le loro bocche non dicevano quello che celavano nel cuore. Ma Allah conosce bene quello che nascondevano.
168_00	Seduti tranquillamente, dissero ai loro fratelli: “Se ci avessero obbedito, non sarebbero rimasti uccisi!”. Di' loro: “Allontanate la morte da voi, se siete sinceri!”.
169_00	Non considerare morti quelli che sono stati uccisi sul sentiero di Allah. Sono vivi invece e ben provvisti dal loro Signore,
170_00	lieti di quello che Allah, per Sua grazia, concede. E a quelli che sono rimasti dietro loro, danno la lieta novella: “Nessun timore, non ci sarà afflizione”.
171_00	Annunciano la novella del beneficio di Allah e della grazia e che Allah non lascia andar perduto il compenso dei credenti.
