001_00	Alif, Lâm, Mîm.
029_00	Concupite i maschi, vi date al brigantaggio e perpetrate le azioni più nefande nelle vostre riunioni”.
029_01	La sola risposta del suo popolo fu: “Attira su di noi il castigo di Allah, se sei uno che dice il vero!”.
030_00	Disse: “Mio Signore, dammi la vittoria su questo popolo di perversi!”.
031_00	Quando i Nostri angeli portarono ad Abramo la lieta novella, dissero: “Sì, [abbiamo l'incarico di] annientare gli abitanti di questa città, poiché in verità sono ingiusti”.
032_00	Disse: “Ma colà abita Lot!”. Risposero: “Ben conosciamo chi vi abita. Lo salveremo, lui e la sua famiglia, eccetto sua moglie che sarà tra coloro che rimarranno indietro”.
033_00	Quando i Nostri angeli giunsero presso Lot, egli ebbe pena per loro e si sentì incapace di proteggerli.
033_01	Dissero: “Non temere e non affliggerti: siamo incaricati di salvare te e la tua famiglia, eccetto tua moglie che sarà tra coloro che rimarranno indietro.
034_00	In verità, siamo [mandati] per far cadere dal cielo un castigo sugli abitanti di questa città, per la loro turpitudine”.
035_00	Già ne abbiamo fatto un segno evidente per coloro che capiscono.
036_00	E ai Madianiti [mandammo] il loro fratello Shuayb, che disse loro: “O popol mio, adorate Allah e sperate nell'Ultimo Giorno, non commettete crimini sulla terra, non siate malfattori”.
037_00	Lo trattarono da bugiardo. Li colpì il cataclisma e il mattino li trovò che giacevano senza vita, nelle loro case.
038_00	Ugualmente [accadde] agli Âd e i Thamûd; prova ne siano, per voi, le loro abitazioni. Satana abbellì agli occhi loro le loro azioni e li sviò dalla retta via, nonostante fossero stati invitati ad essere lucidi.
039_00	Ugualmente [accadde] a Qârûn e Faraone e Hâmân, quando Mosè portò loro le prove, ma furono superbi sulla terra. Non poterono sfuggirci.
040_00	Ognuno colpimmo per il suo peccato: contro alcuni mandammo un ciclone, altri
040_01	furono trafitti dal Grido, altri facemmo inghiottire dalla terra e altri annegammo.
040_02	Allah non fece loro torto: furono essi a far torto a loro stessi.
041_00	Coloro che si sono presi patroni all'infuori di Allah assomigliano al ragno che si è dato una casa.
041_01	Ma la casa del ragno è la più fragile delle case. Se lo sapessero!
042_00	In verità Allah ben conosce tutto ciò che invocano all'infuori di Lui. Egli è l'Eccelso, il Saggio.
043_00	Queste metafore Noi le proponiamo agli uomini, ma non le capiscono se non i sapienti.
044_00	Allah ha creato i cieli e la terra secondo verità. Questo è un segno per i credenti.
045_00	Recita quello che ti è stato rivelato del Libro ed esegui l'orazione. In verità l'orazione preserva dalla turpitudine e da ciò che è riprovevole.
045_01	Il ricordo di Allah è certo quanto ci sia di più grande. Allah conosce perfettamente quello che operate.
046_00	Dialogate con belle maniere con la gente della Scrittura, eccetto quelli di loro che sono ingiusti.
046_01	Dite [loro]: “Crediamo in quello che è stato fatto scendere su di noi e in quello che è stato fatto scendere su di voi, il nostro Dio e il vostro sono lo stesso Dio ed è a Lui che ci sottomettiamo”.
047_00	Così abbiamo fatto scendere su di te il Libro.
047_01	Coloro ai quali abbiamo dato il Libro credono in esso e anche tra loro c'è chi crede. Solo i miscredenti negano i Nostri segni.
048_00	Prima di questo non recitavi alcun Libro e non scrivevi con la tua destra; [ché altrimenti] coloro che negano la verità avrebbero avuto dubbi.
049_00	Sono invece chiari segni [custoditi] nei cuori di coloro ai quali è stata data la scienza. Solo gli ingiusti negano i Nostri segni.
050_00	E dissero: “Perché non sono stati fatti scendere su di lui segni da parte del suo Signore?”. Di': “I segni sono solo presso Allah. Io non sono che un ammonitore esplicito”.
051_00	Non basta loro che ti abbiamo rivelato il Libro che recitano? Questa è davvero una misericordia e un Monito per coloro che credono!
052_00	Di': “Mi basta Allah come testimone tra me e voi, Lui che conosce tutto ciò che è nei cieli e sulla terra.
052_01	Coloro che credono alla falsità e negano Allah saranno i perdenti”.
053_00	Ti chiedono di affrettare il castigo. Se non ci fosse un termine stabilito, già sarebbe giunto il castigo. Verrà loro all'improvviso, senza che ne abbiano sentore.
054_00	Cercano di farti affrettare il castigo... Sarà l'Inferno a circondare i miscredenti
055_00	nel Giorno in cui il castigo li avvolgerà da sopra e da sotto i piedi e dirà loro: “Gustate [le conseguenze di] quello che avete fatto!”.
056_00	O Miei servi credenti! In verità è grande la Mia terra! AdorateMi!
057_00	Ogni anima dovrà provare la morte e poi sarete ricondotti verso di Noi.
058_00	Quanto a coloro che credono e operano il bene, li porremo in alti luoghi del Paradiso sotto i quali scorrono i ruscelli e vi rimarranno in perpetuo. Quanto è meraviglioso il premio di chi opera [il bene],
059_00	di coloro che perseverano e hanno fiducia nel loro Signore!
060_00	Quanti esseri viventi non si preoccupano del loro nutrimento! È Allah che nutre loro e voi. È Lui che tutto ascolta e conosce.
061_00	“Chi ha creato i cieli e la terra e ha sottomesso il sole e la luna?”. Certamente risponderanno: “Allah”. Perché poi si distolgono [dalla retta via]?
062_00	Allah provvede con larghezza a chi vuole tra i Suoi servi, oppure lesina. In verità Allah conosce ogni cosa.
063_00	Se domandi loro: “Chi fa scendere l'acqua dal cielo e ridà vita alla terra che già era morta?”. Certamente risponderanno: “Allah”.
063_01	Di': “La lode appartiene ad Allah!”. Ma la maggior parte di loro non ragiona.
064_00	Questa vita terrena non è altro che gioco e trastullo. La dimora ultima è la [vera] vita, se solo lo sapessero!
065_00	Quando salgono su una nave, invocano Allah rendendoGli un culto sincero. Quando poi Egli li mette in salvo sulla terraferma, Gli attribuiscono dei consoci,
066_00	per disconoscere quel che Noi abbiamo concesso loro e per effimeri godimenti: ben presto sapranno.
067_00	Non vedono forse che abbiamo dato loro un [territorio] inviolabile, mentre tutt'attorno la gente è depredata? Crederanno dunque al falso e disconosceranno i favori di Allah?
068_00	Chi è peggior ingiusto di colui che inventa una menzogna contro Allah o che smentisce la Verità quando essa gli è giunta? Non c'è forse nell'Inferno una dimora per i miscredenti?
069_00	Quanto a coloro che fanno uno sforzo per Noi, li guideremo sulle Nostre vie. In verità Allah è con coloro che fanno il bene.
