001_00	Hâ', Mîm
018_00	Avvertili [o Muhammad] del Giorno che si avvicina, quando angosciati avranno i cuori in gola. Gli ingiusti non avranno né amici solleciti, né intercessori ascoltati.
019_00	Egli conosce il tradimento degli occhi e quel che i petti nascondono.
020_00	Allah decide con equità, mentre coloro che essi invocano all'infuori di Lui, non decidono nulla. In verità Allah è colui che tutto ascolta e osserva.
021_00	Non hanno viaggiato sulla terra e osservato quel che avvenne a coloro che li precedettero, che pure erano più potenti di loro e [lasciarono] maggiori vestigia sulla terra?
021_01	Li afferrò Allah a causa dei loro peccati e non ebbero protettore alcuno contro Allah.
022_00	Così [avvenne] perché non credettero nonostante i loro messaggeri avessero recato loro prove inequivocabili. Allora Allah li afferrò. In verità Egli è il Forte, il Severo nel castigo.
023_00	Già inviammo Mosè, con i Nostri segni ed autorità evidente,
024_00	a Faraone, Hâmân e Qârûn. Essi dissero: “È un mago, un impostore”.
025_00	Quando poi portò loro la verità che veniva da Noi, ordinarono: “Vengano uccisi i figli di coloro che credono insieme con lui e lasciate in vita [solo] le femmine”.
025_01	La trama dei miscredenti non conduce a buon fine.
026_00	Disse Faraone: “Lasciatemi uccidere Mosè, che invochi pure il suo Signore. Temo che alteri la vostra religione e che semini corruzione sulla terra”.
027_00	Disse Mosè: “Mi rifugio nel mio e vostro Signore contro ogni arrogante che non crede nel Giorno del Rendiconto”.
028_00	Un credente che apparteneva alla famiglia di Faraone e che celava la sua fede, disse: “Uccidereste un uomo [solo] perché ha detto: "Allah è il mio Signore" e [nonostante sia] giunto a voi con prove provenienti dal vostro Signore?
028_01	Se mente, la sua menzogna [ricadrà] su di lui; se invece è sincero, subirete parte di ciò di cui vi minaccia. Allah non guida chi è iniquo e bugiardo.
029_00	O popol mio, oggi la sovranità è vostra e trionfate su questa terra.
029_01	Ma quando giungerà il rigore di Allah, chi ci aiuterà?”. Disse Faraone: “Vi mostro solo quello ch'io vedo e vi guido sulla via della rettitudine”.
030_00	E colui che credeva disse: “O popol mio, pavento per voi un giorno come quello delle fazioni,
031_00	come quello del popolo di Noè, degli Âd e dei Thamûd, o di quelli [che vissero] dopo di loro: Allah non accetta che i Suoi servi [subiscano] ingiustizia.
032_00	O popol mio, pavento per voi il Giorno del Reciproco Appello,
033_00	il Giorno in cui, sbandandovi, volterete le spalle e non avrete alcun difensore contro Allah. Nessuno potrà guidare colui che Allah smarrisce.
034_00	Già in precedenza Giuseppe vi recò prove evidenti, ma non smetteste di dubitare di quello che vi aveva portato.
034_01	Quando poi morì diceste: "Dopo di lui Allah non susciterà un altro inviato". Allah allontana così l'iniquo e il dubbioso.
035_00	Coloro che polemizzano sui segni di Allah, senza aver ricevuto nessuna autorità [per farlo], suscitano l'avversione di Allah e dei credenti.
035_01	In tal modo Allah pone un suggello sul cuore di ogni orgoglioso tiranno”.
036_00	Disse Faraone: “O Hâmân, costruiscimi una torre: forse potrò raggiungere le vie,
037_00	le vie dei cieli, e ascenderò al Dio di Mosè, nonostante lo ritenga un bugiardo”. Così la peggior azione di Faraone fu resa bella ai suoi occhi.
037_01	Fu sviato dalla [retta] via. L'astuzia di Faraone non fu destinata che al fallimento.
038_00	E colui che credeva disse: “O popol mio, seguitemi e vi condurrò sulla retta via.
039_00	O popol mio, questa vita è solo godimento effimero, mentre in verità l'altra vita è la stabile dimora.
040_00	Chi farà un male, subirà una sanzione corrispondente, mentre chi fa il bene, essendo credente, maschio
040_01	o femmina, sarà fra coloro che entreranno nel Giardino in cui riceveranno di ogni cosa a profusione.
041_00	O popol mio, perché vi chiamo alla salvezza mentre voi mi chiamate al Fuoco?
042_00	Mi esortate a non credere in Allah e ad attribuirGli consoci di cui non ho conoscenza alcuna, mentre io vi chiamo all'Eccelso, al Perdonatore.
043_00	Non c'è dubbio che mi chiamate a chi non può essere invocato né in questa vita, né nell'altra. Il nostro ritorno è verso Allah, e gli iniqui sono loro i compagni del Fuoco.
044_00	[Ben presto] vi ricorderete di quel che vi dico. Io rimetto ad Allah la mia sorte. In verità Allah osserva bene i Suoi servi”.
045_00	Allah lo protesse dai mali che tramavano [contro di lui] e il peggiore dei castighi avvolse la gente di Faraone:
046_00	vengono esposti al Fuoco, al mattino e alla sera. Il Giorno in cui sorgerà l'Ora, [sarà detto]: “Introducete la gente di Faraone nel più severo dei castighi!”.
047_00	E quando [i dannati] disputeranno tra loro nel Fuoco, diranno i deboli a coloro che erano superbi: “Noi vi seguivamo, potresti darci un po' di riparo da [questo] Fuoco?”.
048_00	E coloro che erano stati superbi diranno: “In verità tutti noi ci siamo dentro. Allah ha emesso la sentenza sui Suoi servi”.
049_00	Coloro che saranno nel Fuoco diranno ai guardiani dell'Inferno: “Pregate il vostro Signore, ché ci sollevi dal castigo, [anche] di un [solo] giorno”.
050_00	Risponderanno: “Non vi recarono le prove evidenti i vostri messaggeri?”. Diranno: “Sì!”. E quelli: “Invocate allora!”. Ma l'invocazione dei miscredenti è destinata al fallimento.
051_00	Aiuteremo i Nostri inviati e coloro che credono, in questa vita e nel Giorno in cui si alzeranno i testimoni,
052_00	nel Giorno in cui nessuna scusa sarà utile agli ingiusti, [saranno] maledetti e avranno la peggiore delle dimore.
053_00	Già demmo la guida a Mosè e facemmo dei Figli di Israele gli eredi della Scrittura,
054_00	come direzione e monito per coloro che hanno intelletto.
055_00	Sii paziente, ché la promessa di Allah è verità. Chiedi perdono per il tuo peccato e glorifica e loda il tuo Signore alla sera e al mattino.
056_00	Coloro che polemizzano sui segni di Allah, senza aver ricevuto nessuna autorità [per farlo], non hanno altro che invidia nei loro petti: non raggiungeranno il loro scopo.
056_01	Implora dunque la protezione di Allah. Egli è Colui Che tutto ascolta e osserva.
057_00	La creazione dei cieli e della terra è [certamente] più grandiosa di quella degli uomini, ma la maggior parte di loro non sa nulla.
058_00	Il cieco e colui che vede non sono simili tra loro né lo sono coloro che credono e fanno il bene e i malvagi. Quanto poco riflettete!
059_00	In verità l'Ora si avvicina, non c'è dubbio alcuno, ma la maggior parte degli uomini non crede.
060_00	Il vostro Signore ha detto: “InvocateMi, vi risponderò. Coloro che per superbia non Mi adorano, entreranno presto nell'Inferno, umiliati”.
061_00	Allah è Colui Che ha stabilito per voi la notte affinché riposiate e il giorno affinché vediate con chiarezza. In verità Allah è colmo di grazie per gli uomini, ma la maggior parte di loro non sono riconoscenti.
062_00	Questi è Allah, il vostro Signore, il Creatore di tutte le cose. Non c'è altro dio all'infuori di Lui. Come potrete lasciarvi sviare?
063_00	Così se ne allontanano coloro che negano i segni di Allah.
064_00	È Allah che vi ha concesso la terra come stabile dimora e il cielo come un tetto e vi ha dato forma - e che armoniosa forma vi ha dato - e vi ha nutrito di cose eccellenti.
064_01	Questi è Allah, il vostro Signore. Sia benedetto Allah, Signore dei mondi.
065_00	Egli è il Vivente. Non c'è altro dio all'infuori di Lui. InvocateLo rendendoGli un culto puro. La lode appartiene ad Allah, Signore dei mondi.
066_00	Di': “Dopo che mi sono giunte le prove da parte del mio Signore, mi è stato vietato di adorare coloro che invocate all'infuori di Allah e mi è stato ordinato di sottomettermi al Signore dei mondi”.
067_00	Egli è Colui Che vi ha creati dalla terra, poi da una goccia di sperma e poi da una aderenza.
067_01	Vi ha fatto uscire neonati [dal grembo materno] perché possiate poi raggiungere la pienezza e poi la vecchiaia - ma qualcuno di voi muore prima - affinché giungiate ad un termine stabilito. Rifletterete dunque?
068_00	Egli è Colui Che dà la vita e dà la morte. Quando decide una cosa, dice solo: “Sìì”, ed essa è.
069_00	Non hai visto coloro che polemizzano a proposito dei segni di Allah, come si sono allontanati [da Lui]?
070_00	Coloro che tacciano di menzogna il Libro e ciò con cui inviammo i Nostri Messaggeri? Ben presto sapranno,
071_00	quando avranno gioghi ai colli e saranno trascinati in catene
072_00	nell'acqua bollente e poi precipitati nel Fuoco.
073_00	Sarà detto loro: “Dove sono coloro che avete associato [nel culto]
074_00	all'infuori di Allah?”. Risponderanno: “Si sono allontanati da noi: anzi, non invocavamo altro che il nulla!”. Così Allah svia i miscredenti.
075_00	Ciò in quanto vanamente esultaste sulla terra e perché foste orgogliosi.
076_00	Entrate dunque dalle porte dell'Inferno, dove rimarrete in perpetuo. Quanto è triste la dimora dei superbi.
077_00	Sii paziente: la promessa di Allah è vera. Sia che ti mostriamo una parte di ciò che minacciamo loro, sia che ti richiamiamo, a Noi saranno ricondotti.
078_00	Già inviammo dei messaggeri prima di te. Di alcuni ti abbiamo raccontato la storia, di altri non te l'abbiamo raccontata.
078_01	Un messaggero non può recare un segno se non con il permesso di Allah. Quando giunge l'ordine di Allah, tutto è deciso con equità e coloro che proferiscono menzogne saranno i perdenti.
079_00	Allah è Colui Che vi ha dato il bestiame, affinché alcuni animali siano cavalcature e di altri vi cibiate;
080_00	e [affinché] ne traiate altri vantaggi e conseguiate, loro tramite, qualche desiderio che vi sta a cuore. Vi servono inoltre da mezzo di trasporto, al pari delle navi.
081_00	Egli vi mostra i Suoi segni. Quali dunque dei segni di Allah negherete?
082_00	Non hanno viaggiato sulla terra e visto quel che avvenne a coloro che li precedettero e che pure erano più numerosi di loro, più forti e lasciarono maggiori vestigia sulla terra?
082_01	Quel che avevano acquisito non fu loro di nessuna utilità.
083_00	Quando i loro messaggeri recarono le prove evidenti, si rallegravano della scienza che già possedevano e perciò li avvolse quel che schernivano.
084_00	Poi, quando videro la Nostra severità, gridarono: “Crediamo in Allah, l'Unico, e rinneghiamo coloro che [Gli] avevamo associato”.
085_00	Ma la loro [tardiva] fede non fu loro di nessuna utilità, dopo che ebbero visto la Nostra severità. Questa è la consuetudine di Allah nei confronti dei Suoi servi. Saranno perduti i miscredenti!
