001_00	Elif, Lám, Mîm.
018_00	E, nëse ju më konsideroni për gënjeshtar, madje edhe popujt e mëparshëm i kanë konsideruar për gënjeshtar (pejgamberët e vet). E, pejgamberi është i obliguar vetëm që të shpall qartazi.
019_00	Vallë, a nuk vërejtën ata se si Perëndia i zu fill krijesat prej asgjëje, e pastaj përsëri i kthen në jetë (pas vdekjes). Kjo, me të vërtetë, për Perëndinë është lehtë.
020_00	Thuaj: “Udhëtoni nëpër Tokë (Botë) dhe shikoni se si i ka zënë Ai fillin krijesave (prej asgjëje), e pastaj Perëndia u jep gjallëri për të dytën herë. Me të vërtetë, Perëndia është i pushtetshëm për çdo gjë.
021_00	Ai ndëshkon atë që don Ai dhe e mëshiron kë të dojë Ai, dhe te Ai do të ktheheni.
022_00	Ndëshkimit të Tij nuk mund t’i shpëtoni as në Tokë as në qiell, e pos Perëndisë, nuk keni as mbrojtës as ndihmës.
023_00	E, ata që mohojnë ajetet e Perëndisë dhe takimin e Tij, të atillët e kanë humbur shpresën në mëshirën Time dhe për ta do të ketë dënim të dhembshëm”.
024_00	E, populli i tij, nuk patën kurrfarë përgjegje, përveç se thanë: “Mbyteni atë ose digjeni!” – por, Perëndia e shpëtoi atë nga zjarri. Këto janë, në të vërtetë argumente për popullin që beson.
025_00	Dhe, (Ibrahimi) tha: “Ju, me të vërtetë, keni marrë, pos Perëndisë, (adhurimin) e idhujve, për shkak të dashurisë në mes jush – në këtë jetë. E, në Ditën e Kijametit do ta mohoni njëri-tjetrin.
025_01	Dhe strehimorja juaj është zjarri. Dhe s’ka për ju kurrfarë ndihmësi.
026_00	E, Luti i besoi atij (Ibrahimit) dhe (Ibrahimi) tha: “Unë do të emigrojë te Zoti im; me të vërtetë, Ai është i Plotëfuqishëm dhe i Gjithëdijshëm.
027_00	Dhe, Ne ia kemi dhuruar Is’hakun dhe Jakubin dhe pasardhësve të tij u kemi dhënë profetninë dhe Librin, e i kemi dhënë atij shpërblimin në këtë botë.
027_01	Me të vërtetë, ai edhe në jetën tjetër, do të jetë prej njerëzve të mirë:
028_00	Dhe, (kujtoje), Lutin, kur i tha popullit të vet: “Ju, me të vërtetë, bëni so marrëzirash çfarë askush para jush nuk ka bërë në botë:
029_00	bëni marrëdhënie (seksuale) me meshkuj, pengoni (ndërpreni) rrugët (me të këqia) dhe në tubimet tuaja bëni punët më të ndyta”.
029_01	E, populli i tij, nuk patën kurrfarë përgjegje, përveç se thanë: “Hajt, sillna dënimin e Perëndisë nëse thua të vërtetën!”
030_00	Tha (Luti): “O Zoti im, më ndihmo kundër popullit ngatërrestarë!”
031_00	Dhe, kur të dërguarit Tonë (engjëjt), i sollën sihariq Ibrahimit, thanë: “Na do t’i zhdikim banorët e këtij vendbanimi, sepse, banorët e tij janë zullumqarë”.
032_00	Tha (Ibrahimi): “Me të vërtetë, në mesin e tyre është Luti”. Ata thanë: “Na e dimë mirë atë që është në mesin e tyre, - Na do ta shpëtojmë atë dhe familjen e tij, përpos gruas së tij, ajo do të jetë me ata që janë për dënim”.
033_00	E, kur të dërguarit Tonë, i erdhën Lutit, u shqetësua ai për ardhjen e tyre e u shtangua. Dhe ata i thanë: “Mos u friko dhe mos u brengos!
033_01	Na do të shpëtojmë ty dhe familjen tënde, pos gruas tënde. Ajo do të jetë me ata që janë për dënim.
034_00	E, me të vërtetë, mbi banorët e këtij vendbanimi, do të lëshojmë dënimin nga qielli, ngase ata janë të korruptuar.
035_00	Dhe, prej tij kemi lënë një dokument të dukshëm për popullin që mendon.
036_00	(I kemi dërguar) edhe Medjenit vëllaun e tij Shuajbin, e ai ka thënë: “O populli im, adhuronie Perëndinë, shpresoni në Ditën e Kijametit (shpëtimin) dhe mos bëni keq në tokë, si ngatërrestarë!”
037_00	Por, ata, e përgënjeshtruan atë, e i goditi ata tërmet i tmerrshëm dhe ata gdhinë në shtëpitë e tyre të vdekur e të gjunjëzuar.
038_00	(Dhe kujtoje) Adin dhe Themudin, e ju e kishit të qartë (çka ka ndodhur) me shtëpitë e tyre. Atyre, djalli ua ka zbukuruar veprat e tyre, e madje i ka shmangur nga rruga e drejtë, edhe pse kanë qenë largpamës.
039_00	Dhe, (kujtoje) Karunin dhe Faraonin dhe Hamanin! Me të vërtetë, atyre u ka ardhur Musai me dokumente të qarta, e që ata u mendjemadhësuan në Tokë dhe nuk i shpëtuan dënimit.
040_00	Ne të gjithë i kemi dënuar për mëkatin e vet.
040_01	Ne, disave u kemi dërguar fortunën dhe disa të tjerë i ka goditur zëri i tmerrshëm, ndërsa disa prej tyre i kemi sharruar në tokë; e disa prej tyre i kemi fundosë në ujë.
040_02	E, Perëndia nuk u ka bërë atyre zullum, por ata vetes i kanë bërë zullum.
041_00	Shembulli i atyre që kanë marrë ndihmës, pos Perëndisë, - është si shembulli i marimangës, e cila ka ndërtuar për vete shtëpinë (për t’u ruajtur), e shtëpia më e dobët është rrjeti i marimangës.
041_01	Sikur ta dinin (këtë) ata!
042_00	Me të vërtetë, Perëndia i di (të gjitha) ato që i adhurojnë ata, pos Atij; Ai është i Plotëfuqishëm dhe i Gjithëdijshëm.
043_00	Dhe, këta shembuj – Ne u paraqesim njerëzve, por këta nuk i kupton kush, pos dijetarëve.
044_00	Perëndia ka krijuar qiejt dhe Tokën me qëllim të plotë; në këtë, me të vërtetë, ka argument për besimtarët!
045_00	Lexo Librin (Kur’anin) që të është shpallur ty dhe kryeje namazin! Namazi, me të vërtetë, të largon (pengon) nga korrupcioni dhe nga çdo vepër e shëmtuar.
045_01	E, të përmendurit e Perëndisë është më e madhja (lutje)! – E, Perëndia di çka punoni ju.
046_00	Dhe, polemizoni me ithtarët e Librit në mënyrën më të bukur, por jo me zullumqarët e tyre.
046_01	Dhe, thuani ju: “Na besojmë në atë që na është shpallur neve dhe në atë që u është shpallur juve. Edhe Zoti ynë edhe Zoti juaj është një – dhe na Atij i përulemi”.
047_00	Dhe, kështu Na ta kemi shpallur ty Librin (Kur’anin).
047_01	E, atyre që u kemi shpallur Librin (Teuratin), besojnë në këtë (Kur’an). E, disa (nga Mekkasit) besojnë në të (Kur’an), e ajetet Tona i mohojnë vetëm mohuesit.
048_00	Dhe ti – para (Kur’anit) nuk ke lexuar kurrfarë libri, e as që ke shkruar me dorën tënde, (se) atëherë, do të dyshonin të degjeneruarit.
049_00	Jo! Ai (Kur’ani) – është me argumente të qarta në zemrat e tyre që u është dhënë dija, e argumentet Tona i mohojnë vetëm zullumqarët –
050_00	dhe thonë: “Përse (Muhammedit) nuk i janë zbritur mrekulli nga Zoti i tij?” Thuaj: “Mrekullitë janë vetëm te Perëndia, e unë jam vetëm paralajmërues i qartë”.
051_00	Vallë, a nuk u mjafton atyre që Ne ta kemi shpallur ty Librin, i cili u lexohet atyre? Me të vërtetë në te ka mëshirë dhe këshillë për popullin që beson.
052_00	Thuaj: “Mjafton Perëndia dëshmitar mes meje dhe jush.
052_01	Ai di çka ka në qiej dhe në Tokë. E, ata që besojnë në idhuj (trillime), e nuk besojnë në Perëndinë, ata janë të humbur.
053_00	Dhe, ata kërkojnë prej teje shpejtimin e dënimit. E, sikur të mos ishte afati i caktuar, atyre do t’u kish arritur dënimi. Dhe, me siguri, atyre, do t’u vie papritmas e nuk do ta hetojnë.
054_00	Ata kërkojnë prej teje shpejtimin e dënimit; e, me të vërtetë, xhehennemi do t’i përfshijë të gjithë mohuesit –
055_00	në Ditën kur t’i kaplojë dënimi mbi ta dhe nën këmbët e tyre. Dhe, (engjëlli) thotë: “Shijoni dënimin për atë që keni bërë!”
056_00	O robërit e Mi që keni besuar, me të vërtetë, Toka Ime është e gjerë, andaj më adhuroni vetëm Mua!
057_00	Çdokush do të shijojë vdekjen dhe pastaj do të ktheheni tek Unë.
058_00	Na, ata që besojnë dhe bëjnë vepra të mira, do t’i vendosim në pallatet e xhennetit, nën të cilët rrjedhin lumenjtë, aty do të qëndrojnë përgjithmonë. Sa i bukur është shpërblimi i punëtorëve.
059_00	të cilët kanë duruar dhe janë mbështetur te Zoti i tyre
060_00	E, sa shtazë ka, të cilat nuk e bartin me vete furnizimin. Perëndia i furnizon ato dhe juve! Ai, i dëgjon të gjitha dhe i di të gjitha.
061_00	E, nëse i pyet ti ata: “Kush i ka krijuar qiejt dhe Tokën dhe kush e nënshtroi Diellin e Hënën?” – ata, me siguri, do të thonë: “Perëndia!” E, kah po arratisen atëherë?
062_00	Perëndia, ia zgjëron furnizimin kujt të dojë nga robërit e Tij, e dikujt ia zvogëlon. Perëndia, me të vërtetë, është i dijshëm për çdo gjë.
063_00	E, nëse ti i pyet ata: “Kush e ka zbritur ujin nga qielli, e me te e gjallëron tokën
063_01	e shkretëruar?” Me siguri, do të thonë ata: “Perëndia!” Thuaj: “Falenderimi qoftë për Perëndinë!” Por, shumica e tyre nuk mendojnë.
064_00	Jeta e kësaj bote nuk është gjë tjetër përveç se argëtim dhe lojë. E, me të vërtetë, jeta e botës tjetër është jetë. Sikur ta dinin ata këtë!
065_00	Kur të hipin në barkë, i lutën Perëndisë sinqerisht, e kur Ai t’i sjellë (shpëtojë) në tokë, përnjëherësh ata i bëjnë shok Atij,
066_00	për të mohuar atë që u kemi dhënë Ne dhe për t’u kënaqur. E, shpejt do ta dinë ata!
067_00	Vallë, a nuk e vërejnë ata, se Ne e kemi bërë Haramin (Mekken) të sigurtë, kurse njerëzit rreth tij po grabiten (e mbytën)? E, vallë, a po besojnë ata në gjëra të kota, ndërsa dhuntinë e Perëndisë po e mohojnë?
068_00	Kush është zullumqar më i madh se ai që trillon gënjeshtra kundër Perëndisë ose mohon të vërtetën që i ka ardhur? Vallë, a nuk është xhehennemi vend për mohuesit?
069_00	E, ata që luftojnë (përpiqen) për të mirat Tona, Na, me siguri do t’i udhëzojmë në rrugën Tonë. Perëndia, me të vërtetë, është me të mirët!
