001_00	Jâ Sîn.
022_00	Pse të mos e adhuroj unë Ate, i cili më ka krijuar. E, te Ai do të ktheheni ju.
023_00	Vallë, a marr unë tjetër zot – pos Atij? Nëse Bamirësi i Gjithëmbarshëm dëshiron të më godas me ndonjë të keqe, - ndërmjetësimi i tyre nuk do të më sjell kurrfarë dobie, e as që do të munden të më shpëtojnë ata.
024_00	Unë, atëherë – me siguri, do të jem në humbje të plotë.
025_00	Unë, me të vërtetë, i kam besuar Zotit tuaj, andaj, më dëgjoni!”
026_00	I thuhet atij: “Hyn në xhennet!” Ai tha: “Ah, sikur ta dinte populli im,
027_00	për çka më fali (nga mëkatet) Zoti im dhe më bëri të nderuar!”
028_00	Dhe, Ne nuk i kemi dërguar kurrfarë ushtrie (nga qielli) popullit të tij – pas tij, dhe Ne nuk kemi dërguar asgjë,
029_00	vetëm një zë të tmerrshëm, e u shuan përnjëherësh.
030_00	Ah, sa mjerim për ata njerëz! Kurdo që u vinte ndonjë pejgamber, ata nuk bënin tjetër, por vetëm talleshin me te.
031_00	Vallë, a nuk panë ata se sa e sa gjenerata para tyre i kemi shkatërruar, e nuk u kthyen,
032_00	e të gjithë ata do të paraqiten bashkërisht te Ne.
033_00	E, dëshmi për ta – është toka e vdekur; Ne e ngjallim atë, dhe nga ajo nxjerrim kokrra (drithëra), me të cilat ushqeheni.
034_00	Ne kemi krijuar në tokë kopshte hurmesh dhe vreshta, - dhe kemi bërë në të burime uji,
035_00	që ata t’i hanë frutet e tyre dhe nga ato që i punojnë duart e tyre; e përse ata nuk duan të jenë mirënjohës?
036_00	Qoftë lavdëruar Ai që i ka krijuar të gjitha llojet (gjinitë): çka binë prej tokës, dhe nga ata vetë (njerëzit) dhe nga ajo që ata nuk dinë!
037_00	Dhe, argument për ta është nata: Na e menjanojmë (dritën) e ditës dhe atëherë – ata mbetën në errësirë.
038_00	Dhe Dielli sillet deri në kufirin e vet të caktuar. Kjo është dispozitë e të Plotëfuqishmit dhe Gjithëdijshmit.
039_00	Dhe Hënës ia kemi caktuar pozitat; ajo kthehet (duke qenë e plotë) e bëhet si rremi (i hollë) i vjetër i hurmës.
040_00	As Dielli nuk mund ta arrijë Hënën, e as nata (Hëna) nuk mund ta kalojë ditën (Diellin); të gjitha lundrojnë në hapsirën qiellore (ose: çdo trup qiellor lëvizë).
041_00	Dhe argument për ta është që pasardhësit e tyre i ngarkuam në anije përplot,
042_00	dhe, për ta, Ne krijuam bartëse të ngjashme me anijen në të cilën hipin (e udhëtojnë).
043_00	Dhe, po të duam Ne, ata i fundosim; andaj – as nuk do të mund t’u ndihmojë kush, as nuk do të mund të shpëtojnë,
044_00	përpos me mëshirën Tonë dhe të kënaqen deri në një kohë.
045_00	E, kur atyre u thuhet: “Druajuni asaj (dënimit) që keni para jush (në këtë botë) dhe atë që është pas jush (botën tjetër), për të qenë të mëshiruar...”
046_00	Dhe, atyre nuk u vinte asnjë argument nga argumentet e Zotit të tyre, e që ata të mos shmangeshin nga ato.
047_00	E, kur atyre ju thuhet: “Jepni nga ato me të cilat Perëndia u ka furnizuar juve”, - e atëherë, mohuesit u thonë besimtarëve: “Vallë, a ne t’i ushqejmë ata, të cilët do t’i ushqente Perëndia – po të donte? Me të vërtetë, ju jeni në humbje të qartë!”
048_00	Dhe, ata (mohusit) thonë: “Kur do të realizohet ky premtim, nëse thoni të vërtetën?”
049_00	Ata presin vetëm një zë të tmerrshëm, që do t’i kaplojë duke u grindur njëri me tjetrin,
050_00	E, ata nuk do të mund t’i kryejnë porositë e as të kthehen te familja e tyre.
051_00	Dhe, do të fryhet në Sur, e ata do të dalin nga varret dhe nxitojnë kah Zoti i tyre,
052_00	duke thënë: “Kuku për ne! kush na ngjalli (çoi) prej shtretërve tanë?” (Ju thuhet): “Ja, kjo është ajo që e ka premtuar Mëshiruesi i Madh, e pejgamberët e kanë thënë të vërtetën!
053_00	Do të jetë ai vetëm një zë i tmerrshëm, e ata të gjithë (përnjëherë) do të prezentohen para Nesh.
054_00	Ja, sot (në këtë ditë), askujt nuk do t’i bëhet ndonjë padrejtësi, dhe ju do të shpërbleheni vetëm për atë që keni punuar.
055_00	Atë ditë, me të vërtetë, banorët e Xhennetit janë të angazhuar me kënaqësi,
056_00	ata dhe gratë e tyre janë në hije (fllade), të mbështetur në kolltuqe,
057_00	në të (xhennet) – për ta, ka pemë dhe çdo gjë që dëshirojnë.
058_00	“Selam!” – (përshëndetën ata) me fjalë prej Zotit Mëshirues, -
059_00	(u thuhet): “e veçohuni sot ju, o mëkatarë!”
060_00	Vallë, a nuk ju kam urdhëruar, o bijtë e Ademit, që të mos e adhuroni djallin, se ai, me të vërtetë, është armik i përbetuar i juaji,
061_00	por vetëm Mua më adhuroni! Kjo është rrugë e drejtë.
062_00	Ai (djalli), me të vërtetë, ka humbur shumë grupe njerëzish prej jush, e vallë, a nuk keni menduar!
063_00	(U thuhet atyre): “Ky është xhehennemi, që u është premtuar,
064_00	kalluni (digjuni) tani në të (xhehennem), ngase nuk keni besuar!”
065_00	Sot, Ne do t’u vulosim gojët e tyre, e do të flasin duart e tyre dhe do të dëshmojnë këmbët e tyre për atë që kanë fituar.
066_00	Sikur të donim Ne, Ne do t’ju vërbonim sytë atyre duke ua rrafshur fytyrën, e ata do ta kërkonin rrugën; po, vallë si do të shihnin?
067_00	Dhe, sikur të kishim dashur, Ne do t’i kishim shndërruar ata (prej krijese njerëzore në krijesa tjera) në atë moment, e ata nuk do të mund as të shkonin e as të ktheheshin.
068_00	Kujt i japim jetë të gjatë, Na ia ndryshojmë strukturën e tij. E, vallë, a nuk kuptojnë ata?
069_00	Na, atij (Muhammedit) nuk ia mësuam poetikën, e as që ajo është për te. Këtë (që e ka sjellë) është vetëm këshillë dhe Kur’ani i qartë,
070_00	për ta paralajmëruar atë që është i gjallë (i mençur), dhe për t’u realizuar fjala (dënimi) ndaj mohuesve.
071_00	Vallë, a nuk shohin ata, se Ne për ta i kemi krijuar shtazët – me mjeshtrinë Tonë, e ata i posedojnë!
072_00	dhe bëmë që ato t’u nënshtrohen atyre – disa i shalojnë e prej disave ushqehen,
073_00	dhe nga ato kanë shumë dobi, dhe pije (qumështi). E, vallë, si nuk falenderohen!
074_00	Dhe, ata pos Perëndisë, kanë besuar në zotëra tjerë, duke shpresuar se do t’u ndihmojnë ata (idhujt);
075_00	mirëpo, ata nuk mund t’u ndihmojnë atyre, dhe ata janë për ta një ushtri e pranishme (në ferr).
076_00	Dhe, mos të pikëllojnë ty fjalët e tyre! Na, me të vërtetë, i dimë ato që i fshehin ata dhe çka shpallin.
077_00	A nuk sheh njeriu se si Ne e krijuam atë prej pikës së ujit (farës – spermës), e megjithatë, ai është kundërshtar i hapët,
078_00	dhe ai na sjell shembull, e harron krijimin e vet. Thotë: “Kush do t’i ngjallë eshtrat duke qenë ato të kalbura (shkapërderdhura)?”
079_00	Thuaj: “Do t’i ngjallë Ai që i krijoi për herë të parë; Ai i di të gjitha ato që i ka krijuar,
080_00	(Ai), i cili e bër për ju – prej drurit të njomë – zjarrin dhe ju prej ti ndizni”.
081_00	Vallë, a nuk është i pushtetshëm ai që krijoi qiejt dhe Tokën – të krijoi qenie të ngjashme (të ringjallë pas vdekjes)? Po, me të vërtetë, Ai është Krijues i çdo gjëje dhe i Gjithëdijshëm;
082_00	Dispozita e Tij (Perëndisë), kur dëshiron të bëjë diçka, është vetëm të thotë: “Bëhu!” – dhe ajo bëhet.
083_00	I lartësuar është Ai, në duart e të cilit është pushteti mbi çdo gjë! Dhe, tek Ai do të ktheheni!
