001_00	Tâ, Sín, Mîm.
025_00	(Faraoni) u tha atyre rredh vetes: “Vallë, a nuk po dëgjoni ju?”
026_00	(Musai) tha: “(Ai është Allahu) Zot’i juaj dhe Zot’i të parëve tuaj”.
027_00	(Faraoni) tha: “Me të vërtetë, Pejgamberi i juaj, që u është dërguar, është i çmendur”.
028_00	(Musai) tha: “(Ai është Allahu) Zot’i lindjes dhe i perëndimit, dhe asaj që gjendet në mes tyre, nëse mendoni.
029_00	(Faraoni) tha: “Nëse ti merr për zot tjetër kë, pos meje, unë, me siguri, do të të hedhë në burg!”
030_00	(Musai) tha: “Vallë, (e bën atë) edhe pasi të kam sjellë mrekulli të qartë”.
031_00	(Faraoni) tha: “E, demonstroje pra, nëse thua të vërtetën!”
032_00	E (Musai) e lëshoi shkopin e vet (në tokë), e ai u shndërrua në gjarpër të vërtetë!
033_00	E, pastaj, nxorri dorën e vet (nga xhepi), kur ajo, u bë e bardhë para shikuesve!
034_00	(Faraoni) u tha parisë së tij, që i kishte përreth: “Ky, me të vërtetë, qenka magjistar i dijshëm,
035_00	(i cili) me magjitë e veta don t’ju dëbojë nga toka juaj, e ç’rekomandoni (ju)?”
036_00	(Ata) u përgjegjën: “Lëre këtë dhe vëllain e tij, e dërgoni nëpër qytete që t’i tubojnë,
037_00	të gjithë magjistarët e dijshëm, (e le t’i sjellin ty)”.
038_00	Dhe, u tubuan magjistarët në kohën e ditës së caktuar,
039_00	e popullit iu tha: “A jeni tubuar
040_00	që të shkojmë pas magjistarëve, nëse ata do të jenë fitues!”
041_00	E, kur erdhën, magjistarët i thanë Faraonit: “A, me të vërtetë, do të shpërblehemi ne, nëse bëhemi fitues?”
042_00	(Faraoni) u përgjegj: “Po, - do të jeni atëherë – edhe ndër të afërmit e mi”.
043_00	Musai u tha atyre: “Hudheni atë që doni ta hudhni!”
044_00	Dhe, ata hodhën konopët e tyre dhe shkopinjtë e tyre dhe thanë: “Pasha madhërinë e Faraonit, na, me të vërtetë, do të jemi fitues!”
045_00	Pastaj, Musai hodhi shkopin e tij, e (shkopi i tij) i kapërdiu përnjëherësh, ato që i patën prodhuar ata rrejshëm.
046_00	Dhe, magjistarët ranë (në tokë) duke bërë sexhde,
047_00	dhe thanë: “Na besojmë në Zotin e Gjithësisë,
048_00	Zotin e Musait dhe të Harunit!”
049_00	(Faraoni) tha: “I besuat atij para se t’ju lejoja juve!
049_01	– Me të vërtetë, ai është i madhi juaj, i cili u ka mësuar juve magjitë. E, ju do ta dini – unë, në të vërtetë, do t’ju këpusë duart dhe këmbët tuaja tërthorazi dhe do t’ju var të gjithëve!
050_00	(Magjistarët) thanë: “S’ka gjë! – na do të kthehemi te Zoti ynë.
051_00	Na shpresojmë, se Zoti ynë do të na falë mëkatet tona, meqë jemi besimtarët e parë”.
052_00	Dhe, Na ia shpallëm Musait: “Ti ecë natën me robërit e Mi (besimtarët), por do të jeni të ndjekur (prej mohuesve)”.
053_00	Dhe, Faraoni dërgoi njerëz nëpër qytete, tubues (të ushtarëve):
054_00	(duke thënë): “Me të vërtetë, këta jën një grup i vogël, të cilët
055_00	na kanë pezmatuar neve,
056_00	por, ne – të gjithë jemi të gatshëm!”
057_00	Dhe, Na, i kemi dëbuar ata (Faraonin dhe shoqërinë e tij) prej kopshtijeve dhe lumenjve,
058_00	nga thesarët dhe nga pallatet e mrekullueshme.
059_00	Ja, kështu ka qenë, dhe (këtë) Na ia dhamë trashëgim bijve të Israelit.
060_00	Dhe, ata (populli i Faraonit), në mëngjez iu afruan atyre (Israelitëve),
061_00	e kur e panë njëra-tjetrën shokët e Musait thirrën: “Me të vërtetë, na zunë ushtarët e Faraonit!”
062_00	(Musai) tha: “Kurrsesi! Me të vërtetë, me mua është Zoti im. Ai – ma tregon rrugën mua”.
063_00	Dhe Ne, i shpallëm Musait: “Bjeri me shkopin tënd detit!” (Ai i ra) e (deti) u nda dhe çdo pjes ëe tij u bë si kodër e madhe;
064_00	dhe Ne – atëherë, aty - i afruam ata të tjerët –
065_00	e Musain dhe të gjithë ata që ishin me të, i shpëtuam –
066_00	dhe pastaj, të tjerët i fundosëm.
067_00	Me të vërtetë, në këtë ka argument (këshillë), por shumica e tyre, nuk janë besimtarë,
068_00	e Zoti yt, me të vërtetë, është i Plotëfuqishëm dhe Mëshirues.
069_00	Dhe, tregoju atyre lajmin për Ibrahimin,
070_00	kur i tha babës së vet dhe popullit të vet: Çka adhuroni ju?
071_00	Ata u përgjegjën: “Adhurojmë idhujt, dhe përherë u jemi të prirur atyre”.
072_00	(Ibrahimi) tha: “A ju dëgjojnë ata juve kur t’ju luteni,
073_00	ose, a mund t’ju sjellin dobi apo dëm?”
074_00	U përgjegjën: “Jo, por i kemi gjetur të parët tanë që vepronin kështu”.
075_00	(Ibrahimi) tha: “E, a po vëreni ju, se ç’po adhuroni –
076_00	ju dhe të parët tuaj të lashtë?”
077_00	Me të vërtetë, ata janë armiqët e mi. E, nuk më është armik Zoti i Gjithësisë,
078_00	i cili më ka krijuar dhe më udhëheq në rrugë të drejtë,
079_00	dhe i cili më ushqen dhe furnizon me ujë,
080_00	e kur të sëmuhem, Ai më shëron,
081_00	dhe i cili do të bëjë që të vdes, e pastja do të më ringjallë,
082_00	dhe i cili, shpresoj se ma falë gabimin tim në Ditën e Kijametit!
083_00	O Zoti im, më dhuro dijeni dhe më rradhit me të mirët,
084_00	dhe bën që të përmendem për të mirë te gjeneratat e ardhshme,
085_00	dhe më bën trashëgimtar të xhennetit të dhuntive,
086_00	dhe falja mëkatet babës tim, sepse ai ka qenë njëri nga të humburit,
087_00	dhe mos më turpëro në Ditën kur do të ringjallen njerëzit,
088_00	në Ditën kur nuk do të bëjë dobi as pasuria as djemtë,
089_00	por do të bëjë (kenë) dobi (vetëm) ai që vie me zemër të pastër te Perëndia”.
090_00	Dhe, xhenneti do t’u afrohet besimtarëve,
091_00	ndërsa, xhehennemi do t’u dëftohet mohuesve,
092_00	dhe do t’ju thuhet atyre: “Ku janë ata që i adhuronit ju;
093_00	e jo Perëndinë? A mund t’u ndihmojnë aty juve, ose a mund t’i ndihmojnë edhe vetes?”
094_00	E do të hudhen në (zjarr) ata (hyjnitë e tyre), dhe mohuesit,
095_00	dhe ushtria e Iblisit, të gjithë së bashku.
096_00	Dhe, ata – në xhehennem grindeshin në mes vete e thonin:
097_00	“Pasha Perëndinë, me të vërtetë, ne kemi qenë në humbje të qartë,
098_00	kur juve (hyjnive) u kemi barazuar me Zotin e gjithësisë,
099_00	e, vetëm mëkatarët na kanë mashtruar neve,
100_00	e nuk kemi asnjë ndërmjetësues (te Perëndia)
101_00	as mik të ngushtë, -
102_00	sikur të ktheheshim përsëri (në jetë), e të bëhemi besimtarë!”
103_00	Me të vërtetë, në këtë ka argument (këshillë), por shumica e tyre, nuk janë besimtarë,
104_00	e Zoti yt, me të vërtetë është i Plotëfuqishëm dhe Mëshirues.
105_00	Populli i Nuhut, i konsideronte gënjeshtarë pejgamberët.
106_00	Kur vëllai i tyre – Nuhu u tha: “Vallë, a nuk i druani ju Perëndisë?
107_00	Me të vërtetë, unë jam pejgamber i besuar për ju,
108_00	andaj, druani Perëndisë dhe bëhuni të dëgjueshëm ndaj meje!
109_00	Për këtë, unë nuk kërkoj nga ju kurrfarë shpërblimi, mua do të më shpërblejë vetëm Zoti i gjithësisë,
110_00	andaj, druani Perëndisë dhe bëhuni të dëgjueshëm ndaj meje!”
111_00	Ata thanë: “Vallë, a të besojmë na ty, kur ty po të pasojnë të ulëtit?”
112_00	(Nuhu) tha: “Unë nuk di ç’kanë punuar ata,
113_00	llogaria e tyre është vetëm te Zoti im, dinie ju,
114_00	e unë nuk do t’i dëbojë besimtarët,
115_00	unë jam vetëm paralajmërues i qartë”.
116_00	Ata thanë: “Nëse nuk tërhiqesh nga këto, o Nuh, me siguri, do të goditesh me gurë”.
117_00	(Nuhu) tha: “O Zoti im, me të vërtetë, populli im më konsideron për gënjeshtar,
118_00	andaj, Ti – gjyko mes meje dhe atyre, dhe më shpëto mua e besimtarët që janë me mua!”
119_00	Dhe, Na, e shpëtuam atë dhe ata që ishin me të në barkën (e ngarkuar) plotë,
120_00	e pastaj, të tjerët i fundosëm.
121_00	Me të vërtetë, në këtë ka argument (këshillë), por shumica e tyre nuk janë besimtarë,
122_00	e Zoti yt, me të vërtetë, është i Plotëfuqishëm dhe Mëshirues.
123_00	Adi i konsideronte gënjeshtarë pejgamberët.
124_00	Kur vëllai i tyre – Hudi, u tha: “Vallë, a nuk i druani ju Perëndisë?
125_00	Me të vërtetë, unë jam pejgamber i besuar për ju,
126_00	andaj, druani Perëndisë dhe bëhuni të dëgjueshëm ndaj meje!
127_00	Për këtë, unë nuk kërkoj nga ju kurrfarë shpërblimi, mua do të më shpërblejë vetëm Zoti i gjithësisë.
128_00	A mos vallë në çdo kodrinë po ngritni ju godinë (përmendore), për t’u tallë (me kalimtarët),
129_00	dhe ngritni pallate (luksoze), thuas edo të jetoni gjithmonë,
130_00	e kur dënoni, dënoni si absolut?
131_00	Andaj, druani Perëndisë dhe bëhuni të dëgjueshëm ndaj meje!
132_00	Dhe, druani Atij, i cili u ka dhuruar juve ato që i dini:
133_00	e dhuron juve baqëti (pasuri) dhe fëmijë,
134_00	edhe kopshtije edhe burime.
135_00	Unë, me të vërtetë, druaj për ju dënimin e Ditës së madhe”.
136_00	Ata thanë: “Për ne, është njëlloj – na këshillove ti (neve), ose nuk na këshillove.
137_00	Këto janë vetëm doket e popujve të lashtë,
138_00	e ne nuk do të jemi të dënuar”.
139_00	Ata – e konsideruan gënjeshtar atë (Hudin), andaj Ne i shkatërruam ata. Me të vërtetë, në këtë ka argument (këshillë), por shumica e tyre nuk janë besimtarë,
140_00	e Zoti yt, me të vërtetë, është i Plotëfuqishëm dhe Mëshirues.
141_00	Dhe Themudi i konsideronte gënjeshtarë pejgamberët.
142_00	Kur vëllai i tyre – Salihu, u tha: “Vallë, a nuk i druani ju Perëndisë?
143_00	Me të vërtetë, unë jam pejgamber i besuar për ju,
144_00	andaj, druani Perëndisë dh bëhuni të dëgjueshëm ndaj meje!
145_00	Për këtë, unë nuk kërkoj nga ju kurrfarë shpërblimi, mua do të më shpërblejë vetëm Zoti i gjithësisë.
146_00	Vallë, a mendoni ju – se do të lëheni këtu të sigurtë,
147_00	në kopshtije dhe pranë burimeve,
148_00	në të lashta dhe palme hurmesh, me frute të shijshme?
149_00	E, ju po gdhendni shtëpitë në male me mjeshtri të shkathët,
150_00	andaj, druani Perëndisë dhe bëhuni të dëgjueshëm ndaj meje,
151_00	dhe mos dëgjoni urdhërat e atyre që e teprojnë në të keqe,
152_00	të cilët bëjnë ngatërresa në Tokë, e nuk përmirësojnë (asgjë)”.
153_00	Ata thanë: “Ti je vetëm njeri – nga të magjepsurit;
154_00	ti je vetëm njeri – ashtu si ne, andaj na sjell një mrekulli, nëse thua të vërtetën!”
155_00	(Salihu) tha: “Ja, kjo është devja (dokument), - për të ka pije (uji) në ditë të caktuara; e për ju – në ditë tjetër të caktuar,
156_00	dhe mos i bëni kurrfarë të keqe asaj, se ju godet dënimi i Ditës së madhe!
157_00	Por, ata – e therrën atë, e pastaj u penduan,
158_00	dhe i goditi dënimi ata. Me të vërtetë, në këtë ka argument (këshillë), por shumica e tyre, nuk janë besimtarë,
159_00	e Zoti yt, me të vërtetë, është i Plotëfuqishëm dhe Mëshirues.
160_00	Populli i Lutit i konsideronte gënjeshtarë pejgamberët.
161_00	Kur vëllai i tyre – Luti, u tha: “Vallë, a nuk i druani ju Perëndisë?
162_00	Me të vërtetë, unë jam pejgamber i besuar për ju,
163_00	andaj, druani Perëndisë dhe bëhuni të dëgjueshëm ndaj meje!
164_00	Për këtë, unë nuk kërkoj nga ju kurrfarë shpërblimi, mua do të më shpërblejë vetëm Zoti i gjithësisë.
165_00	Vallë, ju – pos botës tjetër, u qaseni mashkujve,
166_00	e i leçitni gratë tuaja, të cilat Zoti i juaj i ka krijuar për ju? Ju, me të vërtetë, jeni popull që kaloni çdo kufi të së keqes”.
167_00	Ata thanë: “Nëse nuk tërhiqesh nga këto, o Lut, me siguri do të jesh i dëbuar”.
168_00	(Luti) tha: “Unë, me të vërtetë, neveritem për atë që bëni ju!
169_00	O Zoti im, më shpëto (nga dënimi), mua dhe familjen time nga ajo që bëjnë ata!”
170_00	Dhe Ne – e shpëtuam atë dhe familjen e tij – të gjithë,
171_00	pos plakën (gruas së Lutit, e cila mbeti) me të tjerët,
172_00	e pastaj, të tjerët i shkatërruam
173_00	dhe në ta lëshuam shi (të tmerrshëm – gurësh), e sa shi i shëmtuar që është ai, për ata që janë paralajmëruar!
174_00	Me të vërtetë, në këtë ka argument (këshillë), por shumica e tyre nuk janë besimtarë,
175_00	e Zoti yt, me të vërtetë, është i Plotëfuqishëm dhe Mëshirues.
176_00	(Edhe) banorët e Ejketit – i konsideronin gënjeshtarë pejgamberët.
177_00	Kur Shuajbi, u tha atyre: “Vallë, a nuk i druani ju Perëndisë?
178_00	Me të vërtetë, unë jam pejgamber i besuar për ju,
179_00	andaj, druani Perëndisë dhe bëhuni të dëgjueshëm ndaj meje!
180_00	Për këtë unë nuk kërkoj nga ju kurrfarë shpërblimi, mua do të më shpërblejë vetëm Zoti i gjithësisë.
181_00	Plotësonie matjen dhe mos u bëni nga ata që mungojnë (në matje)
182_00	dhe peshoni me terezi të drejtë,
183_00	dhe mos ua pakësoni njerëzve gjërat e tyre, dhe mos bëni ngatërresa në Tokë,
184_00	dhe druani Atij, që u ka krijuar juve dhe gjeneratat e mëparshme!
185_00	Ata thanë: “Ti je vetëm njeri – nga të magjepsuarit,
186_00	edhe ti je – vetëm njeri, si ne. Na ty, me të vërtetë, të konsiderojmë gënjeshtar;
187_00	andaj, lëshoje mbi ne – një copë nga qielli (si dënim) nëse thua të vërtetën!
188_00	(Shuajbi) tha: “Zoti im, di më së miri atë që punoni ju”.
189_00	Dhe, ata vazhduan ta përgënjeshtrojnë atë, e i goditi ata dënimi i resë (së tmerrshme), me të vërtetë, ky ishte dënimi i një Ditës së madhe.
190_00	Me të vërtetë, në këtë ka argument (këshillë), por shumica e tyre nuk janë besimtarë,
191_00	e Zoti yt, me të vërtetë, është i Plotëfuqishëm dhe Mëshirues.
192_00	Dhe me të vërtetë, ai (Kur’ani), është Shpallja e Zotit të gjithësisë,
193_00	atë e ka sjellë Shpirti i besueshëm (Xhebraili)
194_00	në zemrën tënde që të bëhesh nga ata që paralajmërojnë,
195_00	në gjuhën e qartë arabe.
196_00	Dhe, me të vërtetë, ai (Kur’ani) është përmend në librat e (pejgamberëve) të mëparshëm, -
197_00	vallë, a nuk ka qenë dëshmi për ta (ajo) – atë që e kanë ditur dijetarët e bijve të Israelit?
198_00	E, sikur t’ia shpallnim atë (Kur’anin) edhe ndonjë joarabi,
199_00	e t’jua lexonte ai – ata përsëri nuk do të kishin besuar.
200_00	Ja kështu, Na – ua kemi shpie (mohimin) në zemrat e mëkatarëve,
201_00	ata, nuk do të besojnë atë, përderisa të mos e shijojnë dënimin e dhembshëm,
202_00	e do t’ju vie (dënimi) atyre papritmas, e ata nuk do ta hetojnë (ardhjen e dënimit),
203_00	e do të thonë: “A do të na jepet afat?”
204_00	A mos vallë, ata – po e shpejtojnë dënimin Tonë!?
205_00	E, çka mendon ti, nëse Ne u japim atyre, që të kënaqen disa vjet,
206_00	e pastaj, t’i godet ata, ajo që u është premtuar (dënimi),
207_00	nuk do t’ju vlejë asgjë atyre, ajo, me të cilën janë kënaqur.
208_00	E, Ne – nuk e kemi shkatërruar asnjë vendbanim e që të mos ketë pasur paralajmërues –
209_00	këshillë për ta (që të kthehen në rrugën e drejtë); e Ne – nuk kemi qenë të padrejtë.
210_00	Atë (Kur’anin) nuk e kanë sjellë djajtë,
211_00	as që u përket ai – atyre, as që mundën atë,
212_00	ata (djajtë), me të vërtetë, janë të larguar nga të dëgjuarit (e Shpalljes).
213_00	Andaj, pos Perëndisë mos adhuro tjetër zot, e të bëhesh nga ata që do të dënohen!
214_00	Dhe, paralajmëroje farefisin tënd më të afërm,
215_00	dhe bënu i butë ndaj besimtarëve, që të pasojnë ty!
216_00	E, nëse nuk të dëgjojnë ty, thuaju: “Unë jam i pastër nga ato që punoni ju”.
217_00	Dhe, mbështetu në të Plotëfuqishmin dhe Mëshiruesin,
218_00	i cili të sheh kur ti rri në këmbë (në namaz)
219_00	dhe (i cili sheh) përkuljen tënde në mesin e atyre që bëjnë sexhde,
220_00	sepse, Ai – me të vërtetë, i dëgjon të gjitha dhe di të gjitha.
221_00	A doni t’ju tregoj se kujt i vjen djalli?
222_00	Ata, i vijnë çdo gënjeshtari, mëkatari,
223_00	ata përgjojnë, - e të shumtën (e rasteve) janë gënjeshtarë.
224_00	E, vjershëtarët – i pasojnë të humburit.
225_00	Vallë, a nuk sheh ti, që ata bredhin në çdo luginë (lëshohen në gjithëfare lloj bisedash)
226_00	dhe që flasin atë që nuk e punojnë,
227_00	pos atyre (vjershëtarëve) që kanë besuar, që punojnë vepra të mira, e përmendin shumë Perëndinë e që ndihmohen – pasi u është bërë padrejtësi.
227_01	E, me të vërtetë, zullumqarët – do ta dinë se në çfarë mundimi do të kthehen (pas vdekjes).
