001_00	Të pyesin ty (o Muhammed), për plaçkën e luftës.
040_00	E, nëse largohen nga feja, dinie se Perëndia është miku juaj. Ai është mik i mrekullueshëm dhe ndihmës i mrekullueshëm!
041_00	Dinie ju, se çkado që të fitoni në luftë, një e pesta i takon Perëndisë, Pejgamberit dhe farefisit të tij, bonjakëve, të varfërve dhe udhëtarit (që ka ngelur në rrugë), nëse besoni në
041_01	Perëndinë dhe në atë çka ia kemi shpallur robit Tonë në ditën e fitores, në ditën kur u ndeshën dy taborret, - se Perëndia, me të vërtetë, është i Plotëfuqishëm për çdo gjë.
042_00	(Kujtoje) kur ju ishit në luginën e afërme, e ata në luginën e largët, ndërsa karavani përfundi jush.
042_01	E, sikur t’i kishit premtuar njëri-tjetrit, nuk do t’ishit pajtuar për kohën e konfliktit, por Perëndia e plotësojë atë ngjarje që ish e caktuar: për t’u shkatërruar ai që është i padrejtë, - me dokumente të qarta, e të jetojë ai që është i drejtë – me dokumente të qarta.
042_02	Se, Perëndia, me të vërtetë, dëgjon të gjitha dhe di çdo gjë.
043_00	(Kujtoje) kur Perëndia në ëndërr të tregoi se ata (armiqët) janë pak, e sikur të tregonte që ata janë shumë, ju do të frikësoheshit dhe do të grindeshit për këtë çështje, por Perëndia ju shpëtoi.
043_01	Ai di se çka keni në zemrat tuaja.
044_00	(Kujtoje) – kur u ndeshët, e Ai ua dëftojë atë në sytë e juaj pak, - e ju pakësoi juve
044_01	në sytë e atyre, për ta zbatuar atë që ishte e caktuar; - e të Perëndia kthehen të gjitha punët.
045_00	O besimtarë, kur të ndesheni me ndonjë çetë (të armikut), bëhuni këmbëngulës dhe përmendi shumë Perëndinë, për të qenë të shpëtuar,
046_00	dhe përuljuni Perëndisë dhe Pejgamberit të Tij, dhe mos u grindni në mes vete, se do të demoralizoheni e do t’ju lë fuqia; dhe bëhuni të durueshëm, se, Perëndia, me të vërtetë, është me të durueshmit.
047_00	Mos u bëni si ata që dolën nga shtëpitë e tyre me mendjemadhësi, e për sy e faqe të botës, - e i pengojnë njerëzit nga rruga e Perëndisë. Perëndia, i përfshinë të gjitha ato që punojnë ata.
048_00	(Dhe kujtoje) kur djalli ua zbukuroi veprat atyre e u tha: “Nuk ka kush prej njerëzve sot që mund t’ju mundë
048_01	dhe unë jam mbrojtësi juaj”. E, kur u ndeshën dy çetat, u zmbraps ai (djalli) kah thembrat e tij, dhe tha:
048_02	“Unë nuk kam asgjë me ju, unë shoh atë që nuk e shihni ju, dhe unë i frikësohem Perëndisë, sepse Perëndia ndëshkon ashpër.
049_00	(Kujtoje) kur hipokritët dhe ata, në zemrat e të cilëve kishte sëmundje (dyshim), thoshin: “Këta i ka mashtruar feja e tyre!” Por, ai që mbështetet në Perëndinë, me të vërtetë, Perëndia është i Plotëfuqishëm dhe i Gjithëdijshëm.
050_00	E sikur t’i shihje ti se si ua merrnin shpirtërat engjëjt – mohuesve, duke i rrahur në fytyrë dhe shpinë (para e pas) dhe duke (ju thënë): “Shijonie dënimin e zjarrit.
051_00	Kjo është për atë, që me duartë tuaja e keni përgatitur, sepse Perëndia nuk i dëmton robërit e Vet pa të drejtë!”
052_00	(Sjelljet e tyre) i ngjajnë sjelljeve – të ithtarëve të Faraonit dhe atyre që kanë qenë para tyre. Ata i mohuan argumentet e Perëndisë, e Perëndia i dënoi për shkak të mëkateve të tyre. Me të vërtetë, Perëndia është i fuqishëm dhe ashpër dënon;
053_00	kjo është për arsye se Perëndia nuk ia prishë popullit mirësitë që ia ka dhuruar – për derisa ata të mos i prishin sjelljet e veta, - se Perëndia, me të vërtetë, i dëgjon të gjitha dhe di çdo gjë.
054_00	(Sjelljet e tyre) i ngjajnë sjelljeve të ithtarëve të Faraonit dhe të atyre që jetuan para tyre.
054_01	Ata i përgënjeshtronin argumentet e Zotit të tyre, andaj, për shkak të mëkateve të tyre, Na i kemi shkatërruar dhe fundosur ithtarët e Faraonit, - të gjithë ata kanë qenë zullumqarë.
055_00	Krijesat më të këqia te Perëndia, janë ato që mohojnë, - ata nuk besojnë,
056_00	ata me të cilët ke lidhë marrëveshje, e ata çdo herë e prishin marrëveshjen e vet, dhe nuk i druajnë Perëndisë.
057_00	Nëse i ndesh ti ata në luftë, shpartalloji ata që janë pas tyre, për t’u këshilluar ata.
058_00	Posa të vërejsh që ndonjë fis e thei besën, edhe ti thyeja atij – në të njëjtën mënyrë prishja marrëveshjen – se, Perëndia, me të vërtetë, nuk i don ata që tradhëtojnë.
059_00	Le të mos mendojnë kursesi ata që nuk besojnë, se do t’i shpëtojmë (dënimit të Zotit), sepse ata nuk mund ta dobësojnë fuqinë e Perëndisë.
060_00	Kundër tyre përgatitni kuaj dhe forcë për luftë, sa të mundeni, me të cilën do t’i shtini frikën armikut të Perëndisë dhe armikut tuaj, dhe të tjerëve, përveç tyre. Ju nuk i njihni ata.
060_01	Perëndia i njeh ata. Çkado që të shpenzoni në rrugën e Perëndisë do t’ju kompensohet dhe nuk do t’ju bëhet padrejtësi.
061_00	Nëse ata tregojnë prirje, për paqe, trego edhe ti prirje për të dhe mbështetu te Perëndia! Se Ai, me të vërtetë, i dëgjon të gjitha dhe di çdo gjë.
062_00	E, nëse dëshirojnë të të mashtrojnë ty, - me të vërtetë, të mjafton Perëndia; Ai të ka forcuar, me ndihmën e Tij dhe me besimtarë,
063_00	dhe, Ai, i bashkoi zemrat e tyre. Sikur ti të shpenzoje tërë atë pasuri që gjendet në Tokë, nuk do të mund t’i bashkoje zemrat e tyre, por Perëndia i bashkoi ato, - Ai, me të vërtetë është i Plotëfuqishëm dhe i Gjithëdijshëm.
064_00	O Pejgamber! Perëndia të mjafton ty dhe besimtarëve që të pasojnë.
065_00	O Pejgamber!
065_01	Inkurajoi besimtarët në luftë. Nëse në mesin tuaj gjenden njëzet të durueshëm, do t’i mundin dyqind, e nëse nga ju janë njëqind të durueshëm, do t’i mundin njëmijë mohues, sepse, ata janë njerëz që nuk kuptojnë.
066_00	Tani, Perëndia u ka lehtësuar juve; Ai di se jeni të lodhur: nëse prej jush njëqind janë të durueshëm do t’i mundin dyqind; e nëse ju jeni njëmijë – me vullnetin e Perëndisë do t’i mundni dymijë.
066_01	Se, Perëndia, është me të durueshmit.
067_00	Asnjë pejgamber s’ka të drejtë të ketë rob për vete, derisa të mos arrijë fitore të plotë në Tokë; ju i dëshironi të mirat e kalueshme të kësaj bote, kurse Perëndia dëshiron botën tjetër. Perëndia është i Plotëfuqishëm dhe i Gjithëdijshëm.
068_00	Të mos ishte dispozita e mëparshme e Perëndisë, do t’ju godiste mundimi i madh – për atë që keni marrë.
069_00	Hani ushqimet që keni zënë (në luftë), si gjë të lejueshme dhe të bukur, dhe druajuni Perëndisë. – Se, Perëndia, me të vërtetë, është falës dhe mëshirues.
070_00	O Pejgamber!
070_01	Thuaju robërve që gjenden në duart tuaja: “Nëse Perëndia di se në zemrat tuaja ka çfarëdo të mirë, do t’u japë ende më të mirë nga ajo që u është marrë juve dhe do t’ju falë”. – Se, Perëndia është falës dhe mëshirues.
071_00	E, nëse ata duan të të tradhëtojnë ty, e ata – qysh më parë kanë tradhëtuar Perëndinë, dhe prandaj, Ai ty ta mundësoi fitoren ndaj tyre. Perëndia është i Plotëdijshëm dhe i Gjithëdijshëm.
072_00	Me të vërtetë, ata që besojnë dhe emigrojnë, e që luftojnë me pasurinë dhe jetën e tyre në rrugën e Perëndisë, dhe ata që u bëjnë strehim dhe u ndihmojnë, janë miqë për njëri-tjetrin.
072_01	Por, ata që besojnë e që nuk kanë emigruar, - nuk mund të bëhen ndihmëtarë e trashëgimtarë – derisa të mos emigrojnë.
072_02	E, nëse ju luten që t’u ndihmoni në fe, jeni të obliguar t’u dilni në ndihmë, përpos me popullin me të cilin keni marrëveshje (për mossulmim). E, Perëndia e sheh mirë atë që veproni.
073_00	E, mohuesit janë miq për njëri-tjetrin. Nëse nuk veproni kështu siç jeni urdhëruar, do të bëhet ngatërresë dhe çrregullim i madh në Tokë.
074_00	Ata që besojnë dhe migrojnë, e luftojnë në rrugën e Perëndisë, dhe ata që u bëjnë strehim e
074_01	u ndihmojnë, - ata, padyshim, janë besimtarë të vërtetë, - për ta ka falje dhe furnizim të mirë.
075_00	E, ata që u bënë besimtarë më vonë, - që emigrojnë dhe luftojnë bashkë me ju, - ata radhiten me ju, kurse ata (besimtarë) që janë në lidhje farefisnore – sipas Librit të Perëndisë – janë më të afërt për njëri-tjetrin.
075_01	Me të vërtetë, Perëndia është i dijshëm për çdo gjë.
