001_00	Elif, Lám, Mîm.
027_00	Ai krijon prej asgjëje, dhe Ai e përsëriti atë; për Te kjo është shumë lehtë. Atij i përkasin virtytet më të larta në qiej dhe në Tokë. Ai është i Plotëfuqishëm dhe i Gjithëdijshëm.
028_00	Ai u ka sjellë një shembull prej vet jush: a janë shokë me ju – skllevërit tuaj, në furnizimin Tonë
028_01	që u kemi bërë juve, e ju jeni të njëjtë në furnizim, dhe ju i druani atyre sikur që i
028_02	druani njëri-tjetrit? (E, si atëherë më bëni shok Mua?) – Ja, kështu Ne, ua shpjegojmë argumentet Tona, njerëzve që mendojnë.
029_00	Por, zullumqarët, nga padijenia ndjekin qejfet e veta. E, kush do ta udhëzojë atë që e ka humbur Perëndia? Dhe, për ta, nuk ka kurrfarë ndihmësi.
030_00	Drejtohu me përkushtim në fenë e drejtë, krijimtarinë e Perëndisë, sipas të cilës Ai i ka krijuar njerëzit.
030_01	S’ka ndryshim në krijimtarinë e Perëndisë. Kjo është fe e drejtë, por shumica e njerëzve nuk e dinë, -
031_00	duke iu drejtuar Atij (Perëndisë)! Druajuni Atij dhe falni namazin e mos u bëni si ata që i bëjnë shok Atij,
032_00	si ata, që fenë e vet e kanë përçarë dhe janë ndarë në grupe, e çdo grup është i kënaqur me atë që ka para vetes.
033_00	E, kur njerëzit i godet ndonjë e keqe, ata i luten Zotit të vet, duke iu kthyer vetëm Atij, e pastaj, kur Ai t’u jap të shijojnë mëshirën e Tij, atëherë një grup prej tyre – i bëjnë shok Zotit të vet,
034_00	për ta mohuar atë që u kemi dhënë Ne. (U thuhet atyre): “E, kënaquni, meqë së shpejti do ta dini!”
035_00	A mos vallë u kemi dërguar Ne atyre (ndonjë) argument, që flet për atë që më bënin Mua shok ata?
036_00	E, kur Ne t’u japim njerëzve ta shijojnë dhuntinë, ata gëzohen me të, e kur t’i godas fatkeqësia për atë që e kanë punuar duart e tyre, atëherë e humbin shpresën.
037_00	Vallë, a nuk dinë ata se Perëndia i jep furnizim të gjerë dhe ia pakëson kujt të dojë. Me të vërtetë, për këtë ka argument për njerëzit që besojnë.
038_00	Jepja të afërmit të drejtën e tij, edhe të varfërit edhe udhëtarit (që ka ngelë në rrugë)! Kjo është më së miri për ata që e duan kënaqësinë e Perëndisë; e të tillët janë të shpëtuar.
039_00	E, të hollat që i jepni për t’u shtuar me të hollat e njerëzve tjerë, nuk do të shtohen te
039_01	Perëndia, kurse çkado që të jepni nga lëmosha, për ta arritur kënaqësinë e Perëndisë, të atillëve do t’u shumëfishohen (të mirat).
040_00	Perëndia është ai që ju ka krijuar, e ju ka dhënë furnizim; pastaj ju vdes e pastaj ju ngjallë.
040_01	A ka ndonjë nga idhujt tuaj që bënë diçka kësisoji? Ai, është i lavdëruar dhe i lartësuar nga ajo që ata i bëjnë shok Atij!
041_00	U shfaq ngatërresa në tokë dhe në det për atë që punuan duart e njerëzve, që t’u japë të shijojën pjesë nga ajo që kanë punuar, për t’u kthyer ata në përmirësim.
042_00	Thuaj (o Muhammed!): “Udhëtoni nëpër botë e shikoni si ka qenë përfundimi i të mëparshmëve; shumica e tyre kanë qenë idhujtarë.
043_00	Drejtohu ti me përkushtim në fenë e drejtë (islamizmin), para se të vie prej Perëndisë Dita që nuk mund të shtyhet (nga askush). Atë ditë – ata do të ndahen:
044_00	ata që nuk kanë besuar, mohimi është në dëm të tyre, e ata që kanë punuar vepra të mira – vetes i kanë përgatitur (të mira),
045_00	ata që kanë besuar dhe kanë bërë vepra të mira, Perëndia do t’i shpërblejë nga dhuntitë e Veta. E, ai, me të vërtetë, nuk i don mohuesit.
046_00	Dhe, njëri prej dokumenteve të Tij, është dërgimi i erërave sihariquese, që të shijoni nga mëshira e Tij, që anija të lundrojë me urdhërin e Tij, që të kërkoni nga dhuntia e Tij dhe që të jeni mirënjohës.
047_00	Dhe, me të vërtetë, Na, kemi dërguar pejgamber para teje – te popujt e tyre, e ata u kanë ardhur atyre
047_01	me argumente të qarta, e i kemi ndëshkuar ata që kanë bërë mëkate, - e për ne, është që t’i ndihmojmë besimtarët.
048_00	Perëndia është ai që i dërgon erërat, që ato t’i lëvizin retë, e (Ai) i shpërndanë ato nëpër qiell si të dojë dhe i copton ato në pjesë-pjesë, e ti sheh shiun si bie prej tyre.
048_01	E, me te mund ta dhurojë kë të dojë nga robërit e Vet, e atëherë ata gëzohen përnjëherësh,
049_00	edhe pse, me të vërtetë, para se t’u vie shiu, kanë qenë të dëshpëruar.
050_00	Andaj, shikoji gjurmët e mëshirës së Perëndisë, si e gjallëron tokën pas shkretërimit të saj. Ai, me të vërtetë, do t’i ringjallë edhe të vdekurit dhe Ai është i pushtetshëm për çdo gjë.
051_00	Dhe, sikur të dërgonim Ne – furtunë, e ata të shihnin që çdo gjë është zverdhur, edhe pas kësaj do të mbeteshin mohues të dhuntive.
052_00	Me të vërtetë, ti (o Muhammed!) nuk mund të bësh që i vdekuri, dhe as i shurdhëti të dëgjojnë tirrjen kur ata ta kthejnë shpinën ty duke u larguar,
053_00	dhe ti nuk mund ta udhëzosh të verbërin nga humbja e tij. Ti, mund të bësh që të dëgjojnë vetëm ata që besojnë në ajetet Tona. Dhe, ata janë muslimanë të vërtetë.
054_00	Perëndia është ai që ju ka krijuar prej një dobësie, pastaj – pas dobësisë, u ka bërë të fuqishëm, e ju ka
054_01	bërë – pas fuqisë të dobët dhe pleqë; Ai krijon çka të dojë; Ai është i Plotëdijshëm dhe i pushtetshëm për çdo gjë.
055_00	Dhe, atë Ditë kur të arrijë Çasti (Kijameti), betohen mëkatarët, se në varr (tokë) kanë qëndruar një kohë të shkurtër. Kështu ata shmangen nga e Vërteta.
056_00	E, (mëkatarëve), të cilëve u është dituria dhe besimi, u thonë: “Ju, me të vërtetë, keni qëndruar aq sa ju ka caktuar Perëndia
056_01	në Libër – deri në Ditën e ringjalljes, - e ja kjo është Dita e ringjalljes, por që ju (këtë) nuk e keni ditur”.
057_00	Atë Ditë – atyre që kanë bërë zullum – nuk do t’u bëjë dobi arsyetimi, as nuk do t’u lejohet që të kërkojnë falje.
058_00	Dhe, me të vërtetë, në këtë Kur’an, Na u kemi sjellë njerëzve gjithëfarë shembuj. E, sikur ti, t’u sjellësh atyre çfarëdo argumenti (mrekullie), ata (mohuesit), me siguri, do të thonin: “Ju jeni vetëm të degjeneruar”.
059_00	Ja, kështu, Perëndia ua vulos zemrat atyre që nuk dinë.
060_00	Duro ti (o Muhammed), se me siguri, premtimet e Perëndisë, janë të vërteta dhe le të mos mashtrojnë kurrsesi ata që nuk besojnë.
