001_00	Ne, ta dhamë ty fitoren e qartë,
018_00	Perëndia është i kënaqur me ata besimtar kur t’u betuan ty nën hijen e drurit. Ai (Perëndia), e ka ditur se ç’ka në zemrat e tyre, e u ka dhënë atyre qetësi (siguri), dhe i shpërbleu ata me fitoren e afërt,
019_00	dhe me plaçkën (pasurinë e zënë në luftë) e madhe që do ta fitojnë. Perëndia është i Plotëfuqishëm dhe i Gjithëdijshëm.
020_00	Perëndia u ka premtuar juve plaçkë të pasur që do ta fitoni, e ua shpejtoi këtë juve (Ai) dhe i pengoi duart e njerëzve (nga të
020_01	dëmtuarit juve) – për të qenë ky argument për besimtarët (që premtimi i Perëndisë është i realizueshëm) dhe për t’u udhëzuar juve në rrugën e drejtë,
021_00	dhe (ju ka premtuar) tjetrën (fitore), të cilën nuk keni qenë në gjendje ta fitoni, - por Perëndia, me dispozitën e Vet, e ka përmbledhë atë për ju, sepse, Perëndia është i pushtetshëm për çdo gjë.
022_00	E, nëse mohuesit lëshohen në luftë kundër jush, ata, me siguri, do të iknin dhe pastaj nuk do të gjenin as mbrojtës as ndihmës –
023_00	(Kjo është) dispozita e Perëndisë që ka qenë edhe më parë, e ti, kurrsesi, nuk mund të gjesh ndryshime në dispozitën e Perëndisë.
024_00	Ai ka penguar duart e tyre ndaj jush dhe duart tuaja ndaj tyre – brenda në Mekke, pasi u ka dhënë juve fitoren mbi ta. Perëndia i sheh të gjitha çka punoni ju.
025_00	Ata, të cilët nuk kanë besuar dhe ju pengojnë nga Mesxhidil-Harami (Qabja) dhe (pengojnë) të përgjëruarin – kurbanin e caktuar që të arrijë në vend.
025_01	E, sikur të mos kishte besimtarë dhe besimtare, që ju nuk i dini e do t’i merrnit nëpër këmbë ata, e juve do t’ju godiste një hidhërim, duke mos ditur (do t’ju kisha lejuar të pushtoni Mekken).
025_02	Kjo është, ngase Perëndia e shpie në mëshirën e Vet kë të dojë. Sikur të ishin të veçuar ata, Ne do t’i ndëshkonim ata në mes tyre, të cilët nuk kanë besuar – me dënim të dhembshëm.
026_00	(Kujtoje ti) kur në zemrat e mohuesve u shfaq krenaria, krenaria pagane, e Perëndia zbriti qetësinë e Tij në zemrën e Pejgamberit dhe të besimtarëve dhe i obligoi ata me
026_01	fjalën e takvasë (shehadetit) e ata gjithsesi – kanë pasur më shumë të drejtë dhe kanë qenë të denjë për të, - e Perëndia është i Gjithëdijshëm për çdo gjë.
027_00	Perëndia e realizoi (sendërtoi) ëndërrën e Pejgamberit të vet me të vërtetën: “Me siguri, ju do të hyni në Mesxhidil-Haram, nëse jep Perëndia, (dhe këtë) të sigurt, kokë-rruar dhe flokë-shkurtuar, pa kurrfarë frike.
027_01	Ai e ka ditur atë që nuk e keni ditur ju. Dhe, para kësaj (hyrjes në Mekke), ju ka dhuruar një fitore të afërt.
028_00	Ai e ka dërguar Pejgamberin e Vet me Udhëzim (në rrugë të drejtë) he fenë e vërtetë, për ta ngritur mbi të gjitha fetë. E, Perëndia është dëshmitar i mjaftueshëm!
029_00	Muhammedi është Pejgamber i Perëndisë.
029_01	E, ata që janë me të (shokët e tij) janë të ashpër ndaj mohuesve, e të mëshirshëm në mes tyre.
029_02	I sheh ata si bëjnë ruqu dhe sexhde duke kërkuar dhuntinë dhe kënaqësinë e Perëndisë.
029_03	Në fytyrat e tyre shihen shenjat e sexhdes. Ky është përshkrimi i tyre në Tevrat. E, përshkrimi i tyre në Ungjill, është: (ata janë) si fara (e mbjellur) që lëshon filizat (e vogla) të cilat e forcojnë atë, e bëhet e trashë, e pastaj drejtohet (vertikalisht) në trungun e vet; (kështu që), e entusiazmon atë që e ka mbjellë, - që për (këtë gjë) t’i zemrojë mohuesit. Perëndia u ka premtuar atyre që besojnë dhe punojnë vepra të mira (të gjithë atyre) – falje (të mëkateve) dhe shpërblim të madh.
