001_00	Me të vërtetë, shpëtuan besimtarët,
032_00	e u dërguam atyre pejgamber nga mesi i tyre, (i cili u tha atyre): “Adhuronie Perëndinë! Ju, nuk keni zot tjetër përveç Tij; vallë a nuk druani?”
033_00	Por, paria e popullit të tij, që nuk besonin dhe e konsideronin për gënjeshtër takimin në botën tjetër dhe të cilëve u kemi dhënë begati
033_01	në këtë botë botë, thanë: “Ky është vetëm njeri si ju, han nga ato që hani edhe ju dhe pin nga ato që pini edhe ju;
034_00	e nëse ju i përuleni njeriut që është si ju, me siguri – ju do të jeni të humbur.
035_00	A ju premton ai, që kur të vdisni e të bëheni dhé dhe eshtra, ju, me të vërtetë, do të ringjalleni?
036_00	Larg e larg, janë ato që po u premtohen!
037_00	Nuk ka jetë tjetër përpos jetës së kësaj bote, na jetojmë e vdesim e nuk do të ringjallemi më.
038_00	Ai është vetëm njeri që trillon gënjeshtra për Perëndinë, dhe na nuk i besojmë atij”.
039_00	(Pejgamberi) tha: “O Zoti im, më ndihmo, meqë po më konsiderojnë gënjeshtar!”
040_00	(Perëndia) tha: “Së shpejti do të pendohen ata!”
041_00	E, me të drejtë i kaploi ata zëri i tmerrshëm (dënimi i merituar), dhe Ne i bëmë ata si lymërishtë të lumit. Larg qoftë (nga mëshira) populli zullumqarë!
042_00	E, pas tyre, Ne kemi krijuar gjenerata të reja.
043_00	Asnjë popull nuk mund as ta shpejtojë as ta ngadalësojë kohën e caktuar të (zhdukjes) së tij;
044_00	dhe kemi dërguar pejgamberë njërin pas tjetrit. Kurdo që i ka ardhur ndonjë populli pejgamberi i tyre, ata e kanë përgënjeshtruar atë.
044_01	Kemi bërë që njëri (popull) të vijë pas tjetrit (popull) dhe i kemi bërë ata tregim historik. Qoftë larg populli që nuk beson!
045_00	Pastaj dërguam Musain dhe vëllain e tij Harunin me argumentet Tona dhe mrekullinë e qartë
046_00	te Faraoni dhe paria e tij, por ata që u bënë mendjemëdhenj, ata ishin njerëz të kryelartësuar.
047_00	E thanë ata: “Vallë, a t’u besojmë dy njerëzve, të cilët janë si ne, e populli i tyre na janë përulur?”
048_00	Dhe këta dy i shpallën për gënjeshtarë, andaj ishin nga të shkatërruarit.
049_00	Na, në të vërtetë, ia dhamë Librin Musait, që ata (populli i tij) të udhëzohen në rrugë të drejtë.
050_00	Dhe, kemi bërë birin e Merjemës dhe nënën e tij – argument, dhe Ne i kemi vendosur ata, në një rrafshnaltë, ku mund të jetohet (me jetesë mirë) dhe që ka ujë rrjedhës.
051_00	O Pejgamberë! Hani nga të mirat dhe punoni vepra të mira! Unë me të vërtetë, e di mirë çka punoni ju!
052_00	Dhe, me të vërtetë, ky besim juaji – është i vetmi besim (unik); e, Unë jam Zoti juaj, andaj druani prej Meje (mos bëni keq)!
053_00	Ata, u ndanë në grupe – në çështje të fesë së tyre. Çdo grup ishte i kënaqur me atë që kishte,
054_00	andaj, lëri ti ata në humbjen e tyre deri në një kohë!
055_00	A mos mendojnë ata që Ne duke u ndihmuar atyre me pasuri dhe djem,
056_00	po nxitojmë kah të mirat e tyre?! Kurrsesi, por ata nuk vërejnë.
057_00	Me të vërtetë, ata që prej frikës së madhe ndaj Zotit të tyre, frikësohen (nga dënimi i Tij),
058_00	dhe ata që besojnë në argumentet e Zotit të tyre,
059_00	dhe ata që nuk i bëjnë shok Zotit të tyre,
060_00	dhe ata që japin nga ajo që u është dhënë atyre, e zemrat e tyre janë të frikësuara, meqë do të kthehen te Zoti i tyre, -
061_00	ata nxitojnë në vepra të mira dhe për to i kalojnë të tjerët.
062_00	Ne askë nuk e ngarkojmë përtej mundësive të tij; te Ne është Libri që flet të vërtetën, dhe askujt nuk do t’i bëhet padrejtësi.
063_00	Por, zemrat e mohuesve janë indiferente ndaj kësaj (Kur’anit), e ata kanë punë tjera më të këqia se këto që i punojnë (vazhdimisht).
064_00	E, kur filluam t’i dënojmë pasanikët e tyre, ata atëherë vajtonin (duke kërkuar ndihmë).
065_00	(U thuhet): “Mos vajtoni sot, nuk do të keni ju ndihmë prej Nesh,
066_00	juve, madje, u janë lexuar ajetet e Mia, por ju tërhiqeshit mbrapa,
067_00	duke u mendjemadhësuar me të (me tempullin e Qabës), duke biseduar natën fjalë të shëmtuara”.
068_00	Vallë, a nuk kanë menduar ata për Fjalën (Kur’anin), apo tyre u ka ardhur ajo çka nuk u kishte ardhur të parëve të tyre?
069_00	Apo ata nuk e kanë njohur Pejgamberin e tyre, andaj e mohojnë atë?
070_00	Apo thonë: “Tek ai ka çmendje”. Jo, por ai ua sjell të Vërtetën atyre, e shumica prej tyre e urrejnë të Vërtetën.
071_00	E, sikur e Vërteta (Kur’ani) të pasonte sipas dëshirave të tyre, do të shkatërroheshin qiejt dhe Toka dhe gjithçka që gjendet në to. Jo, Na, atyre – u kemi dërguar përkujtimin (Kur’anin), pro ata shmangen nga ai.
072_00	Apo, prej tyre kërkon shpërblimin? E, shpërblimi i Zotit tënd ëshë më i miri, dhe Ai është furnizuesi më i mirë.
073_00	Ti, me të vërtetë, i fton ata në rrugën e drejtë.
074_00	E, ata që nuk besojnë jetën tjetër, shmangen nga rruga e drejtë.
075_00	Sikur Ne – t’i mëshironim ata dhe t’u largonim dëmet (që janë goditur me to), përsëri ata do të bredhnin të hutuar e të humbur.
076_00	Na, madje, i kemi dënuar ata, por ata nuk iu përulën Zotit të tyre, e as nuk i drejtuan lutje.
077_00	E, kur ua hapëm atyre, derën e dënimit të madh, ata, atëherë ishin të dëshpëruar.
078_00	Dhe, Ai është, që u ka krijuar të dëgjuarit, të pamurit dhe zemrën (mendjen). E, sa pak që falenderoheni ju!
079_00	Dhe, Ai është, që u ka krijuar juve në Tokë, dhe tek Ai do të tuboheni ju,
080_00	dhe Ai është, që jep jetë dhe vdekje, dhe Atij i përket ndërrimi i ditës dhe i natës, e vallë, a nuk po kuptoni ju?
081_00	Jo, ata (arabët), thonë – ashtu siç kanë thënë të mëparshmit.
082_00	Ata pyesin: “Vallë, pasi të vdesim e të bëhemi eshtra e dhé, vërtetë, do të ringjallemi?
083_00	Me të vërtetë, kjo na është premtuar neve dhe të parëve tanë (para Muhammedit), por këto janë vetëm përralla të popujve të lashtë”.
084_00	Thuaj: “E kujt është Toka dhe të gjitha ato që gjenden në të, nëse e dini?”
085_00	Ata thonë: “Të Perëndisë!” E ti, thuaj: “Vallë, a nuk po meditoni ju?”
086_00	Thuaj: “Kush është Zot’i shtatë qiejve dhe Zot i Arshit të Madh?”
087_00	Ata thonë: “Të Perëndisë!” E ti, thuaj: “Vallë, a nuk po druani ju?”
088_00	Thuaj: “Në dorën e kujt është pushteti mbi çdo gjë? E, Ai mbron, por prej Tij nuk mund të mbrohet askush, nëse e dini?”
089_00	Ata thonë: “I Perëndisë (është pushteti)”. E, ti thuaj: “E përse jeni të mashtruar?”
090_00	Jo, Na u kemi sjellë atyre të Vërtetën, por ata, vërtetë janë gënjeshtarë:
091_00	Perëndia nuk ka marrë për Vete fëmijë, dhe s’ka me te kurrfarë zoti (sikur të kishte) atëherë çdo zot do të merrte atë që ka krijuar dhe do të ngritej njëri mbi tjetrin.
091_01	Qoftë i pastër Perëndia nga ajo që ia përshkruajnë Atij,
092_00	i cili di të padukshmen dhe Ai është shumë lart mbi ato, që ia bëjnë shok Atij!
093_00	Thuaj (o Muhammed!): “O Zoti im, nëse më tregon atë që u ke premtuar atyre (dënimin),
094_00	atëherë, o Zoti im, mos më lë mua me popullin zullumqarë!”
095_00	Dhe, me të vërtetë, Na jemi të fuqishëm që të tregojmë ty – atë që ua kemi premtuar atyre.
096_00	Largoje të keqen me atë që është më së miri. Na, më së miri dimë të vërtetën që përshkruajnë ata.
097_00	Dhe thuaj: “O Zoti im, te Ti mbështetem për mbrojtje nga nxitjet e djallit,
098_00	dhe te Ti mbështetem, o Zoti im (për mbrojtje), nga prezenca e tyre (djajve) pranë meje”.
099_00	Kur t’i arrijë vdekja ndonjërit prej tyre (mohuesve), ai thotë: “O Zoti im, më kthe (në këtë Botë),
100_00	që të punoj më mirë në ato që i kam lënë!” – Kurrsesi! Me të vërtetë, kjo është ajo fjalë të cilën ai kot e thotë, - para tyre do të ketë barrierë deri në ditën kur do të ringjallen.
101_00	E, kur të fryhet në Sur, atëherë, në mes tyre – nuk do të ketë lidhje farefisnore, e as që ata do të pyeten në mes vete.
102_00	Atij që i rëndohen terezitë (me vepra të mira), këta janë të shpëtuar,
103_00	e, ata – terezitë e të cilëve janë të lehta (prej të mirave të pakëta), këta janë ata, që i kanë bërë dëm vetes; e do të qëndrojnë përherë në xhehennem.
104_00	Zjarri do t’i kaplojë fytyrat e tyre, dhe ata, në të, janë të shëmtuar.
105_00	(Ju thuhet atyre): “Vallë, a nuk u janë lexuar juve ajetet Tona, e ju i keni përgënjeshtruar”.
106_00	Do të thonë ata: “O Zoti ynë, neve na ka munduar e keqja jonë, andaj jemi bërë popull i humbur.
107_00	O Zoti ynë, nxirrna prej tij (zjarrit); e nëse na kthehemi (në mohim), (atëherë) do të jemi zullumqarë”.
108_00	(Perëndia) do të thotë: “Rrini në të (zjarr) të përbuzur dhe mos Më flisni asgjë!”
109_00	Ka qenë një grup i robërve të Mi, i cili thoshte: “O Zoti ynë, na kemi besuar, andaj na falë dhe na mëshiro! E, Ti je më i miri mëshirues!” –
110_00	e ju i keni marrë ata për (objekt) talljeje, andaj, për këtë shkak, Mua, më harruat së përmenduri, e përherë i përqeshnit ata.
111_00	Unë, i kam shpërblyer ata sot, për durueshmërinë e tyre, e ata, me të vërtetë, janë të shpëtuar.
112_00	(Engjëlli) do të thotë: “Sa vjet i keni kaluar në Tokë (botë)?”
113_00	Do të pëgjigjen ata: “Kemi qëndruar një ditë apo një pjesë të ditës; - pyetni numruesit (ata që i kanë numruar)?”
114_00	Do të thotë (Perëndia): “Keni qëndruar shumë pak. E, sikur të kishit ditur!”
115_00	Mos vallë, keni menduar ju, që Ne ju kemi krijuar juve kot dhe që nuk do të ktheheni te Ne?”
116_00	I lartësuar është Perëndia, sundimtari i Vërtetë! S’ka zot tjetër përpos Tij, Zotit të Arshit (Kozmosit) madhështor!
117_00	Ai që pos Perëndisë, adhuron zot tjetër, duke mos pasur kurrfarë dokumenti për këtë, me siguri – llogaria është vetëm te Zoti tij. Me të vërtetë, nuk ka shpëtim për mohuesit.
118_00	Dhe, thuaj (o Muhammed!): “O Zoti im, fal dhe mëshiro, e Ti je më i miri mëshirues!”
