001_00	Tâ, Sín Mím.
018_00	Dhe Musai – u zgjua i frikësuar në qytet, duke pritur se ç’do të nodhë kur që – ia behi ai, që dje e kishte thirrë në ndihmë, e që përsëri – e thirri në ndihmë. Musai i tha: “Ti, me të vërtetë, je ngatërrestar!”
019_00	Dhe, kur deshi të sulmojë (Musai), atë që ishte armik i të dyve, i tha ai (israeliti) se po e qëllon atë: “O Musa, a don të më mbytësh mua siç e mbyte dje njeriun?
019_01	Ti dëshiron të bëhesh vetëm dhunues në tokë, e nuk dëshiron të bëhesh nga ata që mbajnë rregull”.
020_00	Dhe një njeri, erdhi, duke nxituar prej skajit të qytetit, e tha: “O Musa, paria po konsultohen për me të mbytur ty; andaj dil, se unë për ty – jam këshillues i sinqertë”.
021_00	E, doli prej tij (Egjiptit) i frikësuar, duke pritur se ç’do të ndodhë. Tha (Musai): “O Zoti im, më shpëto prej populli zullumqarë!”
022_00	Dhe, kur u nis kah Medjeni, ai tha: “Shpresoj se Zoti im do të më tregojë rrugën e drejtë!”
023_00	E, kur arriti tek uji i Medjenit, hasi rreth tij shumë njerëz, që u jepnin ujë kafshëve.
023_01	E përveç tyre, vërejti dy vasha që i pengonin kafshët e veta (të pinin ujë). Ai (Musai) tha: “Ç’është me ju?” Ato thanë: “Na, nuk u japim ujë, derisa të mos shkojnë barinjtë, e babën e kemi fort plak”.
024_00	E, Musai – u dha ujë kafshëve të atyre vashave, e pastaj u kthye te një hije (e lisit) dhe tha: “Zoti im çfarëdo dhuntie që të më japësh, unë jam nevojtar!”
025_00	Dhe, njëra nga ato dyja, erdhi pastaj, duke u turpëruar dhe tha: “Me të vërtetë, të thërret babai im që të shpërblejë ty, për atë që u ke dhënë ujë shtazëve tona.
025_01	E, kur erdhi te Shuajbi dhe i tregoi çka ka përjetuar, ai (Shuajbi) tha: “Mos u frikëso, meqë ke shpëtuar prej popullit zullumqar!
026_00	O babai im, - tha njëra nga ato dyja – “merre këtë njeri në shërbim, se – me të vërtetë, i forti dhe i besueshmi, është më i mirë që ta marrësh në shërbim”.
027_00	(Shuajbi) tha: “Unë dua që të jap njërën prej këtyre dy vashave të mia, por që të më shërbesh mua tetë vjet; e nëse i plotëson dhjetë vjet (shërbim), ajo është prej të mirës (nderës) tënde, e unë nuk dëshiroj të shkaktoj vështirësi ty.
027_01	Ti do të gjesh (shohësh) – në dashtë Zoti, se jam prej të mirëve”.
028_00	(Musai) tha: “Le të jetë kështu ajo, në mes meje dhe teje. Cilindo afat prej këtyre dyve ta plotësoj, nuk do të mund të më bëhet vërejtje. E, Perëndia është mbikëqyrës për atë që folëm”.
029_00	Kur Musai e plotësoi afatin e caktuar dhe u nis me familjen e vet, vërejti një zjarr në anën e (malit të) Turit. I tha familjes së vet: “Pritni!
029_01	Me të vërtetë, kam vërejtur një zjarr. Shpresoj se do t’ju sjelli një lajm (për orientim të rrugës), ose një un të zjarrit, për t’u nxehur ju”.
030_00	E, kur erdhi tek ai (zjarri), u thirr nga ana e djathtë (begatshëm) e luginës – prej lisit, në visin e bekuar: “O Musa, me të vërtetë, Unë jam Perëndia, Zoti i gjithësisë!
031_00	Dhe, hudhe shkopin tënd!” Kur e hodhi atë dhe e pa se po lëvizë shpejt, sikur të ishte gjarpër, u zmbraps me të shpejtë e nuk u kthye (të shikojë pas). “O Musa! Afrohu dhe mos u friko! Me të vërtetë, ti je nga ata, që janë të mbrojtur.
032_00	Fute dorën tënde në xhepin e krahërorit – do të paraqitet e bardhë, pa të meta.
032_01	Dhe, kështu, përmbaju prej frikës! Këto janë dy argumente prej Zotit tënd te Faraoni dhe paria e tij; ata, me të vërtetë janë popull i korruptuar!”
033_00	(Musai) tha: “O Zoti im, unë, me të vërtetë, e kam mbytur një njeri të tyre, prandaj frikoj se do të më mbysin.
034_00	E, vëllai im Haruni, është më i zhdërvjelltë se unë – në të folur, andaj dërgoje me mua atë, si ndihmës timin, që t’i vërtetoj fjalët e mia. Unë, me të vërtetë, frikohem se ata do të më quajnë gënjeshtar”.
035_00	(Perëndia) tha: “Na të forcojmë ty me vëllaun tënd dhe që të dyve do t’ju japim pushtet; e ata, nuk do të mund t’ju afrohen juve (me qëllim të keq); me argumentet Tona, ju dy dhe ata që do t’ju pasojnë, do të jeni fitues”.
036_00	Dhe kur Musai u solli argumentet Tona të qarta, ata thanë: “Kjo është vetëm magji e trilluar, dhe ne nuk kemi dëgjuar këtë prej baballarëve tanë”.
037_00	E, Musai tha: “Zoti im e di mirë atë që i sjell udhëzimet prej tij dhe atë, që do ta ketë mbarimin e mirë; e me të vërtetë, mohuesit nuk do të shpëtojnë.
038_00	Dhe, Faraoni tha: “O parësi, unë nuk di që për ju ka tjetër zot përveç meje, e ti, o Haman (ministër i Faraonit),
038_01	m’i pjek qerpiqtë dhe ma ndërto godinën e lartë që të ngritem te zoti i Musait, meqë, unë – atë e konsideroj për gënjeshtar!”
039_00	Dhe, u madhështua ai dhe ushtria e tij në tokë pa kurrfarë të drejte dhe mendonin se nuk do të kthehen te Ne.
040_00	E, Na e dënuam atë dhe ushtrinë e tij dhe i hodhëm në det, andaj shiko, si qe fundi i zullumqarëve!
041_00	E, i kemi pasë bërë udhëheqës, që thirrnin në atë që shpie në zjarr; e në Ditën e Kijametit nuk do të ndihmohen.
042_00	Dhe Na – i kemi përcjellë ata në këtë jetë, me mallkim, e në Ditën e Kijametit do të jenë të keqtrajtuar.
043_00	Na, me të vërtetë, ia kemi dhënë Musait Librin pasi i kemi shkatërruar popujt e lashtë, që të jetë dritë për njerëzit dhe udhëzim e mëshirë – për t’u këshilluar ata.
044_00	Dhe ti (o Muhammed!) nuk ke qenë në anën perëndimore (të Turit), kur Ne ia besuam Musait profetninë dhe ti nuk ishe dëshmitar (i kësaj ngjarjeje).
045_00	Por, Ne kemi krijuar shumë gjenerata e ka kaluar një kohë e gjatë. E, ti – nuk ke qëndruar në mesin e banorëve të Medjenit, që t’ju lexosh (Mekkasve) argumentet Tona, por Ne t’i kemi dërguar ty (lajmet e këtyre mrekullive).
046_00	Dhe, ti nuk ke qenë pranë Turit, kur Na e kemi thirrë (Musain), por (të kemi dërguar ty) nga mëshira e Zotit tënd për t’i paralajmëruar njerëzit, të cilëve nuk u ka ardhur kurrfarë paralajmëruesi para teje, për t’u këshilluar ata,
047_00	dhe, që të mos thonë kur t’i godas dënimi, për atë që kanë bërë: “O Zoti ynë, të na kishe dërguar pejgamber që t’i pasojmë argumentet Tuaja dhe të bëhemi besimtarë.
048_00	Pasi që u erdhi e Vërteta prej Nesh, thanë ata (arabët): “Sikur t’ju kishte dhënë (Muhammedit) diçka e ngjashme siç i është dhënë Musait!” Vallë, a nuk e mohuan ata – atë që iu kishte dhënë Musait më parë?
048_01	Ata kanë thënë: “Këto janë dy magji (Teurati dhe Kur’ani), që ndihmohen reciprokisht”. Dhe, (Mekkasit) thanë: “Na, nuk besojmë në asnjërën”.
049_00	Thuaju atyre: “Sillni një libër nga Perëndia, i cili udhëzon më mirë nga këta të dy (Teurati dhe Kur’ani), unë do të pasoj atë, nëse thoni të vërtetën!”
050_00	E nëse ata nuk të përgjegjen ty, dije se ata ndjekin vetëm pasionin e vet.
050_01	E, kush vallë, ka humbur më tepër se ai që ndjek pasionin e vet, pa udhëzim prej Perëndisë? Perëndia, me të vërtetë, nuk e udhëzon popullin zullumqarë.
051_00	Na, ua dërgojmë atyre fjalët njërën pas tjetrës (Kur’anin), për t’u këshilluar ata.
052_00	Atyre që Ne ua kemi dhënë Librin para tij (Kur’anit), ata i besojnë atij,
053_00	dhe, kur t’ju lexohet atyre (Kur’ani), ata thonë: Ne e besojmë atë. Me të vërtetë, ai (Kur’ani) është (i zbritur) nga Zoti ynë. Na – edhe më parë kemi qenë muslimanë”.
054_00	Atyre do t’u jepet shpërblimi i dyfishtë, meqë kanë duruar dhe që të keqen e kthejnë me të mirë – dhe ndajnë nga ajo që u kemi dhënë Ne;
055_00	e kur të dëgjojnë ndonjë marrëzi, shmangen prej saj dhe thonë: “Veprat tona janë për ne e veprat tuaja janë për ju; paqa qoftë mbi ju (lamtumirë!) Na nuk duam shoqëri me të padishmit (xhahilat)”.
056_00	Ti (o Muhammed), me të vërtetë, nuk mund ta udhëzosh (në formë imponuese) në rrugën e drejtë, atë që dëshiron ti, - por Perëndia e udhëzon (në të gjitha normat). Ai, i di më së miri ata që janë të udhëzuar.
057_00	Dhe ata thonë: “Nëse ne – me ty ndjekim rrugën e drejtë (islamizmin), shpejt do të jemi të dëbuar nga vendlindja”.
057_01	Vallë, a nuk u kemi dhënë rast Na – atyre, që të qëndrojnë në vendin e shenjtë dhe të sigurtë, ku – sillen frytet e llojllojshme – ushqim prej Nesh; por, shumica e tyre nuk e dinë.
058_00	E, sa e sa fshatra e qytete i kemi zhdukur Ne, banorët e të cilëve kanë bërë jetë të shfrenuar! Ja, shtëpiat e tyre (të shkretëruara), të cilat, nuk janë banuar pas tyre – vetëm pak kohë, dhe Ne kemi qenë trashëgimtarë.
059_00	Dhe, Zoti yt – kurrë nuk i ka shkatërruar vendbanimet, para se t’u dërgojë pejgamber në kryeqytetin e tyre, i cili ju ka treguar argumentet Tona. Dhe, Ne – kurrë nuk i kemi shkatërruar vendbanimet, por vetëm kur banorët e tyre kanë qenë zullumqarë.
060_00	Çdo gjë që ju është dhënë juve, ajo është kënaqësi e kësaj jete dhe stoli e saj, e ajo që është te Perëndia, ajo është më e mirë dhe më e përhershme. Vallë, a nuk po mendoni ju?
061_00	Si mund të jetë i njëjtë ai, të cilit i kemi premtuar shpërblim të mirë, e ai do ta arrijë atë dhe atij që i kemi dhënë kënaqësi në jetën e kësaj bote, e i cili pastaj, në Ditën e Kijametit, do të gjendet në zjarr?
062_00	(Dhe, kujtoju o Muhammed!) Ditën, kur do t’i thirrë (Perëndia) ata dhe u thotë: “Ku janë ata që ju i konsideronit për shokë të Mi?”
063_00	Do të thonë ata, te të cilët është sendërtuar fjala (Jonë), O Zoti ynë, këta jën ata, që na i kemi zhgënjyer, - e i kemi zhgënjyer ata, ashtu siç kemi qenë edhe ne të zhgënjyer.
063_01	Na heqim dorë prej tyre te Ti; ata nuk na kanë adhuruar neve”.
064_00	Dhe, do t’u thuhet atyre: “Thirrni hyjnitë tuaja! E, ata do t’i thirrin ato, por ato nuk do t’ju përgjigjen (atyre). E, do ta shohin dënimin. Sikur të kishin qenë në rrugën e drejtë, (nuk do të kishin përjetuar dënimin)!
065_00	(Dhe, kujtoju o Muhammed!) Ditën kur do t’i thirrë (Perëndia) ata dhe u thotë: “Ç’ju keni përgjegjur pejgamberëve?”
066_00	Atë ditë, atyre lajmet do t’u jenë memece (të shurdhëta); e ata nuk do të mund të pyesin njëri-tjetrin (asgjë).
067_00	E, ai që pendohet, e beson dhe punon vepra të mira, do të jetë nga të shpëtuarit.
068_00	Dhe, Zoti yt krijon ç’të dojë dhe Ai zgjedh; e, ata (adhuruesit e idhujve), nuk mund të zgjedhin. Qoftë i falenderuar Perëndia dhe larg nga ato që i përshkruhen Atij për shok!
069_00	Dhe, Zoti yt, di çka fshehin zemrat e tyre, e çka shprehin ata.
070_00	Dhe, Ai është Perëndia! S’ka zot tjetër përveç Tij! Për Te është falenderimi në këtë jetë dhe në tjetrën! Për Te është vendimi (për çdo fjalë) dhe tek Ai – do të ktheheni.
071_00	Thuaju (o Muhammed!): “Çka mendoni ju, nëse Perëndia ua bënë natën të përhershme deri në Ditën e Kijametit, cili zot – pos Perëndisë, do t’ua sillte dritën? Vallë, a nuk po dëgjoni ju?”
072_00	Thuaju (o Muhammed!): “Çka mendoni ju nëse Perëndia ua bënë ditën të përhershme deri në Ditën e Kijametit, cili zot – pos Perëndisë, do t’ua sjellë natën, në të cilën qetësoheni ju?
072_01	Vallë, a nuk po shihni ju?
073_00	Dhe prej mëshirës së Tij, ua ka bërë juve natën dhe ditën, që të qetësoheni në të dhe të kërkoni nga dhuntitë e Tij, - dhe që ju të jeni mirënjohës”.
074_00	Dhe (kujtoju) Ditën kur i thërret (Perëndia) dhe u thotë: “Ku janë ata që ju i konsideronit për shokë të Mi?”
075_00	Dhe, Ne, prej çdo populli do të sjellim nga një dëshmitar e do të themi: “Paraqitni argumentet tuaja!” Ata do ta dinë se e vërteta është (vetëm) e Perëndisë, e do të humbin ato që i trillonin ata.
076_00	Me të vërtetë, Karuni ka qenë nga populli i Musait, por që ai (Karuni) i eksploatoi ata.
076_01	E, Ne, i patëm dhënë atij aq thesar – saqë çelësat e tyre vështirë do të mund t’i bartin një grup njerëzish të fuqishëm.
076_02	(Kujtoje ti, o Muhammed!) kur njerëzit e popullit të tij, i thanë (Karunit): “Mos u shfreno (me pasuri) Perëndia, me të vërtetë, nuk i do ata që shfrenohen!
077_00	Dhe, kërko ti jetën e botës së ardhshme me atë që të ka dhënë Perëndia, e mos harro pjesën tënde në këtë botë. Bënu mirë të tjerëve ashtu si të ka bërë ty mirë Perëndia.
077_01	Mos kërko ngatërresa në Tokë! Me të vërtetë, Perëndia nuk i do ngatërrestarët”.
078_00	Ai (Karuni) tha: “Kjo më është dhënë vetëm në bazë të dijenisë sime”.
078_01	E, vallë, a nuk e di ai, se Perëndia i ka zhdukur shumë brezni para tij, të cilët kanë qenë më të fuqishëm dhe që patën grumbulluar më shumë se ky.
078_02	Dhe, njerëzit e këqinj, as që do të pyeten për arsyetimin e mëkatëve të tyre.
079_00	E, doli ai (Karuni) para popullit të vet me shkëlqimin (salltanatin) e tij. E, thanë ata që lakmonin jetën e kësaj bote: “Ah! sikur të na ishte dhënë edhe neve si Karunit! Ai, (me të vërtetë), ka fat të madh”.
080_00	E, njerëzit e dijshëm thonin: “Mjerë për ju! Shpërblimi i Perëndisë është më i mirë për atë që beson dhe punon vepra të mira, e do t’u jepet ky (shpërblim) vetëm të durueshmëve”.
081_00	Dhe Ne, e kemi fundosë atë (Karunin) dhe shtëpinë e tij në tokë, dhe askush nuk ka mund t’i ndihmojë atij nga dënimi i Perëndisë, e as që ka mund të mbrohet (prej dënimit të Perëndisë).
082_00	E, ata, që më parë dëshironin të jenë në pozitën e tij, thoshin: “Ububu! Po duket se Perëndia, me të vërtetë, i jep bollëk kujt të dojë prej robërve të Tij dhe ia mungon (kujt të dojë).
082_01	Sikur Perëndia të mos na kishte bërë dhunti neve, me të vërtetë, do të na kishte fundosë. Ububu! (po duket se) me të vërtetë, mohuesit nuk kanë shpëtim!”
083_00	Atë shtëpinë e botës tjetër, Na do ta bëjmë për ata që nuk dëshirojnë madhështi e as ngatërresa në Tokë. E, përfundimi (i mirë) është për ata që ruhen nga të këqiat.
084_00	Kush bënë një të mirë, për te ka shpërblim më të mirë (se atë që ka punuar). E, ai që bën një të keqe, ai dënohet vetëm aq sa e meriton vepra e tij.
085_00	Me të vërtetë, Ai që ta ka shpallë ty Kur’anin, do të kthejë ty në vendin që të është premtuar. Thuaj: “Zoti im di më së miri kush ka ardhur me udhëzim të drejtë, e kush është në humbje të plotë.
086_00	Ti nuk ke shpresuar se do të dërgohet Libri (Kur’ani), përveç mëshirës nga Zoti yt (të është shpallë ty); andaj, kurrsesi mos iu bënë ndihmës mohuesve!
087_00	Dhe, kurrsesi – le të mos pengojnë ty (ata) prej ajeteve të Perëndisë, pasi që të janë shpallur ty! Lutju Zotit tënd eh kurrsesi mos u bënë prej idhujtarësh!
088_00	Dhe, mos adhuro – pos Perëndisë, zot tjetër! S’ka zot tjetër përveç Tij! Çdo gjë, pos Tij, është e destinuar të shkatërrohet! Për Te është gjykimi dhe tek Ai është kthimi!
