001_00	Tâ, Sín. Këto janë ajetet e Kur’anit dhe Librit të qartë,
041_00	(Sulejmani) tha: “Ndryshojani edhe fronin e saj! Do të shohim se a do ta hetojë ajo këtë, apo do të jetë nga ata që nuk dinë të orientohen!”
042_00	E, kur erdhi ajo (mbretëresha), i thanë asaj: “A i tillë është froni yt?” Ajo u përgjegj: “Gati si të ishte ai”. Dhe neve, na është dhënë dijenia para këtij rasti dhe ne kemi qenë të përulur (muslimanë)”.
043_00	Atë e pengonin (nga të adhuruarit Perëndinë) ato që adhuronte ajo, pos Perëndisë, sepse, ajo ishte nga populli mohues.
044_00	I është thënë asaj: “Hyn në pallat! Dhe, kur e pa ajo atë, mendoi se është ujë i thellë dhe përvoli fustanin për këmbë (për të hyrë në ujë).
044_01	(Sulejmani) i tha (asaj): “Me të vërtetë, ky pallat është i (shtruar) prej xhamave të lëmuara”. Ajo tha: “O Zoti im, me të vërtetë unë e kam dëmtuar veten dhe tani, bashkë me Sulejmanin i dorëzohem Perëndisë – Zotit të gjithësisë!”
045_00	Na i kemi dërguar Themudit, vëllain e tij Salihun (me urdhër): “Adhuronie Perëndinë!” E, ata, u ndanë në dy grupe, që grindeshin në mes tyre.
046_00	(Salihu) tha: “O populli im, përse e nxitoni të keqen para së mirës? Përse nuk kërkoni ju nga Perëndia faljen e mëkateve, që të mëshiroheni?”
047_00	Ata thanë: “Na po parandiejmë fatkeqësinë me ty dhe me ata që janëme ty. (Salihu) u tha: “E, mira dhe e keqja është prej Perëndisë. Në të vërtetë, ju jeni popull i vënë në sprovë.
048_00	Në qytet, kanë qenë nëntë persona që bënin ngatërresa, e nuk vënin rregull.
049_00	Ata i thanë (njëri-tjetrit): “Betohuni në Perëndinë – se ne, natën, do ta mbysim atë (Salihun) dhe familjen e tij; e pastaj, gjithsesi do t’ju themi të afërmve të tij: “Na nuk kemi prezentuar në zhdukjen e familjes së tij dhe, na – me siguri, flasim të vërtetën”.
050_00	Dhe, trillonin dredhira, por Ne i dënonim ata për këtë trillim, e ata nuk e hetonin.
051_00	Pa, shiko, çfarë ka qenë fundi i ngatërresave të tyre. Na i kemi shkatërruar ata të gjithë dhe popullin e tyre,
052_00	ja, shtëpitë e tyre të shkretëruara, për shkak të zullumit që kanë bërë. Në këtë, me të vërtetë, ka argument të madh për popullin që dinë,
053_00	e, i kemi shpëtuar ata që kanë besuar dhe të cilët ruheshin nga të këqiat.
054_00	(Dhe, e kemi dërguar) Lutin, (e kujtoje) kur ai i tha popullit të vet: “Përse bëni vepra imorale, madje në sytë e njëri-tjetrit (haptazi)?
055_00	Vallë, a mos ju u çaseni me epsh meshkujve, në vend të femrave? Ju, me të vërtetë, jeni popull injorant”.
056_00	E, përgjegjja e vetme e popullit të Lutit, thoshte: “Dëboni familjen e Lutit prej qytetit tuaj; ata, me të vërtetë, janë njerz të pastër (këtë e thonin në formë ironie)!”
057_00	Dhe Ne, i kemi shpëtuar ata dhe familjen e tij (të gjithë), pos gruas së tij, që ajo të mbetet me të dënuarit.
058_00	Dhe, mbi ta lëshuam shi – rrebesh (prej gurësh), e sa i tmerrshëm që është ai shi, për ata që janë paralajmëruar.
059_00	Thuaj (o Muhammed): “Qoftë falenderimi për Perëndinë dhe shpëtimi për robërit e Tij, të cilët i ka zgjedhur Ai. A më i mirë është Perëndia, ao ata (idhuj) që i kanë adhuruar?
060_00	A është më i mirë Ai që ka krijuar qiejt dhe Tokën – dhe ua ka lëshuar ujin nga qielli, me të cilin kemi krijuar kopshtet e mrekullueshme. Ju, nuk keni mundur të krijoni drunjtë e tyre.
060_01	Vallë, a krahas Perëndisë, ekzistuaka zot tjetër? Jo, por ai popull është shmangur nga e vërteta.
061_00	Apo është më i mirë, Ai që e ka bërë Tokën të qetë, ka bërë në të lumenj, ka ngritu në të male dhe ka bërë në mes deteve pendë (pengesë, për të mos u përzierë)?
061_01	Vallë, a krahas Perëndisë, ekzistuaka zot tjetër?! Jo, por shumica e tyre nuk dinë.
062_00	Apo është (më i mirë) Ai, i cili i vie në ndihmë nevojtarit të ngushtë kur i lutet Atij dhe i cili ua largon të keqen dhe u bënë juve pronar (brez pas brezi) në Tokë? Vallë, a krahas Perëndisë – ekzistuaka zot tjetër?! Sa pak që po këshilloheni ju! –
063_00	Apo është (më i mirë) Ai, i cili ua rrëfen në errësirat e tokës dhe të detit dhe (Ai), i cili dërgon erërat si sihariq par mëshirës së Tij (shiut)? Vallë, a krahas Perëndisë – të ekzistojë zot tjetër?!
063_01	Por, Perëndia është shumë lart nga ata, që i konsiderojnë shok Atij! –
064_00	Apo është (më i mirë) Ai, i cili ka krijuar të gjitha prej asgjëje, i cili, pastaj, përsëri do ta kthejë atë (pas vdekjes) – dhe (Ai) që ju furnizon nga qielli (me të reshura) dhe toka (me të lashta)? Vallë, a ekziston krahas Perëndisë, zot tjetër? Thuaj (o Muhammed): “Sillni argumentet tuaja, nëse thuani të vërtetën!”
065_00	Thuaj: “Askush, pos Perëndisë, as në qiell as në Tokë nuk di sekretet, ata nuk dinë se kur do të ringjallen.
066_00	Vallë, a dinë ndopak ata – për jetën tjetër?! Asgjë! – ata dyshojnë në të, ata janë të verbër ndaj saj.
067_00	Dhe, mohuesit thonë: “Vallë, a mos do të ringjallmi ne dhe etërit tanë, pasi të jemi bërë dhé?
068_00	Me të vërtetë, neve dhe etërve tanë na është premtuar kjo qysh më parë, këto, me të vërtetë, nuk janë tjetër, pos trillime të popujve të lashtë”.
069_00	Thuaj: “Udhëtoni nëpër botë – e shikoni si ka qenë fundi i mëkatarëve!”
070_00	Dhe, mos u pikëllo ti për shkak të tyre, dhe mos u ngushto ti – për pështjellimet e tyre.
071_00	Dhe, ata thonë: “Kur do të realizohet ky premtim (diftona) nëse thuani të vërtetën?”
072_00	Thuaj: “Do t’ju arrijë, së shpejti diçka nga ajo që po e nxitoni!
073_00	Dhe, me të vërtetë, Zoti yt është bamirës i madh i njerëzve, por shumica e tyre nuk janë falenderues.
074_00	Dhe, me të vërtetë, Zoti yt – di atë që fshehin zemrat e tyre dhe atë që e shfaqin haptazi.
075_00	S’ka asgjë të padukshme në qiell dhe në Tokë; e që të mos jetë e shënuar në Librin e qartë (Levhi Mahfudh).
076_00	Me të vërtetë, ky Kur’an, u tregon bijve të Israelit – shumë nga konfliktet e tyre.
077_00	dhe, me të vërtetë, ai (Kur’ani) është udhërrëfyes dhe mëshirë për besimtarët.
078_00	Me të vërtetë, Zoti yt i gjykon ata me drejtësinë e Tij. Ai është i Plotëfuqishëm dhe i Gjithëdijshëm.
079_00	Andaj, ti mbështetu në Perëndinë! Me të vërtetë, ti je në të drejtën e qartë!
080_00	Me të vërtetë, ti nuk mund të bësh që të vdekurit të dëgjojnë, as nuk mund të bësh të shurdhërin që të dëgjojë, pasi që të kthejnë shpinën (prej teje),
081_00	as që mundesh t’i shmangësh të verbërit prej humbjeve të tyre; mund t’i thërrasish vetëm ata që besojnë në argumentet Tona. E ata janë muslimanë.
082_00	Dhe, kur të vie koha që të dënohen ata, Na do të bëjmë që nga Toka të del një kafshë, e cila do t’u thotë atyre se njerëzit nuk u janë bindur argumenteve Tona.
083_00	(Kujtoju ti atyre) kur Na do t’i tubojmë prej çdo populli nga një grup – nga ata që i kanë përgënjeshtruar argumentet Tona – e ata do të radhiten –
084_00	e kur të vijnë (për të dhënë llogari), Ai (Perëndia), do t’i pyesë: “A mos vallë ju i keni përgënjeshtruar argumentet e Mia, e që nuk keni pasur kurrfarë njohurie për to? Ç’keni bërë ju ashtu?!”
085_00	Dhe do t’i godet ata dënimi, meqë kanë qenë zullumqarë, e nuk do të mund të bëzejnë asnjë fjalë.
086_00	Vallë, a nuk shohin ata, që Ne e kemi bërë natën për pushim, e ditën të ndritshme (për punë). Në këtë, me të vërtetë, ka argument për popullin që beson.
087_00	(Përkujtoju ti atyre) Ditën kur do të fryhet në Sur, e që do të tmerrohet çdokush që gjendet në qiej e në Tokë, përpos atyre që Perëndia nuk do t’i frikësojë. Të gjithë do t’i vijnë Atij të përulur.
088_00	Ti i shikon malet e mendon se janë të palëvizshme, por ato lëvizin si retë. Kjo është vepër e Perëndisë, i cili e ka përsosur çdo gjë. Me të vërtetë, Ai di atë që punoni ju.
089_00	Kush punon vepër të mirë, do të ketë shpërblim të madh për të dh do të jetë i qetësuar atë Ditë nga frika.
090_00	E, kush punon vepër të keqe, fytyrat e tyre (ata) do të hudhen në zjarr. (Dhe u thuhet atyre): “Nuk jeni dënuar, përpos për atë që keni punuar!”
091_00	(Thuaju atyre o Muhammed): “Mua më është urdhëruar që të adhuroj vetëm Zotin e këtij Qyteti (Mekkes), të cilin Ai e ka bërë të shenjtë dhe Atij i përket gjithçka. Dhe, më është urdhëruar që të jam prej atyre që besojnë –
092_00	dhe ta këndoj Kur’anin vazhdimisht. E kushdo që udhëzohet në rrugë, ti thuaj: “Ai është udhëzuar për dobi të vet”, e kushdo që humbë, ti thuaj: “Unë jam vetëm paralajmërues”.
093_00	Dhe, thuaj: “Falenderimi qoftë për Perëndinë, Ai do t’ju tregojë dokumentet e Tij, e ju do t’i njihni ato!” E Zoti yt nuk është i pakujdesshëm ndaj veprave që punoni ju.
