001_00	Kâf, Hâ, Jâ, Ajín, Sád.
016_00	Dhe përmende (o Muhammed) në Libër (Kur’an), Merjemin (historinë e saj): “kur u tërhoq nga familja në një vend, në lindje,
017_00	dhe mori një perde që të skajohet nga ata; Na dërguam tek ajo engjëllin – Xhebrailin dhe ai iu paraqit asaj në formën e mashkullit të zhvilluar mirë.
018_00	Ajo i tha: “Unë kërkoj që të më mbrojë Mëshiruesi im – prej teje, nëse i druan Perëndisë.
019_00	Ai tha: “Unë jam vetëm i dërguari i Zotit tënd, që të dhurojë ty një djalë të pastër”.
020_00	(Merjemi) tha: “Si mund të kam unë djalë, kur asnjë mashkull nuk më ka prekur, e unë nuk jam e korruptuar!”
021_00	Tha (Xhebraili): “Kjo është kështu!” – ka thënë Zoti yt: “Kjo për Mua është lehtë (të krijojë njeriun pa babë). Dhe, ta bëjmë Na atë argument për njerëzit dhe mëshirë nga Ne. Dhe, kjo është punë e kryer”.
022_00	Dhe, mbeti shtatzënë, e u tërhoq me të (barrë) në një vend të largët.
023_00	E, dhembjet e lindjes, e detyruan atë që të vijë te trungu i një hurme. Tha ajo: “Ah sikur të kisha vdekur para kësaj (ngjarje) dhe të isha harruar krejtësisht”.
024_00	Dhe thërriti (zëri) nën të: “Mos u pikëllo, se ty, të ka dhuruar Zoti yt një krijesë dinjitoze.
025_00	Shkunde trungun e palmës, e do të pikin mbi ty hurmet e freshkëta,
026_00	e ha, e pi, dhe bëhu e gëzueshme! E, nëse vëren ndonjë njeri, ti thuaj: “Unë jam betuar në Mëshiruesin se do të agjërojë (përmbahem), e sot nuk do të flas me askë”.
027_00	Dhe, erdhi ajo (Merjemi) me të (fëmijën) te populli i vet, duke e bartë. Ata, i thanë (asaj): “O Merjeme, ke bërë diçka të turpshme!
028_00	O motra e Harunit! Babai yt nuk ka qenë njeri i keq, as nëna jote nuk ka qenë grua e korruptuar”.
029_00	Ajo e tregoi atë (Isain, me gjeste pa bërë zë). E, ata thanë: “Si t’i flasim ne fëmijës që është në djep?”
030_00	Ai (Isai) tha: “Unë jam rob i Perëndisë. Ai, më ka dhënë Librin dhe më ka bërë pejgamber.
031_00	Më ka bërë të lavdëruar kudo që të jem, dhe më ka rekomandaur që të bëj namaz dhe të jap zeqatin gjatë tërë jetës.
032_00	(Më ka bërë) bamirës ndaj nënës sime e nuk më ka bërë të ashpër dhe të padëgjueshëm.
033_00	Dhe, le të jetë selami (shpëtimi) mbi mua në ditën që kam lindur dhe në ditën që do të vdes dhe në ditën që do të ringjallem!
034_00	Ky është Isai, i biri i Merjemës. Tregimi i tij është fjalë e vërtetë, për të cilën ata dyshojnë.
035_00	Për Perëndinë nuk është (as afër mendjes) të marrurit dikë për fëmijë. Qoftë lavdëruar Ai! Kur të vendos diçka, Ai vetëm thotë për të: “Bëhu!” Dhe, ajo bëhet.
036_00	(Isai tha): “Dhe me të vërtetë, Perëndia, është Zoti im dhe Zoti juaj; andaj adhuronie vetëm Ate! Kjo është udha e vërtetë.
037_00	Ithtarët u përçanë në mes vete (në këtë). Mjer për ata që mohojnë, në të prezentuarit në Ditën e madhe!
038_00	E, çka do të dëgjojnë e do të shohin atë Ditë kur do të vijnë te Ne! Por, sot, zullumqarët janë në humbje të madhe!
039_00	(O Muhammed), paralajmëroji ata me Ditën e pikëllimit, kur merr fund dhënia e llogarive, e ata janë të pakujdesshëm dhe nuk besojnë.
040_00	Na, me të vërtetë, e trashëgojmë Tokën dhe gjithçka gjendet në të dhe ata do të kthehen te Ne.
041_00	(O Muhammed!) përmende në Libër (Kur’an) Ibrahimin! Ai ka qenë (njeri) i sinqertë, (dhe) pejgamber,
042_00	kur i ka thënë babës së tij: “O babai im, përse adhuron atë, që, as nuk dëgjon, as nuk sheh, e as që mund të të sjellë ndonjë dobi?
043_00	O babai im, mua më ka ardhur një pjesë e dijenisë, që të ka munguar ty; andaj më paso mua dhe unë do të udhëzoj në rrugën e drejtë.
044_00	O babai im, mos adhuro djallin; me të vërtetë, djalli është i padëgjueshëm nda Mëshiruesit (Perëndisë).
045_00	O babai im, unë druaj se mos do të të vijë dënimi nga Mëshiruesi, e do të bëhesh shok i djallit”.
046_00	(Baba i Ibrahimit) tha: “O Ibrahim, ti vallë po shmangesh nga zotrat e mi? nëse nuk frenohesh nga kjo, unë do të të mbys ty me gurë; andaj, largohu prej meje për një kohë të gjatë!”
047_00	(Ibrahimi) tha: “Shpëtimi qoftë mbi ty! Do t’i lutem Zotit tim që të falë ty. Me të vërtetë, Ai (Perëndia), është i mirë ndaj meje (pa masë).
048_00	Dhe, u lë juve dhe të gjithë ata që adhurojnë (tjerë zotra), pos Perëndisë; e, unë do të adhuroj Zotin tim. Shpresoj se nuk do të jetë i papranueshëm të adhuruarit e Zotit tim”.
049_00	E, kur i la ata që adhuronin (zotra tjerë), përpos Perëndisë, Na ia dhuruam atij Is’hakun dhe Jakubin, dhe që të dy i bëmë pejgamberë.
050_00	Dhe, Na, ata i dhuruam nga mëshira Jonë dhe bëmë që ata, me të vërtetë, të lavdërohen me mirësi.
051_00	Dhe përmende (o Muhammed!) në Libër (Kur’an), Musain! Me të vërtetë, ai ishte i sinqertë dhe ishte pejgamber, lajmëtar.
052_00	Dhe, Na, e kemi thirrë atë (Musain), në anën e djathtë të Turit, dhe e kemi afruar atë në bisedë (pa ndërmjetësim),
053_00	dhe, i dhuruam atij, nga mëshira Jonë, që vëllai i tij – Haruni të jetë pejgamber.
054_00	Dhe, përmende (o Muhammed!) në Libër (Kur’an), Ismailin! Me të vërtetë, ai plotësonte premtimin e dhënë dhe ka qenë pejgamber, lajmëtar,
055_00	dhe urdhëronte popullin e vet, që të bëjë namaz dhe të japë zeqatin dhe arriti kënaqësinë te Zoti i vet.
056_00	Dhe, përmende (o Muhammed!) në Libër (Kur’an) Idrizin; ai ka qenë (njeri) shumë i sinqertë dhe lajmëtar,
057_00	dhe Ne, e kemi ngritur atë në vend të lartë.
058_00	Këta janë ata pejgamberë, të cilëve Perëndia u dhuroi dhuntitë, nga pasardhësit e Ademit, dhe të atyre që Ne i patëm ngarkuar në anije me Nuhun e nga pasardhësit e Ibrahimit dhe të Israelit, që Ne i patëm udhëzuar dhe i patëm zgjedhur.
058_01	Kur t’ju lexohen ajetet e Perëndisë – Mëshiruesit, bien (me fytyrë për tokë), duke bërë sexhde dhe qajnë.
059_00	E, pos tyre, erdhën breznitë (e shëmtuara), të cilat braktisën namazin dhe ndoqën epshet e veta. Ata do të hasin në të keqe (në humnerën e skëterrës),
060_00	përpos atyre që pendohen, që besojnë dhe bëjnë (vepër) të mirë! Këta do të hyjnë në xhennet dhe nuk do t’u bëhet kurrfarë dëmi,
061_00	(do të hyjnë) në xhennetin e Adnit, të cilin Mëshiruesi ua ka premtuar robërve të vet, edhe pse ende nuk e kanë parë atë (xhennetin). Me të vërtetë, premtimi i Tij është i sigurtë, -
062_00	Ata, në xhennet nuk do të dëgjojnë llomotitje. Do të dëgjojnë vetëm fjalët përshëndetëse. Ata, aty do të furnizohen, në mëngjes dhe në mbrëmje.
063_00	Ky është xhenneti që ia japim në trashëgim robërve Tanë, të cilët janë ruajtur nga mohimi.
064_00	(Xhebraili tha): “Dhe, ne, zbresim (në Tokë), vetëm me urdhërin e Zotin tënd. Atij i përket ajo që është para nesh, dhe që është pas nesh, dhe ajo që është në mes këtyre dyjave. Dhe Zoti yt nuk është i harrueshëm”.
065_00	Ai është Zoti i qiejve dhe i Tokës dhe asaj që është në mes tyre, prandaj, vetëm Ate adhuroje dhe bëhu i durueshëm në vazhdimin e lutjes së Atij. A di ti për Te ndonjë emnak!?
066_00	Njeriu thotë: “Vallë, pasi të vdes, a do të kthehem përsëri në jetë?”
067_00	A nuk e kujton njeriu se Na e kemi krijuar atë qysh më parë, e që nuk ka qenë asgjë!
068_00	Pasha Zotin tënd, Na do t’i tubojmë ata dhe djajtë, pastaj do t’i sjellim ata që të gjunjëzohen rreth xhehennemit!
069_00	Pastaj, do të ndajmë prej çdo grupi atë, që ka qenë më mendjemadh ndaj Perëndisë Mëshirues.
070_00	E, Ne pastaj më së miri e dimë se kush prej tyre ka përparësi që të fërgohet në te (xhehennem).
071_00	Dhe, nuk ka asnjë prej jush e që të mos arrijë tek ai (zjarri). Kjo është dispozitë e caktuar nga Zoti yt.
072_00	Pastaj do t’i shpëtojmë ata që kanë qenë besimtarë, e do t’i lëmë zullumqarët në të – të gjunjëzuar.
073_00	E, kur t’ju lexohen ajetet Tona të qarta, ata që nuk kanë besuar u thonë atyre që kanë besuar: “Cili grup është më i mirë për nga jeta dhe më i mirë për nga shoqëria?”
074_00	E sa e sa brezni, Ne i kemi shkatërruar para tyre, që kanë qenë më të begatshëm dhe më të pashëm!
075_00	Thuaj (o Muhammed!): “Kush është i humbur, le t’ia zgjasë (jetën) sa të dojë Mëshiruesi”.
075_01	E, kur të shohin ata atë që u është premtuar atyre: ose dënimin ose Ditën e Kijametit, ata do të dinë se kush është më keq për nga pozita he më i dobët për nga shoqëria.
076_00	Perëndia ua shton udhëzimin atyre që janë në rrugën e drejtë, e veprat e mira – të qëndrueshme, janë më mirë të shpërblyera te Zoti yt dhe kanë përfundim më të mirë.
077_00	Vallë, a e ke parë atë që nuk beson në argumentet Tona dhe thotë: “Mua do të më jepet (Ditën e Kijametit) edhe pasuria edhe fëmijët”.
078_00	A, mos ai ka mësuar për atë që nuk është parë, ose ka marrë obligim te Perëndia – Mëshirues.
079_00	Kurrsesi! Na do ta shënojmë atë që flet, dhe Ne do t’ia vazhdojmë dënimin,
080_00	Na do t’ia marrim atij ate për të cilën flet (mallin dhe fëmijët), e ai ke Ne do të vijë vetëm.
081_00	Dhe, ata merrnin zotëra, përpos Perëndisë, për t’ju bërë atyre ndihmës.
082_00	Kurrsesi; do të mohojnë ata (zotërat e tyre) se mohuesit i kanë adhuruar ata dhe do t’u bëhen atyre kundërshtarë.
083_00	Vallë, a nuk ke parë ti, se Ne, kemi dërguar te mohuesit djajtë, që t’i nxisin ata në të keqe të madhe?
084_00	Andaj, mos kërko shkatërrimin e tyre të shpejtë, se, me të vërtetë, Ne ua numrojmë ditët e tyre të caktuara.
085_00	(Kujtoju atyre) kur do t’i tubojmë besimtarët te Mëshiruesi, si të ftuar,
086_00	e i shtyejmë mëkatarët në skëterrë (si grixhën e shtazëve kah burimi),
087_00	e askush – për askë, nuk do të mund të angazhohet, përveç atij që ka marrë premtim nga Mëshiruesi!
088_00	Ata thonë: “Bamirësi i Gjithmbarshëm ka marrë (për Veti) fëmijë”.
089_00	Ju, me të vërtetë, flisni diçka të shëmtuar!
090_00	Gati janë copëtuar qiejt (prej kësaj thënie), dhe Toka të shëmbet, dhe të rrëzohen malet – duke u thërrmuar,
091_00	meqë ata i përshkruajnë fëmijë Bamirësit të Gjithmbarshëm.
092_00	E, për Bamirësin e Gjithmbarshëm, është e pakuptueshme, që të ketë fëmijë.
093_00	S’ka krijesë që gjendet në qiej dhe në Tokë, e që të mos vijë si rob te Bamirësi i Gjithmbarshëm.
094_00	Ai, i ka përfshirë të gjithë ata dhe i ka numëruar të gjithë saktësisht.
095_00	Dhe, çdonjëri prej tyre, në Ditën e Kijametit, do të vijë fill i vetëm tek Ai.
096_00	Me të vërtetë, ata që besojnë dhe bëjnë vepra të mira, Bamirësi i Gjithmbarshëm do t’i pajisë me dashuri (që t’i dojë Perëndia dhe që t’i duan njerëzit).
097_00	Na, me të vërtetë, e kemi bërë atë (Kur’anin) të lehtë, në gjuhën tënde, që me të, t’i sihariqosh besimtarët, dhe me të, t’i paralajmërosh njerëzit, armiqët e përbetuar.
098_00	Sa e sa brezni kemi shkatërruar Ne para tyre. Vallë, a po sheh ndonjë prej tyre, dhe a po dëgjon përshpëritjen më të vogël të tyre?
