001_00	Hâ, Mîm.
056_00	dhe i bëmë shembull dhe mësim për popujt e mëvonshëm.
057_00	Kur u muar si shembull djali i Merjemit (Isai), populli yt (Kurejshit) menjëherë nisën të bërtasin (prej gëzimit)
058_00	dhe, thanë: “A janë më të mirë idhujt tanë, apo ai (Isai)? Ata, ta paraqesin këtë shembull vetëm për shkak se duan të polemizojnë, sepse, ata janë popull grindavec.
059_00	Ai (Isai), është vetëm rob (njeri), të cilin Ne e kemi dhuruar (me profetni), dhe e kemi bërë shembull për bijtë e Israelit,
060_00	e, sikur të duam, Ne në vend të jush do të bënim engjëj, që do t’ju trashëgonin në Tokë.
061_00	Me të vërtetë, ai (Isai), është shenjë e Çastit (Ditës së Kijametit), ardhjen e të cilit mos e dyshoni kurrsesi. Ndiqeni (rrugën time); kjo është rruga e drejtë!
062_00	Le të mos ju shmangë kurrsesi djalli! Ai, me të vërtetë, është armiku juaj i hapët.
063_00	E, kur Isai i solli argumentet e qarta, tha: “Ju kam sjellë dijeni të mrekullueshme dhe do të ju shpjegoj disa gjëra, me të cilat nuk po pajtoheni. Andaj, druajuni Perëndisë dhe bëhuni të dëgjueshëm ndaj meje!
064_00	Me të vërtetë, Perëndia është Zoti im dhe Zoti juaj, andaj adhuronie Atë. Kjo është rrugë e drejtë!”
065_00	Grupet e ndryshme u grindën në mes tyre. Mjerë ata që kanë bërë zullum – nga dënimi i Ditës së dhembshme!
066_00	A mos ata presin që t’u vie (diçka tjetër), pos Çastit, papritms, e ata të mos e ndjejnë atë.
067_00	Atë Ditë – miqtë do të bëhen armiq të njëri-tjetrit, pos atyre që i janë druajtur Perëndisë:
068_00	“O robërit e Mi, për ju sot nuk ka frikë, as që do të pikëlloheni;
069_00	ata që kanë besuar dokumentet Tona dhe kanë qenë të dëgjueshëm ndaj Nesh –
070_00	(u thuhet): hyni në xhennet të gëzuar, ju dhe bashkëshortet tuaja”.
071_00	Ata do të jenë të shërbyer me pjata dhe gota prej ari; aty (në xhennet) do të ketë çka t’u dojë shpirti, dhe me çka kënaqet syri, në te do të qëndrojnë përgjithmonë.
072_00	Ja, ky është xhenneti që u është dhënë në trashëgim për atë që keni punuar,
073_00	në të, do të keni pemë të shumëllojshme, disa prej të cilave do t’i hani”.
074_00	E, mohuesit, me të vërtetë, do të qëndrojnë përherë në dënimin e xhehennemit,
075_00	ai (dënimi) nuk do t’u lehtësohet atyre kurrfarë shprese për shpëtim nuk do të kenë (duke u vënë në heshtje).
076_00	Ne, atyre nuk u kemi bërë padrejtësi, por ata kanë qenë të padrejtë (dhe zullumqarë të vetvetes).
077_00	Ata (atëherë) do të thërrasin: “O Malik (engjëlli i mbikëqyrjes së zjarrit)! Le të na gjykojë Zoti yt me shkatërrim (vdekje)!” E ai do të thotë: “Ju, do të qëndroni përherë aty!”
078_00	Na ju kemi sjellë të Vërtetën (Shpalljen), por shumica prej jush, e urren të Vërtetën.
079_00	Nëse ata (mohuesit) kurdisin kurtha, edhe Ne do t’u vëmë kurtha (në dënim).
080_00	Vallë, a mendojnë ata se Ne nuk dëgjojmë çka flasin ata tinëzisht dhe haptas në mes tyre? Përkundrazi, Na dëgjojmë, e të dërguarit Tanë (engjëjt), që janë pranë tyre, shënojnë.
081_00	Thuaju (atyre o Muhammed): “Sikur Bamirësi i Gjithmbarshëm të kishte fëmijë, unë i pari do ta adhuroja!
082_00	Qoftë i lartësuar Zoti i qiejve dhe i Tokës, Zoti i Arshit! Nga ajo çka i përshkruajnë Atij!
083_00	Lëni ata le të zhyten (në të këqia) dhe le të argëtohen derisa të takohen në ditën që u është premtuar (Dita e Kijametit).
084_00	Dhe Ai është Zot në qiell dhe Zot në Tokë. Ai është i Gjithëdijshëm dhe i Plotëdijshëm!
085_00	Dhe, qoftë i lartësuar Ai, të cilit i përket pushteti i qiejve dhe i Tokës dhe çka gjendet mes tyre. Vetëm tek Ai është dijania mbi Çastin dhe tek Ai do të ktheheni!
086_00	Ata që adhurojnë tjetër (zot), pos Perëndisë, - nuk do të mund të angazhohen për kënd, munden vetëm ata që e pranojën të Vërtetën, dhe ata këtë e dinë (që është vetëm një Zot).
087_00	E, nëse i pyet ata kush i ka krijuar, ata me siguri do të thonë: “Perëndia!” E, nga po ia mbajnë atëherë?
088_00	E, fjala e tij (Muhammedit), është: “O Zoti im, me të vërtetë, ky është popull që nuk beson.
089_00	(O Muhammed!) largohu prej tyre dhe thuaju: “Selam!” (Lamtumirë), e ata së shpejti do ta dinë (gjendjen)!
