001_00	Elif Lám Mim.
018_00	Perëndia dëshmon se Ai është vetëm një, - por edhe engjëjt, e të diturit (e dëshmojnë këtë), duke qenë të qëndrueshëm në të vërtetën. S’ka zot tjetër përveç Tij. Ai është i Plotëfuqishëm dhe i Gjithëdijshëm.
019_00	Feja e vërtetë te Perëndia është vetëm Islamizmi.
019_01	Ata, të cilëve u është dhënë Libri, ranë në konflikt – pasi u erdhi njohuria dhe këtë, për shkak të egoizmit në mes tyre; e kushdo që i mohon argumentet e Perëndisë, Perëndia është i shpejt në llogari.
020_00	Nëse ata polemizojnë me ty (o Muhammed!) thuaju: “Unë i përulem vetëm perëndisë, si dhe ata që më pasojnë mua”. Dhe thuaju atyre që u është dhënë Libri si dhe analfabetëve (arabëve).
020_01	“A e keni pranuar Islamizmin?” E, nëse e pranojnë Islamizmin, atëherë kanë gjetur udhën e drejtë. E, nëse refuzojnë, detyra jote është vetëm që t’i thërrashës. Se Perëndia i sheh mirë (ç’punojnë) robërit e vet.
021_00	Ata që nuk besojnë në dokumentet e Perëndisë dhe vrasin pejgamberët pa farë të drejte, e
021_01	vrasin edhe ata njerëz të cilët kërkojnë të veprohet me drejtësi, sihariqoi (paralajmëroi) me dënim të dhëmbshëm.
022_00	Këta janë ata, veprat e të cilëve kanë falimentuar në këtë botë dhe në tjetrën. Ata nuk do të kenë kurrfarë ndihmëtarë.
023_00	A nuk po i sheh ata, të cilëve u është dhënë një pjesë e Librit (Teurati)? Ata thirrën në Librin e Zotit për gjykim në mes tyre, e pastaj, një pjesë e tyre kthyen shpinën, duke qenë refuzues.
024_00	Ky mospranim është se ata thanë: “Neve nuk na prek zjarri i skëterrës, përveç nja disa ditë”. Trillimet e tyre i kanë mashtruar ata – në besimin e vet.
025_00	E çka do të ndodhë me ata, kur do t’i tubojmë në Ditën, për të cilën s’ka dyshim? Dhe çdokujt i jepet shpërblimi i veprave, e ata nuk do të dëmtohen.
026_00	Thuaj (o Muhammed!): “O Zoti im, Zotërues i gjithë pushtetit! Ti i jep pushtetin kujt të duash, dhe Ti ia heq dorësh pushtetin kujt të duash; Ti e lartëson kënd të duash dhe e poshtëron kënd të duash.
026_01	E mira është në dorën Tënde! Ti me të vërtetë, për çdo gjë je i Plotëfuqishëm”.
027_00	Ti bënë që nata të hyjë në ditë, dhe bënë që dita të hyjë në natë (duke u zgjatur herë njëra – hera tjetra). Ti e nxjerr të gjallin prej të vdekurit.
027_01	Dhe Ti nxjerr të vdekurin prej të gjallit. Ti furnizon kënd të duash pa llogari (pa faturë).
028_00	Besimtarët mos t’i marrin për miq qafirat (mohuesit), duke i lënë anash besimtarët. Ata që bëjnë këtë, nuk kanë çka të shpresojnë te Perëndia.
028_01	Ketë mund ta bëni vetëm për t’u ruajtur nga ata – Perëndia u bënë vërejtje për pezmin e Tij. Dhe, të gjithë do të ktheheni te Perëndia.
029_00	Thuaju: “Nëse ju fshehni atë që keni në zemrat tuaja, ose e shpallni haptazi, Perëndia e di atë, dhe Ai di çdo gjë që ka në qiej dhe në Tokë. Se Perëndia për çdo gjë është i Plotëfuqishëm.
030_00	(Kujtoje) Ditën, kur çdokush gjenë atë që ka punuar mirë dhe atë që ka punuar keq; e dëshiron ai që në mes tij dhe të keqes së tij, të ketë distancë të madhe.
030_01	Perëndia u bënë vërejtje për pezmin e Tij, se Perëndia është fort i dhëmbshëm për adhuruesit e Tij.
031_00	Thuaju (o Muhammed!): “Nëse ju e doni Perëndinë, eni pas meje, atëherë Perëndia ju do juve dhe ju falë mëkatet tuaja! Se Perëndia falë dhe është mëshirues.
032_00	Thuaju (o Muhammed!): “Përuluni Perëndisë dhe Profetit!” E, në qoftë se abstenojnë, Perëndia, me të vërtetë, nuk i don mohuesit.
033_00	Perëndia e zgjodhi Ademin, Nuhun dhe familjen e Ibrahimit dhe familjen e Imranit në mesin e popujve;
034_00	pasardhës njëri pas tjetrit. Perëndia është dëgjues dhe di çdo gjë.
035_00	(Kujtoje atë kohë, o Muhammed!) Kur gruaja e Imranit tha: “Zoti im, unë Ty të kam përgjëruar (qëllimuar) atë që është në barkun tim, që të shërbejë vetëm Ty; andaj, pranoje prej meje! Se Ti, me të vërtetë, je dëgjues dhe di çdo gjë.
036_00	E kur ajo e lindi (fëmijën) tha: Zoti im!
036_01	Unë lindra femër, - Perëndia di më mirë çka lindi ajo, - “Mashkulli nuk është si femra, unë e emërova atë Merjem dhe ta kam lënë atë dhe brezin e saj nën mbrojtjen Tënde nga djalli i mallkuar”.
037_00	Dhe Zoti i saj e pranoi mirë atë (gocën), e bëri që të rritet bukru dhe e la nën kujdestarinë e Zekerias. Sa herë që hynte Zekeriai në dhomën e saj (në xhami), gjente pranë saj ushqim.
037_01	(Atëherë ai¬¬) e pyeste: “O Merjem! Nga të vie ky furnizim ty?” Ajo përgjigjej: “Ky është nga Perëndia, se Perëndia e furnizon kënd të dojë, pa llogari (faturë)”.
038_00	Atëherë Zekerijaja iu lut Zotit të vet e tha: “Zoti im! Dhuromë mua nga ana Jote pasardhës të mirë! Se Ti, me të vërtetë, je dëgjues i lutjes!”
039_00	E thirrën atë engjëjt, duke u lutur ai në këmbë, në xhami (e i thanë): “Perëndia po të sihariqon ty me Jahjanë, (i cili do të
039_01	jetë) vërtetues i fjalës së Perëndisë, (dhe do të bëhet) udhëheqës (i popullit), ruajtës i vetvetes dhe (do të jetë) nga pejgamberët, pasardhës i atyre të mirëve”.
040_00	(Zekerijaja) tha: “Zoti im! Qysh do të ketë djal për mua, kur mua më ka kapluar pleqëria, e gruaja ime është sterile (shterpë)? (Ai) i tha: “Kështu!” Perëndia punon çka të dojë.
041_00	(Zekerijaja) tha: “O Zot! (bënma një shenj!” (Zoti) i tha: “Shenj për ty është se tri ditë nuk do të (mund të) flasish me njerëzit, veçse me gjeste. Por, Zotin tënd përmende shumë dhe adhuroje Atë në mbrëmje dhe në mëngjes”.
042_00	(kujtoje) kur engjëjt i thanë (Merjemes): “O Merjeme! Perëndia të ka zgjedhë ty, të ka pastruar ty, dhe të ka privilegjuar ty mbi të gjitha femrat e botës.
043_00	O Merjeme! Bindju Zotit tënd! Bëni sexhde dhe ruqu bashkë me ata që përulen!”
044_00	Këto janë lajme të panjohura (sekrete). Na po t’i shpallim ty (o Muhammed). Ti nuk ishe i pranishëm kur ata hedhën short, se kush nga ata do të marrë Merjemën në mbrojtje. Dhe ti nuk ishe i pranishëm kur ata grindeshin.
045_00	(Kujtoje) atë kohë kur engjëjt i thanë: “O Merjeme!
045_01	Perëndia të sihariqon ty me një djalë: emrin do ta ketë Mesih – Isa i biri i Merjemit, do të bëhet i famshëm në këtë botë dhe në tjetrën dhe do të jetë njëri nga të afërmit e Perëndisë.
046_00	Dhe do të bisedojë (Isai) me njerëzit edhe duke qenë i vogël në djep edhe duke qenë si njeri i rritur, dhe do të jetë nga më të mirët.
047_00	Merjemi tha: “Zoti im! Qysh do të kem unë fëmijë, kur nuk më ka prekur asnjë mashkull?” – Ja kështu – tha: “Perëndia krijon ç’të dojë Ai. Kur vendos diçka, Ai vetëm thotë për të: ‘Bëhu!’ – dhe ajo bëhet”.
048_00	Dhe do t’ia mësojë atij shkrimin dhe diturinë, Teuratin dhe Ungjillin,
049_00	e (pastaj) do ta dërgojë atë Pejgamber te bijtë e Israelit (të cilëve do t’u thotë): “U solla një mrekulli nga Zoti juaj”.
049_01	Do të bëjë diçka prej balte në formë shpendi, dhe do të fryejë në te, e me urdhërin e Perëndisë do të bëhet shpend.
049_02	Dhe do të shërojë të verbëtit dhe abrashët dhe me emrin e Perëndisë do t’i ngjallë të vdekurit.
049_03	Ju informojë juve çka hani dhe çka ruani në shtëpitë tuaja. Në këto, nëse jeni besimtarë të vërtetë, me të vërtetë, ka argumente për ju.
050_00	Dhe (u kam ardhur juve) për t’ju vërtetuar Teuratin që është para meje dhe t’ua lejoj disa gjëra që i keni pasur të ndaluara.
050_01	Dhe ju kam sjellur argumentin nga Zoti juaj. Druajuni Perëndisë dhe bindmuni!
051_00	Me të vërtetë Perëndia është im Zot dhe Zot i juaji, andaj adhuronie Atë. Kjo është rruga e drejtë!
052_00	Kur Isai e hetoi mohimin e tyre, tha: “Kush janë ndihmëtarët e mi në rrugën e Perëndisë?” Nxënësit (e tij)
052_01	u përgjegjën: “Na jemi ndihmëtarët e fesë së Perëndisë, na besojmë Perëndinë e ti Isa bëhu dëshmitar se na jemi muslimanë.
053_00	Zoti ynë! Na besojmë ate që na ke shpallur dhe pasojmë Pejgamberin (Isanë). Regjistrona neve bashkë me dëshmitarët!”
054_00	Dhe ata (mohuesit) përgatitën dinakëri (dredhi të keqe); por Perëndia ua ktheu më me dinakëri. Se Perëndia është më i përsosuri në dinakëri (për qëllime të mira).
055_00	(Kujtoje, o Muhammed!) kur Perëndia tha: “O Isa!
055_01	Unë do të vdes ty (pasi ta plotësoj jetën e caktuar, hebrenjt nuk do të mbysin ty) dhe do të marrë pranë vetes dhe do të shpëtojë nga ata që nuk besojnë, dhe do t’i bëj ata që të ndjekin ty, për mbi ata që të mohojnë, deri në Ditën e Kijametit. Pastaj, do të ktheheni tek Unë, e do të gjykoj në mes jush për çështjet që jeni grindur.
056_00	Ata që nuk besojnë, do t’i dënoj me dënim të ashpër në këtë botë dhe në tjetrën. Dhe nuk do të kenë askend që t’u ndihmojë.
057_00	E ata që besojnë dhe punojnë vepra të mira, Zoti u plotëson shpërblimin. Se, Perëndia, nuk i don zullumqarët.
058_00	Këto që po t’i tregojmë ty (o Muhammed!) janë ajete dhe këshilla të larta (Kur’ani).
059_00	Rasti i Isait te Perëndia, në të vërtetë, është si rasti i Ademit, që e krijoi prej baltës e pastaj tha: “Bëhu!” – dhe ai u bë.
060_00	E vërteta është nga Zoti yt, andaj, mos u bën nga ata që dyshojnë!
061_00	Kushdo që të bëjë polemikë me ty për çështje të Isait, pasi të ka ardhur njohuria, thuaj: “Ejani, (e) po i thërrasim bijt tonë dhe
061_01	bijt tuaj, gratë tona dhe gratë tuaja, dhe po e thërrasim na dhe ju veten, pastaj, të lutemi, që mallkimi i Perëndisë t’i goditë gënjeshtarët!”
062_00	Padyshim, të gjitha këto janë lajme të vërteta. S’ka zot tjetër përveç Perëndisë. Se Perëndia është i Gjithëpushtetshëm dhe i Gjithëdijshëm.
063_00	Në qoftë se ata ia kthejnë shpinën të drejtës, Perëndia i njeh mirë ngatërrestarët.
064_00	Thuaj: “O ithtarët e Librit, kujtonie tregimin, që është për ne dhe për ju: “T’i shërbejmë vetëm Perëndisë që të mos i bëjmë shoq asgjë Atij,
064_01	që njëri-tjetrin mos ta konsiderojmë për zot, në vend të Perëndisë!” E nëse ata kthehen nga kjo e vërtetë, thuaju atyre: “Bëhuni dëshmitarë se ne jemi muslimanë!”
065_00	O ithtarët e Librit! Pse polemizoni për Ibrahimin, kur Teurati dhe Inxhilli janë dërguar pas tij? A nuk po mbusheni mend?
066_00	Ju po polemizoni për atë, për të cilin dini diçka; por, pse polemizoni për atë, për të cilën s’dini asgjë? Perëndia e di hollësisht, e ju nuk dini asgjë për këtë çështje.
067_00	Ibrahimi nuk ka qenë as hebrej as i krishterë, por ka qenë besimtarë i vërtetë. E, nuk ka qenë as nga idhujtarët.
068_00	S’ka dyshim, se, më të afërmit e Ibrahimit, janë ata njerëz, që kanë pasuar atë dhe ky Pejgamber (Muhammedi) me besimtarët (e tij). Perëndia është mbrojtës i besimtarëvet.
069_00	Një grup ithtarësh të Librit dëshirojnë që ju të devijoni (nga rruga e drejtë). Por, ata, e devijojnë vet – veten, e këtë nuk e vërejnë.
070_00	O ithtarë të Librit! Përse i mohoni versetet e Perëndisë, e ju jeni dëshmitarë (që ato janë versetet e Perëndisë)?
071_00	O ithtarët e Librit! Përse e pështjelloni të vërtetën me të pavërtetën, dhe përse e fsheni të vërtetën, kur ju e dini (që ajo është e vërtetë)?
072_00	Një grup ithtarësh të Librit kanë thënë: “Besonie në mëngjes atë që u ka zbritur muslimanëve (Kur’anin), por në mbrëmje mohonie atë; meqë, ndoshta edhe ata (muslimanët) do të shmangën”.
073_00	(Mohuesit thanë): “Dhe besoniu vetëm atyre që ndjekin fënë tuaj!” Thuaj (O Muhammed!): “Udhëzimi i Perëndisë shtë udhëzimi i vërtetë”. (Vallë), a t’u jepën ndokujt argumentet siç u janë dhënë juve, apo (vallë) ata t’i marrin (dëshmitë e veta) si arsyetim kundër jush te Zoti juaj?
073_01	Thuaj (O Muhammed!): “Dhuntia është në dorë të Perëndisë. Ai ia jep atë kujt të dojë; - se, Perëndia është mirëbërës i madh dhe i Gjithëdijshëm;
074_00	Mëshirën e Vet, Ai ia dhuron kujt të dojë. Se, Perëndia është pronar i mirësisë së pakufishme.
075_00	Ka edhe aso ithtarësh të Librit, që sikur t’u besosh një barrë të tërë ari, do t’jua kthejnë, por ka edhe të atillë që nëse ua jep në besim, qoftë edhe një dinar, nuk ta kthen, përveç nëse nuk i ndahesh (me ankesë e kërkesë).
075_01	Kjo është kështu, ngase ata thonë: “Neve nuk na obligon asgjë ndaj analfabetëve”.
075_02	Ata flasin gënjeshtra për Perëndinë, e ata e dinë (se vetë janë gënjeshtarë).
076_00	Jo! (nuk është ashtu si thanë hebrenjt), por kushdo që plotëson premtimin e tij dhe ruhet nga të këqijat, Perëndia, me të vërtetë, i don ata që i drojnë Atij.
077_00	Me të vërtetë, ata që obligimin dhe betimin e tyre ndaj Perëndisë, e shkëmbejnë me vlerë të vogël – për ta nuk do të ketë kurrfarë të mire në jetën e ardhshme, dhe Perëndia
077_01	nuk ka për t’ju folur atyre, as nuk do t’i shikojë (me sy të mirë në Ditën e Kijametit), dhe as nuk do t’i pastrojë prej mëkatësh, e për ta ka dënim të rëndë.
078_00	Me të vërtetë, një grup nga ithtarët e Librit përdredhin gjuhët e tyre (duke lexuar Librin), që të mendoni ju se ai farë leximi është prej Librit, e ajo në të vërtetë nuk është prej Librit.
078_01	Dhe ata thonë: “Kjo që lexojmë është nga Perëndia”; por, ajo nuk është nga Perëndia. Ata flasin gënjeshtra për Perëndinë, e ata e dinë këtë.
079_00	Nuk mund të mendohet, që njeriut, të cilit, Perëndia ia ka dhënë Librin dhe dijeninë e gjërë dhe profetninë, e ai t’u thotë njerëzve: “Bëhuni adhuruesit e mi, e jo të Perëndisë”.
079_01	Por, ai (profeti) thotë: “Bëhuni të Zotit, meqë keni mësuar Librin dhe po mësoni!”
080_00	Ai njeri nuk do t’ju urdhërojë juve që engjëjt dhe profetnit t’i konsideroni për zotra. Vallë! Si mund t’ju urdhërojë ai juve të bëheni mohues, pasi jeni bërë muslimanë.
081_00	Kujtoje (o Muhammed!) atë kohë kur Perëndia mori obligimin nga pejgamberët (e ju tha): “Unë ua solla Librin dhe dijeninë e kur t’ju vijë juve Pejgamberi, vërtetues i asaj që keni ju, padyshim do t’i besoni dhe do ta ndihmoni atë”.
081_01	(Perëndia) u tha atyre: “A e pranuat këtë dhe a morët obligimin Tim?” Ata u përgjegjën: “E pranuam”. (Perëndia) u tha: “Bëhuni dëshmitarë (i njëri-tjetrit), se edhe Unë bashkë me ju jam dëshmitar”.
082_00	E ata, që i shmangen obligimit të dhënë, me të vërtetë, janë të këqinj.
083_00	A mos kërkojnë ata tjetër, përveç fesë së Perëndisë? E, Atij i përulën të gjitha ato që gjenden në qiej dhe në Tokë, me dashje ose padashje, dhe tek Ai do të kthehen të gjithë.
084_00	Thuaj (o Muhammed!): “Na besojmë Perëndinë dhe atë që na është shpallur neve, dhe çka i është shpallur Ibrahimit, Ismailit, Is’hakut, Jakubit, pasardhësve të tyre dhe në atë që u është dhënë Musait, Isait dhe pejgamberëve nga Zoti i tyre; - na nuk bëjmë kurrfarë dallimi në mes tyre.
084_01	Na vetëm Atij (Perëndisë) i përulemi (na jemi muslimanë)”.
085_00	E ai që kërkon tjetër fe përveç islamizmit, nuk do t’i pranohet, dhe ai në botën tjetër do të jetë i humbur.
086_00	Perëndia nuk i udhëzon në rrugë të drejtë njerëzit që janë bërë mohues, pasi që patën besuar dhe dëshmuan se Pejgamberi është i vërtetë, e ju prezentuan atyre edhe dokumentet e qarta. Populli që është këmbëngulës në të keqe, Perëndia nuk e udhëzon në rrugë të drejtë.
087_00	Mallkimi i Perëndisë, i engjëjve dhe i mbarë njerëzve, është shpërblimi i tyre.
088_00	Ata përherë do të jenë nën peshën e (dënimit e të mallkimit), vuajtjet nuk do t’u lehtësohen, e as nuk do t’u jepet afat (pushim);
089_00	përveç atyre që pas kësaj pendohen dhe përmirësohen, se Perëndia është mëshirues i madh dhe falë.
090_00	Ata që pasi patën besuar, mohuan, - e pastj edhe shtuan mohimin e tyre, pendimi kurrsesi nuk do t’u pranohet; e ata, me të vërtetë, kanë humbur rrugën.
091_00	Ata që janë mohues dhe vdesin mohues, me të vërtetë nuk do t’u pranohet as shpërblesa e tyre, sikurse ajo të ishte sa e tërë toka e mbuluar me ar.
091_01	Ata i pret dënim i rëndë dhe për ta nuk ka ndihmëtarë.
092_00	Kurrsesi nuk do të arrini mirësinë e lartë, përderisa të mos ndani një pjesë nga ajo që e doni. Por çkado që të ndani, Perëndia e di ate.
093_00	Të gjitha ushqimet kanë qenë të lejuara për bijt e Israilit, përveç asaj që Israili ia ndaloi vetes para shpalljes së Teuratit.
093_01	Thuaj (o Muhammed!): “Silleni Teuratin dhe lexonie nëse flisni të vërtetën!”
094_00	E kushdo që shpif gënjeshtra ndaj Perëndisë, pas këtyre (argumenteve) ai ka kaluar nga e drejta në të shtrembëten.
095_00	Thuaj (o Muhammed!): “Perëndia thotë të vërtetën; dhe ndiqeni fenë e Ibrahimit, e cila ka qenë e pastër. Ai s’ka qenë pagan”.
096_00	Me të vërtetë, Faltorja e parë e ngritur për njerëz, është ajo në Bekke (Mekke), e uruar dhe udhërrëfyese e popujve.
097_00	Në të ka shenja (simbole të dukshme, siç është) vendi i Ibrahimit (mekami Ibrahim). Kush hyn në të është i sigurt.
097_01	Perëndia i ka obliguar njerëzit, ata që kanë mundësi t’i përballojnë rrugës, ta vizitojnë (haxhxhillëk) këtë Faltore. E kush i mohon urdhërat e Perëndisë (e dëmton veten). Se, me të vërtetë, Perëndia nuk ka nevojë për asgjë.
098_00	Thuaj (o Muhammed!): “O ithtarët e Librit! – pse mohoni argumentet e Perëndisë, e Perëndia është dëshmitarë i çdo gjëje që punoni”.
099_00	Thuaj: “O ithtarët e Librit! Pse atë që beson e prapësoni nga rruga e Perëndisë, e ju e dini që feja islame është fe e vërtetë. Se Perëndia nuk është i pakujdesshëm ndaj veprave që punoni ju.
100_00	O besimtarë! Nëse u përuleni një grupi prej atyre që u është dhënë Libri, ata, pasi keni pranuar fenë e vërtetë, juve u kthejnë në mohues.
101_00	E si mund të mohoni kur juve u lexohen versetet e Perëndisë dhe në mesin tuaj është Pejgamberi i Tij?! E kush mbahet fortë me Perëndinë (Kur’anin), ai është i drejtuar në udhë të mbarë.
102_00	O besimtarë! – druajuni Perëndisë ashtu si duhet t’i druani dhe vdisni vetëm duke qenë muslimanë!
103_00	Dhe të gjithë ju mbahuni fortë për litarin e Perëndisë (Kur’anin) dhe mos u shpartalloni.
103_01	Dhe kujtonie dhuntinë e Perëndisë (që u është dhënë) juve; kur ishit në armiqësi, e u japtoi zemrat tuaja e në saje të dhuntisë së Tij u bëtë vëllezër.
103_02	Dhe ju ishit buzë greminës e skëterrës, ndërsa Ai ju shpëtoi juve nga ajo. Kështu Perëndia ua shpjegon versetet e veta për t’u drjtuar ju në udhën e drejtë.
104_00	Le të bëhet një grup prej jush që do të thërrasë në të mirë, e që të urdhërojë vepra të bukura e të ndalojë prej të shëmtuaravet! E, ata njerëz do të jenë të shpëtuar.
105_00	Mos u bëni si ata që pasi që u erdhën argumentet e dukshme, u shpërndanë dhe u distancuan në mendime. E, për këta do të ketë dënim të madh, -
106_00	atë ditë (të Kijametit) kur disa fytyra do të zbardhen, e disa do të nxihen. Atyre që u nxihet fytyra u thuhet: “Pasi ishit besimtarë, përse u bëtë mohues? Prandaj, shijonie dënimin për shkak se nuk besuat!”
107_00	Kurse ato fytyra që zbardhen e shkëlqejnë do të jenë në mëshirën e Perëndisë, ku do të qëndrojnë përgjithmonë;
108_00	Këto janë versetet e Perëndisë, që t’i lëxojmë ty me të drejtë dhe se Perëndia nuk i dëshiron askujt padrejtësi.
109_00	Të Perëndisë janë të gjitha ato që gjenden në qiej dhe në Tokë, dhe te Perëndia do të përfundojnë të gjitha punët.
110_00	Ju (besnikët e Kur’anit) jeni njerëzit më të mirë nga i gjithë populli që janë paraqitur ndonjëherë: dhe besoni Perëndinë, kërkoni që të punohen vepra të mira, e të shmangen nga të këqijat.
110_01	E, sikur ithtarët e Librit të besonin do të ishte më mirë për ta, ka prej tyre besimtarë të vërtetë, por shumica e tyre janë të këqinj.
111_00	Ata, përveç shqetësimit, nuk mund t’ju dëmtojnë juve. Nëse ju luftojnë juve, ata do të kthejnë thembrat dhe pastaj nuk do të ndihmohen.
112_00	Kudo që gjenden ata janë të kapluar nga poshtërsia, përpos atyre që janë mbështetur në vargonin e Perëndisë e të njerëzve; ata do të meritojnë pezmin e Perëndisë
112_01	dhe do t’i kaplojë mjerimi, për shkak se mohuan dokumentet e Perëndisë, e pa kurrfarë të drejte, i mbytnin Pejgamberët; nuk u përulën dhe kaluan kufirin në të këqija.
113_00	Ata nuk janë të njëjtë. Disa nga ithtarët e Librit janë në të drejtën: në orët e natës lexojnë versetet e Librit të Perëndisë dhe bëjnë namaz.
114_00	Ata besojnë Perëndinë dhe Ditën e Kijametit dhe insistojnë për vepra të mira, e të pengohen nga ato të shëmtuarat dhe prijnë kah e mira. Këta janë ndër të mirët.
115_00	Çfarëdo të mire që punoni nuk do t’ju mohohet (për atë do të shpërbleheni). Perëndia i di mirë ata që ruhen nga të këqijat.
116_00	Ata që nuk besojnë, nuk do t’i mbrojë nga dënimi i Perëndisë as pasuria e tyre e as fëmijët e tyre, asgjë. Ata jën banorët e skëterrës ku do të qëndrojnë përgjithmonë.
117_00	Ate, që japin ata (mohuesit) në jetën e kësaj bote, i përngjanë frymës së akulltë, e cila goditë të lashtat e ndonjë populli që i kanë bërë dëm vetes (me mëkate), e ua zhdukë të lashtat.
117_01	Perëndia nuk u ka bërë dëm atyre, por ata i kanë bërë dëm vetes.
118_00	O besimtarë! Mos zgjidhni për miq në mesin e të tjerëve, të cilët nuk ngurrojnë që t’ju bëjnë dëm.
118_01	Ata dëshirojnë dëmin tuaj. Urrejtja është shfaqur prej gojës së tyre, e atë që e fshehin në zemrën e tyre, është edhe më e madhe. Na, ju shpjeguam versetet (ajetet), nëse mendoni ju.
119_00	Ju jeni asi njerëzish që i doni ata, por ata nuk ju duan juve! Dhe ju u besoni të gjitha libravet.
119_01	Kur ata ju takojnë juve, thonë: “Na besojmë”, e kur të mbeten vetëm, nga pezmatimi ndaj jush, ata i kafshojnë majet e gishtave me dhëmbë. Thuaju: “Vdisni me pezmatimin tuaj. Se Perëndia me të vërtetë di ç’keni në zemrat tuaja”.
120_00	Nëse juve u vjen ndonjë e mirë, at ai brengosë ajo, e nëse juve u gjen ndonjë e keqe, ata gëzohen për atë.
120_01	Nëse ju duroni dhe ruheni nga mëkatet, dhelpëritë e tyre nuk mund të ju dëmtojnë asgjë. Se Perëndia ngërthen (në dijeninë e Tij) çdo gjë që punojnë ata.
121_00	Kujtoje (o Muhammed!) atë mëngjes kur dole nga shtëpia jote për t’u caktuar besimtarëvet pozitat luftarake, - Perëndia dëgjon dhe di çdo gjë, -
122_00	kur dy grupe nga ju menduan të kthehen prej frikës, Perëndia është ndihmëtar i tyre (e nuk ka nevojë të kthehen). Andaj besimtarët le të mbështeten vetëm te Perëndia!
123_00	Perëndia u ka ndihmuar në Bedër, duke qenë ju të pafuqishëm – andaj druajuni Perëndisë, për të qenë falenderues, -
124_00	kujtoje (o Muhammed!) atë kohë kur u thoshe besimtarëvet: “A nuk ju mjafton ndihma e Zotit tuaj me tremijë engjëj të dërguar?”
125_00	Po! Po! (Ju mjaftojnë). Nëse ata ju sulmojnë, bëhuni të durueshëm dhe të dëgjueshëm dhe Zoti juaj menjëherë do t’ju dërgojë në ndihmë pesë mijë engjëj, të shënuar me shenj të dalluar.
