001_00	Mereka bertanya kepadamu (wahai Muhammad) tentang harta rampasan perang.
031_00	Dan apabila dibacakan kepada mereka ayat-ayat Kami, mereka berkata: "Sesungguhnya kami telah mendengarnya. Kalau kami mahu, nescaya kami dapat mengatakan (kata-kata) seperti (Al-Quran) ini. (Al-Quran) ini tidak lain hanyalah cerita cerita dongeng orang-orang dahulu kala".
032_00	Dan (ingatlah) ketika mereka (kaum musyrik Makkah) berkata: "Wahai tuhan kami! Jika betul (Al-Quran) itu ialah yang benar dari sisimu, maka hujanilah kami dengan batu dari langit, atau datangkanlah kepada kami azab seksa yang tidak terperi sakitnya".
033_00	Dan Allah tidak sekali-kali akan menyeksa mereka, sedang engkau (wahai Muhammad) ada di antara mereka; dan Allah tidak akan menyeksa mereka sedang mereka beristighfar (meminta ampun).
034_00	Dan mengapa mereka tidak patut diseksa oleh Allah, sedang mereka menyekat (orang-orang Islam) dari masjid Al-Haraam, padahal mereka bukanlah orang-orang yang berhak menguasainya (kerana mereka kafir musyrik)?
034_01	Sebenarnya orang-orang yang berhak menguasainya hanyalah orang-orang yang bertaqwa, tetapi kebanyakan mereka tidak mengetahui.
035_00	Dan tiadalah sembahyang mereka di sisi Baitullah itu melainkan bersiul-siul dan bertepuk tangan. Oleh itu rasalah kamu (wahai orang kafir) akan azab seksa dengan sebab kekufuran kamu.
036_00	Sesungguhnya orang-orang kafir yang selalu membelanjakan harta mereka untuk menghalangi (manusia) dari jalan Allah, maka mereka tetap membelanjakannya kemudian (harta yang dibelanjakan) itu menyebabkan penyesalan kepada mereka, tambahan pula mereka dikalahkan.
036_01	Dan (ingatlah) orang-orang kafir itu (akhirnya) dihimpunkan dalam neraka jahanam.
037_00	Kerana Allah hendak membezakan yang jahat (golongan yang ingkar) dari yang baik (golongan yang beriman), dan menjadikan (golongan) yang jahat itu setengahnya bersatu dengan setengahnya yang lain, lalu ditimbunkannya kesemuanya, serta dimasukkannya ke dalam neraka Jahanam. Mereka itulah orang-orang yang rugi.
038_00	Katakanlah (wahai Muhammad) kepada orang-orang yang kafir itu, jika mereka berhenti (dari kekufurannya), nescaya akan diampunkan dosa mereka yang telah lalu, dan jika mereka kembali lagi (ingkar maka Kami akan menyeksa mereka), kerana sesungguhnya telah berlakulah kebinasaan orang-orang (yang kufur ingkar) dahulu kala.
039_00	Dan perangilah mereka sehingga tidak ada lagi fitnah, dan (sehingga) menjadilah ugama itu seluruhnya (bebas) bagi Allah semata-mata. Kemudian jika mereka berhenti (dari kekufurannya dan gangguannya, nescaya mereka diberikan balasan yang baik) kerana sesungguhnya Allah Maha Melihat akan apa yang mereka kerjakan.
040_00	Dan jika mereka berpaling (enggan beriman dan tidak berhenti daripada menceroboh) maka ketahuilah bahawasanya Allah Pelindung kamu; Dia lah sebaik-baik Pelindung dan sebaik-baik Penolong (yang menyelamatkan dan menjayakan kamu).
041_00	Dan ketahuilah, bahawa apa sahaja yang kamu dapati sebagai harta rampasan perang, maka sesungguhnya satu perlimanya (dibahagikan) untuk (jalan) Allah, dan untuk RasulNya, dan untuk kerabat (Rasulullah), dan anak-anak yatim, dan orang-orang miskin, serta ibnus-sabil (orang musafir yang keputusan), jika kamu beriman kepada Allah dan kepada apa yang telah diturunkan oleh Kami (Allah) kepada hamba Kami (Muhammad) pada "Hari Al-Furqaan", iaitu hari bertemunya dua angkatan tentera (Islam dan kafir, di medan perang Badar).
041_01	Dan (ingatlah) Allah Maha Kuasa atas tiap-tiap sesuatu.
042_00	(Iaitu) ketika kamu berada di tepi lembah yang dekat (ke Madinah) dan mereka (pihak musuh) berada di tepi lembah yang jauh (dari Madinah), sedang Kafilah (pembawa dagangan musuh) berada di tempat yang rendah dari tempat kamu (di tepi laut).
042_01	Dan kalaulah kamu berjanji (dengan mereka mengenai peperangan itu) nescaya kamu akan berselisih pada menentukan harinya.
042_02	Akan tetapi (pertemuan angkatan kamu dengan angkatan mereka yang tidak disangka-sangka itu) ialah supaya Allah melakukan suatu perkara (kemenangan Islam) yang telah ditetapkan berlakunya, iaitu supaya orang (kafir musyrik) yang binasa itu, binasa dengan keterangan (yang membuktikan kesalahannya), dan supaya orang (Islam) yang hidup itu, hidup dengan keterangan (yang membuktikan kebenarannya); kerana sesungguhnya Allah Maha Mendengar, lagi Maha Mengetahui.
043_00	(Ingatlah wahai Muhammad) ketika Allah memperlihatkan mereka kepadamu dalam mimpimu sedikit bilangannya; dan kalaulah Ia perlihatkan mereka kepadamu ramai bilangannya, tentulah kamu akan merasa gerun dan tentulah kamu akan berbantah-bantahan dalam urusan (perang) itu.
043_01	Akan tetapi Allah telah menyelamatkan kamu. Sesungguhnya Allah Maha Mengetahui akan segala (isi hati) yang ada di dalam dada.
044_00	Dan (ingatlah) ketika Kami memperlihatkan mereka kepada kamu (wahai umat Islam) semasa kamu bertemu dengan mereka: sedikit bilangannya pada pandangan mata kamu, dan kamu pula diperlihatkanNya: sedikit bilangannya pada pandangan mata mereka; kerana Allah hendak melakukan sesuatu perkara (kemenangan Islam) yang telah ditetapkan berlakunya.
044_01	Dan (ingatlah) kepada Allah jualah dikembalikan segala urusan.
045_00	Wahai orang-orang yang beriman! Apabila kamu bertemu dengan sesuatu pasukan (musuh) maka hendaklah kamu tetap teguh menghadapinya, dan sebutlah serta ingatilah Allah (dengan doa) banyak-banyak, supaya kamu berjaya (mencapai kemenangan).
046_00	Dan taatlah kamu kepada Allah dan RasulNya, dan janganlah kamu berbantah-bantahan; kalau tidak nescaya kamu menjadi lemah semangat dan hilang kekuatan kamu, dan sabarlah (menghadapi segala kesukaran dengan cekal hati); sesungguhnya Allah beserta orang-orang yang sabar.
047_00	Dan janganlah kamu menjadi seperti orang-orang yang keluar dari negerinya dengan berlagak sombong dan menunjuk-nunjuk (kekuatan mereka) kepada orang ramai (kerana hendak meminta dipuji), serta mereka pula menghalang manusia dari jalan Allah dan (ingatlah) Allah Maha Meliputi pengetahuanNya akan apa yang mereka kerjakan.
048_00	Dan (ingatlah) ketika Syaitan memperhiaskan kepada mereka perbuatan mereka (yang salah itu, untuk dipandang elok dan diteruskan), serta menghasut mereka dengan berkata: "Pada hari ini tidak ada sesiapa pun dari
048_01	umat manusia yang dapat mengalahkan kamu, dan sesungguhnya aku adalah pelindung dan penolong kamu". Maka apabila kedua-dua puak (angkatan tentera Islam dan kafir musyrik) masing-masing kelihatan (berhadapan), Syaitan itu berundur
048_02	ke belakang sambil berkata: "Aku berlepas diri dari kamu, kerana aku dapat melihat apa yang kamu tidak dapat melihatnya; sesungguhnya aku takut kepada Allah, dan Allah sangat berat azab seksaNya".
049_00	(Ingatlah) ketika orang-orang munafik dan orang-orang yang ada penyakit (syak) dalam hatinya berkata: "Orang-orang (Islam) itu telah diperdayakan oleh ugama mereka (sehingga mereka berani menentang kami yang lebih besar bilangannya)". Dan (yang sebenarnya) sesiapa yang bertawakal kepada Allah (dengan sepenuh-penuh yakin, maka Allah akan menolongnya untuk mengalahkan musuh yang lebih besar bilangannya), kerana Allah Maha Kuasa, lagi Maha Bijaksana.
050_00	Dan (amatlah ngerinya) kalau engkau melihat (wahai orang yang memandang), ketika malaikat mengambil nyawa orang-orang kafir dengan memukul muka dan belakang mereka (sambil berkata): "Rasalah kamu azab seksa neraka yang membakar".
051_00	(Azab seksa) yang demikian itu ialah disebabkan apa yang telah dilakukan oleh tangan kamu sendiri, kerana sesungguhnya Allah tidak sekali-kali berlaku zalim kepada hamba-hambaNya.
052_00	(Keadaan orang-orang kafir itu) samalah seperti keadaan Firaun dan kaumnya serta orang-orang yang terdahulu dari mereka. Mereka kufur ingkar akan ayat-ayat Allah, lalu Allah menyeksa mereka dengan sebab dosa-dosa mereka. Sesungguhnya Allah Maha Kuat, lagi Maha berat seksaNya.
053_00	(Balasan) yang demikian itu, ialah kerana sesungguhnya Allah tidak akan mengubah sesuatu nikmat yang telah dikurniakanNya kepada sesuatu kaum sehingga mereka mengubah apa yang ada pada diri mereka sendiri. Dan (ingatlah) sesungguhnya Allah Maha mendengar, lagi Maha Mengetahui.
054_00	(Keadaan mereka) samalah seperti keadaan Firaun dan kaumnya serta orang-orang yang terdahulu dari mereka.
054_01	Mereka mendustakan ayat-ayat Tuhan mereka, lalu Kami binasakan mereka dengan sebab dosa-dosa mereka, dan Kami tenggelamkan Firaun serta pengikut-pengikutnya (di laut), kerana kesemuanya adalah orang-orang yang zalim.
055_00	Sesungguhnya sejahat-jahat (makhluk) yang melata di sisi (hukum dan ketetapan) Allah ialah orang-orang yang kafir (yang degil dengan kekufurannya). Sebab itu mereka tidak (mahu) beriman.
056_00	(Iaitu) orang-orang yang engkau telah mengikat perjanjian setia dengan mereka, kemudian mereka mencabuli perjanjian setianya pada tiap-tiap kali, sedang mereka tidak mahu memelihara dirinya (dari keaiban mencabuli perjanjian itu).
057_00	Oleh itu, jika engkau menemui mereka dalam peperangan maka hancurkanlah mereka (supaya dengan itu) orang-orang yang di belakang mereka (gerun gentar); mudah-mudahan orang-orang itu pula beringat (insaf).
058_00	Dan jika engkau mengetahui adanya perbuatan khianat dari sesuatu kaum (yang mengikat perjanjian setia denganmu) maka campakkanlah (perjanjian itu) kepada mereka dengan cara terus terang dan adil. Sesungguhnya Allah tidak suka kepada orang-orang yang khianat.
059_00	Dan janganlah orang-orang yang kafir itu menyangka (bahawa) mereka telah terlepas (dari kekuasaan dan balasan Kami); sesungguhnya mereka tidak akan dapat melemahkan (kekuasaan Kami).
060_00	Dan sediakanlah untuk menentang mereka (musuh yang menceroboh) segala jenis kekuatan yang dapat kamu sediakan dan dari pasukan-pasukan berkuda yang lengkap sedia, untuk menggerunkan dengan persediaan itu musuh Allah dan musuh kamu serta musuh-musuh yang lain dari mereka yang kamu tidak mengetahuinya; sedang Allah mengetahuinya.
060_01	Dan apa sahaja yang kamu belanjakan pada jalan Allah akan disempurnakan balasannya kepada kamu, dan kamu tidak akan dianiaya.
061_00	Dan jika mereka (pihak musuh) cenderung kepada perdamaian, maka engkau juga hendaklah cenderung kepadanya serta bertawakalah kepada Allah. Sesungguhnya Ia Maha Mendengar, lagi Maha Mengetahui.
062_00	Dan jika mereka bertujuan hendak menipumu, maka sesungguhnya cukuplah Allah (menjaga dan memberikan perlindungan) kepadamu. Dia lah yang menguatkanmu dengan pertolonganNya dan dengan (sokongan) orang-orang yang beriman.
063_00	Dan (Dia lah) yang menyatu-padukan di antara hati mereka (yang beriman itu). Kalaulah engkau belanjakan segala (harta benda) yang ada di bumi, nescaya engkau tidak dapat juga menyatu-padukan di antara hati mereka, akan tetapi Allah telah menyatu-padukan di antara (hati) mereka. Sesungguhnya Ia Maha Kuasa, lagi Maha Bijaksana.
064_00	Wahai Nabi, cukuplah Allah menjadi Penolongmu, dan juga pengikut-pengikutmu dari orang-orang yang beriman.
065_00	Wahai Nabi, peransangkanlah orang-orang yang beriman itu untuk berperang.
065_01	Jika ada di antara kamu dua puluh yang sabar, nescaya mereka dapat menewaskan dua ratus orang (dari pihak musuh yang kafir itu); dan jika ada di antara kamu seratus orang, nescaya mereka dapat menewaskan seribu orang dari golongan yang kafir, disebabkan mereka (yang kafir itu) orang-orang yang tidak mengerti.
066_00	Sekarang Allah telah meringankan daripada kamu (apa yang telah diwajibkan dahulu) kerana Ia mengetahui bahawa pada kamu ada kelemahan; oleh itu jika ada di antara kamu seratus orang yang sabar, nescaya mereka akan dapat menewaskan dua ratus orang; dan jika ada di antara kamu seribu orang, nescaya mereka dapat menewaskan dua ribu orang dengan izin Allah.
066_01	Dan (ingatlah) Allah beserta orang-orang yang sabar.
067_00	Tidaklah patut bagi seseorang Nabi mempunyai orang-orang tawanan sebelum ia dapat membunuh sebanyak-banyaknya di muka bumi. Kamu menghendaki harta benda dunia (yang tidak kekal), sedang Allah menghendaki (untuk kamu pahala) akhirat. Dan (ingatlah), Allah Maha Kuasa, lagi Maha Bijaksana.
068_00	Kalaulah tidak (kerana) adanya ketetapan dari Allah yang telah terdahulu, tentulah kamu ditimpa azab seksa yang besar disebabkan (penebus diri) yang kamu ambil (dari orang-orang tawanan) itu.
069_00	Maka makanlah dari apa yang kamu telah dapat (dalam peperangan) itu, sebagai benda yang halal lagi baik, serta bertaqwalah kepada Allah; sesungguhnya Allah Maha Pengampun, lagi Maha Mengasihani.
070_00	Wahai Nabi, katakanlah kepada orang-orang tawanan yang ada dalam tangan kamu: "Jika Allah mengetahui ada kebaikan (iman) dalam hati kamu, nescaya Ia akan memberi kepada kamu
070_01	(balasan) yang lebih baik daripada (harta benda penebus diri) yang telah diambil dari kamu, dan Ia akan mengampunkan dosa kamu; kerana Allah Maha Pengampun, lagi maha Mengasihani.
071_00	Dan jika mereka (orang-orang tawanan itu) bertujuan hendak melakukan khianat kepadamu, maka sesungguhnya mereka telahpun melakukan khianat kepada Allah (dengan kekufuran mereka) sebelum itu, lalu Allah menjadikan (engkau) mengalahkan dan menundukkan mereka; kerana Allah Maha Mengetahui, lagi Maha Bijaksana.
072_00	Sesungguhnya orang-orang yang beriman dan berhijrah serta berjihad dengan harta benda dan jiwa mereka pada jalan Allah, dan orang-orang (Ansar) yang memberi tempat kediaman dan pertolongan (kepada orang-orang Islam yang berhijrah itu), mereka semuanya menjadi penyokong dan pembela antara satu dengan yang lain.
072_01	Dan orang-orang yang beriman yang belum berhijrah, maka kamu tidak bertanggungjawab sedikitpun untuk membela mereka sehingga mereka berhijrah.
072_02	Dan jika mereka meminta pertolongan kepada kamu dalam perkara (menentang musuh untuk membela) ugama, maka wajiblah kamu menolongnya, kecuali terhadap kaum yang ada perjanjian setia di antara kamu dengan mereka. Dan (ingatlah) Allah Maha Melihat akan apa yang kamu lakukan.
073_00	Dan orang-orang yang kafir, setengahnya menjadi penyokong dan pembela bagi setengahnya yang lain. Jika kamu (wahai umat Islam) tidak menjalankan (dasar bantu-membantu sesama sendiri yang diperintahkan oleh Allah) itu, nescaya akan berlakulah fitnah (kekacauan) di muka bumi dan kerosakan yang besar.
074_00	Dan orang-orang yang beriman dan berhijrah serta berjihad pada jalan Allah (untuk membela Islam), dan orang-orang (Ansar) yang memberi tempat kediaman dan pertolongan (kepada orang-orang Islam yang berhijrah itu), merekalah orang-orang yang beriman dengan sebenar-benarnya.
074_01	Mereka beroleh keampunan dan limpah kurnia yang mulia.
075_00	Dan orang-orang yang beriman sesudah itu, kemudian mereka berhijrah dan berjihad bersama-sama kamu, maka adalah mereka dari golongan kamu.
075_01	Dalam pada itu, orang-orang yang mempunyai pertalian kerabat, setengahnya lebih berhak atas setengahnya yang (lain) menurut (hukum) Kitab Allah; sesungguhnya Allah Maha Mengetahui akan tiap-tiap sesuatu.
