001_00	Demi (hamba-hambaKu) yang berbaris dengan berderet-deret -
141_00	(Dengan satu keadaan yang memaksa) maka dia pun turut mengundi, lalu menjadilah ia dari orang-orang yang kalah yang digelunsurkan (ke laut).
142_00	Setelah itu ia ditelan oleh ikan besar, sedang ia berhak ditempelak.
143_00	Maka kalaulah ia bukan dari orang-orang yang sentiasa mengingati Allah (dengan zikir dan tasbih),
144_00	Tentulah ia akan tinggal di dalam perut ikan itu hingga ke hari manusia dibangkitkan keluar dari kubur.
145_00	Oleh itu Kami campakkan dia keluar (dari perut ikan) ke tanah yang tandus (di tepi pantai), sedang ia berkeadaan sakit.
146_00	Dan Kami tumbuhkan (untuk melindunginya) sebatang pokok yang berdaun lebar.
147_00	Dan (Nabi Yunus yang tersebut kisahnya itu) Kami utuskan kepada (kaumnya yang seramai) seratus ribu atau lebih.
148_00	(Setelah berlaku apa yang berlaku) maka mereka pun beriman, lalu Kami biarkan mereka menikmati kesenangan hidup hingga ke suatu masa (yang ditetapkan bagi masing-masing).
149_00	(Oleh sebab ada di antara kaum musyrik Arab yang mendakwa bahawa malaikat itu anak-anak perempuan Allah) maka bertanyalah (wahai Muhammad) kepada mereka itu: Adilkah mereka membahagi untuk Tuhanmu anak-anak perempuan, dan untuk mereka anak-anak lelaki?
150_00	Atau adakah mereka hadir sendiri menyaksikan Kami mencipta malaikat-malaikat itu - perempuan?
151_00	Ketahuilah! Bahawa sesungguhnya, dengan sebab terpesongnya dari kebenaran, mereka berkata:
152_00	"Allah beranak"; sedang mereka, sesungguhnya adalah orang-orang yang berdusta!
153_00	(Patutkah kamu mendakwa bahawa Tuhan mempunyai anak, dan anak itu pula ialah anak-anak perempuan yang kamu tidak sukai?) Adakah Tuhan memilih serta mengutamakan anak-anak perempuan dari anak-anak lelaki (sedang kedua-dua jenis itu Dia lah yang menciptakannya)?
154_00	Apa sudah jadi kamu? Bagaimana kamu menetapkan hukum (yang terang-terang salahnya itu)?
155_00	Setelah ditegur, maka tidakkah kamu mahu berusaha mengingatkan (bahawa Allah mustahil bagiNya anak-pinak)?
156_00	Atau adakah kamu mempunyai sebarang bukti yang nyata (menerangkan bahawa malaikat itu anak-anak perempuan Allah)?
157_00	(Kiranya ada) maka bawalah kitab kamu (yang menerangkan demikian), jika betul kamu orang-orang yang benar.
158_00	(Mereka telah mengatakan perkara yang mustahil) serta mengadakan pertalian kerabat di antara Allah dan malaikat, padahal demi sesungguhnya malaikat itu sedia mengetahui bahawa sebenarnya orang-orang yang melakukan demikian akan dibawa hadir (ke dalam azab pada hari akhirat).
159_00	Maha Suci Allah dari apa yang mereka katakan itu!
160_00	Kecuali hamba-hamba Allah yang dibersihkan dari sebarang syirik, (maka mereka akan terselamat, dan akan mendapat sebaik-baik balasan).
161_00	Maka sebenarnya kamu (wahai orang-orang musyrik), dan apa yang kamu sembah itu.
162_00	Tidak akan dapat merosakkan perhubungan seseorang dengan Tuhannya,
163_00	kecuali orang-orang yang telah ditetapkan bahawa dia akan dibakar di dalam neraka yang menjulang-julang.
164_00	(Malaikat pula menegaskan pendirian mereka dengan berkata): "Dan tiada sesiapapun dari kalangan kami melainkan ada baginya darjat kedudukan yang tertentu (dalam menyempurnakan tugasnya);
165_00	"Dan sesungguhnya kamilah yang sentiasa berbaris (menjunjung perintah dan beribadat),
166_00	"Dan sesungguhnya kamilah yang sentiasa bertasbih (mensucikan Allah dari sebarang sifat kekurangan)!"
167_00	Dan sebenarnya mereka (yang musyrik) itu dahulu pernah berkata:
168_00	"Kalaulah ada di sisi kami Kitab Suci dari (bawaan Rasul-rasul) yang telah lalu
169_00	"Tentulah kami akan menjadi hamba-hamba Allah yang dibersihkan dari sebarang syirik!"
170_00	(Setelah Al-Quran diturunkan kepada mereka) mereka mengingkarinya; oleh itu mereka akan mengetahui kelak (akibat kekufurannya).
171_00	Dan demi sesungguhnya! Telah ada semenjak dahulu lagi, ketetapan Kami, bagi hamba-hamba Kami yang diutus menjadi Rasul -
172_00	Bahawa sesungguhnya merekalah orang-orang yang diberikan pertolongan mencapai kemenangan
173_00	Dan bahawasanya tentera Kami (pengikut-pengikut Rasul), merekalah orang-orang yang mengalahkan (golongan yang menentang kebenaran).
174_00	Oleh itu berpalinglah (wahai Muhammad) dari mereka, (jangan hiraukan celaan mereka serta bersabarlah) hingga ke suatu masa.
175_00	Dan lihat (apa yang akan menimpa) mereka; tidak lama kemudian mereka akan melihat (kemenangan yang telah Kami tetapkan untukmu).
176_00	Maka tidaklah patut mereka meminta disegerakan azab (yang telah ditetapkan oleh) Kami!
177_00	Kerana apabila azab itu turun dalam daerah dan kawasan mereka, sudah tentu buruklah hari orang-orang yang tidak mengindahkan amaran yang telah diberikan.
178_00	Dan berpalinglah (wahai Muhammad) dari mereka, (jangan hiraukan celaan mereka serta bersabarlah) hingga ke suatu masa.
179_00	Dan lihatlah (apa yang akan jadi); tidak lama kemudian, mereka pun akan melihat juga.
180_00	Akuilah kesucian Tuhanmu, - Tuhan yang mempunyai keagungan dan kekuasaan, - dari apa yang mereka katakan!
181_00	Dan (ucaplah) salam sejahtera kepada sekalian Rasul.
182_00	Serta (ingatlah bahawa) segala puji tertentu bagi Allah, Tuhan yang memelihara dan mentadbirkan seluruh alam.
