001_00	(Tuhan) Yang Maha Pemurah serta melimpah-limpah rahmatNya.
025_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
026_00	Segala yang ada di muka bumi itu akan binasa:
027_00	Dan akan kekalah Zat Tuhanmu yang mempunyai Kebesaran dan Kemuliaan:
028_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
029_00	Sekalian makhluk yang ada di langit dan di bumi sentiasa berhajat dan memohon kepadaNya. Tiap-tiap masa Ia di dalam urusan (mencipta dan mentadbirkan makhluk-makhlukNya)!
030_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan)?
031_00	Kami hanya akan menguruskan hitungan dan balasan amal kamu sahaja (pada hari kiamat,) wahai manusia dan jin!
032_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
033_00	Wahai sekalian jin dan manusia! Kalau kamu dapat menembus keluar dari kawasan-kawasan langit dan bumi (untuk melarikan diri dari kekuasaan dan balasan Kami), maka cubalah kamu menembus keluar. Kamu tidak akan menembus keluar melainkan dengan satu kekuasaan (yang mengatasi kekuasaan Kami; masakan dapat)!
034_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
035_00	Kamu (wahai golongan yang kufur ingkar dari kalangan jin dan manusia) akan ditimpakan dengan api yang menjulang-julang dan leburan tembaga cair (yang membakar); dengan yang demikian, kamu tidak akan dapat mempertahankan diri (dari azab seksa itu);
036_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
037_00	Selain itu (sungguh ngeri) ketika langit pecah-belah lalu menjadilah ia merah mawar, berkilat seperti minyak;
038_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
039_00	Pada masa itu tiada sesiapapun, sama ada manusia atau jin, yang akan ditanya tentang dosanya (kerana masing-masing dapat dikenal menurut keadaannya);
040_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
041_00	Orang-orang yang berdosa dapat dikenal dari tanda-tandanya, lalu dipegang dari atas kepala dan kakinya (serta diseret ke neraka);
042_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
043_00	(Lalu dikatakan kepada mereka): "Inilah neraka Jahannam yang selalu orang-orang yang berdosa mendustakannya ".
044_00	Mereka (terus diseksa) berulang-ulang di antara api neraka dengan air yang menggelegak yang cukup masak panasnya!
045_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
046_00	Dan orang yang takut akan keadaan dirinya di mahkamah Tuhannya (untuk dihitung amalnya), disediakan baginya dua Syurga, -
047_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
048_00	(Dua Syurga) yang ada berjenis-jenis pohon dan buah-buahan; -
049_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
050_00	Pada kedua-dua Syurga itu terdapat dua matair yang mengalir; -
051_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan.
052_00	Pada kedua Syurga itu terdapat dua macam dari tiap-tiap jenis buah-buahan (yang biasa dan yang luar biasa).
053_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
054_00	Mereka (bersenang-senang di tempat masing-masing dalam Syurga itu dengan) berbaring di atas hamparan-hamparan, yang lapisan-lapisan sebelah dalamnya - dari sutera tebal yang bersulam; dan buah-buahan kedua-dua Syurga itu dekat (kepada mereka) untuk dipetik.
055_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
056_00	Di dalam Syurga-syurga itu terdapat bidadari-bidadari yang pandangannya tertumpu (kepada mereka semata-mata), yang tidak pernah disentuh sebelum mereka oleh manusia dan jin;
057_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
058_00	Bidadari-bidadari itu (cantik berseri) seperti permata delima dan marjan.
059_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
060_00	Bukankah tidak ada balasan bagi amal yang baik - melainkan balasan yang baik juga?
061_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
062_00	Dan selain dari dua Syurga itu, dua Syurga lagi (untuk menjadi balasan bagi golongan peringkat yang kedua);
063_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
064_00	Kedua-duanya menghijau subur tanamannya;
065_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
066_00	Dalam kedua-dua Syurga itu terdapat dua matair yang terus menerus memancutkan airnya:
067_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
068_00	Pada keduanya juga terdapat buah-buahan, serta pohon-pohon kurma dan delima,
069_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
070_00	Dalam kedua-dua Syurga itu juga terdapat (teman-teman) yang baik akhlaknya, lagi cantik parasnya;
071_00	Maka yang mana satu di antara nikmat-nikmat tuhan kamu, yang kamu hendak dustakan?
072_00	Ia itu bidadari-bidadari, yang hanya tinggal tetap di tempat tinggal masing-masing;
073_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
074_00	(Bidadari-bidadari itu) tidak pernah disentuh sebelum mereka oleh manusia dan tidak juga oleh jin;
075_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
076_00	Penduduk Syurga itu (bersenang-senang di dalamnya dengan) berbaring di atas (bantal-bantal dan) cadar-cadar yang hijau warnanya serta permaidani-permaidani yang sangat indah.
077_00	Maka yang mana satu di antara nikmat-nikmat Tuhan kamu, yang kamu hendak dustakan?
078_00	Maha Sucilah nama Tuhanmu yang mempunyai Kebesaran dan Kemuliaan.
