001_00	Ḥ. M̃.
022_00	Ã'a, sun ce dai, "Lalle mũ, mun sãmi ubanninmu a kan wani addini (na al'ãda) kuma lalle mũ, a kan gurãbunsu muke mãsu nẽman shiryuwa."
023_00	Kuma kamar haka, ba Mu aika wani mai gargaɗi ba a gabãninka, a cikin wata alƙarya, fãce mani'imtanta sun ce, "Lalle mũ, mun sãmi ubanninmu a kan wani addini kuma lalle mũ, mãsu kõyi nea kan gurãbunsu."
024_00	(Sai mai gargaɗin) ya ce: "Shin, ban zo muku da abin da ya fi zama shiriya daga abin da kuka sãmi ubanninku a kansa ba?" Suka ce, "Lalle mũ dai mãsu kafirta ne game da abin da aka aiko ku da shi."
025_00	Sabõda haka Muka yi musu azãbar rãmuwa. To, ka dũbi yadda ãƙibar mãsu ƙaryatãwa take.
026_00	Kuma (ka ambaci) lõkacin da Ibrãhĩm ya ce wa ubansada mutãnensa, "Lalle nĩ mai barranta ne daga abin da kuke bautãwa."
027_00	"Fãce wannan da Ya ƙãga halittata, to, lalle Shĩ ne zai shiryar da ni."
028_00	Kuma (Ibrãhĩm) ya sanya (ita wannan magana) kalma mai wanzuwa a cikin zuriyarsa, tsammãninsu su kõmo daga ɓata.
029_00	Ã'a, Na jiyar da waɗannan mutãne dãɗi sũ da ubanninsu har gaskiya, da Manzo mai bayyanawar gaskiyar, ya zo musu.
030_00	Kuma a lõkacin da gaskiyar ta jẽ musu sai suka ce: "Wannan sihiri ne kuma mũ mãsu kãfirta da shi ne."
031_00	Kuma suka ce: "Don me ba a saukar da wannan Alƙur'ãni a kan wani mutum mai girma daga alƙaryun nan biyu ba?"
032_00	Shin, sũ ne ke raba rahamar Ubangijinka?
032_01	Mũ ne, Muka raba musu abincinsu a cikin rãyuwar dũniya, kuma Muka ɗaukaka waɗansunsu a kan waɗansu da darajõji dõmin waɗansunsu su riƙi waɗansu lẽburori kumarahamar Ubangijinka (ta Annabci), ita ce mafificiya daga abin da suke tãrãwa.
033_00	Kuma bã dõmin mutane su kasance al'umma ɗaya ba, lalle ne, dã Mun sanya wa mãsu kãfircẽ wa Mai Rahama, a gidãjensu, rufi na azurfa, kuma da matãkalai, ya zama a kanta suke tãƙãwa.
034_00	Kuma a gidãjensu, Mu sanya) ƙyamãre da gadãje, a kansu suke kishingiɗa.
035_00	Da zĩnãriya. Kuma dukan wancan abu bai zama ba, sai jin dãɗin rãyuwar dũniya nekawai' alhãli kuwa Lãhira, a wurin Ubangijinka, ta mãsu taƙawa ce.
036_00	Kuma wanda ya makanta daga barin hukuncin Mai rahama, to, zã Mu lulluɓe shi da shaiɗan, watau shĩ ne abõkinsa.
037_00	Kuma lalle su haƙĩƙa sunã kange su daga hanya, kuma sunã Zaton cẽwa sũ mãsu shiryuwa ne.
038_00	Har a lõkacin da (abõkin Shaiɗan) ya zo Mana (ya mutu) sai ya ce: (wa Shaiɗan) "Dã dai a tsakãnina da tsakãninka akwai nĩsan gabas da yamma, sabõda haka, tir da kai ga zama abõkin mutum!"
039_00	Kuma (wannan magana) bã za ta amfãne ku ba, a yau, dõmin kun yi zãlunci, lalle ku mãsu tãrẽwa ne a cikin azãba.
040_00	Shin to, kai kanã jiyar da kurma ne, ko kanã shiryar da makãho da wanda ke a cikin ɓata bayyananna?
041_00	To, kõ dai Mu tafi da kai to, lalle Mũ, mãsu yin azãbarrãmu, wa ne a kansu.
042_00	Kõ kuma Mu nũna maka abin da Muka yi musu wa'adi, to, lalle Mũ, Mãsu ĩkon tasarrufi a kansu ne.
043_00	Sabõda haka, ka yi riƙo ga abin da aka yi wahayi da shi zuwa gaie ka. Lalle ne kai, kanã a kan hanya madaidaiciyl.
044_00	Kuma shi (abin wahayin) ambato (na ɗaukaka) ne a gare ka da kuma ga mutãnenka, kuma zã a tambaye ku.
045_00	Kuma ka tambayi waɗanda Muka aika a gabãninka daga Manzannin Mu, "Shin, Mun sanya waɗansu gumãka, wasun (Allah), Mai rahama, anã bauta musu?"
046_00	Kuma lalle ne, haƙĩƙa, Mun aika Mũsã, game da ãyõyin Mu, zuwa ga Fir'auna da mashãwartansa, sai ya ce: "Lalle nĩ, Manzo ne daga Ubangijin halittu."
047_00	To, a lõkacin da ya jẽ musu da ãyõyinMu, sai gã su sunã yi musu dãriya.
048_00	Kuma ba Mu nũna musu wata ãyã ba, fãce ita ce mafi girma daga 'yar'uwarta. Kuma Muka kãma su da azãba, tsammãninsu kõ sunã kõmõwa.
049_00	Kuma suka ce: "Yã kai mai sihiri! Ka rõƙa mana Ubangijinka da albarkacin abin da yi alkawari a wurinka, lalle mũ, haƙĩƙa, mãsu shiryuwa ne."
050_00	To, a lõkacin da duk Muka kuranye musu azãba, sai gã su sunã warware alkawarinsu.
051_00	Kuma Fir'auna ya yi kira a cikin mutãnensa, ya ce: "Ya mutãnẽna! Ashe mulkin Masar bã a gare ni yake ba, kuma waɗannan kõguna sunã gudãna daga ƙarƙashĩna? Ashe, ba ku gani ba?"
052_00	"Kõ kuma bã nĩ ne mafĩfĩci ba daga wannan wanda yake shĩ wulakantacce ne kuma bã ya iya bayyanawar magana sai da ƙyar?
053_00	"To, don me, ba a jẽfa mundãye na zĩnãriya a kansaba, kõ kuma malã'iku su taho tãre da shi haɗe?"
054_00	Sai ya sassabce hankalin mutãnensa, sabõda haka suka bĩ shi. Lalle sũ, sun kasance waɗansu irin mutãne ne fãsiƙai.
055_00	Sabõda haka a lõkacin da suka husãtar da Mu, Muka yi musu azãbar rãmuwa sai Muka nutsar da su gabã ɗaya.
056_00	Sai Muka sanya su magabãta kuma abin misãli ga mutãnen ƙarshe.
057_00	Kuma a lõkacin da aka buga misãli da ¦an Maryama, sai gã mutãnenka daga gare shi (shi misalin) sunã dãriya da izgili.
058_00	Kuma suka ce: "Shin, gumãkanmu ne mafĩfĩta kõ shi (¦an Maryama)?" Ba su buga wannan misãli ba a gare ka fãce dõmin yin jidãli. Ã'a, sũ mutãne nemãsu husũma.
059_00	Shi (¦an Maryama) bai zama ba fãce wani bãwa ne, Mun yi ni'ima a gare shi, kuma Muka sanya shi abin kõyi ga Banĩ Isrã'ĩla.
060_00	Kuma dã Munã so lalle ne dã Mun sanya malã'iku, daga ci, kinku, a cikin ƙasa, sunã mayẽwa
061_00	Kuma lalle shĩ, haƙĩƙa, wani ilmi ne na Sa'a, sabõda haka, kada ku yi shakka a gare ta, kuma ku bĩ Ni. Wannan ita ce hanya madaidaiciya.
062_00	Kuma kada Shaiɗan ya taushe ku (daga hanyar). Lalle shĩ maƙiyi ne a gare ku, mai bayyanãwar ƙiyayya.
063_00	Kuma a lõkacin da Ĩsã ya jẽ da hujjõji bayyanannu, ya ce: "Lalle ne nã zo muku da hikima kuma dõmin in bayyana muku, sãshen abin da kuke sãɓã wa jũna acikinsa, sabõda haka ku bi Allah da taƙawa, kuma ku yi mini ɗã'a."
064_00	"Lalle ne, Allah Shĩ ne Ubangijina kuma Shi ne Ubangijinku sabõda haka ku bauta Masa. Wannan ita ce hanya madaidaiciya."
065_00	Sai ƙungiyõyi suka sãɓa a tsakãninsu. To, bone yã tabbata ga waɗanda suka yi zãlunci daga azãbar yini mai raɗaɗi!
066_00	Shin sunã jiran wani abu ne? sai dai Sa'a ta jẽ musu bisaga abke, alhãli kuwa ba su sani ba.
067_00	Masõya a yinin nan, sãshensu zuwa ga sãshe maƙiya ne, fãce mãsu taƙawa (sũ kam mãsu son jũna ne).
068_00	Ya bãyĩNa! Bãbu tsõro a kanku a yau, kuma bã zã ku yi baƙin ciki ba.
069_00	Waɗanda suka yi ĩmãni da ãyõyinMu, kuma suka kasance mãsu sallamawar al'amari (ga Allah).
070_00	Ku shiga Aljanna, kũ da mãtan aurenku, anã girmama ku.
071_00	Anã kẽwayãwa a kansu da akussa na zĩnãriya da kõfuna, alhãli kuwa a cikinsu akwai abin da rãyuka ke marmari kuma idãnu su ji dãɗi, kuma kũ, a cikinta (Aljannar), madawwama ne.
072_00	Kuma waccan ita ce Aljannar, wannan da aka gãdar da ku ita sabõda abin da kuka kasance kunã aikatãwa.
073_00	Kunã sãmu, a cikinta, 'yã'yan itãcen marmari mãsu yawa, daga cikinsu kuke ci.
074_00	Lalle mãsu laifi madawwama ne a cikin azãbar Jahannama.
075_00	Bã a sauƙaƙar da ita (azãbar) daga gare su, alhãli kuwa sũ, a cikinta, mãsu kãsa magana ne.
076_00	Kuma ba Mu zãlunce su ba, amma sũ ne suka kasance azzãlumai.
077_00	Kuma suka yi kira, "Ya Mãliku! Ubangijinka Ya kashe mu mana " (Mãliku) ya ce: "Lalle kũ mazauna ne."
078_00	Lalle ne, haƙĩƙa, Mun jẽ muku da gaskiya, kuma amma mafi yawanku mãsu ƙi ga gaskiyar ne.
079_00	Kõ kuma sun tukka wani al'amari ne? To, lalle Mũ, Mãsu tukkãwa ne.
080_00	Ko sunã zaton lalle Mũ, bã Mu jin asĩrinsu da gãnãwarsu? Na'am! Kuma manzannin Mu na tãre da su sunã rubũtãwa.
081_00	Ka ce: "Idan har akwai ɗã ga Mai rahama, to, nĩ ne farkon mãsu bauta (wa ɗan)."
082_00	Tsarkin Ubangijin sammai da ƙasa, Ubangijin Al'arshi, ya tabbata daga abin da suke sifantãwa.
083_00	Sabõda haka, ka ƙyãlẽ su, su kũtsa kuma su yi wãsã har su haɗu da yininsu, wanda ake yi musu wa'adi da shi.
084_00	Kuma Shĩ ne wanda ke abin bautãwa a sama kuma abin bautãwa a ƙasa, kuma, Shĩ ne Mai hikima, Masani.
085_00	Kuma albarkar wanda ke da mulkin sammai da ƙasã abin da ke a tsakãninsu tã bayyana, kuma a wurinSa ne ilmin Sa'a yake, kuma zuwa gare Shi ake mayar da ku.
086_00	Kuma waɗanda suke kira baicinSa ba su mallaki cẽto ba, fãce wanda ya yi shaida da gaskiya, kuma sũ, sunã sane (da haka).
087_00	Kuma lalle idan ka tambaye su: "Wãne ne ya halitta su?" Lalle ne zã su ce Allah ne. To, yãya ake jũyar da su?
088_00	Kuma da (ilmin) maganarSa (Annabi) "Ya Ubangijĩna! Lalle waɗannan mutãne ne waɗanda bã zã su yi ĩmãni ba."
089_00	To, sai ka kau da kai daga gare su, kuma ka ce, "salãmã." Sa'an nan kuma zã su sani.
