001_00	A. L̃. M̃.
014_00	Kuma idan sun haɗu da waɗanda suka yi ĩmãni, sukan ce: "Mun yi ĩmãni. "Kuma idan sun wõfinta zuwa ga shaiɗãnunsu, sukan ce: "Lalle ne muna tãre da ku: Mu mãsu izgili, kawai ne."
015_00	Allah Yana yin izgili gare su kuma Yana taimakon su a cikin ɓatarsu, suna ɗimuwa.
016_00	Waɗannan su ne waɗanda suka sayi ɓata da shiriya, sai fataucinsu bai yi rĩba ba, kuma ba su kasance masu shiryuwa ba.
017_00	Misãlinsu shĩ ne kamar misãlin wanda ya hũra wuta, to, a lõkacin da ta haskake abin da yake gẽfensa (na abin tsõro), Allah Ya tafi da haskensu, kuma Ya bar su a cikin duffai, bã su gani.
018_00	Kurãme, bẽbãye, makãfi, sabõda haka bã su kõmõwa.
019_00	Ko kuwa kamar girgije mai zuba daga sama, a cikinsa akwai duffai da tsãwa da walƙiya: suna sanyãwar yãtsunsu a cikin kunnuwansu dãga tsãwarwakin, dõmin tsõron mutuwa.
019_01	Kuma Allah Mai kẽwayewane gã kãfirai!
020_00	Walƙiyar tana yin kusa ta fizge gannansu, ko da yaushe ta haskakã musu, sai su yi tafiya a cikinta, kuma idan ta yi duhu a kansu, sai su yi tsaye.
020_01	Kuma dã Allah Yã so, sai Ya tafi da jinsu da gannansu. Lalle ne Allah a kan dukan kõme Mai ĩkon yi ne.
021_00	Yã ku mutãne! Ku bauta wa Ubangjinku, Wanda Ya halicce ku, kũ da waɗanda suke daga gabãninku, tsammãninku ku kãre kanku!
022_00	Wanda Ya sanya muku ƙasa shimfiɗa, kuma sama gini, kuma Ya saukar da ruwa daga sama, sa'an nan Ya fitar da abinci daga 'ya'yan itãce game da shi, sabõda ku.
022_01	Sabõda haka kada ku sanya wa Allah wasu kĩshiyõyi, alhãli kuwa kuna sane.
023_00	Kuma idan kun kasance a cikin shakka daga abin da Muka sassaukar ga Bãwanmu, to, ku zõ da sũra guda daga misalinsa (Alƙur'ãni). Kuma ku kirãwo shaidunku baicin Allah, idan kun kasance mãsu gaskiya.
024_00	To, idan ba ku aikata (kãwo sura) ba, to, bã zã ku aikataba, sabõda haka, ku ji tsoron wuta, wadda makãmashinta mutãne da duwãtsu ne, an yi tattalinta dõmin kãfurai.
025_00	Kuma ka bãyar da bishãra ga waɗanda suka yi ĩmãni.
025_01	kuma suka aikata ayyuka na ƙwarai, cẽwa lallene, suna da gidãjen Aljanna, ƙõramu na gudãna daga ƙarƙashinsu.
025_02	Ko da yaushe aka azurta su da abinci daga wasu 'ya'yan itãce daga gare su, sai su ce: "Wannan shi ne aka azurta mu da shi daga gabãnin haka," Kuma a je musu da shi yana mai kama da juna, Kuma sunã da, a cikin su, mãtan aure mãsu tsarki, kuma su, cikin su madawwama ne.
026_00	Lalle ne, Allah bã Ya jin kunyar Ya bayyana wani misãli, kõwane iri ne, sauro da abin da yake bisa gare shi.
026_01	To, amma waɗanda suka yi ĩmãni, sai su san cewa lalle shi ne gaskiya daga Ubangijin su, kuma amma waɗanda suka kãfirta, sai su ce: "Mẽne ne Allah Ya yi nufi da wannan ya zama misãli?" na ɓatar da wasu mãsu yawa da shi, kuma Yana shiryar da wasu mãsu yawada shi, kuma bã Ya ɓatarwa da shi fãce fasiƙai.
027_00	Waɗanda suke warware alƙawarin Allah daga bãyan ƙulla shi, kuma su yanke abin da Allah Ya yi umurni da shi a sãdar, kuma suna ɓarna a cikin ƙasa, waɗannan sũ ne mãsu hasãra.
028_00	Yaya kuke kãfirta da Allah, alhãli kuwa kun kasance matattu sa'an nan Ya rãyar da ku, sa'nnan kuma Ya matar da ku, sa'an nan kuma Ya rãya ku, sa'an nan zuwa gare Shi ake mayar da ku?
029_00	Shi ne Wanda Ya halitta muku abin da ke a cikin ƙasa gaba ɗaya, sa'an nan kuma Ya daidaita zuwa sama, sa'an nan Y a aikata su sammai bakwai. Kuma Shi ga dukan kõmai Masani ne.
030_00	Kuma a lõkacin da Ubangijinka Ya ce ga malã'iku: "Lalle ne, Ni Mai sanya wani halĩfa ne a cikin ƙasa," suka ce: "Ashe, zã Ka sanya a cikinta, wanda zai
030_01	yi ɓarna a cikinta, kuma mu, muna yi maka tasbihi tare da gõde maka, kuma muna tsarkakewa gareka" Ya ce: "Lalle ne, Ni Na san abin da ba ku sani ba."
031_00	Kuma Ya sanar da Ãdam sũnãye dukansu, sa'an nan kuma ya gitta su a kan malã'iku, sa'n nan Ya ce: "Ku gaya mini sũnayen waɗannan, idan kun nasance mãsu gaskiya."
032_00	Suka ce: "Tsarki ya tabbata a gare Ka! Bãbu sani a gare mu, lalle ne Kai, Kai ne Masani, Mai hikima."
033_00	Ya ce: "Yã Ãdam!
033_01	Ka gaya musu sũnãyensu." To, a lokacin da ya gaya musu sũnãyensu, (Allah) Ya ce: "Ashe, ban ce muku ba, lalle Ni, Inã sane da gaibin sammai da ƙasa, kuma (Inã sane da) abin da kuke bayyanawa da abin da kuka kasance kuna ɓõyewa?"
034_00	Kuma a lõkacin da Muka ce ga malã'iku: "Ku yi sujada ga Ãdam," Sai suka yi sujada, fãce Ibilĩsa ya ƙi, kuma ya yi girman kai, kuma ya kasance daga kãfirai.
035_00	Kuma muka ce: "Ya Ãdam! Ka zauna kai da matarka a gidan Aljanna, kuma ku ci daga gare ta, bisa wadãta, inda kuke so, kuma kada ku kusanci wannan itãciyar, har ku kasance daga azzãlumai."
036_00	Sai Shaiɗan ya talãlãɓantar da su ga barinta, sai ya fitar da su daga abin da suka kasance a cikinsa.
036_01	Kuma muka ce: "Sãshenku nã maƙiyi ga sãshe, kuma kuna da a cikin ƙasa matabbata da jin dãɗi zuwa ga wani lõkaci."
037_00	Sai Ãdam ya karɓi wasu kalmõmi daga Ubangjjinsa, sabõda haka ya karɓi tũba a kansa. Lalle ne Shi, Shĩ ne Mai karɓar tũba, Mai jin ƙai.
038_00	Muka ce: "Ku ku sauka daga gare ta gabã ɗaya. To, imma lalle shiriya ta je muku daga gare Ni, to, wanda ya bi shiriya ta to, bãbu tsõro a kansu, kuma bã su yin baƙin ciki."
039_00	"Kuma waɗanda suka kãfirta, kuma suka ƙaryata game da ãyõyinMu, waɗannan sũ ne abõkan Wuta; sũ a cikinta madawwama ne."
040_00	Yã Banĩ Isrã'Ĩla! Ku tuna ni'imãTa a kanku, kuma ku cika alƙawariNa, In cika muku da alƙawarinku. kuma Ni, ku ji tsõro Na.
041_00	Kuma, ku yi ĩmãni da abin da na saukar, mai gaskatãwa ga abin da yake tãre da ku, kuma kada ku kasance farkon kãfiri game da shi, Kuma kada ku sayi 'yan kuɗi kaɗan da ãyõyiNa. Kuma ku ji tsõrõNa, Nĩ kaɗai.
042_00	Kuma kada ku lulluɓe gaskiya da ƙarya, kuma ku ɓõye gaskiya, alhãli kuwa kuna sane.
043_00	Kuma ku tsayar da salla; kuma ku bãyar da zakka; kuma ku yi rukũ'i tãre da mãsu yin rukũ'i.
044_00	Shin, kuna umurnin mutãne da alhẽri, kuma ku manta da kanku alhãli kuwa kuna karatun littãfi? Shin, bãzã ku hankalta ba?
045_00	Kuma ku nẽmi taimako da yin haƙuri, da salla. Kuma lalle ne ita, haƙĩƙa, mai girma ce fãce fa a kan mãsu tsõron Allah.
046_00	Waɗanda suka tabbata cẽwa lalle ne su mãsu haɗuwa da Ubangijinsu, kuma lalle ne sũ a gareshi mãsu kõmãwa ne.
047_00	Yã banĩ Isrã'ĩla! Ku tuna ni'imaTa, wadda Na ni'imta a kanku, kuma lalle ne Ni, na fĩfĩta ku a kan tãlikai.
048_00	Kuma ku ji tsron wani yini, (a cikinsa) rai bã ya Wadãtar da wani rai da kõme, kuma bã a karɓar cetõ daga gareshi, kuma ba a karɓar fansa daga gare shi, kuma bã su zama ana taimakon su ba.
049_00	Kuma a lõkacin da muka tsĩrar da ku daga mutãnen Fir'auna, su na taya muku muguntar azãba, su na yayyanke ɗiyanku maza su na rãyar da mãtanku.
049_01	Kuma a cikin wancan akwai jarabawa mai girma daga Ubangijinku.
050_00	Kuma a lõkacin da Muka raba tẽku sabõda ku, sai Muka tsĩrar da ku kuma Muka nutsar da mutãnen Fir'auna, alhãli kuwa kũ kuna kallo.
051_00	Kuma a lõkacin da muka yi wa'adi ga Mũsa, dare arba'in, sa'an nan kuma kuka riƙi maraƙi daga bãyansa, alhãli kũ, kuna mãsu zãlunci (da bauta masa).
052_00	Sa'an nan kuma muka yãfe muku daga bãyan wancan, tsammãninku, kuna gõdẽwa.
053_00	Kuma a lõkacin da Muka baiwa Mũsa Littãfi da rarrabẽwa, tsammãninku, kuna shiryuwa.
054_00	Kuma a lõkacin da Mũsa ya ce ga mutãnensa: "Ya mutãnena! Lalle ne ku, kun zãlunci kanku game da riƙonku maraƙin, sai ku tũba zuwa ga Mahaliccinku, sai ku kashe kãwunanku.
054_01	Wancan ne mafii alheri a wajen mahaliccinku. Sa'an nan Ya karɓi tuba a kanku. lalle ne Shi, Shi ne Mai karɓar tũba, Mai jin ƙai.
055_00	Kuma a lõkacin da kuka ce: "Ya Musa! Bã zã mu yi ĩmãni ba dõminka, sai munga Allah bayyane," sabada haka tsãwar nan ta kamaku, alhãli kuwa kuna kallo.
056_00	Sa'an nan kuma Muka tãyar da ku daga bãyan mutuwarku, tsammãninku, kuna gõdẽwa.
057_00	Kuma Muka sanya girgije ya yi inuwa a kanku, kuma Muka saukar da darɓa da tantabaru a kanku; "Ku ci
057_01	daga mãsu dãɗin abin da Muka azurta ku." kuma ba su zãlunce Mu ba, kuma amma kansu suka kasance suna zãlunta.
058_00	Kuma a lokacin da Muka ce: "Ku shiga wannan alƙarya.
058_01	San nan ku ci daga gareta, idan kuka so, bisa wadata, kuma ku shiga ƙofa kuna masu tawalu'i, kuma ku ce; "kãyar da zunubai" Mu gãfarta muku laifukanku, kuma zã mu ƙãra wa mãsu kyautatawa."
059_00	Sai waɗanda suka yi zalunci suka sake magana watar wannan da aka ce musu, saboda haka muka saukar a kan waɗanda suka yi zãlunci da azãba daga sama sabõda abin da suka kasance suna yi na fãsiƙanci.
060_00	Kuma a lokacin da Mũsa ya nemi shãyarwa domin mutãnensa, Muka ce; "Ka dõki dũtsen da sandarka." Sai marmaro gõma sha biyu suka ɓuɓɓugo, haƙĩƙa, kõwaɗanne mutãne sun san wurin shansu.
060_01	"Ku ci kuma ku sha daga arziƙin Ubangijinku, kuma kada ku yi fasadi, a cikin ƙasa, kuna mãsu ɓarna."
061_00	Kuma a lõkacin da kuka ce: "Yã Mũsã!
061_01	Bã zã mu yi haƙuri ba a kan abinci guda.
061_02	Sai ka rõƙa mana Ubangijinka Ya fitar mana daga abin da ƙasa take tsirarwa daga ganyenta, dumanta, da alkamarta da albasarta.
061_03	Ya ce: "Kuna nẽman musanya abin da yake mafi ƙasƙanci da wanda yake mafi alhẽri?
061_04	Ku sauka wani birni (daga cikin birane), lalle ne, kuna da abin da kuka rõƙa. "Kuma Muka dõka musu walãƙanci da talauci. Kuma suka kõma da wani fushi daga Allah. Wancan sabõda lalle su, sun kasance suna kãfirta da ãyõyin Allah, kuma suna kashe Aannabãwa, bãda hakki ba. Wancan, sabõda sãɓawarsu ne, kuma sun kasance suna ƙẽtarewar haddi.
062_00	Lalle ne waɗanda suka yi ĩmãni, da waɗanda suka tũba, da Nasãra da Makarkata, wana ya yi ĩmani da Allah da Yinin Lãhira, kuma
062_01	ya aikata aikin ƙwarai, to, suna da ijãrarsu a wurin Ubangijinsu, kuma bãbu tsõro a kansu, kuma ba su zama suna yin baƙin ciki ba.
063_00	Kuma a lõkacin da Muka riƙi alƙawarinku, kuma Muka ɗaukaka dũtse a bisa gareku: "Ku kãma abin da Muka baku da ƙarfi. Kuma ku ambaci abin da yake a cikin sa, tsammãninku ku kãrekanku.
064_00	Sa'an nan kuma kuka jũya daga bayan wancan, to, bã dõmin falalar Allah ba da rahamarSa a kanku, haƙĩƙa, dã kun kasance daga mãsu hasãra."
065_00	Kuma lalle ne, haƙĩƙa, kun san waɗanda suka ƙẽtare haddi daga gare ku a cikin Asabar, sai muka ce musu: "ku kasance birai ƙasƙantattu."
066_00	Muka sanya ta (mas'alar) azãba, dõmin abin da yake gaba gareta, da yake a bãyanta, kuma wa'azi ga mãsu taƙawa.
067_00	Kuma a lõkacin da Musa yace ga mutanensa: "Lalle ne, Allah Yana umurtar ku da ku yanka wata sãniya." Suka
067_01	ce: "Shin kana riƙon mu ne da izgili?" Ya ce: "Ina nẽman tsari daga Allah da in kasance daga jãhilai."
068_00	Suka ce: "Ka rõƙa mana Ubangijinka, Ya bayyana mana, mecẽ ce ita?" Ya ce: "Lalle ne, Shi, Yana cewa: "Lalle ne ita sãniya ce; bã tsõfuwa ba, bã kuma budurwa ba, tsakãtsaki ce a tsakãnin wancan,' sai ku aikata abin da ake umurninku."
069_00	Suka ce: "Ka rõƙa mana Ubangijinka Ya bayyana mana abin da yake launinta." Ya ce: "Lalle ne, Shi Yana cewa: "Ita wata saniya ce fatsa-fatsa, mai tsan-tsan launi, tana faranta ran mausu kallonta."
070_00	Suka ce: "Ka rõƙa mana Ubangijinka, Ya bayyana mana abin da yake ita, lalle ne shãnu suna yi mana kamã da jũna, kuma mu, idan Allah Yã so, haƙĩƙa, shiryuwa ne."
071_00	Ya ce: "Lalle ne Shi, Yana cẽwa: "Ita wata sãniya ce; ba horarra bã tana noman ƙasa, kuma ba ta shayar da shuka, lãfiyayya ce: bãbu wani sõfane a cikinta." Suka ce: "Yanzu kã zo da gaskiya.
071_01	Sai suka yanka ta, kamar ba zã su aikata ba.
072_00	Kuma a lõkacin da kuka yi kisan kai, kuka dinga tunkuɗa wa jũna laifĩ a cikinsa, kuma Allah Mai fitar da abin da kuka kasance kuna ɓõyẽwa ne.
073_00	Sai Muka ce: "Ku dõke shi da wani sãshenta." Kamar wancan ne Allah Yake rãyar da matattu, kuma Ya nũna muku ayõyinSa, tsammãninku kuna hankalta.
074_00	San'nan kuma zukãtanku, suka ƙẽƙashe daga bãyan wancan. Sabõda haka suka zamanto kamar duwatsu.
074_01	Ko mafi tsananin ƙeƙashewa. kuma lalle ne daga duwãtsu, haƙĩka, akwai abin da maremari suke ɓuɓɓuga daga gare shi, kuma lalle ne daga gare su, haƙĩƙa, akwai abin da yake tsatstsagewa har ruwa ya fita daga gare shi, kuma lalle ne, haƙĩƙa, daga gare su, haƙĩƙa, akwai da yake fãɗõwa dõmin tsõron Allah, kuma Allah bai zama gãfili ba daga barin abin da kuke aikatãwa.
075_00	Shin fa kuna tsammãnin zã su yi imãni sabõda ku, alhãli kuwa, haƙĩƙa, wata ƙungiya daga gare su sun kasance suna jin maganar Allah, sa'an nan kuma su karkatar da ita daga bãyan sun gãne ta, alhãli sũ, suna sane?
076_00	Kuma idan sun haɗu da waɗanda suka yi ĩmãni sukan ce: "Mun yi ĩmãni," kuma idan sãshensu ya wõfinta zuwa ga sãshe, sukan ce: "Shin, kuna
076_01	yi musu magana da abin da Allah Ya buɗa muku ne dõmin su yi muku hujja da shi a wurin Ubangijinku?" Shin fa, bã ku hankalta?
077_00	Shin, kuma bã su sanin cẽwa lalle ne Allah Yana sanin abin da suke ɓõyẽwa da abin da suke bayyanãwa?
078_00	Kuma daga cikinsu akwai ummiyyai, bã su da sanin Littãfi, fãce tãtsuniyoyi, kuma sũ bã kõme suke yi ba fãce suna yin zato.
079_00	To, bone ya tabbata ga waɗanda suke rubũta littãfi da hannuwansu sa'an nan kuma su ce wannan daga wurin Allah yake, dõmin su sayi kuɗi kaɗan da
079_01	shi, san nan bone ya tabbata a gare su daga abin da hannayensu ke rubũtãwa, kuma bone ya tabbata a gare su daga abin da suke sanã'antãwa.
080_00	Kuma suka ce: "Wuta bã zã ta shãfe mu ba, fãce, 'yan kwãnuka ƙidãyayyu."Ka ce: "Ashe kun riƙi wani alkawari a wurin
080_01	Allah, sa'an nan Allah ba zai sãɓa wa alkawarinSa ba ko kuwa kuna faɗin abin da ba ku sani ba bisa ga Allah?"
081_00	Na'am! Wanda ya yi tsiwur-wurin mũgun abu, kuma laifinsa ya kẽwaye shi, to, waɗannan su ne 'yan Wuta, sũ a cikinta madawwama ne.
082_00	Kuma waɗanda suka yi ĩmãni kuma suka aikata ayyukan ƙwarai, waɗannan, 'yan Aljanna ne, sũ a cikinta madawwama ne.
083_00	Kuma a lõkacin da Muka karɓi alkawarin Bani-Isrã'ĩla: "Kada ku bauta wa kõwa fãce Allah, kuma ga mahaifa ku kyautata, da mai zumunta da marãyu da matalauta, kuma ku faɗi
083_01	magana mai kyau zuwa ga mutãne, kuma ku tsayar da salla, kuma ku bãyar da zakka, sa'an nan kuka jũya bãya, fãce kaɗan daga gare ku, alhãli kuwa kuna mãsu bijirẽwa.
084_00	Lõkacin da Muka riƙi alkawarinku; bã zã ku zubar da jininku ba, kuma bã zã ku fitar da kanku daga gidãjenku ba; sa'an nan kuka tabbatar alhãli kuwa kuna bãyar da shaida (a kanku).
085_00	Sa'an nan kuma, gã ku, yã waɗannan!
085_01	Kuna kashe kanku, kuma kuna fitar da wani ɓangare daga gare ku daga gidãjensu, kuna taimakon jũna a kansu da zunubi da zãlunci kuma idan kãmammu suka je muku kuna fansarsu alhãli kuwa shĩ fitar da su abin da aka haramta muku ne.
085_02	Shin fa, kuna ĩmãni da sãshen Littãfin ne, kuma ku kãfirta da sãshe?
085_03	To, mẽne ne sakamakon wanda ke aikata wancan daga gare ku fãce wulãkanci a cikin rãyuwar dũniya? Kuma a Rãnar ¡iyãma ana mayar da su zuwa ga mafi tsananin azãba. Kuma Allah bai zama Mai gafala ba daga barin abin da kuke aikatãwa.
086_00	Waɗannan su ne waɗanda suka sayi rãyuwar dũniya da Lãhira, dõmin haka bã zã a sauƙaƙa azãba ba daga kansu, kuma sũ, bã ataimakonsu.
087_00	Kuma lalle ne, haƙĩƙa, Munbai wa Mũsã Littãfi, kuma Mun biyar daga bãyansa da wasu Manzanni, kuma Muka bai wa Ĩsã ɗan Maryama hujjõji bayyanannu, kuma Muka ƙarfafa shi da Rũhi mai tsarki.
087_01	Shinfa, kõ da yaushe wani manzo ya je muku tãre da abin da rãyukanku bã su so, sai ku kangara, wani ɓangare kun ƙaryata, kuma wani ɓangare kuna kashẽwa?
088_00	Kuma suka ce: "Zukatanmu suna cikin rufi." A'a, Allah Yã la'ane su, dõmin kafircinsu kadan kwarai suke yin ĩmãni!
089_00	Kuma a lõkacin da wani Littãfi daga wurin Allah ya je musu, mai gaskatãwa ga abin da yake tãre da su, alhãli kuwa sun kasance daga gabãnin haka suna fãtar taimako da shi a kan waɗanda suka kãfirta.
089_01	To, a lõkacin da abin da suka sani ya je musu, sai suka kãfirta da shi. Sabõda haka la'anar Allah ta tabbata a kan kãfirai.
090_00	Tir, da abin da suka sayi rãyukansu da shi; watau su kãfirta da abin da Allah Ya saukar sabõda zãlunci; kada Allah Ya saukar da falalarsa a kan wanda Yake so daga bãyinsa.
090_01	Sai suka kõmo da fushi game da wani fushi. Kuma ga kãfirai akwai azãba mai wulãƙantarwa.
091_00	Kuma idan aka ce musu: "Ku yi ĩmãni da abin da Allah Ya saukar." Sai su ce: "Muna ĩmãni da abin da aka saukar a gare mu," kuma suna kãfircẽwa da abin da ke bãyansa, alhãli
091_01	kuwa, shi ne gaskiyar (da suka sani) mai gaskatawa ga abin da yake tãre da su (na Attaura) Ka ce: "To, don me kuke kashe annabãwan Allah gabãnin wannan, idan kun kasance mãsu bãyar da gaskiya?"
092_00	Kuma lalle ne haƙĩƙa Mũsã ya zo muku da hujjõji bayyanannu, sa'an nan kuka riƙi maraƙi (daga bãyansa, alhãli kuwa kuna mãsu zãlunci.
093_00	Kuma a lõkacin da Muka riƙi alkawarinku kuma Muka ɗaukaka dutse a bisa gare ku, (Muka ce:) "Ku riƙi abin da Muka kãwo muku da ƙarfi kuma ku ji" Suka ce: "Mun ji kuma mun ƙi." Kuma aka zuba son maraƙin a cikin zukatansu sabõda kãfircinsu.
093_01	Ka ce: "Tir da abin da ĩmãninku yake umurnin ku da shi, har idan kun kasance mãsu ĩmãni!"
094_00	Ka ce: "Idan Gidan Lãhira ya kasance sabõda ku, a wurin Allah keɓe bã da sauran mutãne ba, to, ku yi gũrin mutuwa, idan kun kasance mãsu gaskiya."
095_00	Kuma bã zã su yi gũrinta bahar abada sabõda abin da hannayensu, suka gabãtar. Kuma Allah Masani ne ga azzãlumai.
096_00	Kuma lalle ne, zã ka sãme su mafiya kwaɗayin mutãne a kan rãyuwa, kuma sũ ne mafiya kwaɗayin rãyuwa daga waɗanda suka yi shirka.
096_01	¦ayansu yana son dã zã a rãyar da shi shekara dubu, kuma bã ya zama mai nĩsantar da shi daga azãba dõmin an rãyar da shi. Kuma Allah, Mai gani ne ga abin da suke aikatãwa.
097_00	Ka ce: Wanda ya kasance maƙiyi ga Jibirilu, to, lalle ne shi ya saukar da shi a kan zũciyarka da izinin Allah, yana mai gaskatãwa ga abin da yake gaba gare shi, kuma da shiriya da bishãra ga mũminai.
098_00	Wanda ya kasance maƙiyi ga Allah da malã'ikunSa da manzanninSa da Jibirĩla da Mĩkã'ĩla to, lalle ne, Allah Maƙiyi ne ga kãfirai.
099_00	Kuma lalle ne haƙĩƙa Mun saukar, zuwa gare ka, ãyõyi bayyanannu, kuma ba wanda yake kãfirta da su fãce fãsikai.
100_00	Shin, kuma a kõ da yaushe suka ƙulla wani alkawari sai wani ɓangare daga gare su ya, yi jĩfa da shi? Ã'a, mafi yawansu bã su yin ĩmãni.
101_00	Kuma a lõkacin da wani manzo (Muhammadu) daga wurin Allah ya je musu, mai gaskatãwa ga abin da yake tãre da su, sai
101_01	wani ɓangare daga waɗanda aka bai wa Littãfi, suka yar da Littãfin (Alƙur'ãnin) Allah a bãyan bãyansu, kamar dai sũ ba su sani ba.
102_00	Kuma suka bi abin da shaiɗãnu ke karantawa a kan mulkin Sulaimãnu, kuma Sulaimãnu bai yi kãfirci ba, kuma Shaidãnun, sũ ne suka yi kãfirci, suna karantar da mutãne sihiri.
102_01	Kuma ba a saukar da shi ba a kan malã'iku biyu a Bãbila, Harũta da Mãrũta.
102_02	Kuma ba su sanar da kõwa ba balle su ce: "Mũ fitina kawai ne, sabõda haka kada ka kãfirta," balle har su yi ta nẽman ilmin abin da suke rarrabẽwa tsakãnin mutum da mãtarsa da shi daga gare su.
102_03	Kuma su (mãsu yin sihirin) ba su zama mãsu cũtar da kõwa da shi ba, fãce da iznin Allah.
102_04	Kuma suna nẽman ilmin abin da yake cũtar da su, kuma bã ya amfaninsu. Kuma lalle ne, haƙiƙa, sun sani, tabbas, wanda ya saye shi, bã ya da wani rabo a cikin Lãhira. Kuma tir da abin da suka sayar da rãyukansu da shi, dã sun kasance suna sani.
103_00	Kuma dã lalle ne sũ, sun yi ĩmani, kuma sun yi taƙawa, haƙiƙa, da sakamako daga wurin Allah shi ne mafi alhẽri, dã sun kasance suna sani.
104_00	Yã kũ waɗanda suka yi ĩmani! Kada ku ce: 'Rã'inã' kuma ku ce: 'Jinkirtã manã', kuma ku saurara. Kuma kãfirai suna da azãba mai raɗaɗi.
105_00	Waɗanda suka kãfirta daga Ma'abuta Littãfi, bã su son a saukar da wani alhẽri a kanku daga Ubangijinku, kuma mushirikai mã bã su so.
105_01	Kuma Allah Yana keɓance da wanda Yake so da rahamarSa. Kuma Allah Ma'abũcin falala mai girma ne.
106_00	Abin da Muka shãfe daga ãya, ko kuwa Muka jinkirtar da ita, zã Mu zo da mafi alhẽri daga gare ta ko kuwa misãlinta. Ashe, ba ka sani ba, cẽwa lalle ne, Allah a kan dukkan kõme Mai ĩkon yi ne?
107_00	Shin ba ka sani ba, cẽwa lalle ne Allah, Shĩ ne da mulkin sammai da ƙasa kuma bã ku da, baicin Allah, wani majiɓinci, kuma bã ku da wani mataimaki?
108_00	Kõ kuna nufin ku tambayi Manzonku, kamar yadda aka tambayi Mũsã a gabãnin haka? Kuma wanda ya musanya kãfirci da ĩmãni, to, lalle ne yã ɓace tsakar hanya.
109_00	Mãsu yawa daga Ma'abuta Littãfi sunã gũrin dã sun mayar da ku, daga bãyan ĩmãninku, kãfirai, sabõda hãsada daga wurin rãyukansu, daga bayãn gaskiya tã bayyana a gare su.
109_01	To, ku yãfe, kuma ku kau da kai, sai Allah Yã zo da umurninSa. Lalle ne Allah a kan dukkan kõme Mai ĩkon yi ne.
110_00	Kuma ku tsayar da salla, kuma ku bãyar da zakka. Kuma abin da kuka gabãtar dõmin kanku daga alhẽri, zã ku sãme shi a wurin Allah. Lalle ne Allah, ga abin da kuke aikatãwa Mai gani ne.
111_00	Kuma suka ce: "Bãbu mai shiga Aljanna fãce waɗanda suka zama Yahũdu ko Nasãra." Waɗancan tãtsũniyõyinsu ne. Ka ce: "Ku kãwo dalilinku idan kun kasance mãsu gaskiya."
112_00	Na'am! Wanda ya sallama fuskarsa ga Allah, alhãli kuwa yana mai kyautatãwa, to, yana da ijãrarsa, a wurin Ubangijinsa, kuma bãbu tsõro a kansu, kuma ba su zama suna baƙin ciki ba.
113_00	Kuma Yahũdãwa suka ce: "Nasãra ba su zamana a kan kõme ba," kuma Nasãra suka ce: "Yahũdãwa ba su zamana a kan kõmeba," alhãli kuwa su, suna karãtun Littãfi.
113_01	Kamar wancan ne waɗanda ba su sani ba suka faɗa, kamar maganarsu sabõda haka Allah ne ke yin hukunci a tsakãninsu a Rãnar ¡iyãma, a cikin abin da suka kasance suna sãɓawa jũna a cikinsa.
114_00	Kuma wãne ne mafi zãlunci daga wanda ya hana masallãtan Allah, dõmin kada a ambaci sunanSa a cikinsu, sai kuma ya yi aiki ga rushe su?
114_01	Waɗannan bã ya kasancẽwa a gare su su shigẽ su fãce suna mãsu tsõro. Suna da, a cikin duniya wani wulãkanci, kuma suna da, a cikin Lãhira, azãba mai girma.
115_00	Kuma Allah ɗai yake da gabas da yamma sabõda haka, inda duk aka jũyar da ku, to, a can fuskar Allah take. Lalle ne, Allah Mawadãci ne, Mai ilmi.
