001_00	K̃.H. Y.I. Ṣ̃.
029_00	Sai ta yi ishãra zuwa gare shi, suka ce: "Yãya zã mu yi magana da wanda ya kasance a cikin shimfiar tsumma yanã jãrĩri?"
030_00	Ya ce: "Lalle ne, nĩ bãwan Allah ne Allah Yã bã ni Littãfi kuma Ya sanya ni Annabi."
031_00	"Kuma Yã sanya ni mai albarka a inda duk na kasance kuma Ya umurce ni da yin salla da zakka matuƙar inã da rai."
032_00	"Kuma mai biyayya ga uwãta, kuma bai sanya ni mai kaushin zũciya ba marashin alhẽri."
033_00	"Kuma aminci ya tabbata a gare ni a rãnar da aka haife ni da rãnar da nake mutũwa da rãnar da ake tãyar da ni inã mai rai."
034_00	Wancan ne Ĩsã ɗan Maryamu, maganar gaskiya wadda suke shakka a cikinta.
035_00	Bã ya kasancẽwa ga Allah Ya riƙi wani ɗã. Tsarki ya tabbata a gare shi! Idan Yã hukunta wani al'amari sai kawai Ya ce masa, "Kasance." Sai ya dinga kasan cẽwa.
036_00	"Kuma lalle Allah ne Ubangijina kuma Ubangijinku, sai ku bauta Masa. Wannan shi ne tafarki madaidaici."
037_00	Sai ƙungiyõyin suka sãɓã wa jũna a tsakãninsu. To, bõne ya tabbata ga waɗanda suka kãfirta daga halartar yini mai girma.
038_00	Mẽne ne ya yi jinsu, kuma mẽne ne ya yi ganinsu a rãnar da suke zo Mana! Amma azzãlumai sunã a cikin ɓata bayyananna.
039_00	Kuma ka yi musu gargaɗi da rãnar nadãma a lõkacin da aka hukunta al'amari alhãli kuwa sunã a cikin ɓãta, kuma sũ bã su yin ĩmãni.
040_00	Lalle ne Mũ, Mũ ne ke gãdon ƙasa da wanda yake a kanta, kuma zuwa gare Mu ake mayar da su.
041_00	Kuma ambaci Ibrãhĩm a cikin Littafi. Lalle shi ya kasance mai yawan gaskatãwa, Annabi.
042_00	A lõkacin da ya ce wa ubansa, "Yã bãba! Don me kake bauta wa abin da bã ya ji, kuma bã ya ga ni, kuma ba ya wadãtar da kõme daga barinka?"
043_00	"Yã bãba! Lalle ni, haƙĩƙa abin da bai je maka ba na ilmi ya zo mini, sabõda haka ka bĩ ni in shiryar da kai wani tafarki madaidaici."
044_00	"Yã bãba! Kada ka bauta wa Shaiɗan. Lalle Shaiɗan ya kasance mai saɓãwa ga Mai rahama."
045_00	"Yã bãba! Lalle ne ni inã tsõron wata azãba daga Mai rahama ta shãfe ka, har ka zama masõyi ga Shaiɗan."
046_00	Ya ce: "Ashe, mai gudu ne kai daga gumãkãna? Yã Ibrãĩm! Lalle ne, idan ba ka hanu ba, haƙĩ ƙa, zan jẽfe ka. Kuma ka ƙaurace mini tun kanã mai mutunci."
047_00	Ya ce: "Aminci ya tabbata a gare ka! zan nẽmi Ubangijina Ya gãfarta maka. Lalle Shi Ya kasance Mai girmamãwa gare ni."
048_00	"Kuma inã nĩsantar ku da abin da kuke kira, baicin Allah kuma inã kiran Ubangijina, tsammãnin kada in zama marashin arziki game da kiran Ubangijina."
049_00	To, sa'ad da ya nĩsance su da abin da suke bautãwa baicin Allah, Muka bã shi Is'hãƙa da Ya'aƙuba alhãli kuwa kõwanensu Mun mayar da shi Annabi.
050_00	Kuma Muka yi musu kyauta daga RahamarMu, kuma Muka sanya musu harshen gaskiya maɗaukaki.
051_00	Kuma ka ambaci Mũsã a cikin Littãfi. Lalle ne shi, yã kasance zãɓaɓɓe, kuma yã kasance Manzo, Annabi.
052_00	Kuma Muka kira shi daga gẽfen dũtse na dãma kuma Muka kusanta shi yanã abõkin gãnãwa.
053_00	Kuma Muka yi masa kyauta daga RahamarMu da ɗan'uwansa Hãrũna, ya zama Annabi.
054_00	Kuma ka ambaci Ismã'ila a cikin Littãfi. Lalle shi, yã kasance mai gaskiyar alkawari, kuma yã kasance Manzo, Annabi.
055_00	Kuma yã kasance yanã umurnin mutãnens da salla da zakka. Kuma yã kasance yardajje a wurin Ubangijinsa.
056_00	Kuma ka ambaci Idrĩsa a cikin Littãfi. Lalle shi, ya kasance mai yawan gaskatãwa, Annabi.
057_00	Muka ɗaukaka shi a wuri maɗaukaki.
058_00	Waɗancan sũ ne waɗanda Allah Ya yi wa ni'ima daga Annabãwa daga zurriyar Ãdamu, kuma daga waɗanda muka ɗauka tãre da Nũhu, kuma daga zurriyar Ibrãhĩm da Isrã'ila, kuma daga waɗanda Muka shiryar kuma Muka zãɓe su.
058_01	Idan anã karãtun ãyõyin Mai rahama a kansu, sai su fãɗi sunã mãsu sujada kuma mãsu kũka.
059_00	Sai waɗansu 'yan bãya suka maye a bãyansu suka tõzarta salla, kuma suka bi sha'awõwinsu. To, da sannu zã su hau da wani sharri.
060_00	Fãce wanda ya tũba, kuma ya yi ĩmãni, kuma ya aikata aiki na ƙwarai. To, waɗannan sunã shiga Aljanna, kuma bã a zãluntar su da kõme.
061_00	Gidãjen Aljannar zama wadda Mai rahama ya yi alkawarin bãyarwa ga bãyinSa (mãsu aikin ĩmãni) a fake. Lalle ne shĩ, alkawarin ya kasance abin riskuwa.
062_00	Bã su jin yasassar magana a cikinta, fãce sallama. Kuma sunã da abinci, a cikinta, sãfe da maraice.
063_00	Wancan Aljannar ce wadda Muke gãdar da wanda ya kasance mai aiki da taƙawa daga bãyiNa.
064_00	(Sunã mãsu cẽwa) "Kuma bã mu sauka Fãce da umuruin Ubangijinka (Muhammad). Shĩ ne da mulkin abin da ke a gaba gare mu da abin da ke a bãyanmu da abin da ke a tsakãnin wannan." Kuma (Ubangijinka bai kasance wanda ake mantãwa ba.
065_00	Shi ne Ubangijin sammai da ƙasa da abin da yake a tsakãninsu. sai ka bauta Masa, kuma ka yi haƙuri ga bautarsa. Shin kã san wani takwara a gare shi?
066_00	Kuma mutum yana cẽwa, "Shin idan na mutu lalle ne haƙĩ ƙa da sannu zã a fitar da ni inã mai rai?"
067_00	Shin, kuma mutum bã zai tuna ba cẽwa lalle ne Mun halitta shi a gabãni, alhãli kuwa bai kasance kõme ba?
068_00	To, Munã rantsuwa da Ubangijinka, lalle ne, Muna tãyar da su da kuma shaianun sa'an nan, kuma lalle Muna halatar da su da kuma Shaiɗanun sa'an nan, kuma, lalle Muna halatar da su a gẽfen Jahannama sunã gurfãne.
069_00	Sa'an nan kuma lalle Munã fizge wanda yake mafi tsananin girman kai ga Mai rahama daga kõwace ƙungiya.
070_00	Sa'an nan kuma lalle Mũ ne Mafi sani ga waɗanda suke sũ ne mafiya cancantar ƙõnuwa da ita.
071_00	Kuma bãbu kõwa daga gare ku sai mai tuzga mata. Yã kasance wajibi ga Ubangijinka, hukuntacce.
072_00	Sa'an nan kuma Mu tsẽrar da waɗanda suka yi aiki da taƙawa, kuma Mu bar azzãlumai a cikinta gurfãne.
073_00	Kuma idan anã karatun ãyõyinMu, bayyanannu a kansu, sai waɗanda suka kãfirta su ce wa waɗanda suka yi ĩmãni, "Wanne daga ƙungiyõyin biyu ya fi zama mafi alhẽri ga matsayi, kuma mafi kyaun majalisa?"
074_00	Kuma da yawa daga mutãnen ƙarni Muka halakar a gabãninsu sũ (waɗandaMuka halakar) in ne mafi kyaun kãyan ãki da magãnã.
075_00	Ka ce: "Wanda ya kasance a cikin ɓata sai Mai rahama Ya yalwata masa yalwatãwa, har idan sun ga abin da ake yi
075_01	musu wa'adi, imma azãba kõ sã'a, to zã su sani, wane ne yake shĩ ne, mafi sharri ga wuri, kuma mafi rauni ga runduna!"
076_00	Kuma Allah na ƙãra wa wa ɗanda suka nẽmi shiryuwa da shiriya. Kuma ayyuka mãsu wanzuwa na ƙwarai ne mafi alhẽri awurin Ubangijinka ga lãda, kuma mafi alhẽri ga makõma.
077_00	Shin, ka ga wanda ya kãfirta da ayõyinMu, kuma ya ce: "Lalle ne zã a bã ni dũkiya da ɗiya?"
078_00	Shin, yã tsinkãyi gaibi ne, kõ kuwa yã ɗauki wani alkawari daga Mai rahama ne?
079_00	Ã'aha! zã mu rubũta abin da yake faɗa, kuma Mu yalwata masa, daga azãba, yalwatãwa.
080_00	Kuma Mu gãde shi ga abin da yake faɗa, kuma ya zo Mana yanã shi kɗai.
081_00	Kuma suka riƙi gumãka, baicin Allah, dõmin su kãsance mataimaka a gare su.
082_00	Ã'aha! Zã su kãfirta da ibãdarsu, kuma su kasance maƙiya a kansu.
083_00	Shin, ba ka gani ba cẽwa Mun saki shaiɗanu a kan kãfirai sunã shũshũta su ga zunubi shũshũtãwa?
084_00	Sabõda haka kada ka yi gaggawa a kansu, Munã yi musu ƙidãyar ajali ne kawai, ƙidãyãwa.
085_00	A rãnar da Muka tãra mãsu taƙawa zuwa ga Mai rahama sunã bãƙin girma.
086_00	Kuma Munã kõra mãsu laifi zuwa Jahannama, gargaãwa.
087_00	Ba su mal1akar cẽto fãce wanda ya riƙi alkawari a wurin Mai rahama.
088_00	Kuma suka ce: "Mai rahama Yã riƙi ã!"
089_00	Lalle ne haƙĩƙa kun zo da wani abu mai girman mũni.
090_00	Sammai sunã kusa su tsattsage sabõda shi, kuma ƙasa ke kẽce kuma duwãtsu su faɗi sunã karyayyu.
091_00	Dõmin sun yi da'awar ɗã ga Mai rahama.
092_00	Alhãli bã ya kamata ga Mai rahama ya riƙi wani ɗã.
093_00	Dukkan wanda yake a cikin sammai da ƙasa bai zama ba fãce mai jẽ wa Mai rahama ne yanã bãwã.
094_00	Lalle ne haƙĩƙa Yã lissafe su, kuma ya ƙidãye su, ƙidãya.
095_00	Kuma dukan kõwanensu mai jẽ Masa ne a Rãnar ¡iyãma yanã shi kaɗai.
096_00	Lalle ne waɗanda suka yi ĩmãni, kuma suka aikata ayyuka na ƙwarai, Mai rahama zai sanya musu so.
097_00	Sa'an nan Ibin sani kawai Mun sauƙaƙar da shi (Alƙur'ãni) a harshenka, dõmin ka yi bushãra da shi ga mãsu aiki da taƙawa kuma ka yi gargaɗi da shi ga mutãne mãsu tsananin husũma.
098_00	Kuma da yawa Muka halakar da mutãnen ƙarnõni a gabãninsu. Shin kanã jin mõtsin wani guda daga gare su, kõ kuwa kanã jin wata ɗuriya tãsu?
