001_00	Lalle Mũ, Mun yi maka rinjãye (a kan maƙiyanka), rinjaye bayyananne.
021_00	Da waɗansu (ganĩmõmin) da bã ku da ĩko a kansu lalle Allah Ya kẽwaye su da saninSa, kuma Allah Ya kasance Mai ikon yi ne a kan dukan kõme.
022_00	Kuma dã waɗanda suka kãfirta sun yãke ku, dã sun jũyar da ɗuwaiwai (dõmin gudu) sa'an nan bã zã su sãmi majiɓinci ba, kuma bã zã su sãmi mataimaki ba.
023_00	Hanyar Allah wadda ta shũɗe daga gabãnin wannan, kuma bã zã ka sãmi musanya ba ga hanyar Allah (ta taimakon mũminai akan mai zãluntarsu).
024_00	Kuma Shĩ ne Ya kange hannayensu daga gare ku, kuma da hannayenku daga gare su, a cikin Makka, bãyan Ya rinjãyar da ku a kansu. Kuma Allah Ya kasance Mai gani ga abin da kuke aikatãwa.
025_00	Sũ ne waɗanda suka kãfirta kuma suka kange ku daga Masallacin Harami, da hadaya tanã tsare (sun hana ta) ta isa ga wurinta.
025_01	Kuma bã dõmin waɗansu maza mũminai da waɗansu mãtã mũminai ba ba ku sansu ba ku tãkã su har wani aibi ya sãme ku daga gare su, bã da sani ba, (dã Allah Yã yi muku iznin yãƙi), dõmin Allah Ya shigar da wanda Yake so a cikin rahamarSa.
025_02	Da (mũminai) sun tsabbace dã Mun azabtar da waɗanda suka kãfirta daga gare su da azãba mai raɗiɗi.
026_00	A lõkacin da waɗanda suka kãfirta suka sanya hanãnar ƙabĩ lanci a cikin zukãtansu hanãnar ƙabĩlanci irin na Jãhiliyya sai Allah Ya saukar da natsuwarSa a kan ManzonSa, kuma da a kan mũminai kuma Ya lazimta musu kalmar taƙawa alhãli kuwa sun kasance mafi dãcẽwa da ita kuma ma'abutanta.
026_01	Kuma Allah ya kasance Masani game da dukan kõme.
027_00	Lalle ne haƙĩƙa Allah Ya gaskata wa ManzonSa mafarkinsa da gaskiya: Lalle zã ku shiga Masallacin Harami, in Allah Ya so, kunã mãsu natsuwa, mãsu aske kawunanku
027_01	da mãsu suisuye, bã ku jin tsõro, dõmin (Allah) Ya san abin da ba ku sani ba, sa'an nan Ya sanya wani cin nasara makusanci a bãyan wannan.
028_00	Shĩ ne wanda Ya aiki ManzonSa da shiriya da addinin gaskiya dõmin Ya rinjãyar da shi a kan addinai dukansu. Kuma Allah Ya isa Ya zama Mai shaida.
029_00	Muhammadu Manron Allah ne.
029_01	Kuma waɗannan da ke tãre da shi mãsu tsanani ne a kan kãfirai, mãsu rahama ne a tsakãninsu, kanã ganin su sunã mãsu rukũ'i mãsu sujada, sunã nẽman falala daga Ubangijinsu, da yardarSa.
029_02	Alãmarsu tanã a cikin fuskõkinsu, daga kufan sujuda.
029_03	Wannan shĩ ne siffarsu a cikin Attaura. Kuma siffarsu, a cikin Injĩla ita ce kamar tsiron shũka wanda ya fitar da rẽshensa, sa'an nan ya ƙarfafa shi, ya yi kauri, sa'an nan ya daidaita a kan ƙafãfunsa, yanã bãyar da sha'awa ga mãsu shũkar' dõmin (Allah) Ya fusãtar da kãfirai game da su. Kuma Allah Ya yi wa'adi ga waɗanda suka yi ĩmãni, kuma suka aikata ayyukan ƙwarai, daga cikinsu, da gãfara da ijãra mai girma.
