001_00	Ṣ̃, Inã rantsuwa da Al-ƙur'ãni mai hukunce-hukunce.
043_00	Kuma Muka bã shi iyalansa da kwatankwacinsu tãre da su sabõda rahama daga gare Mu, da tunãtarwa ga mãsu hankali.
044_00	Kuma ka riƙi wata ƙulla da hannunka, ka yi dũka da ita kuma kada ka karya rantsuwarka. Lalle Mũ, Mun sãme shi mai haƙuri. Madalla da bãwa, shĩ Lalle shĩ mai mayar da al'amari ga Allah ne.
045_00	Kuma ka ambaci bãyinMu: Ibrahĩm da ls'hãƙa da Ya'aƙũba, ma'abũta ƙarfin (ɗaukar umurninMu) da basĩra.
046_00	Lalle Mũ, Mun keɓance su game da wata, tsattsarkar aba: Hukunce-hukuncen gidan dũniya (mai tunãtar da su Lãhira).
047_00	Kuma lalle sũ a wurinMu, tabbas, sunã daga zãɓaɓɓu, mafĩfĩta.
048_00	Kuma ka ambaci Isma'ĩla da llyãs da Zulkifli, kuma dukansu sunã daga zãɓaɓɓu.
049_00	Wannan tunãtarwa ce, kuma lalle mãsu bin Allah da taƙawa, sunã da kyakkyawar makõma.
050_00	Gidãjen Aljannar zama, alhãli kuwa tanã abar buɗe wa kõfõfi sabõda su.
051_00	Sunã gingincire a cikinsu, sunã kira a cikinsu, ga 'ya'yan itãcen marmari mãsu yawa, da abin shã.
052_00	Kuma a wurinsu akwai mãtan aure mãsu gajarta ganinsu ga mazansu, tsãrar jũna.
053_00	Wannan shĩ ne abin da ake yi muku wa'adi ga rãnar hisãbi.
054_00	Lalle wannan, haƙĩƙa, azurtarwarMu ce, bã ta ƙãrẽwa.
055_00	Wannan shĩ ne kuma lalle makangara, haƙĩƙa, sunã da mafi sharrin makõma.
056_00	Jahannama, sunã shigarta. To, shimfiɗar tã mũnana, ita.
057_00	Wannan shĩ ne! To, su ɗanɗane shi: ruwan zãfi ne da ruɓaɓɓen jini.
058_00	Da wani daga siffarsa nau'i-nau'i.
059_00	Wannan wani yanki ne mai kũtsawa tãre da ku, bãbu marãba a gare su, lalle sũ, mãsu shiga Wutã ne.
060_00	Suka ce: "Ã'a, ku ne bãbu marãba a gare ku, kũ ne kuka gabãtar da shi a gare mu." To, matabbatar tã mũnana (ita wutar).
061_00	Suka ce: "Ya Ubangijinmu! Wanda ya gabãtar da wannan a gare mu, to, Ka ƙãra masa azãba, ninki, a cikin wutã."
062_00	Kuma suka ce: "Mẽ ya sãme mu, bã mu ganin waɗansu mazãje, mun kasance munã ƙidãya su daga asharãrai?"
063_00	"Shin, mun riƙe su abin izgili ne kõ idãnunmu sun karkata daga gare su ne?"
064_00	Lalle wannan, haƙĩƙa, gaskiya ne, husũmar mutãnen wutã.
065_00	Ka ce: "Nĩ mai gargaɗikawai ne, kuma babu wani abin bautawa sai Allah, Makaɗaici, Mai tilastawa."
066_00	"Ubangijin sammai da ƙasã da abin da ke a tsakãninsu Mabuwãyi, Mai gãfara."
067_00	Ka ce: "Shĩ (Alkur'ãni) babban lãbãri ne mai girma".
068_00	"Kũ, mãsu bijirẽwa ne daga gare shi!"
069_00	"Wani ilmi bai kasance a gare ni ba game da jama'a (malã'iku) mafi ɗaukaka a lõkacin da suke yin husũma."
070_00	"Ba a yi mini wahayin kõme ba face cẽwa ni mai gargaɗi kawai ne, mai bayyanãwa."
071_00	A lõkacin da Ubangijinka Ya ce wa malã'iku, "Lalle Nĩ Mai halitta mutum ne daga lãkã.
072_00	"Sa'an nan idan Nã daidaita shi, kuma Na hũra (wani abu) daga RuhĩNa a cikinsa to ku fãɗi kunã mãsu sujada a gare; shi."
073_00	Sai malã'ikun suka yi sujada dukansu, gabã ɗaya.
074_00	Fãce Iblis, ya yi girman kai, kuma ya kasance daga kãfirai.
075_00	(Allah) Ya ce, "Yã Ibilis! Mẽ ya hana ka, ka yi sujada ga abin da Nã halitta da HannayeNa biyu? Shin, kã yi girman kai ne, kõ kuwa kã kasance daga maɗaukaka ne?"
076_00	Ya ce, "Nĩ, mafifici ne daga gare shi: Kã halitta ni daga wutã, kuma Kã halitta shi daga lãkã."
077_00	Ya ce, "To, ka fita daga gare ta, dõmin lalle kai la'ananne ne."
078_00	"Kuma lalle a kanka akwai la'anaTa har zuwa rãnar sakamako."
079_00	Ya ce, "Ya Ubangijina! To, Ka yi mini jinkiri zuwa ga rãnar da ake tãyar da su."
080_00	Ya ce, "To, lalle kanã daga waɗanda aka yi wa jinkiri,
081_00	"Zuwa ga yinin lõkaci sananne."
082_00	Ya ce, "To, inã rantsuwa da buwãyarKa, lalle, inã ɓatar da su gabã ɗaya.
083_00	"Fãce bãyinKa tsarkakakku daga gare su."
084_00	(Allah) Ya ce, "To, (wannan magana ita ce) gaskiya. Kuma gaskiya Nake faɗa."
085_00	"Lalle zã Ni cika Jahannama daga gare ka, kuma daga wanda ya bĩ ka daga gare su, gabã ɗaya"
086_00	Ka ce: "Bã ni tambayar ku wata ijãra, a kansa kuma bã ni daga mãsu ƙãƙalen faɗarsa."
087_00	"Shĩ (Alkur'ãn) bai zama ba fãce ambato ne ga dukan halitta."
088_00	"Kuma lalle zã ku san babban lãbãrinsa a bayan ɗan lõkaci."
