001_00	A. L̃.R. Waɗancan ãyõyin littãfi ne kyautatacce.
017_00	"Sabõda haka wãne ne mafi Zãlunci daga wanda ya ƙirƙira ƙarya ga Allah, kõ kuwa ya ƙaryata ãyõyinSa? Haƙĩƙa, mãsu laifibã su cin nasara!"
018_00	Kuma sunã bautã wa, baicin Allah, abin da bã ya cũtar dasu kuma bã ya amfãninsu, kuma sunã cẽwa: "Waɗannan ne macẽtanmu a wurin Allah."Ka ce: "Shin, kunã bai wa Allah lãbãri ne, ga abin da bai sani ba, a cikin sammai ko a cikin ƙasa?
018_01	TsarkinSa ya tabbata kuma Yã ɗaukaka daga gabin da duk suke yin shirki da Shi."
019_00	Kuma mutãne ba su kasance ba fãce al'umma guda, sa'an nan kuma suka sãɓã wa jũna, kuma ba dõmin wata kalma ba wadda ta gabãta daga Ubangijinka, dã an yi hukunci a tsakãninsu a kan abin da yake a cikinsa suke sãɓã wa jũna.
020_00	Kuma sunã cẽwa: "Don me ba a saukar da wata ãyã ba a gare shi, daga Ubangijinsa?" To, ka ce: "Abin sani kawai, gaibi ga Allah yake. Sai ku yi jira. Lalle ne nĩ, tãre da ku, inã daga mãsu jira."
021_00	Kuma idan Muka ɗanɗanã wa mutãne wata rahama, a bãyan wata cũta tã shãfe su, sai gã su da mãkirci a cikin ãyõyinMu.
021_01	Ka ce: "Allah ne mafi gaggãwar (sakamakon) mãkirci." Lalle ne ManzanninMu sunã rubũta abin da kuke yi na mãkirci.
022_00	Shĩ ne wanda Yake tafiyar da ku a cikin tudu da (kuma) tẽku, sai idan kun kasance a cikin jirãge, su gudãna tãre da su da iska mai
022_01	dãɗi, kuma su yi farin ciki da ita, sai wata gũguwa ta je wa jirãgen, kuma tãguwar ruwa ta jẽ musu daga kõwane wuri, kuma su tabbata cẽwa
022_02	sũ, an kẽwaye su, sai su kirãyi Allah, sunã mãsu tsarkake addini gare Shi, (sunã cẽwa): Lalle ne idanKa kuɓutar da mu daga wannan, haƙĩƙa munã kasancẽwa daga mãsu gõdiya.
023_00	To, a lõkacin da Ya kuɓutar da su, sai, gã su sunã zãlunci a cikin ƙasa, bã da wanĩ hakki ba. Yã ku mutãne!
023_01	Abin sani kawai, zãluncinku a kanku yake, a bisa rãyuwar dũniya. Sa'an nan kuma zuwa gare Mu makõmarku take, sa'an nan Mu bã ku lãbãri game da abin da kuka kasance kunã aikatãwa,
024_00	Abin sani kawai, misãlin rãyuwar dũniya kamar ruwa ne Muka saukar da shi daga sama, sa'an nan tsiron ƙasa ya garwaya da shi.
024_01	Daga abin da mutãne da dabbõbi suke ci, har idan ƙasa ta riƙi zinãriyarta kuma ta yi ƙawa, kuma mutãnenta suka zaci cẽwa sũ ne mãsu ĩkon yi a kanta, sai umurninMu ya je mata da dare kõ kuma da rãna, sai Mu maishẽta girbabba kamar ba ta wadãta ba a jiya.
024_02	Kamar wannan ne Muke rarrabe ãyõyi, daki-daki, ga mutãne waɗanda suke tunãni.
025_00	Kuma Allah Yanã kira zuwa ga gidan aminci, kuma, Yanã shiryar da wanda Yake so zuwa ga tafarki madaidaici.
026_00	Waɗanda suka kyautata yi, sunã da abu mai kyãwo kuma da ƙari, wata ƙũra bã ta rufe fuskõkinsu, kuma haka wani ƙasƙanci. waɗancan ne abokan Aljanna, sunã madawwama a cikinta.
027_00	Kuma waɗanda suka yi tsirfar mũnanan ayyuka, sakamakon mummuna da kamarsa yake, kuma ƙasƙanci yanã rufe su.
027_01	Bã su da wani matsari daga Allah, kamar an rufe fuskokinsu da guntãyen ƙirãruwa daga dare mai duhu. Waɗannan ne abõkan wuta, sunã madawwama a cikinta.
028_00	Kuma a rãnar da Muke tãra su gabã ɗaya, sa'an nan kuma Mu ce wa waɗanda suka yi shirki, "Ku kãma matsayinku,
028_01	kũ da abũbuwan shirkĩnku." Sa'an nan Mu rarrabe a tsakãninsu, kuma abũbuwan shirkinsu su ce: "Bã mũ kuka kasance kunã bauta wa ba."
029_00	"To, kuma Allah Yã isa zama shaida a tsakãninmu da tsakãninku. Haƙĩƙa mun kasance ba mu san kõme ba na bautãwarku a gare mu!"
030_00	A can ne kõwane rai yake jarraba abin da ya bãyar bãshi, kuma aka mayar da su zuwa ga Allah, Majiɓincinsu Tabbatacce kuma, abin da suka kasance sunã ƙirƙirãwa ya ɓace musu.
031_00	Ka ce: "Wãne ne Yake azurtã ku daga sama da ƙasa?
031_01	Shin kõ kuma Wãne ne Yake mallakar jĩ da ganĩ, kuma Wãne ne Yake fitar da mai rai daga mamaci, kuma Ya fitar da mamaci daga mai rai, Kuma Wãne ne Yake shirya al'amari?" To, zã su ce: "Allah ne." To, ka ce: "Shin fa, bã zã ku yi taƙawa ba?"
032_00	To, Wancan ne Allah, Ubangijinku Tobbatacce. To, mẽne ne a bãyan gaskiya fãce ɓãta? To, yãya ake karkatar da ku?
033_00	Kamar wancan ne kalmar Ubangijinka, ta tabbata a kan waɗanda suka yi fãsiƙanci, cẽwa haƙĩƙa sũ, bã zã su yi ĩmãni ba.
034_00	Ka ce: "Shin, daga abũbuwan shirkinku akwai wanda yake fãra halitta, sa'an nan kuma ya mayar da ita?" Ka ce: "Allah ne Yake fãra halitta, sa'an nan kuma Ya mayar da ita. To, yãyã akejũyar da ku?"
035_00	Ka ce: "Shin, daga abũbuwan shirkinku akwai wanda yake shiryarwa zuwa ga gaskiya?" Ka ce: "Allah ne Yake shiryarwa zuwa ga gaskiya. Shin fa, wanda Yake shiryarwa ne mafi cancantar a bi Shi, ko kuwa wanda bã ya shiryarwa fãce dai a shiryar da shi?
035_01	To, mẽne ne a gare ku? Yãya kuke yin hukunci?"
036_00	Kuma mafi yawansu bã su biyar kõme fãce zato. Lalle ne zato bã ya wadãtar da kõme daga gaskiya. Lalle Allah ne Masani ga abin da suke aikatãwa.
037_00	Kuma wannan Alƙur'ãni bai kasance ga a ƙirƙira shi ba daga wanin Allah, kuma amma shi gaskatawar wannan ne da yake a gabãninsa da bayãnin hukuncin littãffan Allah, Bãbu shakka a cikinsa, daga Ubangijin halittu yake.
038_00	Kõ sunã cẽwa, "Yã ƙirƙira shi?" Ka ce: "Ku zo da sũra guda misãlinsa, kuma ku kirãyi wanda kuka iya duka, baicin Allah, idan kun kasance mãsu gaskiya."
039_00	Ã'a, sun ƙaryata game da abin da ba su kẽwaye da saninsa ba, kuma fassararsa ba ta riga ta jẽ musu ba. Kamar waɗancan ne waɗanda suke a gabãninsu. Sai ka dũba, yãya ãƙibar azzãlumai ta kasance?
040_00	Kuma daga cikinsu akwai wanda yake yin ĩmãni da Shi, kuma daga cikinsu akwai wanda bã ya yin ĩmãni da Shi. Kuma Ubangijinka ne Mafi sani ga maɓarnata.
041_00	Kuma idan sun ƙaryata ka, to, ka ce: "Inã da aikĩna kuma kunã da aikinku, kũ kuɓutattu ne daga abin da nake aikatãwa kuma ni kuɓutacce ne daga abin da kuke aikatãwa."
042_00	Kuma daga cikinsu akwai waɗanda suke saurare zuwa gare ka. Shin fa, kai kana jiyar da kurma, kuma kõ dã sun kasance bã su hankalta?
043_00	Kuma daga cikinsu akwai wanda yake tsõkaci zuwa gare ka. Shin fa, kai kana shiryar da makãfi, kuma kõ dã sun kasance bã su gani?
044_00	Lalle ne Allah ba Ya zãluntar mutãne da kõme, amma mutãnen ne ke zãluntar kansu.
045_00	Kuma rãnar da Yake tãra su, kamar ba su zauna ba fãce sa'a guda daga yini. Sunã gãne jũna a tsakãninsu.
045_01	Haƙĩƙa, waɗanda suka ƙaryata game da gamuwa da Allah sun yi hasãra. Kuma ba su kasance mãsu shiryuwa ba.
046_00	Kuma imma dai, haƙĩƙa, Mu nũna maka sãshen abin da Muke yi musu alkawari, kõ kuwa Mu karɓi ranka, to, zuwa gare Mu makõmarsu take. Sa'an nan kuma Allah ne shaida a kan abin da suke aikatãwa.
047_00	Kuma ga kõwace al'umma akwai Manzo. Sa'an nan idan Manzonsu ya je, sai a yi hukunci a tsakãninsu da ãdalci, kuma sũ, bã a zãluntar su.
048_00	Kuma sunã cẽwa, "A yaushe wannan wa'adi zai auku, idan kun kasance mãsu gaskiya?"
049_00	Ka ce: "Ba na mallaka wa kaina wata cũta, haka kuma wani amfãni, sai abin da Allah Ya so.
049_01	Ga kõwace al'umma akwai ajali, idan ajalinsu ya zo, to, bã zã su yi jinkiri daga gare shi ba, kõ dã sã'ã guda, kuma bã zã su gabãta ba."
050_00	Ka ce: "Shin, kun gani, idan azãbarSa ta zo muku da dare ko da rãna? Mẽne ne daga gare shimãsu laifi suke nẽman gaggãwarsa?"
051_00	Shin sa'an nan kuma idan har ya auku, kun yi ĩmãni da shi? Ashe? Yanzu kuwa, alhãli kun kasance game da shi kunã nẽman gaggãwar aukuwarsa?
052_00	Sa'an nan kuma aka ce ga waɗanda suka yi zãlunci, "Ku ɗanɗani azãbar dawwama! Shin, anã sãka muku fãce da abin da kuka kasance kuna aikatãwa?"
053_00	Kuma sunã tambayar ka: Shin gaskiya ne? Ka ce: "Ĩ, ina rantsuwa da Ubangijĩna. Lalle gaskiya ne, kuma ba ku zama mãsu buwãya ba."
054_00	Kuma dã kõwane rai wanda ya yi zãlunci yã mallaki duka abin da yake a cikin ƙasa, to, dã yã yi fansa da shi.
054_01	Kuma suka dinga nadãma a lõkacin da suka ga azãba. Sa'an nan aka yi hukunci a tsakãninsu da ãdalci, kuma bã zã a zãlunce su ba.
055_00	To! Haƙĩƙa Allah Ya mallaki abin da yake a cikin sammai da ƙasa. To! Haƙĩƙa wa'adin Allah gaskiya ne. Amma kuma mafi yawansu ba su sani ba.
056_00	Shi ne Yake rãyarwa kuma Yake matarwa. Kuma zuwa gare Shi ne ake mayar da ku.
057_00	Ya ku mutãne! Lalle wa'azi yã jẽ muku daga Ubangijinku, da waraka ga abin da yake a cikin ƙirãza, da shiriya da rahama ga muminai.
058_00	Ka ce: "Da falalar Allah da rahamarSa. Sai su yi farin ciki da wannan." Shĩ ne mafi alhẽri daga abin da suke tãrãwa.
059_00	Ka ce: "Shin, kun ga abin da Allah Ya saukar sabõda ku na arziki, sai kuka sanya hukuncin haramci da halacci a gare shi?" Ka ce: "Shin, Allah ne Ya yi muku izni, ko ga Allah kuke ƙirƙirãwar ƙarya?"
060_00	Kuma mẽne ne zaton waɗanda suke ƙirƙira ƙarya ga Allah, a Rãnar ¡iyãma? Lalle haƙĩƙa, Allah Ma, abũcin falala ne a kan mutãne, amma kuma mafi yawansu bã su gõdẽwa.
061_00	Kuma ba ka kasance a cikin wani sha'ani ba, kuma ba ka karanta wani abin karatu daga gare shi ba, kuma ba ku aikata wani aiki ba, fãce Mun kasance Halarce a lõkacin da kuke zubuwa a cikinsa.
061_01	Kuma wani ma'aunin zarra bã zai yi nĩsa ba daga Ubangijinka a cikin ƙasa, haka kuma a cikin sama, kuma bãbu wanda yake mafi ƙaranci daga haka, kuma bãbu mafi girma, fãce yana a cikin littãfi bayyananne.
062_00	To, Lalle ne masõyan Allah bãbu tsõro a kansu, kuma bã zã su kasance sunã yin baƙin ciki ba.
063_00	Waɗanda suka yi ĩmãni kuma suka kasance sunã yin taƙawa.
064_00	Sunã da bushãra a cikin rãyuwar dũniya da ta Lãhira. Bãbu musanyãwa ga kalmõmin Allah. Wancan shi ne babban rabo mai girma,
065_00	Kada maganarsu ta sanya ka a cikin baƙin ciki. Lalle ne alfarma ga Allah take gaba ɗaya. Shi ne Mai jĩ, Masani.
066_00	To! Haƙĩƙa Allah Yanã da mulkin wanda ke a cikin sammai da wanda ke a cikin ƙasa kuma waɗanda suke kiran wanin Allah, bã su biyar waɗansu abõkan tarẽwa (ga Allah a MulkinSa).
066_01	Bã su biyar kõme fãce zato. Kuma ba su zama ba fãce sunã ƙiri faɗi kawai.
067_00	Shĩ ne wanda Ya sanya muku dare, dõmin ku natsu a cikinsa, da yini mai sanya a yi gani. Lalle ne a cikin wannan akwai ãyõyi ga mutãne waɗanda sukẽ ji.
068_00	Suka ce: "Allah Ya riƙi ɗa." Tsarkinsa yã tabbata!
068_01	Shi ne wadãtacce Yanã da mallakar abin da yake, a cikin sammai da abin da yake a cikin ƙasa, A wurinku bãbu wani dalĩli game da wannan! Shin, kunã faɗar abin da ba ku sani ba game da Allah?
069_00	Ka ce: "Haƙĩƙa waɗanda suke ƙirƙira ƙarya ga Allah, bã zã su ci nasara ba."
070_00	Jin dãɗi ne a cikin dũniya, sa'an nan kuma makõmarsu zuwa gare Mu take, sa'an nan Mu ɗanɗana musu azãba mai tsanani sabõda abin da suka kasance sunã yi na kãfirci.
071_00	Kuma ka karanta musu lãbãrin Nũhu, a lõkacin da ya ce wa mutãnensa, "Ya mutãnẽna!
071_01	Idan matsayĩna da tunãtarwata ameda ãyõyin Allah sun kasance sun yi nauyi a kanku, to, ga Allah na dõgara. Sai ku tãra al'amarinku, kũ da abũbuwan shirkinku, sa'annan kuma kada al'amarinku ya kasance rufaffe a kanku, sa'an nan kuma ku kashe ni, kada ku yi mini jinkiri."
072_00	"Kuma idan kuka jũya bãya, to, ban tambaye ku wata ijãra ba. ljãrata ba ta zama ba fãce daga Allah, kuma an umurce ni da in kasance daga mãsu sallamãwa."
073_00	Sai suka ƙaryata shi, sa'an nan Muka kuɓutar da shi da wanda yake tãre da shi, a cikin jirgi, kuma Muka sanya su mãsu mayẽwa, kuma Muka nutsar da waɗanda suka ƙaryata ãyõyinMu.
073_01	Sai ka dũba yadda ãƙibar waɗanda aka yi wa gargaɗi ta kasance.
074_00	Sa'an nan kuma Muka aika waɗansu Manzanni daga bãyansa zuwa ga mutãnensu, suka jẽmusu da hujjõji bayyanannu, to, ba su kasance zã su yi ĩmãni ba sabõda sun ƙaryata shi a gabani.
074_01	Kamar wannan ne Muke rufẽwa a kan zukãtan mãsu ta'addi.
075_00	Sa'an nan kuma a bãyansu Muka aika Mũsa da Hãrũna zuwa ga Fir'auna da mashãwartansa, tãre da ãyõyinMu. Sai suka kangara kuma sun kasance mutãne mãsu laifi.
076_00	Sa'an nan a lõkacin da gaskiya ta jẽ musu daga gare Mu, suka ce: "Wannan haƙĩƙa sihiri ne bayyananne."
077_00	Mũsã ya ce: " Shin, kunã cẽwa ga gaskiya a lõkacin data zo muku? Shin, sihiri ne wannan? Lalle masihirci, bã ya cin nasara."
078_00	Suka ce: "Shin, ka zo mana ne dõmin ka jũyar da mu daga abin da muka iske ubanninmu a kansa, kuma girma ya kasance gare ku, ku biyu a cikin ƙasa? Bã zã mu zama mãsu ĩmãni ba sabõda ku."
079_00	Kuma Fir'auna ya ce: "Ku zo mini da dukan masihirci, masani."
080_00	To, a lõkacin da masihirta suka je, Mũsã ya ce musu,"Ku jẽfa abin da kuke jẽfãwa."
081_00	To, a lõkacin da suka jẽfa, Mũsa ya ce: "Abin da kuka zo da shi sihiri ne. Lalle ne Allah zai ɓãta shi. Haƙĩƙa Allah bã Ya gyãra aikin maɓarnata.
082_00	"Kuma Allah Yanã tabbatar da gaskiya da kalmõminSa, kõ dã mãsu laifi sun ƙi."
083_00	Sa'an nan bãbu wanda ya yi ĩmãni da Mũsa fãce zuriya daga mutãnensa, a kan tsõron kada Fir'auna da shũgabanninsu su fitinẽ su.
083_01	Lalle, haƙĩƙa, Fir'auna marinjãyi ne a cikin ƙasa, kuma lalle shĩ haƙĩƙa, yanã daga mãsu ɓarna.
084_00	Kuma Mũsã ya ce: "Yã kũ mutãnena! Idan kun kasance kun yi ĩmãni da Allah, to, a gare Shi sai ku dõgara, idan kun kasance Musulmi."
085_00	Sai suka ce: "Ga Allah muka dõgara. Yã Ubangijinmu! Kada Ka sanyã mu fitina ga mutãne azzãlumai.
086_00	"Kuma Ka kuɓutar da mu dõmin RahamarKa, daga mutãne kãfirai."
087_00	Kuma Muka yi wahayi zuwa ga Mũsã da ɗan'uwansa, cẽwa: Kũ biyu, ku zaunar da mutãnenku a Masar a cikin wasu gidãje. Kuma ku sanya gidãjenku su fuskanci Alƙibla, kuma ku tsayar da salla. Kuma ku bãyar da bushãra ga mãsu ĩmãni.
088_00	Sai MũSã ya ce: "Yã Ubangijinmu! Haƙĩƙa Kai ne Ka bai wa Fir'auna da majalisarsa ƙawa da dũkiyõyi a cikin rãyuwar dũniya, yã Ubangijinmu, dõmin su ɓatar (damutãne) daga hanyarKa.
088_01	Yã Ubangijinmu! Ka shãfe a kan dũkiyarsu kuma Ka yi ɗauri a kan zukãtansu yadda bã zã su yi ĩmãni ba har su ga azãba mai raɗaɗi."
089_00	(Allah) Yã ce: "Lalle ne an karɓi addu'arku. Sai ku daidaitu kuma kada ku bi hanyar waɗanda ba su sani ba."
090_00	Kuma Muka ƙẽtãrar da Banĩ Isrã'ila tẽku sai Fir'auna da rundunarsa suka bĩ su bisa ga zãlunci da ƙẽtare haddi, har a lõkacin da nutsẽwa ta
090_01	riske shi ya ce: "Nã yi ĩmãni cẽwa, haƙĩƙa, bãbu abin bautawa fãce wannan da Banũ Isrã'il suka yi ĩmãni da Shi, kumanĩ, ina daga Musulmi."
091_00	Ashe! A yanzu! Alhãli kuwa, haƙĩƙa ka sãɓa a gabãni, kuma ka kasance daga mãsu ɓarna?
092_00	To, a yau Munã kuɓutar da kai game da jikinka, dõmin ka kasance ãyã ga waɗanda suke a bãyanka. Kuma lalle ne mãsu yawa daga mutãne, haƙĩƙa, gafalallu ne ga ãyõyinMu.
093_00	Kuma lalle ne haƙĩƙa Mun zaunar da Banĩ Isrã'ilamazaunar gaskiya kuma Muka arzũta su daga abũbuwa mãsu dãɗi.
093_01	Sa'an nan ba su sãɓa ba har ilmi ya jẽ musu. Lalle ne Ubangijinka Yanã yin hukunci a tsakãninsu a Rãnar Kiyãma a cikin abin da suka kasance sunã sãɓa wa jũna.
094_00	To, idan ka kasance a cikin shakka daga abin da Muka saukar zuwa gare ka, sai ka tambayi waɗanda suke karatun Littãfi daga gabaninka.
094_01	Lalle ne, haƙĩƙa, gaskiya tã jẽ maka daga Ubangijinka dõmin haka kada ka kasance daga mãsu kõkanto.
095_00	Kuma kada ka kasance daga waɗanda suke ƙaryatãwa game da ãyõyin Allah, har ka kasance daga mãsu hasãra.
096_00	Lalle ne waɗanda kalmar Ubangijinka ta wajaba a kansu, bã zã su yi ĩmãni ba.
097_00	Kuma kõ dã kõwace ãyã ta jẽ musu, sai sun ga azãba mai raɗaɗi.
098_00	To, dõmin me wata alƙarya ba ta kasance ta yi ĩmãniba har ĩmãninta ya amfãne ta, fãcemutãnen Yũnus? A lõkacin da suka yi ĩmãni, Munjanye azãbar wulãkanci daga gare su a cikin rãyuwar dũniya. Kuma Muka jiyar da su dãɗi zuwa wani lõkaci.
099_00	Kuma dã Ubangijinka Ya so, dã waɗanda suke a cikin ƙasa sun yi ĩmãni dukansu gabã ɗaya. Shin, kai kanã tĩlasta mutãnene har su kasance mãsu ĩmãni?
100_00	Kuma ba ya kasancẽwa ga wani rai ya yi ĩmãni fãce da iznin Allah, kuma (Allah) Yanã sanya ƙazanta a kan waɗanda bã su yin hankali.
101_00	Ka ce: "Ku dũbi abin da yake cikin sammai da ƙasa."Kuma ãyõyi da gargaɗi bã su wadãtarwa ga mutãne waɗanda bã su yin ĩmãni.
102_00	To, Shin sunã jiran wani abu fãce kamar misãlin kwãnukan waɗanda suka shũɗe daga gabãninsu? Ka ce: "Ku yi jira! Lalle nĩ tãre da ku, inã daga mãsu jira."
103_00	Sa'an nan kuma Munã kuɓutar da manzanninMu da waɗanda suka yi ĩmãni, kamar wannan ne, tabbatacce ne a gare Mu, Mu kuɓutar da mãsu ĩmãni.
104_00	Ka ce: "Yã kũ mutãne!
104_01	Idan kun kasance a cikin kõkanto daga addinĩna, to bã ni bauta wa, waɗanda kuke, bautã wa, baicin Allah, kuma amma ina bauta wa Allah wanda Yake karɓar rãyukanku. Kuma an umurce ni da in kasance daga mãsu ĩmãni."
105_00	"Kuma (an ce mini): Ka tsayar da fuskarka ga addini, kanã karkatl zuwa ga gaskiya, kuma kada ka kasance daga mãsu shirka.
106_00	"Kuma kada ka kirãyi, baicin Allah, abin da bã ya amfãnin ka kuma bã ya cũtar ka. To, idan ka aikata haka, sa'an nan lalle kai, a lõkacin, kanã daga mãsu zãlunci."
107_00	Kuma idan Allah Ya shãfe ka da wata cũta, to, bãbu mai yãyẽ ta fãce shi, kuma idan Yanã nufin ka da wani alhẽri, to, bãbumai mayar da falalarSa.
107_01	Yanã sãmun wanda Yake so daga cikin bãyinSa da shi. Kuma Shĩ ne Mai gãfara, Mai jin ƙai.
108_00	Ka ce: "Yã ku mutãne! Lalle ne gaskiya, ta zo muku daga Ubangijinku.
108_01	To, wanda ya shiryu, yã shiryu ne dõmin kansa kawai, kuma wanda ya ɓace yana ɓacewa ne a kansa kawai. Kuma ban zama wakĩli a kanku ba."
109_00	Kuma ka bi abin da ake yin wahayinsa zuwa gare ka, kuma ka yi haƙuri har Allah Ya yi hukunci. Kuma Shĩ ne Mafi alhẽrin mãsu hukunci.
