001_00	A. L̃. M̃.
022_00	"Kuma ba ku zamo mãsu buwãya ba a cikin ƙasã, kuma haka a cikin sama kuma bã ku da wani majiɓinci wanda ba Allah ba, kuma ha ku da wani mataimaki."
023_00	Kuma waɗanda suka kãfirta da ãyõyin Allah da gamuwa da shi, waɗannan sun yanke ƙauna daga rahamaTa kuma waɗannan sunã da wata azãba mai raɗaɗi.
024_00	Sa'an nan bãbu abin da ya kasance jawãbin mutãnensa (Ibrãhĩm) fãce dai suka ce: "Ku kashe shi kõ, ku ƙõnã shi," Sai Allah Ya tsĩrar da shi daga wutã. Lallea cikin wannan akwai ayõyi ga mutãnen da ke yin ĩmãni.
025_00	Kuma Ibrahĩm ya ce "Bãbu abin da kuka yi sai dai kub bar Allah kun riƙi gumãka sabõda sõyayyar tsakãninku a cikin
025_01	rãyuwar dũniya, a'an nan a Rãnar ¡iyãma sãshinku zai kãfirce wa sãshi, kuma makõmarku ita ce wutã kuma bã ku da waɗansu mataimaka."
026_00	Sai Lũɗu ya yi ĩmãni da shi. Kuma Ibrãhĩm ya ce: "Lallenĩ mai ƙaura ne zuwa ga Ubangijina. Lalle Shĩ Shĩ ne Mabuwãyi, Mai hikima."
027_00	Kuma Muka bã shi Ishãƙa da Ya'aƙũba, kuma Muka sanya Annabci da littãfi a cikin zuriyarsa.
027_01	Kuma Mun bã shi sakamakonsa a dũniya, kuma lalle shĩ a Lãhira, tabbas, yanã a cikin sãlihai.
028_00	Da Lũɗu, a lõkacin daya ce wa mutãnensa, "Lalle kũ, haƙĩƙa kunã jẽ wa alfãsha wadda wani mahalũƙi daga cikin dũniya bai riga ku gare ta ba.
029_00	"Ashe, lalle kũ kunã je wa maza, kuma ku yi fashin hanya kuma ku je, a cikin majalisarku da abin da bã shi da kyau?
029_01	To, jawãbin mutãnensa bai kasance ba fãce dai sun ce: 'Ka zo mana da azãbar Allah, idan ka kasance daga mãsu gaskiya.'"
030_00	Ya ce: "Ya Ubangijĩna! Ka taimake ni a kan mutãnen nan maɓarnata."
031_00	Kuma a lõkacin da ManzanninMu suka jẽ wa Ibrãhĩm da bushãra suka ce: "Lalle mu mãsu halaka mutãnen, wannan alƙarya ne. Lalle mutãnenta sun kasance mãsu zãlunci."
032_00	Ya ce: "Lalle akwai Lũɗu a cikinta!" Suka ce: "Mũ ne mafiya sani ga waɗanda suke a cikinta, lalle munã tsĩrar da shi da mutãnensa, fãce fa mãtarsa ta kasance a cikin mãsu wanzuwa."
033_00	Kuma a lõkacin da ManzanninMu suka je wa Lũɗu ya ɓãta rai sabõda su, kuma yã ƙuntata ga kirji sabõda su.
033_01	Kuma suka ce: "Kada ka ji tsõro kuma kada ka yi baƙin ciki lalle mũ mãsu tsĩrar da kai ne da iyãlanka, fãce dai matarka ta kasance daga mãsu wanzuwa.
034_00	"Lalle mũ, mãsu saukar da azãba ne daga sama a kan mutãnen wannan alƙarya sabõda abin da suka kasance sunã yi na fãsiƙanci."
035_00	Kuma lalle Mun bar wata ãyã bayyananna daga gare ta ga mutãne mãsu hankalta.
036_00	Kuma zuwa ga Madyana, Mun aika ɗan'uwansu shu'aibu, sai ya ce: "Ya mutãnena! Ku bauta wa Allah kuma ku yi fatan (rahamar) Rãnar Lãhira, kuma kada ku yi ɓarna a cikin ƙasã, alhãli kuwa kunã mãsu lãlãtarwa."
037_00	Sai suka ƙaryata shi, sabõda haka tsãwa ta kãmã su, dõmin haka suka wãyi gari sunã guggurfãne.
038_00	Da Ãdawa da Samũdãwa alhãli kuwa lalle alãmun azãba sun bayyana a gare su daga gidãjensu kuma Shaiɗan ya ƙawãta musu ayyukansu, sabõda haka ya kange su daga hanyar Allah, kuma sun kasance mãsu basĩra!
039_00	Kuma ¡ãrũna da Fir'auna da Hãmãna, kuma lalle Mũsaya je musu da hujjõji, sai suka yi girman kai a cikin ƙasã kuma ba su kasance mãsu tsẽrẽwa ba.
040_00	Sabõda haka kõwanensu Mun kama shi da laifinsa.
040_01	Watau daga cikinsu akwai wanda Muka aika iskar tsakuwa a kansa kuma daga cikinsu akwai wanda tsãwa ta kãmã, kuma daga cikinsu akwai wanda Muka birkice ƙasã da shi kuma daga cikinsu akwai wanda Muka nutsar.
040_02	Bã ya yiwuwa ga Allah Ya zãlunce su, amma sun kasance kansu suke zãlunta.
041_00	Misãlin waɗanda suka riƙi waɗansu masõya waɗanda bã Allah ba, kamar misãlin gizõgizo ne wanda ya riƙi
041_01	wani ɗan gida, alhãli kuwa lalle mafi raunin gidãje, shĩ ne gidan gizogizo, dã sun kasance sunã sane.
042_00	Lalle Allah Yanã sane da abin da suke kira wanda bã Shi ba na wani abu duka kuma shĩ ne Mabuwãyi, Mai hikima.
043_00	Kuma waɗancan misãlan Munã bayyana su ga mutãne kuma bãbu mai hankalta da su sai mãsu ilmi.
044_00	Allah Ya halitta sammai da ƙasa da gaskiya. Lalle cikin wancan akwai ãyã ga mũminai.
045_00	Ka karanta abin da ake yin wahayi zuwa gare ka daga Littãfi, kuma ka tsayar da salla.
045_01	Lalle salla tanã hanãwa daga alfãsha da abni ƙyãma, kuma lalle ambaton Allah ya fi girma, kuma Allah Yanã sane da abin da kuke aikatãwa.
046_00	Kada ku yi jayayya da mazowa Littãfi sai fa da magana wadda ta fi kyau, sai fa waɗanda suka yi zãlunci daga gare su, kuma ku ce, "Mun yi ĩmãni
046_01	da abin da aka saukar a gare mu kuma aka saukar a gare ku, kuma Abin bautãwarmu da Abin bautãwarku Guda ne, kama mũ mãsu sallamãwa ne a gare shi."
047_00	Kuma kamar haka Muka saukar da Littafi a gare ka, to, waɗannan da Muka bai wa Littãfi sanã
047_01	ĩmãni da shi, daga cikin wãɗannan akwai mai ĩmãni da shi, kuma bãbu mai musun ãyõyinMu, fãce kãfirai.
048_00	Kuma ba ka kasance kana karãtun wani littãfi ba a gabãninsa, kuma bã ka rubũtunsa da dãmanka dã haka yã auku, dã mãsu ɓarnã sun yi shakka.
049_00	Ã'a, shĩ ãyõyi ne bayyanannu a cikin ƙirãzan waɗanda aka bai wa ilmi. Kuma bãbu mai musun ãyõyinMu fãce azzãlumai.
050_00	Kuma suka ce: "Don me ba a saukar masa da ãyõi ba daga Ubangijinsa? "Ka ce: "Su ãyõyi a wurin Allah kawai suke, kuma lalle ni mai gargaɗi kawai ne, mai bayyanãwa."
051_00	Shin bai ishe su ba cẽwa lalle Mũ, Mun saukar da Littãfin akanka, anã karanta shi a kansu? Lalle a cikin wancan haƙĩƙa akwai rahama da tunãtawa ga mutanen da ke yin ĩmãni.
052_00	Ka ce: "Allah Yã isa shaida a tsakãnĩna da tsakãnĩnku Yanã sane da abin da ke a cikin
052_01	sammai da ƙasã, kuma waɗanda suka yi ĩmãni da ɗarya kuma suka kãfirta da Allah, waɗannan sũ nemãsu hasãra."
053_00	Kuma suna nẽman ka da gaggauta azãba, to, bã dõmin ajali ƙayyadadde ba, dã azãba ta jẽ musu kuma lalle dã tanã iske su bisa ia abke, alhãli kuwa sũ ba su sani ba.
054_00	Sunã nẽman ka da gaggauta azãba, kuma lalle Jahannama, tabbas, mai kẽwayewa ce gakãfirai.
055_00	Rãnar da azãba ke rufe su daga samansu da kuma ƙasan ƙafafunsu kuma Ya ce: "Ku ɗanɗani abin da kuka kasance kunã aikatãwa."
056_00	Yã bãyiNa, waɗanda suka yi ĩmãni! Lalle fa ƙasãTa mai yalwã ce, sabãda haka ku bauta Mini.
057_00	Kõwane rai mai ɗanɗanar mutuwa ne, sa'an nan zuwa gare Mu ake mayar da ku.
058_00	Kuma waɗanda suka yi ĩmãni kuma suka aikata ayyukan ƙwarai, lalle zã Mu zaunar da su daga cikin Aljanna a gidãjen bẽne, ƙoramu nã gudãna daga ƙarƙashinsu, sunã madawwama a cikinsu. To, madalla da sakamakon mãsu aikin ƙwarai.
059_00	Waɗanda suka yi haƙuri, kuma sunã dõgara ga Ubangijinsu kawai.
060_00	Kuma da yawa dabba wadda bã ta ɗaukar abincinta Allah Yanã ciyar da ita tãre da ku, kuma Shĩ ne Mai ji, Mai ilmi.
061_00	Lalle idan ka tambaye su: "Wãne ne ya halitta sammai da ƙasã kuma ya hõre rãnã da watã?" Lalle sunã cẽwa Allah ne. TO, yãya ake karkatar da su?
062_00	A1lah ne ke shimfiɗa arziki ga wanda Yake so daga cikin bãyinsa kuma Yanã ƙuntãtãwa ga (wanda, Yake so). Lalle Allah, Masani ne ga dukan kõme.
063_00	Kuma lalle idan ka tambaye su.
063_01	"Wãne ne ya saukar da ruwa daga sama, har ya rãyar da ƙasã game da shi a bãyan mutuwarta?" Lalle sunã cẽwa, "Allah ne." Ka ce: "Gõdiya tã tabbata ga Allah." Ã'a, mafi yawansu bã su hankalta.
064_00	Kuma wannan rãyuwa ta dũniya ba ta zamo ba, fãce abar shagala da wãsã kuma lalle Lãhira tabbas, ita ce rãyuwa, dã sun kasance sunã sani.
065_00	To, a lõkacin da suka shiga cikin jirgin ruwa, sun kirãyi Allah sunã mãsu tsarkake addini a gare shi, to, a lõkacin da Ya tsĩrar da su zuwa ga tudun ƙasã, sai gã su sunã shirki.
066_00	Dõmin su kãfirce wa abin da Muka bã su kuma dõmin su ji dãɗi sa'an nan kuma zã su sani.
067_00	Shin, ba su ga cẽwa, lalle Mun sanya Hurumi amintacce ba alhãli kuwa anã fisge mutãne a gẽfensu? Shin, da ɓãtaccen abu suke ĩmãni kuma da ni'imarAllah suka kãfirta?
068_00	Kuma wãne ne ya fi zãlunci bisa ga wanda ya ƙirƙira ƙarya ya jingina ta ga Allah, kõ kuma ya ƙaryata gaskiya a lõkacin da ta je masa? Ashe a cikin Jahannama bãbu mazauna ga kãfirai?
069_00	Kuma wadannan da suka yi ƙõƙari ga nẽman yardarMu, lalle Munã shiryar da su ga hanyõyinMu, kuma lalle Allah, tabbas, Yanã tãre da mãsu kyautatãwa (ga addĩninsu).
