001_00	¦. S̃. Waɗancan ãyõyinAlƙur'ãni ne da Littãfi mai bayyanawa.
037_00	"Ka kõma zuwa gare su. Sa'an nan lalle munã je musu da rundunõni, bãbu wata tãɓukawa gare su game da su, kuma lalle munã fitar da su daga gare ta, sunã mafi wulãkantuwa, kuma sunã ƙasƙantattu."
038_00	Ya ce: "Yã ku mashãwarta! Wannenku zai zo mini da gadonta a gabãnin su zo, sunã mãsu sallamãwa?"
039_00	Wani mai ƙarfi daga aljannu ya ce: "Nĩ inã zo maka da shi a gabãnin ka tãshi daga matsayinka. Kuma llale nĩ a gare shi, haƙĩƙa, mai ƙarfi ne amintacce."
040_00	Wanda yake a wurinsa akwai wani ilmi daga Littafin ya ce: "Ni inã zo maka da shi a gabãnin ƙyaftãwar ganinka ta kõma gare
040_01	ka." To, a lõkacin da ya gan shi matabbaci a wurinsa, ya ce: "Wannan daga falalar Ubangijĩna yake, dõmin Ya jarraba ni: Shin, zan
040_02	gõde ne, kõ kuwa zan butulce! Kuma wanda ya gõde, to, yanã gõdẽwa ne dõmin kansa, kuma wanda ya kãfirta, to, lalle Ubangijina Wadãtacce ne, Karĩmi."
041_00	Ya ce: "Ku canza kamar gadonta gare ta, mu gani, shin zã ta shiryu, kõ kuwa tanã kasancẽwa daga waɗanda bã su shiryuwa."
042_00	To a lõkacin da ta jẽ aka ce "Shin, kamar wannan gadon sarautarki yake?" Ta ce: "Kamar dai shĩne. Kuma an bã mu ilmi daga gabãninta kuma mun kasance mãsu sallamãwar (al'amari ga Allah)."
043_00	Kuma abin da ta kasance tanã bautãwa, baicin Allah, ya kange ta. Lalle ita, tã kasance daga mutãne kãfirai.
044_00	Aka ce mata, "Ki shiga a gidan sarauta." To, a lõkacin da ta gan shi, ta yi zatona wai gurbi ne, kuma ta kuranye daga ƙwaurinta.
044_01	Ya ce: "Lalle ne shi, gidan sarauta ne mai santsi daga madũbai." Ta ce: "Yã Ubangijĩna! Bã a rõƙon Allah sai da sunãyensa mãsu kyau, tis'in da taran nan, sai dai a dunƙule kamar a ce, "Inã rõƙon Allah da sunãyenSa da na sani da waɗanda ban sani ba." Lalle nĩ, na zãlunci kaina, kuma nã sallama al'amari tãre da Sulaiman ga Allah, Ubangijin halittu."
045_00	Kuma lalle ne, haƙĩƙa, mun aika zuwa Samũdãwa da ɗan'uwansu, Salihu (ya ce), "Ku bauta wa Allah." Sai gã su ƙungiyõyi biyu sunã ta husũma.
046_00	Ya ce: "Yã mutãnẽna! Don me kuke nẽman gaggãwa game da mũnanãwa, a gabãnin kyautatãwa. Don me bã ku nẽman Allah gãfara, tsammãninku, zã a yi muku rahama?"
047_00	Suka ce: "Munã shu'umci da kai, kuma da wanda ke tãre da kai." Ya ce: "Shu'umcinku a wurin Allah yake. Ã'a, kũ mutãne ne, anã fitinar ku."
048_00	Kuma waɗansu jama'a tara sun kasance a cikin birnin, sunã yin ɓarna, kuma bã su kyautatãwa. Suka ce: "Ku yi rantsuwa da Allah, lalle zã mu kwãnan masa, shi da mutãnensa sa'an nan mu ce wa waliyyinsa. 'Ba mu halarci halakar mutãnensa ba kuma mũ, haƙĩ ƙa, mãsu gaskiya ne'."
049_00	Kuma suka ƙulla mãkirci, kuma Muka ƙulla sakamakon mãkirci, alhãli sũ ba su sani ba.
050_00	Ka dũba yadda ãƙibar mãkircinsu ta kasance lalle Mũ Mun darkãke su da mutãnensu, gabã ɗaya.
051_00	Waɗancan, gidãjensu ne, wõfintattu sabõda zãluncin da suka yi, lalle ne a wancan akwai ãyã ga mutãne waɗanda suke sani.
052_00	Muka tsĩrar da waɗanda suka yi ĩmãni, kuma sun kasance sunã taƙawa.
053_00	Da Lũdu, a lõkacin da ya ce wa mutãnensa, "Shin kunã jẽ wa alfasha ne, alhãli, kuwa kunã gani?"
054_00	"Shin lalle kũ haƙĩƙa kunã je wa maza da sha'awa baicin mãtã? Ã'a, kũ wasu irin mutãne ne kuna aikin jãhilci."
055_00	49.
056_00	Bãbu abin da ya kasance jawãbin mutãnensa fãce suka ce "Ku fitar da mutãnen Lũɗu daga alƙaryarku, lalle sũ, wasu irin mutãne ne mãsu da'awar sunã da tsarki."
057_00	Sai Muka tsĩrar da shi, shi da mutãnensa, fãce mãtarsa, Mun ƙaddara ta a cikin mãsu wanzuwa.
058_00	Kuma Muka yi ruwa a kansu da wani irin ruwa. To, ruwan waɗanda ake yi wa gargaɗi ya mũnana.
059_00	Ka ce: "Godiya ta tabbata ga A1lah, kuma aminci ya tabbata bisa ga bãyinSa, waɗanda Ya zãɓa." Shin Allah ne Mafi alhẽri koabin da suke yin shirki da Shi?
060_00	Kõ wãne ne Ya halitta sammai da ƙasa kuma Ya saukar muku, daga, sama, wani ruwa, Muka tsirar, game da shi, gõnaki mãsu sha'awa, ba ya kasancẽwa gare ku, ku tsirar da itãcensu?
060_01	Shin, akwai abin bautãwa tãre da Allah? Ã'a, sũ mutãne ne suna daidaitãwa (Allah da wani).
061_00	Kõ kuwa wãne ne Ya sanya ƙasa tabbatacciya, kuma Ya sanya kõguna a tsakãninta kuma Ya sanya mata manyan duwãtsu tabatattu, kuma Ya sanya wani shãmaki a tsakãnin tẽkuna biyu?
061_01	Shin akwai wani abin bautãwa tãre da Allah. Ã'a, mafi yawansu ba su sanĩ ba.
062_00	Kõ wãne ne yake karɓã, kuma ya sanya ku mamãyan ƙasa? Shin akwai wani abin bautawa tãre da Allah? Kaɗan ƙwarai kuke yin tunãni.
063_00	Kõ wãne ne yake shiryarwa a cikin duffan ƙasa da tẽku, kuma wãne ne Yake aikõwar iskõki dõmin bãyar da bushãra a gaba ga rahamarSa?
063_01	Ashe akwai wani abin bautãwa tãre da Allah? tsarki yã tabbata ga Allah daga barin abin da suke shirki da Shi.
064_00	Kõ wãne ne yake fã ra halitta sa'an nan kuma ya mayar da ita, kuma Wãne ne Ya azurta ku daga sama da ƙasa? Ashe, akwai wani abin bautãwa tãre da Allah? Ka ce: "Ku kãwo dalĩlinku idan kun kasance mãsu gaskiya."
065_00	Ka ce: "Bãbu wanda ya san gaibi a cikin sammai da ƙasa fãce Allah. Kuma bã su sansancẽwar a yaushe ne zã a tãyar da su."
066_00	Ã'a, saninsu ya kai a cikin Lãhira Ã'a, sunã cikin shakka daga gare ta. Ã'a, sũ da gare ta makãfin zũci ne.
067_00	Kuma waɗanda suka kãfirta suka ce: "Shin idan mun kasance turɓaya, mu da ubanninmu, shin, haƙĩƙa, waɗanda ake fitarwa ne?"
068_00	"Lalle ne, haƙĩƙa, an yi mana wa'adi ga wannan, mũ da ubanninmu, daga gabãnin haka. Wannan bã kõme ba ne fãce tãtsũniyõyin farko."
069_00	Ka ce: "Ku yi tafiya a cikin ƙasa, sa'an nan ku dũba, yãya ãƙibar mãsu laifi take?"
070_00	Kuma kada ka yi baƙin ciki a kansu, kuma kada ka kasance a cikin ƙuncin rai daga abin da suke ƙullãwa na mãkirci.
071_00	Kuma sunã cẽwa, "A yaushe wannan wa'adi (zai auku), idan kun kasance mãsu gaskiya?"
072_00	Ka ce: "Akwai fatan sãshen abin da kuke, nẽman gaggãwarsa, ya kasance yã kuturta a gare ku."
073_00	Kuma lalle ne Ubangijinka, haƙĩƙa Mai falala ne a kanmutãne kuma amma mafi yawansu, bã su gõdẽwa.
074_00	Kuma lalle Ubangijinka, haƙĩƙa Yanã sanin abin da ƙirãzansu suke, ɓõyẽwa, da abin da suke hayyanãwa.
075_00	Kuma bãbu wata (mas'ala) mai bõyuwa, a cikin sama da ƙasa fãce tanã a cikin littafi bayyananne.
076_00	Lalle ne wannan Alƙur'ãni yanã gaya wa Banĩ Isrãĩla mafi yawan abin da sũ suke sãɓa wa jũnansu a ciki.
077_00	Kuma lalle shi haƙĩƙa shiriya ce da rahama ga mũminai.
078_00	"Lalle Ubangijinka Yanã yin hukunci a tsakãninsu da hukuncinsa, kuma Shi ne Mabuwãyi, Masani."
079_00	Sabõda haka, ka dõgara ga Allah, lalle ne, kai ne a kan gaskiya bayyananniya.
080_00	Lalle ne kai, bã ka jiyar da matattu, kuma bã ka sa kurãme su ji kiranka, idan sun jũya sunã mãsu bãyar da bãya.
081_00	Kuma kai ba ka zama mai shiryar da ɗimammu daga ɓata ba. Bã ka jiyarwa fãce wanda yake yin ĩmãni da ãyõyinMu. To, sũ ne mãsu sallamãwa (al'amari zuwa ga Allah).
082_00	Kuma idan magana ta auku a kansu, Munã fitar musu da wata dabba daga ƙasa, tanã yi musu magana, cẽwa "Lalle mutãne sun kasance game da ayoyinMu, ba su yin ĩmãnin yaƙĩni."
083_00	Kuma a rãnar da Muke tãrãwa daga kõwace al'umma, wata ƙungiya daga waɗanda suke ƙaryata ãyõyinMu, sai ga su anã kangesu. (ga kõra)
084_00	Har idan sun zo, (Allah) zai ce, "Ashe kun ƙaryata ãyõyinNa, kuma ba ku kẽwaye su da sani ba? To, mẽne ne kuka kasance kunã aikatãwa?"
085_00	Kuma magana ta auku a kansu, sabõda zãluncin da suka yi. To, sũ bã su da ta cẽwa.
086_00	Shin, ba su gani ba, cẽwa, lalle Mũ, Mun sanya dare dõmin su natsu a cikinsa, kuma da yini mai sanya gani? Lalle a cikin wancan akwai ãyõyi! Dõmin mutãne waɗanda suka yi ĩmãni.
087_00	Kuma da rãnar da ake hũsa a cikin ƙaho, sai wandayake a cikin sammai da waɗanda suke a cikin ƙasa su firgita, fãce wanda Allah Ya so, kuma dukansu, su je Masa sunã ƙasƙantattu.
088_00	Kuma kanã ganin duwãtsu, kanã zaton su sandararru, alhãli kuwa sũ sunã shũɗẽwa shũɗewar girgije, bisa sanã'ar Allah wanda Ya kyautata kõwane abu. Lalle Shi, Mai lãbartãwa ne game da abin da kuke aikatãwa.
089_00	Wanda ya zo da kyakkyawan aiki guda, to, yanã da mafi alhẽri daga gare shi. Kuma sũ daga wata firgita, a yinin nan, amintattu ne.
090_00	Kuma wanda ya zo da mugun aiki, to, an kife fuskõkinsu a cikin wuta. Ko zã a sãka muku fãce da abin da kuka kasance kũnã aikatãwa?
091_00	(Ka ce): "An umurce ni, in bauta wa Ubangijin wannan Gari, Wanda Ya mayar da shi Hurumi, kuma Yanã da dukan kõme. Kuma an umurce ni da in kasance daga mãsu sallamãwa."
092_00	"Kuma inã karanta Alƙur'ãni." To, wanda ya shiryu, yã shiryu ne dõmin kansa kawai. Kuma wanda ya ɓãce, to, ka ce: "Ni daga mãsu gargaɗi kawai nake."
093_00	Kuma ka ce: "Gõdiya ta tabbata ga Allah. Zai nũna muku ãyõyinSa, har ku sansu." Kuma Ubangijinka bai zama Mai shagala daga barin abin da kuke aikatãwa ba.
