001_00	A. L̃. M̃.
013_00	Kuma a lõkacin da Luƙmãn ya ce wa ɗansa, alhãli kuwa yanã yi masa wa'azi, "Yã ƙaramin ɗãna! Kada ka yi shirki game da Allah. Lalle shirki wani zãlunci ne mai girma."
014_00	Kuma Mun yi wasiyya ga mutum game da mahaifansa biyu; uwarsa tã ɗauke shi a cikin rauni a kan wani rauni, kuma yãyensa a cikin shekaru biyu (Muka ce masa) "Ka gõde Mini da kuma mahaifanka biyu. Makõma zuwa gare Ni kawai take."
015_00	"Kuma idan mahaifanka suka tsananta maka ga ka yi shirki game da Ni, ga abin da bã ka da ilmi gare shi, to, kada ka yi musu ɗã'a.
015_01	Kuma ka abũce su a cikin dũniya gwargwadon sharĩ'a, kuma ka bi hanyar wanda ya mayar da al'amari zuwa gare Ni, sa'an nan zuwa gare Ni makõmarku take sa'an nan In bã ku lãbãri game da abin da kuka kasance kunã aikatãwa."
016_00	"Yã ƙaramin ɗãna!
016_01	Lalle ita idan gwargwadon ƙwãyar kõmayya ce ta kasance, to, ta kasance a cikin wani falalen dũtse, kõ a cikin sammai, kõ a cikin ƙasã, Allah zai kãwo ta Lalle Allah Mai tausasãwa ne, Masani."
017_00	"Yã ƙaramin ɗãna! Ka tsai da salla, kuma ka yi umurni da abin da aka sani, kuma ka yi hani daga abin da ba a sani ba, kuma ka yi haƙuri a kan abin da ya sãme ka. Lalle, wancan yanã daga muhimman al'amura."
018_00	"Kada ka karkatar da kundukukinka ga mutãne, kada ka yi tafiya a cikin ƙasã kanã mai nũna fãɗin rai. Lalle, Allah bã Ya son dukan mai tãƙama, mai alfahari."
019_00	"Kuma ka tsakaita a tafiyarka, kuma ka runtse ga sautinka. Lalle mafi mũnin sautuka haƙĩƙa shĩ ne sautin jãkuna. "
020_00	Ashe, ba ku gani ba, cẽwa Allah Yã hõre muku abin da ke a cikin sammai da abin da ke a cikin ƙasã, kuma Ya zuba ni'imõminsa a kanku, bayyanannu da ɓõyayyu?
020_01	Kuma akwai daga mutãne wanda ke yin jidãli ga al'amarin Allah, bã da wani ilmi ba, kuma bã da wata shiriya ba, kumã ba da wani littãfi mai haskakãwa ba.
021_00	Kuma idan aka ce musu, "Ku bi abin da Allah ya saukar," sai su ce: "Ã'a, munã bin
021_01	abin da muka sãmi ubanninmu a kansa." shin kõ dã Shaiɗan nã kiran su ne zuwa ga azãbar sa'ir,
022_00	kuma wanda ya mĩka fuskarsa zuwa ga Allah, alhãli kuma yanã mai kyautatãwa, to, lalle ya yi riƙo ga igiya amintacciya. Kuma zuwa ga Allah ãƙibar al'amura take.
023_00	Kuma wanda ya kãfirta, to, kada kãfircinsa ya baƙanta maka rai, zuwa gare Mu makõmarsu take, sa'an nan Mu bã su lãbari game da abin da suka aikata. Lalle Allah, Masani ne ga abin da ke a cikin ƙirãza.
024_00	Munã jĩshe su dãdi kaɗan sa'an nan Mu tĩlasta su ga shiga zuwa azãba kakkaura.
025_00	Kuma lalle, idan ka tambaye su, "Wãne ne ya halĩtta sammai da kasa?" Lalle zã su ce: "Allah ne." Ka ce: "Gõdiya ta tabbata ga Allah" Ã'a, mafi yawansu ba su sani ba.
026_00	Abin da yake a cikin sammai da ƙasa duka na Allah kawai ne. Lalle, Allah Shĩ ne Mawadãci, Gõdadde.
027_00	Kuma dã dai abin da ke a cikin ƙasa duka, na itãce, ya zama alƙalumma, kuma tẽku tanã yi masa tawada, a bayansa da waɗansu tẽkuna bakwai kalmõmin Allah ba zã su ƙãre ba. Lalle, Allah Mabuwãyi ne, Mai hikima.
028_00	Halittarku bã ta zama ba, kuma tãyar da ku bai zama ba, fãce kamar rai guda. Lalle, Allah Mai jĩ ne, Mai gani.
029_00	Ashe, ba ku ga, lalle, Allah Yanã shigar da dare a cikin rãna ba, kuma Yanã shigar da rãna a cikin dare
029_01	kuma Yã hõre rãnã da watã kõwane yanã gudãna zuwa a ajali ambatacce kuma lalle Allah Masani ne ga abin da kuke aikatãwa?
030_00	Wannan fa dõmin Allah Shĩ ne Gaskiya, kuma abin da suke kira wanda bã Shi ba, shi ne ƙaryã, kuma lalle, A1lah shĩ ne Maɗaukaki, Mai girma.
031_00	Ashe, ba ka ga lalle jirgin ruwa nã gudãna ba a cikin tẽku da ni'imar Allah dõmin Ya nũna muku daga ãyõyinSa? Lalle a cikin wancan akwai ãyõyi ga dukan mai haƙuri, mai gõdiya.
032_00	Kuma idan tãguwar ruwa, kamar duwatsu, ta rufe su, sai su kira Allah sunã tsarkakẽwar addini a gare shi.
032_01	To, a lõkacin da Ya tsĩrar da su zuwa ga tudu, sai daga cikinsu akwai mai taƙaitãwa kuma bãbu mai musun ãyõyinMu fãce dukkan mayaudari mai yawan kãfirci.
033_00	Ya ku mutãne! Ku bauta wa Ubangijinku da taƙawa, kuma ku ji tsõron wani yini, rãnar da wani mahaifi bã ya sãka wa abin haifuwarsa da kõme kuma wani abin haifuwa bã ya sãka wa mahaifinsa da kõme.
033_01	Lalle wa'adin Allah gaskiya ne. Sabõda haka, kada wata rãyuwa ta kusa ta rũde ku, kuma kada marũɗin nan ya rũɗẽ ku game da Allah.
034_00	Lalle, Allah a wurinsa kawai sanin sa'a yake, kuma Yanã saukar da girgije, kuma Yanã sanin abin da yake a cikin mahaiffannai kuma wani rai bai san abin da yake aikatãwa a gõbe ba, kuma wani rai bai san a wace ƙasã yake mutuwa ba.
034_01	Lalle Allah Masani ne Mai ƙididdidigẽwa.
