001_00	Demi (angin) yang menerbangkan debu dengan kuat.
039_00	Maka dia (Fir'aun) berpaling (dari iman) bersama tentaranya dan berkata: "Dia adalah seorang tukang sihir atau seorang gila".
040_00	Maka Kami siksa dia dan tentaranya lalu Kami lemparkan mereka ke dalam laut, sedang dia melakukan pekerjaan yang tercela.
041_00	Dan juga pada (kisah) Aad ketika Kami kirimkan kepada mereka angin yang membinasakan,
042_00	angin itu tidak membiarkan satupun yang dilaluinya, melainkan dijadikannya seperti serbuk.
043_00	Dan pada (kisah) kaum Tsamud ketika dikatakan kepada mereka: "Bersenang-senanglah kalian sampai suatu waktu".
044_00	Maka mereka berlaku angkuh terhadap perintah Tuhannya, lalu mereka disambar petir dan mereka melihatnya.
045_00	Maka mereka sekali-kali tidak dapat bangun dan tidak pula mendapat pertolongan,
046_00	dan (Kami membinasakan) kaum Nuh sebelum itu. Sesungguhnya mereka adalah kaum yang fasik.
047_00	Dan langit itu Kami bangun dengan kekuasaan (Kami) dan sesungguhnya Kami benar-benar berkuasa
048_00	Dan bumi itu Kami hamparkan, maka sebaik-baik yang menghamparkan (adalah Kami).
049_00	Dan segala sesuatu Kami ciptakan berpasang-pasangan supaya kamu mengingat kebesaran Allah.
050_00	Maka segeralah kembali kepada (mentaati) Allah. Sesungguhnya aku seorang pemberi peringatan yang nyata dari Allah untukmu.
051_00	Dan janganlah kamu mengadakan tuhan yang lain disamping Allah. Sesungguhnya aku seorang pemberi peringatan yang nyata dari Allah untukmu.
052_00	Demikianlah tidak seorang rasulpun yang datang kepada orang-orang yang sebelum mereka, melainkan mereka mengatakan: "Dia adalah seorang tukang sihir atau seorang gila".
053_00	Apakah mereka saling berpesan tentang apa yang dikatakan itu. Sebenarnya mereka adalah kaum yang melampaui batas.
054_00	Maka berpalinglah kamu dari mereka dan kamu sekali-kali tidak tercela.
055_00	Dan tetaplah memberi peringatan, karena sesungguhnya peringatan itu bermanfaat bagi orang-orang yang beriman.
056_00	Dan aku tidak menciptakan jin dan manusia melainkan supaya mereka mengabdi kepada-Ku.
057_00	Aku tidak menghendaki rezeki sedikitpun dari mereka dan Aku tidak menghendaki supaya mereka memberi-Ku makan.
058_00	Sesungguhnya Allah Dialah Maha Pemberi rezeki Yang mempunyai Kekuatan lagi Sangat Kokoh.
059_00	Maka sesungguhnya untuk orang-orang zalim ada bagian (siksa) seperti bahagian teman mereka (dahulu); maka janganlah mereka meminta kepada-Ku untuk menyegerakannya.
060_00	Maka kecelakaanlah bagi orang-orang yang kafir pada hari yang diancamkan kepada mereka.
