001_00	Apabila terjadi hari kiamat,
057_00	Kami telah menciptakan kamu, maka mengapa kamu tidak membenarkan?
058_00	Maka terangkanlah kepadaku tentang nutfah yang kamu pancarkan.
059_00	Kamukah yang menciptakannya, atau Kamikah yang menciptakannya?
060_00	Kami telah menentukan kematian di antara kamu dan Kami sekali-sekali tidak akan dapat dikalahkan,
061_00	untuk menggantikan kamu dengan orang-orang yang seperti kamu (dalam dunia) dan menciptakan kamu kelak (di akhirat) dalam keadaan yang tidak kamu ketahui.
062_00	Dan Sesungguhnya kamu telah mengetahui penciptaan yang pertama, maka mengapakah kamu tidak mengambil pelajaran (untuk penciptaan yang kedua)?
063_00	Maka terangkanlah kepadaku tentang yang kamu tanam.
064_00	Kamukah yang menumbuhkannya atau Kamikah yang menumbuhkannya?
065_00	Kalau Kami kehendaki, benar-benar Kami jadikan dia hancur dan kering, maka jadilah kamu heran dan tercengang.
066_00	(Sambil berkata): "Sesungguhnya kami benar-benar menderita kerugian",
067_00	bahkan kami menjadi orang-orang yang tidak mendapat hasil apa-apa.
068_00	Maka terangkanlah kepadaku tentang air yang kamu minum.
069_00	Kamukah yang menurunkannya atau Kamikah yang menurunkannya?
070_00	Kalau Kami kehendaki, niscaya Kami jadikan dia asin, maka mengapakah kamu tidak bersyukur?
071_00	Maka terangkanlah kepadaku tentang api yang kamu nyalakan (dengan menggosok-gosokkan kayu).
072_00	Kamukah yang menjadikan kayu itu atau Kamikah yang menjadikannya?
073_00	Kami jadikan api itu untuk peringatan dan bahan yang berguna bagi musafir di padang pasir.
074_00	Maka bertasbihlah dengan (menyebut) nama Rabbmu Yang Maha Besar.
075_00	Maka Aku bersumpah dengan masa turunnya bagian-bagian Al-Quran.
076_00	Sesungguhnya sumpah itu adalah sumpah yang besar kalau kamu mengetahui.
077_00	Sesungguhnya Al-Quran ini adalah bacaan yang sangat mulia,
078_00	pada kitab yang terpelihara (Lauhul Mahfuzh),
079_00	tidak menyentuhnya kecuali orang-orang yang disucikan.
080_00	Diturunkan dari Rabbil 'alamiin.
081_00	Maka apakah kamu menganggap remeh saja Al-Quran ini?
082_00	kamu mengganti rezeki (yang Allah berikan) dengan mendustakan Allah.
083_00	Maka mengapa ketika nyawa sampai di kerongkongan,
084_00	padahal kamu ketika itu melihat,
085_00	dan Kami lebih dekat kepadanya dari pada kamu. Tetapi kamu tidak melihat,
086_00	maka mengapa jika kamu tidak dikuasai (oleh Allah)?
087_00	Kamu tidak mengembalikan nyawa itu (kepada tempatnya) jika kamu adalah orang-orang yang benar?
088_00	adapun jika dia (orang yang mati) termasuk orang-orang yang didekatkan (kepada Allah),
089_00	maka dia memperoleh ketenteraman dan rezeki serta jannah kenikmatan.
090_00	Dan adapun jika dia termasuk golongan kanan,
091_00	maka keselamatanlah bagimu karena kamu dari golongan kanan.
092_00	Dan adapun jika dia termasuk golongan yang mendustakan lagi sesat,
093_00	maka dia mendapat hidangan air yang mendidih,
094_00	dan dibakar di dalam jahannam.
095_00	Sesungguhnya (yang disebutkan ini) adalah suatu keyakinan yang benar.
096_00	Maka bertasbihlah dengan (menyebut) nama Rabbmu yang Maha Besar.
