001_00	Алиф. Лам. Мим.
029_00	Но нет! Беззаконники потакают своим желаниям без всякого знания. Кто наставит на прямой путь тех, кого Аллах ввел в заблуждение? Не будет для них помощников!
030_00	Обрати свой лик к религии, как ханиф. Таково врожденное качество, с которым Аллах сотворил людей. Творение Аллаха не подлежит изменению.
030_01	Такова правая вера, но большинство людей не знают этого.
031_00	Обращайтесь к Нему с раскаянием, бойтесь Его, совершайте намаз и не будьте в числе многобожников,
032_00	в числе тех, которые внесли раскол в свою религию и стали сектами, каждая из которых радуется тому, что имеет.
033_00	Когда людей касается зло, они начинают взывать к своему Господу, обращаясь к Нему с раскаянием. А затем, когда Он дает им вкусить милость от Него, часть из них начинает приобщать сотоварищей к своему Господу,
034_00	Это происходит для того, чтобы они проявили неблагодарность за то, чем Мы их одарили. Пользуйтесь благами, и скоро вы узнаете.
035_00	Разве Мы ниспослали им доказательство, которое говорило бы им о тех, кого они приобщают в сотоварищи к Нему?
036_00	Когда Мы даем людям вкусить милость, они радуются ей. Когда же зло постигает их за то, что приготовили их руки, они тотчас приходят в отчаяние.
037_00	Разве они не видят, что Аллах увеличивает или ограничивает удел, кому пожелает? Воистину, в этом - знамения для людей верующих.
038_00	Отдавай родственнику то, что ему полагается по праву, а также бедняку и путнику. Это лучше для тех, кто стремится к Лику Аллаха. Именно они являются преуспевшими.
039_00	Дары, которые вы преподносите, чтобы приумножить их за счет чужого богатства, не приумножатся у Аллаха.
039_01	Приумножен для вас будет закят, который вы раздаете, стремясь к Лику Аллаха.
040_00	Аллах - Тот, Кто создал вас, а потом одарил пропитанием. Потом Он умертвит вас, а потом оживит.
040_01	Есть ли среди тех, кого вы приобщаете в сотоварищи, тот, кто совершал бы что-либо из этого? Пречист Он и превыше тех, кого вы приобщаете в сотоварищи!
041_00	Зло появляется на суше и на море по причине того, что совершают людские руки, чтобы они вкусили часть того, что они натворили, и чтобы они вернулись на прямой путь.
042_00	Скажи: «Постранствуйте по земле и посмотрите, каким был конец тех, которые жили прежде. Большинство из них были многобожниками».
043_00	Обрати свой лик к правой вере до того, как придет Неотвратимый день от Аллаха. В тот день они будут поделены на две группы.
044_00	Кто не уверовал, того неверие обратится против него самого. А те, которые поступали праведно, будут готовить для себя места в Раю.
045_00	Это произойдет для того, чтобы Он воздал Своими щедротами тем, которые уверовали и совершали праведные деяния. Воистину, Он не любит неверующих.
046_00	Среди Его знамений - то, что Он посылает ветры добрыми вестниками, чтобы дать вам вкусить от Его милости, чтобы корабли плыли по Его воле и чтобы вы искали Его милость, - быть может, вы будете благодарны.
047_00	Мы уже отправляли до тебя посланников к их народам, и они приносили им ясные знамения.
047_01	Мы отомстили грешникам, и Нашим долгом было помогать верующим.
048_00	Аллах - Тот, Кто посылает ветры, которые поднимают облака. Он простирает их по небу, как пожелает, и разрывает их в клочья.
048_01	Потом ты видишь, как из их расщелин льется дождь. Стоит Ему пролить его на тех из Своих рабов, на кого Он пожелает, как они радуются,
049_00	хотя до того, как он был ниспослан им, они были в отчаянии.
050_00	Посмотри на следы милости Аллаха, на то, как Он оживляет землю после ее смерти. Воистину, Он способен оживить мертвых и способен на всякую вещь.
051_00	Если Мы пошлем ветер, и они увидят, как она (нива) пожелтела, то после этого они будут неблагодарны.
052_00	Воистину, ты не заставишь слышать мертвецов и не заставишь глухих услышать призыв, когда они обращаются вспять.
053_00	Ты не выведешь слепых из их заблуждения. Ты можешь заставить слышать только тех, которые веруют в Наши знамения, будучи мусульманами.
054_00	Аллах - Тот, Кто создает вас из слабости (создает вас из капли или создает вас слабыми). После слабости Он наделяет вас силой, а потом заменяет ее слабостью и сединой.
054_01	Он творит, что пожелает, ибо Он - Знающий, Всемогущий.
055_00	В тот день, когда наступит Час, грешники станут клясться, что они пробыли на земле или в могилах всего лишь один час. Таким же образом они были отвращены от истины!
056_00	А те, кому дарованы знание и вера, скажут: «В соответствии с предписанием Аллаха вы пробыли там до Дня воскресения.
056_01	Это и есть День воскресения, но вы не знали этого». 
057_00	В тот день беззаконникам не принесут пользы их извинения (или оправдания), и от них не потребуют покаяния.
058_00	Мы уже привели людям в этом Коране любые притчи. Если ты явишь им знамение, то неверующие непременно скажут: «Вы - всего лишь приверженцы лжи».
059_00	Так Аллах запечатывает сердца тех, которые не обладают знанием.
060_00	Будь же терпелив, ведь обещание Аллаха истинно. И пусть те, которые лишены убежденности, не находят тебя легковесным (не отвращают тебя от религии).
