001_00	Йа. Син.
042_00	Мы создали для них по его подобию то, на что они садятся.
043_00	Если Мы пожелаем, то потопим их, и тогда никто не спасет их, и сами они не спасутся,
044_00	если только Мы не окажем им милость и не позволим им пользоваться благами до определенного времени.
045_00	Когда им говорят: «Бойтесь того, что перед вами, и того, что после вас, чтобы вы были помилованы», - они не отвечают.
046_00	Какое бы знамение из знамений их Господа не явилось к ним, они непременно отворачиваются от него.
047_00	Когда им говорят: «Расходуйте из того, чем вас наделил Аллах», - неверующие говорят верующим: «Неужели мы будем кормить того, кого накормил бы Аллах, если бы пожелал? Воистину, вы лишь находитесь в очевидном заблуждении».
048_00	Они говорят: «Когда сбудется это обещание, если вы говорите правду?».
049_00	Им нечего ожидать, кроме одного только гласа, который поразит их тогда, когда они будут препираться.
050_00	Они не смогут ни оставить завещание, ни вернуться к своим семьям.
051_00	Протрубят в Рог, и вот они устремляются к своему Господу из могил.
052_00	Они скажут: «О горе нам! Кто поднял нас с места, где мы спали?». Это - то, что обещал Милостивый, и посланники говорили правду».
053_00	Будет один только глас, и все они будут собраны у Нас.
054_00	Сегодня ни одной душе не будет причинено никакой несправедливости, и вам воздастся только за то, что вы совершали.
055_00	Воистину, обитатели Рая сегодня будут заняты тем, что будут наслаждаться.
056_00	Они и их супруги будут лежать в тенях на ложах, прислонившись.
057_00	Там для них есть фрукты и все, что они потребуют.
058_00	Милосердный Господь приветствует их словом: «Мир!».
059_00	Отделитесь сегодня, грешники!
060_00	Разве Я не завещал вам, сыны Адама, не поклоняться дьяволу, который является вашим явным врагом,
061_00	и поклоняться Мне? Это - прямой путь.
062_00	Он уже ввел в заблуждение многих из вас. Неужели вы не разумеете?
063_00	Вот Геенна, которая была вам обещана.
064_00	Горите в ней сегодня за то, что вы не веровали».
065_00	Сегодня Мы запечатаем их уста. Их руки будут говорить с Нами, а их ноги будут свидетельствовать о том, что они приобретали.
066_00	Если Мы пожелаем, то лишим их зрения, и тогда они бросятся к Пути. Но как они будут видеть?
067_00	Если Мы пожелаем, то обезобразим их на их местах, и тогда они не смогут ни двинуться вперед, ни вернуться.
068_00	Тому, кому Мы даруем долгую жизнь, Мы придаем противоположный облик. Неужели они не разумеют?
069_00	Мы не учили его (Мухаммада) поэзии, и не подобает ему это. Это - не что иное, как Напоминание и ясный Коран,
070_00	чтобы он предостерегал тех, кто жив, и чтобы сбылось Слово относительно неверующих.
071_00	Неужели они не видят, что из того, что совершили Наши руки (Мы Сами), Мы создали для них скот, и что они им владеют?
072_00	Мы сделали его подвластным им. На одних из них они ездят верхом, а другими питаются.
073_00	Они приносят им пользу и питье. Неужели они не будут благодарны?
074_00	Но они поклоняются вместо Аллаха другим богам в надежде на то, что им окажут помощь.
075_00	Они не могут помочь им, хотя они являются для них готовым войском (язычники готовы сражаться за своих идолов, или идолы будут в Последней жизни готовым войском против язычников).
076_00	Пусть их речи не печалят тебя. Мы знаем то, что они скрывают, и то, что они обнаруживают.
077_00	Неужели человек не видит, что Мы сотворили его из капли? И вот он открыто препирается!
078_00	Он привел Нам притчу и забыл о своем сотворении. Он сказал: «Кто оживит кости, которые истлели?».
079_00	Скажи: «Оживит их Тот, Кто создал их в первый раз. Он ведает о всяком творении».
080_00	Он создал для вас огонь из зеленого дерева, и теперь вы разжигаете огонь от него.
081_00	Неужели Тот, Кто сотворил небеса и землю, не способен создать подобных им? Конечно, ведь Он - Творец, Знающий.
082_00	Когда Он желает чего-либо, то стоит Ему сказать: «Будь!». - как это сбывается.
083_00	Пречист Тот, в Чьей Руке власть над всякой вещью! К Нему вы будете возвращены.
