001_00	Аллах и Его Посланник освобождены от договоров, которые вы заключили с многобожниками.
041_00	Выступайте в поход, легко ли это вам будет или обременительно, и сражайтесь на пути Аллаха своим имуществом и своими душами. Так будет лучше для вас, если бы вы только знали.
042_00	Если бы их ожидали близкая нажива и легкая дорога, то они последовали бы за тобой. Но расстояние показалось им дальним,
042_01	и они будут клясться Аллахом: «Если бы мы могли, то непременно отправились бы с вами». Они губят себя, и Аллах знает, что они являются лжецами.
043_00	Да простит тебя Аллах! Почему ты разрешил им остаться дома, пока тебе не стало ясно, кто говорит правду, а кто является лжецом?
044_00	Те, которые веруют в Аллаха и в Последний день, не спрашивают у тебя дозволения на то, чтобы сражаться своим имуществом и своими душами. Ведь Аллах знает богобоязненных.
045_00	У тебя просят дозволения остаться дома только те, которые не веруют в Аллаха и в Последний день, сердца которых испытывают сомнение. И по причине своего сомнения они пребывают в замешательстве.
046_00	Если бы они желали выступить в поход, то приготовились бы к этому. Однако Аллах не пожелал, чтобы они отправились в поход, и задержал их. Им было сказано: «Отсиживайтесь вместе с теми, кто остался отсиживаться».
047_00	Если бы они выступили в поход вместе с вами, то не прибавили бы вам ничего, кроме беспорядка, торопливо ходили бы между вами и сеяли бы между вами смуту. Среди вас найдутся такие, которые станут прислушиваться к ним. Аллах знает беззаконников.
048_00	Они и раньше домогались смуты и замышляли против тебя козни, пока не явилась истина и не проявилось веление Аллаха, хотя это и было им ненавистно.
049_00	Среди них есть и такой, который говорит: «Позволь мне остаться дома и не искушай меня!». Безусловно, они уже впали в искушение. Воистину, Геенна объемлет неверующих.
050_00	Если тебе достается благо, это огорчает их. Если же тебя постигает беда, они говорят: «Мы заранее приняли меры предосторожности для себя». И они уходят, забавляясь.
051_00	Скажи: «Нас постигнет только то, что предписано нам Аллахом. Он - наш Покровитель. И пусть верующие уповают на одного Аллаха».
052_00	Скажи: «Неужели вы ожидаете, что нам выпадет что-либо, кроме одного из двух благ? Мы тоже ждем, что Аллах поразит вас мучениями от Себя
052_01	или же накажет вас нашими руками. Ждите, и мы подождем вместе с вами».
053_00	Скажи: «Станете ли вы делать пожертвования по доброй воле или по принуждению - от вас все равно не будет принято, поскольку вы являетесь людьми нечестивыми».
054_00	Тому, чтобы их пожертвования были приняты, мешает только то, что они не веруют в Аллаха и Его Посланника, лениво совершают намаз и нехотя делают пожертвования.
055_00	Пусть не восхищают тебя их имущество и дети. Аллах желает только наказать их детьми и имуществом в мирской жизни, дабы они расстались со своими душами неверующими.
056_00	Они клянутся Аллахом, что принадлежат к вам. Однако они не принадлежат к вам. Напротив, они - боязливые люди.
057_00	Если бы они нашли убежище, пещеру или укрытие, то они поспешно направились бы туда.
058_00	Среди них есть такие, которые обвиняют тебя из-за милостыни. Если им достается что-либо из милостыни, то они остаются довольными, если же им ничего не достается, то они приходят в ярость.
059_00	Лучше бы они довольствовались тем, что дали им Аллах и Его Посланник, и сказали: «Нам достаточно Аллаха. Аллах одарит нас из Своей милости, а также Его Посланник. Воистину, мы устремляемся к Аллаху!»
060_00	Пожертвования предназначены для неимущих и бедных, для тех, кто занимается их сбором и распределением, и для тех, чьи сердца хотят завоевать, для выкупа рабов, для должников, для расходов на пути Аллаха и для путников.
060_01	Таково предписание Аллаха. Воистину, Аллах - Знающий, Мудрый.
061_00	Среди них есть такие, которые обижают Пророка и говорят: «Он есть ухо (выслушивает любые новости)».
061_01	Скажи: «Он слушает только то, что лучше для вас. Он верует в Аллаха и доверяет верующим. Он является милостью для тех, которые уверовали».
061_02	Тем же, которые обижают Посланника Аллаха, уготованы мучительные страдания.
062_00	Они клянутся Аллахом, чтобы угодить вам. Но для них было бы лучше, если только они являются верующими, угождать Аллаху и Его Посланнику.
063_00	Разве они не знали, что тому, кто проявляет враждебность к Аллаху и Его Посланнику, навеки уготован огонь Геенны? Это - великое бесчестие.
064_00	Лицемеры опасаются, что им будет ниспослана сура, которая поведает о том, что в их сердцах. Скажи: «Насмехайтесь! Аллах непременно выведет наружу то, чего вы опасаетесь».
065_00	Если ты их спросишь, они непременно скажут: «Мы только болтали и забавлялись». Скажи: «Неужели вы насмехались над Аллахом, Его аятами и Его Посланником?
066_00	Не извиняйтесь. Вы стали неверующими после того, как уверовали». Если Мы простим некоторых из вас, то непременно подвергнем мучениям остальных за то, что они стали грешниками.
067_00	Лицемеры и лицемерки подобны друг другу. Они велят совершать предосудительное, запрещают одобряемое и сжимают свои руки (скупятся делать пожертвования). Они предали забвению Аллаха, и Он предал их забвению.
067_01	Воистину, лицемеры являются нечестивцами!
068_00	Лицемерам, лицемеркам и неверующим Аллах обещал огонь Геенны, в котором они пребудут вечно. Довольно с них этого! Аллах проклял их, и им уготованы вечные мучения.
069_00	Они подобны тем, которые жили до вас. Они превосходили вас силой, и у них было больше имущества и детей.
069_01	Они насладились своей долей. Вы тоже насладились своей долей, подобно вашим предшественникам. Вы погружались в словоблудие, подобно им.
069_02	Их деяния тщетны как в этом мире, так и в Последней жизни. Они являются потерпевшими убыток.
070_00	Разве до них не дошли рассказы о тех, кто жил до них: народе Нуха (Ноя), адитах, самудянах, народе Ибрахима (Авраама), жителях Мадьяна и опрокинутых селений (селений народа Лута)? Посланники приходили к ним с ясными знамениями.
070_01	Аллах не был несправедлив к ним - они сами поступали несправедливо по отношению к себе.
071_00	Верующие мужчины и женщины являются помощниками и друзьями друг другу. Они велят совершать одобряемое и запрещают предосудительное, совершают намаз, выплачивают закят, повинуются Аллаху и Его Посланнику.
071_01	Аллах смилостивится над ними.
071_02	Воистину, Аллах - Могущественный, Мудрый.
072_00	Аллах обещал верующим мужчинам и женщинам Райские сады, в которых текут реки и в которых они пребудут вечно, а также прекрасные жилища в садах Эдема.
072_01	Но довольство Аллаха будет превыше этого. Это и есть великое преуспеяние.
073_00	О Пророк! Борись с неверующими и лицемерами и будь суров к ним. Их пристанищем будет Геенна. Как же скверно это место прибытия!
074_00	Они клянутся Аллахом, что ничего не говорили, а ведь они произнесли слово неверия и стали неверующими после того, как обратились в ислам. Они задумали совершить то, что им не удалось совершить.
074_01	Они мстят только за то, что Аллах и Его Посланник обогатили их из Его щедрот. Если они раскаются, то так будет лучше для них.
074_02	А если они отвернутся, то Аллах подвергнет их мучительным страданиям в этом мире и в Последней жизни. Нет у них на земле ни покровителя, ни помощника.
075_00	Среди них есть такие, которые обещали Аллаху: «Если Он одарит нас из Своих щедрот, то мы непременно станем раздавать милостыню и будем одними из праведников».
076_00	Когда же Он одарил их из Своих щедрот, они стали скупиться и отвернулись с отвращением.
077_00	Он наказал их, вселив в их сердца лицемерие до того дня, когда они встретятся с Ним, за то, что они нарушили данное Аллаху обещание, и за то, что они лгали.
078_00	Разве они не знали, что Аллаху известны их секреты и тайные беседы и что Аллах является Ведающим сокровенное?
079_00	Они поносят тех, кто раздает добровольные пожертвования, и тех, кто с трудом находит средства для пожертвований. Они глумятся над ними, а Аллах поглумится над ними. Им уготованы мучительные страдания.
080_00	Будешь ли ты просить прощения для них или не будешь делать этого, Аллах все равно не простит их, даже если ты попросишь для них прощения семьдесят раз, ибо они не уверовали в Аллаха и Его Посланника.
080_01	Аллах не ведет прямым путем нечестивых людей.
081_00	Оставшиеся позади (не принявшиеся участие в походе на Табук) радовались тому, что они остались позади Посланника Аллаха. Им было ненавистно сражаться своим имуществом и своими душами на пути Аллаха, и они говорили: «Не отправляйтесь в поход в такую жару».
081_01	Скажи: «Огонь Геенны еще жарче!». Если бы они только понимали!
082_00	Пусть они мало смеются и много плачут в воздаяние за то, что они приобретали!
083_00	Если Аллах возвратит тебя к некоторым из них, и они попросят у тебя дозволения отправиться в поход, то скажи: «Вы никогда не отправитесь со мной в поход и никогда не будете сражаться вместе со мной против врага. Вы были довольны тем, что отсиделись в первый раз.
083_01	Посему отсиживайтесь вместе с теми, кто остается».
084_00	Никогда не совершай намаз по кому-либо из них и не стой над его могилой, ведь они не уверовали в Аллаха и Его Посланника и умерли нечестивцами.
085_00	Пусть не восхищают тебя их имущество и дети. Аллах желает только подвергнуть их мучениям имуществом и детьми в этом мире, дабы они расстались со своими душами неверующими.
086_00	Когда была ниспослана сура с повелением уверовать в Аллаха и сражаться вместе с Его Посланником, обладающие богатством среди них стали просить тебя позволить им остаться и сказали: «Оставь нас, мы будем в числе тех, кто остался сидеть».
087_00	Они были довольны тем, что оказались среди тех, кто остался позади. Их сердца запечатаны, и они не понимают истины.
088_00	Однако Посланник и те, которые уверовали вместе с ним, сражались своим имуществом и своими душами. Им уготованы блага. Именно они являются преуспевшими.
089_00	Аллах приготовил для них Райские сады, в которых текут реки. Они пребудут в них вечно. Это - великое преуспеяние.
090_00	Бедуины, которые уклонялись под благовидным предлогом, пришли для того, чтобы он позволил им остаться, и те из них, которые солгали Аллаху и Его Посланнику, остались сидеть. Тех из них, которые не уверовали, постигнут мучительные страдания.
091_00	Нет греха на немощных, больных и тех, которые не находят средств на пожертвования, если они искренни перед Аллахом и Его Посланником.
091_01	Нет оснований укорять творящих добро. Воистину, Аллах - Прощающий, Милосердный.
092_00	Также нет греха на тех, которым, когда они пришли к тебе, чтобы ты обеспечил их верховыми животными, ты сказал: «Я не могу найти животных для вас». Они вернулись с глазами, полными слез от огорчения тем, что они не нашли средств на пожертвования.
093_00	Укора заслуживают только те, которые попросили тебя остаться дома, будучи богатыми.
093_01	Они были рады оказаться среди тех, кто остался позади. Аллах запечатал их сердца, и они не знают истины.
094_00	Когда вы возвратитесь к ним, они станут оправдываться. Скажи: «Не оправдывайтесь, мы все равно не поверим вам. Аллах уже сообщил нам вести о вас.
094_01	Аллах и Его Посланник увидят ваши деяния. А потом вы будете возвращены к Ведающему сокровенное и явное, и Он сообщит вам о том, что вы совершали».
095_00	Когда вы вернетесь к ним, они будут клясться Аллахом, чтобы вы отвернулись от них.
095_01	Отвернитесь же от них, ибо они - нечисть. Их пристанищем будет Геенна. Таково воздаяние за то, что они приобретали.
096_00	Они станут вам клясться, чтобы вы остались довольны ими. Но даже если вы останетесь довольны ими, Аллах все равно не будет доволен людьми нечестивыми.
097_00	Бедуины оказываются самыми упорными в неверии и лицемерии. Они больше других не признают ограничений, которые Аллах ниспослал Своему Посланнику. Воистину, Аллах - Знающий, Мудрый.
098_00	Среди бедуинов есть и такие, которые считают свои пожертвования убытком и выжидают, когда вас постигнут превратности судьбы. Их самих постигнут превратности судьбы. Воистину, Аллах - Слышащий, Знающий.
099_00	Среди бедуинов есть и такие, которые веруют в Аллаха и Последний день и считают, что их пожертвования приблизят их к Аллаху и помогут заслужить молитвы Посланника.
099_01	Воистину, они (пожертвования) действительно являются средством приближения. Аллах введет их в Свою милость, ведь Аллах - Прощающий, Милосердный.
100_00	Аллах доволен первыми из мухаджиров и ансаров, которые опередили остальных, и теми, которые последовали строго за ними. Они также довольны Аллахом.
100_01	Он приготовил для них Райские сады, в которых текут реки. Они пребудут там вечно. Это - великое преуспеяние.
101_00	Среди бедуинов, которые живут вокруг вас, а также среди жителей Медины есть лицемеры. Они упорствуют в лицемерии, но ты не знаешь их.
101_01	Мы же знаем их и подвергнем их мучениям дважды. А затем они будут возвращены в великие мучения.
102_00	Есть и другие люди, которые признались в своих грехах. Они смешали праведные поступки со злыми. Возможно, Аллах примет их покаяния. Воистину, Аллах - Прощающий, Милосердный.
103_00	Бери из их имущества пожертвования, чтобы ими очистить и возвысить их. Молись за них, ибо твои молитвы - успокоение для них. Воистину, Аллах - Слышащий, Знающий.
104_00	Неужели они не знают, что Аллах принимает покаяния от Своих рабов и принимает пожертвования, что Аллах - Принимающий покаяния, Милосердный?
105_00	Скажи: «Трудитесь, и увидят ваши деяния Аллах, Его Посланник и верующие. Вы предстанете перед Ведающим сокровенное и явное, и Он поведает вам о том, что вы совершали».
106_00	Есть и такие, которые выжидают веления Аллаха. Он либо накажет их, либо примет их покаяния. Аллах - Знающий, Мудрый.
107_00	Те, которые построили мечеть для нанесения вреда, поддержания неверия, внесения раскола в ряды мусульман и создания заставы для тех, кто издавна сражается против Аллаха и Его Посланника, непременно будут клясться: «Мы не хотели ничего, кроме добра».
107_01	Аллах свидетельствует, что они являются лжецами.
108_00	Никогда не совершай в ней намаз. Мечеть, которая с первого дня была основана на богобоязненности, больше заслуживает того, чтобы ты выстаивал в ней.
108_01	В ней есть мужи, которые любят очищаться. Воистину, Аллах любит очищающихся.
109_00	Тот ли, кто заложил основание своего строения на страхе перед Аллахом и стремлении к Его довольству, лучше или же тот, кто заложил его на самом краю обрыва, готового обвалиться, так что он обвалился вместе с ним в огонь Геенны?
109_01	Воистину, Аллах не ведет прямым путем несправедливых людей.
110_00	Строение, которое они построили, всегда будет порождать сомнения в их сердцах, пока их сердца не разорвутся. Аллах - Знающий, Мудрый.
111_00	Воистину, Аллах купил у верующих их души и имущество в обмен на Рай. Они сражаются на пути Аллаха, убивая и погибая.
111_01	Таково Его обещание и обязательство в Таурате (Торе), Инджиле (Евангелии) и Коране.
111_02	Кто выполняет свои обещания лучше Аллаха? Возрадуйтесь же сделке, которую вы заключили. Это и есть великое преуспеяние.
112_00	Обрадуй верующих, которые каются и поклоняются, восхваляют и постятся (или путешествуют), кланяются и п
112_01	адают ниц, повелевают совершать одобряемое и запрещают предосудительное, и соблюдают ограничения Аллаха.
113_00	Пророку и верующим не подобает просить прощения для многобожников, даже если они являются родственниками, после того, как им стало ясно, что они будут обитателями Ада.
114_00	А молитва Ибрахима (Авраама) о прощении для его отца была всего лишь исполнением обещания, которое он ему дал. Когда же ему стало ясно, что его отец является врагом Аллаха,
114_01	он отрекся от него. Воистину, Ибрахим (Авраам) был смиренным, выдержанным.
115_00	Аллах не вводит в заблуждение людей, которым Он указал прямой путь, пока Он не разъяснит им, чего они должны опасаться. Воистину, Аллах знает о всякой вещи.
116_00	Воистину, Аллаху принадлежит власть над небесами и землей. Он дарует жизнь и умерщвляет. Нет у вас, кроме Аллаха, ни покровителя, ни помощника.
117_00	Аллах принял покаяния Пророка, мухаджиров и ансаров, которые последовали за ним в трудный час, после того, как сердца некоторых из них чуть было не уклонились в сторону.
117_01	Он принял их покаяния, ибо Он - Сострадательный, Милосердный.
118_00	Аллах простил и тех троих, которым было отсрочено до тех пор, пока земля не стала тесной для них, несмотря на ее просторы. Их души сжались, и они поняли, что им негде укрыться от Аллаха, кроме как у Него.
118_01	Затем Он простил их, чтобы они могли раскаяться. Воистину, Аллах - Принимающий покаяния, Милосердный.
119_00	О те, которые уверовали! Бойтесь Аллаха и будьте с правдивыми.
120_00	Не следовало жителям Медины и бедуинам из окрестностей оставаться позади Посланника Аллаха и отдавать предпочтение собственным жизням перед его жизнью.
120_01	Это потому, что жажда, усталость и голод, постигающие их на пути Аллаха, и каждый шаг, вызывающий гнев неверующих, и каждое поражение, нанесенное врагу, непременно запишутся им как добрые дела.
120_02	Воистину, Аллах не теряет вознаграждения творящих добро.
121_00	Какое бы большое или скудное пожертвование они ни делали, какую бы долину они ни пересекали, это записывается им, дабы Аллах воздал им большим, чем то, что они совершили.
122_00	Верующим не следует выступать в поход всем вместе.
122_01	Почему бы не отправить из каждой группы по отряду, чтобы они могли изучить религию и увещевать людей, когда они вернутся к ним? Быть может, они будут остерегаться.
123_00	О те, которые уверовали! Сражайтесь с неверующими, которые находятся вблизи вас. И пусть они убедятся в вашей суровости. И знайте, что Аллах - с богобоязненными.
124_00	Когда ниспосылается сура, то среди них находится такой, который говорит: «Чья вера от этого стала сильнее?». Что касается тех, кто уверовал, то их вера от этого усиливается, и они радуются.
125_00	А что касается тех, чьи сердца поражены недугом, то это добавляет сомнение к их сомнению, и поэтому они умрут неверующими.
126_00	Неужели они не видят, что каждый год они подвергаются испытанию один или два раза? Они не раскаиваются после этого и не поминают назидание.
127_00	Когда ниспосылается сура, они смотрят друг на друга: «Видит ли вас кто-нибудь?». А затем они отворачиваются. Аллах отвратил их сердца, потому что они - люди неразумные.
128_00	К вам явился Посланник из вашей среды. Тяжко для него то, что вы страдаете. Он старается для вас. Он сострадателен и милосерден к верующим.
129_00	А если они отвернутся, то скажи: «Мне достаточно Аллаха! Нет божества, кроме Него. Я уповаю только на Него, ибо Он - Господь великого Трона».
