001_00	Клянусь выстроившимися в ряды,
045_00	Их будут обходить с чашей родникового напитка (вина),
046_00	белого, доставляющего удовольствие пьющим.
047_00	Он не лишает рассудка и не пьянит.
048_00	Возле них будут гурии, потупляющие взоры, большеглазые,
049_00	подобные оберегаемому яйцу.
050_00	Они будут обращаться друг к другу с вопросами.
051_00	Один из них скажет: «Был у меня товарищ.
052_00	Он говорил: «Неужели ты принадлежишь к числу верующих?
053_00	Неужели мы получим воздаяние после того, как мы умрем и станем прахом и костями?»»
054_00	Он скажет: «Не взгляните ли вы?».
055_00	Он взглянет и увидит его в середине Ада.
056_00	Он скажет: «Клянусь Аллахом! Ты чуть было не погубил меня.
057_00	Если бы не милость моего Господа, то я оказался бы в числе ввергнутых в Геенну.
058_00	Неужели мы никогда не умрем
059_00	после нашей первой смерти? Неужели мы никогда не будем подвергнуты мучениям?».
060_00	Это и есть великое преуспеяние!
061_00	Ради такого пусть трудятся труженики!
062_00	Это угощение лучше или дерево заккум?
063_00	Мы сделали его искушением для беззаконников.
064_00	Это - дерево, которое растет из основания Ада.
065_00	Плоды его - словно головы дьяволов.
066_00	Они будут пожирать их и наполнять ими свои животы.
067_00	Потом они (плоды заккума) будут смешаны для них с кипятком.
068_00	А потом их вернут в Ад.
069_00	Воистину, они нашли своих отцов заблудшими
070_00	и сами поспешили по их стопам.
071_00	До них впало в заблуждение большинство первых поколений.
072_00	Мы посылали к ним предостерегающих увещевателей.
073_00	Посмотри же, каким был конец всех тех, кого предостерегали,
074_00	кроме избранных (или искренних) рабов Аллаха.
075_00	Нух (Ной) воззвал к Нам, а ведь Мы прекрасно отвечаем на молитвы.
076_00	Мы спасли его и его семью от великой печали
077_00	и сохранили только его потомство.
078_00	Мы оставили о нем в последующих поколениях добрую молву.
079_00	Мир Нуху (Ною) среди миров!
080_00	Воистину, так Мы воздаем творящим добро.
081_00	Воистину, он - один из Наших верующих рабов.
082_00	Затем Мы потопили всех остальных.
083_00	Ибрахим (Авраам) был одним из его приверженцев.
084_00	Вот он пришел к своему Господу с непорочным сердцем.
085_00	Он сказал своему отцу и своему народу: «Чему вы поклоняетесь?
086_00	Неужели вы жаждете других богов, помимо Аллаха, измышляя ложь?
087_00	И что вы думаете о Господе миров?».
088_00	Потом он бросил взгляд на звезды
089_00	и сказал: «Я болен».
090_00	Они отвернулись от него, обратившись вспять.
091_00	Он украдкой пробрался к их богам и сказал: «Не поесть ли вам?
092_00	Что с вами? Почему вы не разговариваете?
093_00	Он подошел к ним и стал бить их десницей.
094_00	Они (язычники) направились к нему второпях.
095_00	Он сказал: «Неужели вы поклоняетесь тому, что сами высекаете?
096_00	Аллах сотворил вас и то, что вы делаете (или Аллах сотворил вас, и сами вы ничего не делаете; или Аллах сотворил вас. Что же вы делаете?)».
097_00	Они сказали: «Соорудите для него строение и бросьте его в огонь!».
098_00	Они замыслили против него козни, но Мы сделали их нижайшими.
099_00	Он сказал: «Я ухожу к моему Господу, Который поведет меня прямым путем.
100_00	Господи, одари меня потомством из числа праведников!».
101_00	Тогда Мы обрадовали его вестью о выдержанном мальчике.
102_00	Когда он достиг того возраста, чтобы усердствовать вместе с ним, он сказал: «Сын мой! Я вижу во сне, что зарезаю тебя. Посмотри, что ты думаешь?».
102_01	Он сказал: «Отец мой! Сделай то, что тебе велено. Если Аллах пожелает, ты найдешь меня одним из терпеливых».
103_00	Когда они оба покорились, и он уложил его на бок,
104_00	Мы воззвали к нему: «О Ибрахим (Авраам)!
105_00	Ты оправдал сновидение». Воистину, так Мы воздаем творящим добро.
106_00	Это и есть явное испытание (или явная милость).
107_00	Мы выкупили его великой жертвой.
108_00	Мы оставили о нем в последующих поколениях добрую молву.
109_00	Мир Ибрахиму (Аврааму)!
110_00	Воистину, так Мы воздаем творящим добро.
111_00	Воистину, он - один из Наших верующих рабов.
112_00	Мы обрадовали его вестью об Исхаке (Исааке) - пророке из числа праведников.
113_00	Мы благословили его и Исхака (Исаака). Среди их потомства есть творящие добро и поступающие явно несправедливо к самим себе.
114_00	Мы оказали милость Мусе (Моисею) и Харуну (Аарону).
115_00	Мы спасли их обоих и их народ от великой печали.
116_00	Мы оказали им помощь, и именно они стали победителями.
117_00	Мы даровали им ясное Писание
118_00	и повели их прямым путем.
119_00	Мы оставили о них в последующих поколениях добрую молву.
120_00	Мир Мусе (Моисею) и Харуну (Аарону)!
121_00	Воистину, так Мы воздаем творящим добро.
122_00	Воистину, они - одни из Наших верующих рабов.
123_00	Ильяс (Илия) также был одним из посланников.
124_00	Он сказал своему народу: «Неужели вы не устрашитесь?
125_00	Неужели вы взываете к Балу и оставляете Самого прекрасного из творцов -
126_00	Аллаха, Господа вашего и Господа ваших праотцев?».
127_00	Они сочли его лжецом, и все они непременно будут собраны в Аду,
128_00	кроме избранных (или искренних) рабов Аллаха.
129_00	Мы оставили о нем в последующих поколениях добрую молву.
130_00	Мир Ильясину (Ильясу, или семейству Йасина)!
131_00	Воистину, так Мы воздаем творящим добро.
132_00	Воистину, он - один из Наших верующих рабов.
133_00	Лут (Лот) также был одним из посланников.
134_00	Мы спасли его и всю его семью,
135_00	кроме старухи, которая была в числе оставшихся позади.
136_00	Затем Мы уничтожили всех остальных.
137_00	Вы проходите мимо них утром
138_00	и вечером. Неужели вы не разумеете?
139_00	Йунус (Иона) также был одним из посланников.
140_00	Он сбежал на переполненный корабль.
141_00	Он бросил жребий вместе с другими и оказался проигравшим.
142_00	Его проглотила рыба, когда он был достоин порицания.
143_00	Если бы он не был одним из прославляющих Аллаха,
144_00	то непременно остался бы в ее чреве до того дня, когда они будут воскрешены.
145_00	Мы выбросили его на открытую местность, и он был болен.
146_00	Мы взрастили над ним (или возле него) тыкву.
147_00	Мы отправили его к ста тысячам или даже больше того.
148_00	Они уверовали, и Мы позволили им пользоваться благами до определенного времени.
149_00	Спроси их, почему это у твоего Господа дочери, а у них - сыновья?
150_00	Или же Мы сотворили ангелов женщинами, и они присутствовали при этом?
151_00	Воистину, по своей лживости они говорят:
152_00	«Аллах родил». Воистину, они - лжецы.
153_00	Неужели Он избрал дочерей и возвысил их над сыновьями?
154_00	Что с вами? Как вы судите?
155_00	Не помянуть ли вам назидание?
156_00	Или у вас есть ясное доказательство?
157_00	Принесите же ваше Писание, если вы говорите правду.
158_00	Они установили родство между Ним и джиннами, но джинны знают, что они будут собраны (неверующие будут собраны в Геенне, или джинны будут собраны для расчета).
159_00	Аллах превыше того, что они приписывают Ему.
160_00	Не делают этого только избранные (или искренние) рабы Аллаха.
161_00	Вы (многобожники) и то, чему вы поклоняетесь,
162_00	не сможете отвратить от Него никого,
163_00	кроме тех, кому суждено сгореть в Аду.
164_00	Ангелы сказали: «У каждого из нас есть известное место.
165_00	Воистину, мы выстраиваемся рядами.
166_00	Воистину, мы прославляем Аллаха».
167_00	Они (мекканские многобожники) сказали:
168_00	«Если бы у нас было напоминание от первых поколений,
169_00	то мы непременно были бы избранными рабами Аллаха».
170_00	Они не уверовали в него, и скоро они узнают.
171_00	Нашим посланным рабам уже было сказано Наше Слово.
172_00	Воистину, им будет оказана помощь.
173_00	Воистину, Наше войско одержит победу.
174_00	Отвернись же от них до определенного срока.
175_00	Посмотри на них, и скоро они увидят.
176_00	Неужели они торопят мучения от Нас?
177_00	Когда они сойдут на их участки, то скверно будет утро тех, кого предостерегали.
178_00	Отвернись же от них до определенного срока.
179_00	Посмотри, и скоро они увидят.
180_00	Твой Господь, Господь могущества, пречист и далек от того, что они приписывают Ему.
181_00	Мир посланникам!
182_00	Хвала Аллаху, Господу миров!
