001_00	Хвала Аллаху, Который ниспослал Своему рабу Писание и не допустил в нем неправды,
027_00	Читай Писание твоего Господа, ниспосланное тебе в откровении. Нет замены Его Словам, и тебе не найти помимо Него прибежища.
028_00	Будь же терпелив вместе с теми, которые взывают к своему Господу по утрам и перед закатом и стремятся к Его Лику.
028_01	Не отвращай от них своего взора, желая украшений этого мира, и не повинуйся тем, чьи сердца Мы сделали небрежными к Нашему поминанию, кто потакает своим желаниям и чьи дела окажутся тщетными.
029_00	Скажи: «Истина - от вашего Господа. Кто хочет, пусть верует, а кто не хочет, пусть не верует». Мы приготовили для беззаконников Огонь, стены которого будут окружать их со всех сторон.
029_01	Если они станут просить о помощи (или дожде), то им помогут водой, подобной расплавленному металлу (или осадку масла), которая обжигает лицо. Мерзкий напиток и скверная обитель!
030_00	А что до тех, которые уверовали и совершали праведные деяния, то ведь Мы не теряем награды тех, кто совершал добро.
031_00	Именно им уготованы сады Эдема, в которых текут реки. Они будут украшены золотыми браслетами и облачены в зеленые одеяния из атласа и парчи.
031_01	Они будут возлежать там на ложах, прислонившись. Замечательное вознаграждение и прекрасная обитель!
032_00	Приведи им притчу о двух мужах. Одному из них Мы устроили два виноградника, оградили их финиковыми пальмами и поместили между ними ниву.
033_00	Оба сада приносили плоды, и ничто из них не пропадало, а между ними Мы проложили реку.
034_00	У него были плоды (или богатство), и он сказал своему товарищу, беседуя с ним: «У меня больше имущества и помощников, чем у тебя».
035_00	Он вошел в свой сад, поступая несправедливо по отношению к себе, и сказал: «Я не думаю, что он когда-нибудь исчезнет.
036_00	Я не думаю, что настанет Час. Если же меня возвратят к моему Господу, то по возвращении я обрету там нечто еще более прекрасное».
037_00	Товарищ его, беседуя с ним, сказал: «Неужели ты не веруешь в Того, Кто сотворил тебя из земли, потом - из капли, а потом сделал тебя мужчиной?
038_00	Что же касается меня, то мой Господь - Аллах, и я никого не приобщаю в сотоварищи к моему Господу.
039_00	Почему, войдя в свой сад, ты не сказал: «Так пожелал Аллах! Нет мощи, кроме как от Аллаха!» Ты считаешь, что у меня меньше богатства и детей, чем у тебя,
040_00	а ведь мой Господь может даровать мне то, что лучше твоего сада, и наслать на него наказание с неба, и тогда он превратится в скользкую землю.
041_00	Или же воды его уйдут под землю, и ты не сможешь достать их».
042_00	Его плоды погибли, и он стал ударять себя по рукам, сожалея о том, что он потратил на виноградник, ветви которого упали на трельяжи. Он сказал: «Лучше бы я никого не приобщал в сотоварищи к моему Господу!».
043_00	Не было у него людей, которые бы помогли ему вместо Аллаха, и он не мог помочь самому себе.
044_00	В таких случаях оказать поддержку может только Истинный Аллах. У Него - лучшее вознаграждение и лучший исход.
045_00	Приведи им притчу о мирской жизни. Она подобна воде, которую Мы ниспосылаем с неба. Земные растения смешиваются с ней (или благодаря ней),
045_01	а потом превращаются в сухие былинки, рассеиваемые ветром. Воистину, Аллах способен на всякую вещь.
046_00	Богатство и сыновья - украшение мирской жизни, однако нетленные благодеяния лучше по вознаграждению перед твоим Господом, и на них лучше возлагать надежды.
047_00	В тот день Мы заставим двигаться горы, и ты увидишь, что земля станет плоской. Мы соберем их всех и никого не упустим.
048_00	Они предстанут перед твоим Господом рядами: «Вы пришли к Нам такими, какими Мы создали вас в первый раз. Но вы предполагали, что Мы не назначили встречи с вами».
049_00	Будет положена книга, и ты увидишь, как грешники будут трепещать от того, что в ней. Они скажут: «Горе нам! Что это за книга! В ней не упущен ни малый, ни великий грех -
049_01	все подсчитано». Они обнаружат перед собой все, что совершили, и твой Господь ни с кем не поступит несправедливо.
050_00	Вот сказали Мы ангелам: «Падите ниц перед Адамом!». Все они поклонились, кроме Иблиса.
050_01	Он был одним из джиннов и ослушался воли своего Господа. Неужели вы признаете его и его потомков своими покровителями и помощниками вместо Меня, тогда как они являются вашими врагами? Плохая это замена для беззаконников!
051_00	Я не сделал их свидетелями сотворения небес и земли и сотворения их самих. Я не беру в помощники тех, кто вводит других в заблуждение.
052_00	В тот день Он скажет: «Призовите Моих сотоварищей, о существовании которых вы предполагали». Они воззовут к ним, но те не ответят им. Мы воздвигнем между ними губительное место (преграду).
053_00	Грешники увидят Огонь, и им станет ясно, что они будут брошены в него. Они не найдут от него спасения!
054_00	Мы разъяснили людям в этом Коране любые притчи, но человек больше всего склонен препираться.
055_00	Что же помешало людям уверовать, когда к ним явилось верное руководство, и попросить прощения у своего Господа, если не стремление к участи первых поколений и мучениям, которые предстанут перед ними лицом к лицу?
056_00	Мы отправляем посланников только добрыми вестниками и предостерегающими увещевателями.
056_01	Однако неверующие препираются посредством лживых доводов, чтобы опровергнуть ими истину, и насмехаются над Моими знамениями и тем, от чего их предостерегают.
057_00	Кто может быть несправедливее того, кому напомнили о знамениях его Господа, а он отвернулся от них и забыл то, что совершили его руки? Мы накинули на их сердца покрывала, чтобы они не постигли его (Коран), а их уши поражены глухотой.
057_01	Если даже ты призовешь их на прямой путь, они никогда не последуют прямым путем.
058_00	Твой Господь - Прощающий, Обладающий милосердием. Если бы Он стал наказывать их за то, что они приобрели, то ускорил бы их мучения, но для них назначен срок, и они не найдут от него спасения.
059_00	Мы погубили эти города, когда они стали поступать несправедливо, и установили для их погибели срок.
060_00	Вот Муса (Моисей) сказал своему слуге: «Я не остановлюсь, пока не дойду до места слияния двух морей или пока не потрачу на путешествие долгие годы».
061_00	Когда они дошли до места их слияния, они забыли свою рыбу, и она двинулась в путь по морю, словно по подземному ходу.
062_00	Когда они прошли дальше, он сказал своему слуге: «Подавай наш обед, ведь мы утомились в пути».
063_00	Он сказал: «Помнишь, как мы укрылись под скалой? Я забыл о рыбе,
063_01	и только дьявол заставил меня не вспомнить о ней. Она же отправилась в путь по морю чудесным образом».
064_00	Муса (Моисей) сказал: «Это - то, чего мы желали!» - и они вернулись назад по своим следам.
065_00	Они встретили одного из Наших рабов, которого Мы одарили милостью от Нас и обучили из того, что Нам известно.
066_00	Муса (Моисей) сказал ему (Хадиру): «Могу ли я последовать за тобой, чтобы ты научил меня о прямом пути тому, чему ты обучен?».
067_00	Он сказал: «У тебя не хватит терпения находиться рядом со мной.
068_00	Как ты сможешь терпеливо относиться к тому, что ты не объемлешь знанием?».
069_00	Муса (Моисей) сказал: «Если Аллах пожелает, то ты увидишь, что я терпелив, и я не ослушаюсь твоего веления».
070_00	Он сказал: «Если ты последуешь за мной, то не спрашивай меня ни о чем, пока я сам не поведаю тебе об этом».
071_00	Они вдвоем двинулись в путь. Когда же они сели на корабль, он сделал в нем пробоину. Он сказал: «Ты сделал пробоину, чтобы потопить людей на нем? Ты совершил тяжкий поступок!».
072_00	Он сказал: «Разве я не говорил, что ты не сможешь сохранять терпение рядом со мной?».
073_00	Муса (Моисей) сказал: «Не наказывай меня за то, что я позабыл, и не возлагай на меня тяжелое бремя».
074_00	Они продолжили путь, пока не встретили мальчика, и он убил его. Он сказал: «Неужели ты убил невинного человека, который никого не убивал?! Ты совершил предосудительный поступок!».
075_00	Он сказал: «Разве я не говорил тебе, что ты не сможешь сохранять терпение рядом со мной?».
076_00	Муса (Моисей) сказал: «Если я спрошу тебя о чем-либо после этого, то не продолжай путь вместе со мной. Твой поступок по отношению ко мне уже оправдан».
077_00	Они продолжили путь, пока не пришли к жителям одного селения. Они попросили его жителей накормить их, но те отказались принять их гостями.
077_01	Они увидели там стену, которая хотела обрушиться, и он выпрямил ее. Муса (Моисей) сказал: «При желании ты получил бы за это вознаграждение».
078_00	Он сказал: «Здесь я с тобой расстанусь, но я поведаю тебе толкование того, к чему ты не смог отнестись с терпением.
079_00	Что касается корабля, то он принадлежал беднякам, которые трудились в море. Я захотел повредить его, потому что перед ними находился царь, который силой отнимал все неповрежденные корабли.
080_00	Что касается мальчика, то его родители являются верующими, и мы опасались, что он будет притеснять их по причине своего беззакония и неверия.
081_00	Мы захотели, чтобы Господь их даровал им вместо него того, кто будет чище и милосерднее к своим близким.
082_00	Что же касается стены, то она принадлежит двум осиротевшим мальчикам из города. Под ней находится их клад.
082_01	Их отец был праведником, и твой Господь пожелал, чтобы они достигли зрелого возраста и извлекли свой клад по милости твоего Господа. Я не поступал по своему усмотрению. Вот толкование того, к чему ты не смог отнестись с терпением».
083_00	Они спрашивают тебя о Зуль Карнейне. Скажи: «Я прочту вам поучительный рассказ о нем».
084_00	Воистину, Мы наделили его властью на земле и одарили его всякими возможностями.
085_00	Он отправился в путь.
086_00	Когда он прибыл туда, где закатывается солнце, он обнаружил, что оно закатывается в мутный (или горячий) источник. Около него он нашел народ.
086_01	Мы сказали: «О Зуль Карнейн! Либо ты накажешь их, либо сделаешь им добро».
087_00	Он сказал: «Того, кто поступает несправедливо, мы накажем, а потом его возвратят к его Господу, и Он подвергнет его тяжким мучениям.
088_00	Тому же, кто уверовал и поступает праведно, будет наилучшее воздаяние, и мы скажем ему наши легкие повеления».
089_00	Потом он отправился в путь дальше.
090_00	Когда он прибыл туда, где восходит солнце, он обнаружил, что оно восходит над людьми, которым Мы не установили от него никакого прикрытия.
091_00	Вот так! Мы объяли знанием все, что происходило с ним.
092_00	Потом он отправился в путь дальше.
093_00	Когда он достиг двух горных преград, он обнаружил перед ними людей, которые почти не понимали речи.
094_00	Они сказали: «О Зуль Карнейн! Йаджудж и Маджудж (Гог и Магог) распространяют на земле нечестие. Быть может, мы уплатим тебе дань, чтобы ты установил между нами и ними преграду?».
095_00	Он сказал: «То, чем наделил меня мой Господь, лучше этого. Помогите мне силой, и я установлю между вами и ними преграду.
096_00	Подайте мне куски железа». Заполнив пространство между двумя склонами, он сказал: «Раздувайте!». Когда они стали красными, словно огонь, он сказал: «Принесите мне расплавленную медь, чтобы я вылил ее на него».
097_00	Они (племена Йаджудж и Маджудж) не смогли забраться на нее и не смогли пробить в ней дыру.
098_00	Он сказал: «Это - милость от моего Господа! Когда же исполнится обещание моего Господа, Он сровняет ее с землей. Обещание моего Господа является истиной».
099_00	В тот день Мы позволим им (племенам Йаджудж и Маджудж) хлынуть друг на друга. И затрубят в Рог, и Мы соберем их (творения) всех вместе.
100_00	В тот день Мы ясно покажем Геенну неверующим,
101_00	на глазах которых было покрывало, отделяющее их от поминания Меня, и которые не могли слышать.
102_00	Неужели неверующие полагали, что они сделают Моих рабов своими покровителями и помощниками вместо Меня? Воистину, Мы приготовили Геенну обителью для неверующих.
103_00	Скажи: «Не сообщить ли вам о тех, чьи деяния принесут наибольший убыток?
104_00	О тех, чьи усилия заблудились в мирской жизни, хотя они думали, что поступают хорошо?
105_00	Это - те, кто не уверовал в знамения своего Господа и во встречу с Ним. Тщетны будут их деяния, и в День воскресения Мы не отпустим им никакого веса (не придадим им никакого значения; или не поместим на чашу их добрых деяний ни одного праведного поступка)».
106_00	Геенна будет им воздаянием за то, что они не уверовали и насмехались над Моими знамениями и Моими посланниками.
107_00	Воистину, обителью тех, которые уверовали и совершали праведные деяния, будут сады Фирдауса.
108_00	Они пребудут в них вечно и не пожелают для себя перемен.
109_00	Скажи: «Если бы море стало чернилами для слов моего Господа, то море иссякло бы до того, как иссякли бы Слова моего Господа, даже если бы Мы принесли в помощь ему такое же море».
110_00	Скажи: «Воистину, я - такой же человек, как и вы.
110_01	Мне внушено откровение о том, что ваш Бог - Бог Единственный. Тот, кто надеется на встречу со своим Господом, пусть совершает праведные деяния и никому не поклоняется наряду со своим Господом».
