001_00	众人啊！你们应当敬畏你们的主，复活时的地震，确是一件大事。
071_00	他们舍真主而崇拜真主所未证实的，也非他们所知道的偶像； 不义的人绝没有任何援助者。
072_00	当别人对他们宣读我的明显的迹象的时候，你看见不信道者的脸上有不悦之色；他们几乎要袭击对他们宣读我的迹象者。
072_01	你说：我告诉你们比这个更恶劣的好吗？那就是火狱。真主以火狱应许不信道者，那归宿真恶劣！
073_00	众人啊！有一个譬喻，你们倾听吧！
073_01	你们舍真主而祈祷的（偶像）虽群策群力，绝不能创造一只苍蝇；如果苍蝇从他们的身上夺取一点东西，他们也不能把那点东西抢回来。祈祷者和被祈祷者，都是懦弱的！
074_00	他们没有真实地尊敬真主。真主确是至强的，确是万能的。
075_00	真主从天神中，于人类中拣选若干使者，真主确是全聪的，确是全明的。
076_00	他知道他们已做的和将做的事情，万事只归真主。
077_00	信道的人们啊！你们应当鞠躬，应当叩头，应当崇拜你们的主，应当力行善功，以便你们成功。（此处叩头！）※
078_00	你们应当为真主而真实地奋斗。他拣选你们，关于宗教的事，他未曾以任何烦难为你们的义务，你们应当遵循你们的祖先易卜拉欣的宗教。
078_01	以前真主称你们为穆斯林，在这部经典里他也称你们为穆斯林，以便使者为你们作证，而你们为世人作证。
078_02	你们当谨守拜功，完纳天课，信托真主；他是你们的主宰，主宰真好！助者真好！
