001_00	Si avvicina per gli uomini la resa dei loro conti, mentre essi incuranti trascurano.
068_00	Dissero: «Bruciatelo e andate in aiuto dei vostri dèi, se siete di farlo». «… siete stati ingiusti»: come già in altri passi dove noi utilizzeremmo la prima persona plurale, il Corano utilizza la seconda, vedi anche più sotto il vers. Lett. «Uffa a voi e…». Riferisce la tradizione che Abramo fu precipitato dal tetto di un edificio nel mezzo di un'enorme pira in fiamme e, gloria ad Allah l'Altissimo, ne uscì indenne. Abramo e Lot lasciano la Babilonia e si dirigono verso «bilàd 'ash- shâm», «la terra della mezza luna fertile» che, tradizionalmente, era un territorio a nord della penisola arabica che il colonialismo europeo ha suddiviso in Siria, Libano, Palestina e Giordania. La meta dei due profeti è proprio la Palestina. In questo versetto è interessante notare come la «baraka» di quella terra riguarda «i popoli», cioè l'intera umanità. Davide, re e giudice dei Figli di Israele, giudicava nella lite tra un agricoltore e un pastore. I montoni di quest'ultimo avevano distrutto una coltivazione. Davide decise che la proprietà del gregge passasse al danneggiato a titolo di indennizzo. Salomone, che aveva undici anni e assisteva al giudizio, espresse parere contrario e suggerì che il contadino godesse dell'usufrutto del gregge fino alla copertura del danno subito e poi restituisse gli animali al pastore. Il parere fu ritenuto equo ed illuminato, divenne proverbiale della saggezza di giudizio di Salomone e fu in seguito acquisito dalla giurisprudenza islamica. «Fummo testimoni del loro giudizio»: il giudizio reso dai profeti è reso in nome di Allah. «sulla terra che abbiamo benedetta»: «bilàd ash-sham», vedi vers. e la nota. La tradizione riferisce, e il Corano conferma, che i dèmoni erano sottomessi a Salomone che li utilizzava come pescatori di perle e come schiavi nelle sue miniere e nei suoi cantieri di edifici sacri. Giobbe è il simbolo del «sabr», termine che significa «pazienza, costanza, sopportazione». Allah lo mise alla prova per sette anni. Lo colpì duramente nei beni, negli affetti e nella salute fisica, riducendolo ad un povero corpo piagato e sanguinolento, abbandonato da tutti. Ciononostante Giobbe non lasciò mai che nel suo cuore ci fosse spazio per l'ingratitudine verso il Creatore e che dalle sue labbra sfuggisse un'imprecazione contro di Lui. «la sua famiglia e un'altra ancora»: l'esegesi attinge alla tradizione e afferma che Allah compensò Giobbe risuscitando i suoi figli morti. «Dhu 'l-Kifl»: questo profeta viene citato solo in questo passo e nel vers. della sura XXXVIII. Non è mai stato identificato con certezza. Secondo Tabarì al Suo Signore. In queste parole c'è shahada, tasbih e istighfar. Per queste ragioni tale formula viene spesso utilizzata nel dhikr, il ricordo di Allah. In base ad una tradizione in questo versetto si troverebbe il Nome Sublime di Allah. Vedi Appendice. «Tu sei il migliore degli eredi»: Al Warìth «Colui Che eredita» è uno dei novantanove bellissimi Nomi di Allah. «e sanammo la sua sposa»: la rendemmo in grado di procreare. «colei che…»: Maria madre di Gesù. A proposito di queste orde apocalittiche vedi nota e nota nella sura xvIII. «la grande angoscia»: il tormento della morte: l'interrogatorio nella tomba. «il Monito»: in questo caso la Toràh. «La terra…»: cfr. Salmo xxxvII, L'esegesi islamica interpreta questo passo nel senso che anche il potere terreno prima o poi sarà nelle mani dei credenti timorati di Allah. Insh-Allah! «Non ti mandammo…» o Muhammad! La missione di Muhammad ha caratteristiche universali. L'IsIàm non è certo «la religione degli arabi» e neppure le sue leggi e i suoi precetti sono legati a particolari circostanze storiche o ambiente geografico. «Sarete musulmani?»: sarete sottomessi alla Sua volontà. Ricordiamo che IsIàm significa sottomissione ad Allah e i «musulmani» sono quelli che la vivono pienamente e coscientemente. «Non so se ciò…»: non so se il fatto di non conoscere il termine che Allah vi ha concesso sia una tentazione o un'illusione.
069_00	Dicemmo: «Fuoco, sii frescura e pace per Abramo».
070_00	Tramarono contro di lui, ma facemmo sì che fossero loro i perdenti.
071_00	Salvammo lui e Lot e verso una terra che colmammo di benedizione per i popoli.
072_00	E gli demmo Isacco e Giacobbe e ne facemmo dei devoti.
073_00	Pre-Eg. n. Di versetti. Il nome della sura deriva dal suo contenuto. In nome di Allah, il Compassionevole, il Misericordioso. Ne facemmo capi che dirigessero le genti secondo il Nostro ordine. Rivelammo loro di fare il bene, di osservare l'orazione e di versare la decima. Erano Nostri adoratori.
074_00	E a Lot demmo saggezza e scienza e lo salvammo dalla città in cui si commettevano turpitudini: in verità erano un popolo malvagio e perverso.
075_00	lo facemmo entrare nella Nostra misericordia. Egli era davvero un devoto.
076_00	E quando in precedenza Noè implorò, Noi gli rispondemmo e lo salvammo dal terribile cataclisma, insieme con la sua famiglia.
077_00	Gli prestammo soccorso contro la gente che smentiva i Nostri segni. Erano davvero uomini malvagi: tutti li annegammo.
078_00	Davide e Salomone giudicarono a proposito di un campo coltivato che un gregge di montoni appartenente a certa gente aveva devastato pascolandovi di notte. Fummo testimoni del loro giudizio.
079_00	Facemmo sì che Salomone comprendesse. Demmo ad entrambi saggezza e scienza. Costringemmo le montagne a rendere gloria insieme con Davide e gli uccelli insieme. Siamo Noi che lo abbiamo fatto.
080_00	Gli insegnammo, a vostro vantaggio, la fabbricazione delle cotte di maglia, affinché vi proteggessero dalla vostra stessa violenza. Ne sarete mai riconoscenti.
081_00	E il vento impetuoso a Salomone: al suo ordine soffiava sulla terra che abbiamo benedetta. Noi conosciamo ogni cosa.
082_00	E fra i dèmoni alcuni si tuffavano per lui e compivano altre opere ancora ; eravamo Noi a sorvegliarli.
083_00	E si rivolse Giobbe al suo Signore: «Il male mi ha colpito, ma Tu sei il Più misericordioso dei misericordiosi!».
084_00	Gli rispondemmo e lo sollevammo dal male che lo affliggeva e gli restituimmo la sua famiglia e un'altra ancora , segno di misericordia da parte Nostra e Monito per coloro che adorano.
085_00	E Ismaele e Idris e Dhû 'l-Kifl ! Tutti furono perseveranti.
086_00	che facemmo beneficiare della Nostra misericordia: tutti erano dei devoti.
087_00	E l'Uomo del Pesce , quando se ne andò irritato, pensava che non lo mettessimo alla prova. Poi implorò così nelle tenebre: «Non c'è altro dio all'infuori di Te! Gloria a Te! Io sono stato un ingiusto!».
088_00	Gli rispondemmo e lo salvammo dalla disperazione. Così salviamo coloro che credono.
089_00	E Zaccaria si rivolse al suo Signore: «Non lasciarmi solo, Signore, Tu sei il migliore degli eredi».
090_00	Lo esaudimmo e gli demmo Giovanni e sanammo la sua sposa.
090_01	In verità s'affrettavano al bene, Ci invocavano con amore e trepidazione ed erano umili davanti a Noi.
091_00	E colei che ha mantenuto la sua castità! Insufflammo in essa del Nostro Spirito e facemmo di lei e di suo figlio un segno per i mondi.
092_00	Sì, questa vostra Comunità è un'unica Comunità e Io sono il vostro Signore. AdorateMi.
093_00	Si divisero invece. Ma infine tutti a Noi faranno ritorno.
094_00	Chi compie il bene ed è credente non vedrà disconosciuto il suo sforzo, ché Noi lo registriamo.
095_00	delle città che facemmo perire è vietato ritornare
096_00	fino al momento in cui si scateneranno Gog e Magog e dilagheranno da ogni altura.
097_00	La vera promessa si approssima e gli sguardi dei miscredenti si fanno sbarrati: «Guai a noi! Siamo stati distratti. Peggio ancora, siamo stati ingiusti!».
098_00	«Voi e quelli che adoravate all'infuori di Allah, sarete combusti- bile dell'Inferno. Non potrete evitarlo.
099_00	Se quegli altri fossero stati dèi, non vi sarebbero entrati. Vi rimarranno tutti in perpetuo.
100_00	Colà gemeranno, ma nessuno li ascolterà.»
101_00	Ne saranno esclusi coloro per i quali il Nostro bene ha avuto il sopravvento.
102_00	non ne sentiranno il fragore e godranno per sempre quel che le loro anime desiderano.
103_00	Non li affliggerà la grande angoscia e gli angeli li accoglieranno: «Ecco il Giorno che vi era stato promesso».
104_00	Il Giorno in cui avvolgeremo il cielo come gli scritti sono avvolti in rotoli. Come iniziammo la prima creazione, così la reitereremo; è Nostra promessa: saremo Noi a farlo.
105_00	Lo abbiamo scritto nel Salterio, dopo che venne il Monito : «La terra sarà ereditata dai Miei servi devoti».
106_00	In verità in ciò vi è un messaggio per un popolo di adoratori.
107_00	Non ti mandammo se non come misericordia per il creato.
108_00	Di': «In verità mi è stato rivelato che il vostro Dio è un Dio unico. Sarete musulmani?».
109_00	Se poi volgono le spalle, allora di': «Io vi ho avvertiti tutti, senza discriminazioni; ma non so se ciò che vi è stato promesso è prossimo o lontano.
110_00	Egli conosce quello che proclamate e quello che tenete segreto.
111_00	Non so se ciò sia una tentazione per voi, un effimero godimento!».
112_00	Di': «Mio Signore, giudica secondo verità! Il nostro Signore è il Compassionevole, da Lui invochiamo aiuto contro ciò che affermate».
