001_00	Alif, Lâm, Rà. Questi sono i versetti del Libro esplicito.
038_01	Non dobbiamo associare ad Allah alcunché. Questa è una grazia di Allah per noi e per gli uomini, ma la maggior parte di loro sono ingrati.
039_00	O miei compagni di prigione! Una miriade di signori sono forse meglio di Allah, l'Unico, Colui Che prevale.
040_00	Non adorate aü'infuori di Lui altro che nomi che voi e i vostri avi avete inventato, e a proposito dei quali Allah non ha fatto scendere nessuna prova. In verità il giudizio appartiene solo ad Allah.
040_01	Egli vi ha ordinato di non adorare altri che Lui. Questa la religione immutabile , eppure la maggior parte degli uomini lo ignora.
041_00	O miei compagni di prigione, uno di voi due verserà il vino al suo signore, l'altro sarà crocifisso e gli uccelli beccheranno la sua testa.
041_01	Le questioni sulle quali mi avete interpellato sono così stabilite».
042_00	E disse a quello dei due che a suo avviso si sarebbe salvato: «Ricordami presso il tuo signore». Satana fece sì che dimenticasse di ricordarlo al suo signore. Giuseppe restò quindi in prigione per altri anni.
043_00	Disse il re: «Invero vidi sette vacche grasse che sette vacche magre divoravano e sette spighe verdi e sette altre secche.
043_01	O notabili, interpretatemi la mia visione, se siete capaci di interpretare i sogni!».
044_00	Risposero: «Sogni confusi. Non sappiamo interpretare i sogni».
045_00	Quello dei due che era stato liberato, si ricordò infine di lui ed esclamò: «Io vi rivelerò il significato! Lasciate che vada».
046_00	«O Giuseppe, o veridico, spiegaci di sette vacche grasse che sette magre divorano e di sette spighe verdi e di sette altre secche.
046_01	Ché io possa tornare a quella gente ed essi possano sapere».
047_00	Rispose: «Coltiverete per sette anni come è vostra consuetudine. Tutto quello che avrete raccolto lasciatelo in spiga, eccetto il poco che consumerete.
048_00	Verranno poi sette anni di carestia che consumeranno tutto quello che avrete risparmiato, eccetto quel poco che conserverete.
049_00	Dopo di ciò verrà un'annata in cui gli uomini saranno soccorsi e andranno al frantoio».
050_00	Disse il re: «Conducetemelo».
050_01	Quando giunse il messaggero disse: «Ritorna presso il tuo signore e chiedigli: "Cosa volevano le donne che si tagliuzzarono le mani?". Invero il mio Signore ben conosce le loro astuzie».
051_00	Chiese allora: «Qual era la vostra intenzione quando volevate sedurre Giuseppe?». Risposero: «Allah ce ne guardi.
051_01	Non conosciamo male alcuno a suo riguardo». La moglie del principe disse: «Ormai la verità è manifesta: ero io che cercavo di sedurlo. In verità egli è uno di coloro che dicono il vero».
052_00	« questa affinché il mio padrone sappia che non l'ho tradito in segreto, ché in verità Allah non guida le astuzie dei traditori.
053_00	Non voglio assolvere me stesso! In verità l'anima è propensa al male, a meno che il mio Signore per la misericordia. In verità il mio Signore è perdonatore, misericordioso».
054_00	Disse il re: «Conducetemelo: voglio tenerlo presso di me». Quando poi gli ebbe parlato, disse: «D'ora in poi rimarrai al nostro fianco, con autorità e fiducia».
055_00	Rispose: «Affidami i tesori della terra : sarò buon guardiano ed esperto».
056_00	Così demmo a Giuseppe autorità su quella terra e dimorava dove voleva. Facciamo sì che la Nostra misericordia raggiunga chi vogliamo e che non vada perso il compenso di coloro che operano il bene.
057_00	E il compenso dell'altra vita è migliore per coloro che credono e hanno timor.
058_00	Giunsero i fratelli di Giuseppe e si presentarono davanti a lui. Egli li riconobbe, mentre essi non lo riconobbero.
059_00	Dopo che li ebbe riforniti di provviste disse loro: «Conducetemi il vostro fratello da parte di padre. Non vedete come vi ho colmato il carico e che sono il migliore degli ospiti.
060_00	Se non lo condurrete, da parte mia non ci saranno più carichi per voi e non mi potrete più avvicinare».
061_00	Dissero: «Cercheremo di convincere suo padre e certamente ci riusciremo».
062_00	Disse ai suoi garzoni: «Nascondete le loro merci nei loro bagagli, ché le riconoscano quando saranno giunti presso la loro gente e forse ritorneranno».
063_00	Quando furono di ritorno presso il padre loro, gli dissero: «O padre, non potremo più avere altri carichi. Lascia venire con noi nostro fratello, ci potremo rifornire e certamente veglieremo su di lui».
064_00	Disse: «Ve lo dovrei affidare come già vi affidai suo fratello? È Allah il Migliore dei guardiani, ed Egli è il Più misericordioso dei misericordiosi!».
065_00	Quando poi disfecero i bagagli, scoprirono che gli erano state rese le loro merci. Dissero: «O padre, cosa potremmo desiderare di più?
065_01	Ecco, le nostre merci ci sono state restituite. Provvederemo alla nostra gente e veglieremo su nostro fratello, aggiungeremo un altro carico di cammello: sarà un carico facile».
066_00	Disse: «Non lo manderò con voi finché non giurerete su Allah che me lo riporterete, a meno che non siate del tutto sopraffatti».
066_01	Poi, dopo che ebbero giurato, disse loro: «Allah è il garante di quello che abbiamo detto».
067_00	Disse: «O figli miei, non entrate da una sola porta, ma entrate da porte diverse. In nulla potrei proteggervi nei confronti di Allah.
067_01	La decisione appartiene solo ad Allah e in Lui confido. In Lui confidino coloro che confidano».
068_00	Pur essendo entrati nel modo che loro padre aveva raccomandato, ciò non li avrebbe protetti da Allah.
068_01	Non fu altro che uno scrupolo, nell'animo di Giacobbe, ed egli lo soddisfece. Invero egli era colmo della scienza che Noi gli avevamo insegnato, mentre la maggior parte degli uomini non sanno.
069_00	E quando furono introdotti da Giuseppe, questi trasse in disparte suo fratello e gli disse: «Io sono tuo fratello, non essere dunque triste per quello che mi hanno fatto».
070_00	Dopo che li ebbe riforniti, fece nascondere una coppa nei bagagli di suo fratello. Gridò un messo: «O voi della carovana, invero siete dei ladri!».
071_00	Si arrestarono e chiesero: «Cosa cercate?».
072_00	Risposero: «La coppa del re. Un carico di cammello è destinato a chi la riporterà, io ne sono garante!».
073_00	Dissero: «Per Allah, sapete bene che non siamo venuti a spargere la corruzione sulla terra e che non siamo dei ladri».
074_00	«Quale sarà la sanzione se mentite?», dissero.
075_00	Risposero: «Il riscatto? Colui nei cui bagagli troverete la coppa, sarà egli stesso il suo riscatto. È così che sanzioniamo gli ingiusti».
076_00	iniziò dai sacchi degli altri prima che da quello di suo fratello, e infine la trasse dai bagagli di quest'ultimo.
076_01	Suggerimmo Noi quest'astuzia a Giuseppe, ché altrimenti non avrebbe potuto trattenere suo fratello nel rispetto della legge del re, a meno che Allah non l'avesse voluto. Eleviamo il rango di chi vogliamo, e sopra ogni sapiente c'è l'Onnisciente.
077_00	Disse: «Se ha rubato, già uno dei suoi fratelli aveva rubato».
077_01	Giuseppe nascose nel suo cuore, senza mostrare loro nulla. Disse: «Invero la vostra situazione è peggiore, e Allah sa cosa affermate!».
078_00	Implorarono : «O potente, suo padre è molto vecchio! Prendi uno di noi in sua vece. Tu sei tra coloro che ben agiscono».
079_00	Disse: «Ci guardi Allah dal prendere altri che colui presso il quale abbiamo ritrovato i nostri beni, ché in tal caso saremmo ingiusti!».
080_00	Quando persero la speranza, discussero in segreto.
080_01	Disse il maggiore: «Non ricordate che vostro padre vi chiese di giurare davanti ad Allah?
080_02	E come già una volta mancaste nei confronti di Giuseppe? Non lascerò questo territorio, senza che mio padre me ne dia il permesso o che Allah abbia giudicato in mio favore. Egli è il migliore dei giudici.
081_00	Tornate dal padre vostro e ditegli: «"O padre nostro, tuo figlio ha rubato. Non abbiamo testimoniato eccetto che per quello che sappiamo: non potevamo prevedere l'ignoto.
082_00	Chiedi pure città e a quelli della carovana con la quale siamo tornati. Davvero siamo sinceri!"».
083_00	Disse: «Sono piuttosto le vostre passioni che vi hanno ispirato qualcosa. Bella pazienza! Chissà che Allah me li restituisca tutti quanti! In verità Egli è il Sapiente, il Saggio».
084_00	Volse loro le spalle e disse: «Ahimè! Quanto mi dolgo per Giuseppe!». Sbiancarono i suoi occhi per la tristezza e fu sopraffatto dal dispiacere.
085_00	Dissero: «Per Allah! Smetti di ricordare Giuseppe, finirai per consumarti e morirne!».
086_00	Rispose: «Mi lamento solo davanti ad Allah della mia disgrazia e del mio dolore, e grazie ad Allah conosco cose che voi non sapete.
087_00	Andate figli miei, cercate Giuseppe e suo fratello e non disperate del soccorso di Allah, ché solo i miscredenti disperano del soccorso di Allah».
088_00	Quando poi entrarono al cospetto di lui, dissero: «O principe, ci ha colpiti la disgrazia, noi e la nostra famiglia.
088_01	Abbiamo recato merce di scarso valore. Riempici comunque la misura e facci la carità, ché Allah compensa i caritatevoli».
089_00	Rispose: «Non ricordate quello che faceste a Giuseppe e a suo fratello nella vostra ignoranza?».
090_00	Dissero: «Sei tu proprio Giuseppe?». Disse: «Io sono Giuseppe e questi è mio fratello.
090_01	In verità Allah ci ha colmato di favori! Chi è timorato e paziente, in verità Allah non trascura di compensare chi fa il bene».
091_00	Dissero: «Per Allah, certo Allah ti ha preferito a noi e certo noi siamo colpevoli».
092_00	Disse: «Oggi non subirete nessun rimprovero! Che Allah vi perdoni, Egli è il più misericordioso dei misericordiosi.
093_00	Andate con questa mia camicia e posatela sul viso di mio padre: riacquisterà la vista. Conducetemi tutta la vostra gente».
094_00	Non appena la carovana fu ripartita, disse il padre loro: «Davvero sento l'odore di Giuseppe, e non dite che sto delirando».
095_00	Gli risposero: «Per Allah, sei ancora in preda alla tua vecchia fissazione».
096_00	Quando giunse il latore della buona novella, pose la camicia sul volto di. Egli riacquistò la vista e disse: «Non vi avevo appunto detto che grazie ad Allah, conosco cose che voi non sapete?».
097_00	Dissero: «O padre, implora perdono per i nostri peccati, ché veramente siamo colpevoli».
098_00	Rispose: «Implorerò per voi il perdono del mio Signore. Egli è il Perdonatore, il Misericordioso».
099_00	Quando furono introdotti alla presenza di Giuseppe, questi accolse il padre e la madre e disse: «Entrate in Egitto in sicurezza, se Allah vuole!».
100_00	Fece salire i suoi genitori sul suo trono e caddero in prosternazione.
100_01	Disse: «O padre, ecco il significato del mio sogno di un tempo.
100_02	Il mio Signore lo ha avverato. Egli è stato buono con me quando mi ha tratto dalla prigione, e vi ha condotti qui dal deserto dopo che Satana si era intromesso tra me e i miei fratelli. In verità il mio Signore è dolcissimo in quello che vuole, Egli è il Sapiente, il Saggio.
101_00	O mio Signore, mi hai dato qualche potere e mi hai insegnato l'interpretazione dei sogni.
101_01	O Creatore dei cieli e della terra, Tu sei il mio patrono, in questa vita come nell'altra. Fammi morire musulmano e ponimi tra i devoti!».
102_00	Sono queste le storie segrete che ti riveliamo, ché certo non eri tra loro quando si riunivano per tramare.
103_00	La maggior parte degli uomini non crederanno, nonostante il tuo ardente desiderio.
104_00	Eppure non chiedi loro alcun compenso. non è che un monito per i mondi.
105_00	E quanti segni nei cieli e sulla terra, cui gli uomini passano accanto voltando loro le spalle.
106_00	La maggior parte di loro non crede in Allah se non attribuendo- Gli associati.
107_00	Sono forse certi che non li avvolga il castigo di Allah o che non giunga improvvisa l'Ora mentre sono incoscienti.
108_00	Di': «Ecco la mia via: invito ad Allah in tutta chiarezza, io stesso e coloro che mi seguono. Gloria ad Allah, non sono uno dei politeisti».
109_00	Non inviammo prima di te altro che uomini abitanti delle città e che Noi ispirammo. Non viaggiano forse sulla terra e non vedono quale è stata la fine di coloro che furono prima di loro?
109_01	Certo la dimora dell'altra vita è migliore per quelli che temono. Non capite dunque.
110_00	Quando poi i messaggeri stavano per perdere la speranza, ritenendo che sarebbero passati per bugiardi, ecco che giunse il Nostro soccorso. Abbiamo salvato quelli che abbiamo voluto, ché la Nostra severità non sarà allontanata dagli empi.
111_00	Nelle loro storie c'è una lezione per coloro che hanno intelletto.
111_01	Questo non è certo un discorso inventato, ma è la conferma di ciò che lo precede, una spiegazione dettagliata di ogni cosa, una guida e una misericordia per coloro che credono.
