001_00	Kâf, Hâ', Yâ', 'Aîn, Şâd.
035_00	Non si addice ad Allah prendersi un figlio. Gloria a Lui! Quando decide qualcosa dice: «Sii!» ed essa è.
036_00	«In verità, Allah è il mio e vostro Signore, adorateLo! Questa è la retta via.»
037_00	Poi le sette furono in disaccordo tra loro. Guai a coloro che non credono, quando compariranno nel Giorno terribile.
038_00	Ah, come vedranno e intenderanno nel Giorno in cui saranno ricondotti a Noi! Ma gli ingiusti, oggi, sono in palese errore.
039_00	Avvertili del Giorno del Rimorso, in cui sarà emesso l'Ordine, mentre essi saranno distratti e non credenti.
040_00	Siamo Noi che erediteremo la terra e quanti vi stanno sopra e che a Noi saranno ricondotti.
041_00	Ricorda Abramo nel Libro. In verità era un veridico, un profeta.
042_00	Disse a suo padre: «O padre, perché adori ciò che non vede e non sente e non può proteggerti da alcunché.
043_00	O padre, mi è stata data una scienza che tu non hai avuto, seguimi e ti condurrò sulla retta via.
044_00	O padre, non adorare Satana: egli è sempre disobbediente al Compassionevole.
045_00	O padre, temo che ti giunga un castigo del Compassionevole e che tu divenga uno dei prossimi di Satana».
046_00	Disse: «O Abramo, hai in odio i miei dèi? Se non desisti, ti lapiderò. Allontanati per qualche tempo».
047_00	Rispose: «Pace su di te, implorerò per te il perdono del mio Signore, poiché Egli è sollecito nei miei confronti.
048_00	Mi allontano da voi e da ciò che adorate all'infuori di Allah. Mi rivolgo al Signore, ché certamente non sarò infelice nella mia invocazione al mio Signore».
049_00	Quando poi si fu allontanato da loro e da quello che adoravano all'infuori di Allah, gli donammo Isacco e Giacobbe ed entrambi li facemmo profeti.
050_00	Concedemmo loro la Nostra misericordia e un sublime, veritiero eloquio.
051_00	Ricorda Mosè nel Libro. In verità era un eletto, un messaggero, un profeta.
052_00	Lo chiamammo dalla parte destra del Monte e lo facemmo avvicinare in confidenza.
053_00	E come misericordia da parte Nostra, gli demmo suo fratello Aronne, come profeta.
054_00	Ricorda Ismaele nel Libro. In verità era sincero nella sua promessa, era un messaggero, un profeta.
055_00	Imponeva alla sua famiglia l'orazione e la decima ed era gradito al suo Signore.
056_00	Ricorda Idris nel Libro. In verità era veridico, un profeta.
057_00	Lo elevammo in alto rango.
058_00	Essi sono coloro che Allah ha colmato tra i profeti discendenti di Adamo, tra coloro che portammo con Noè, tra i discendenti di Abramo e di Israele e tra coloro che abbiamo guidato e scelto.
058_01	Quando venivano recitati loro i segni del Compassionevole, cadevano in prosternazione , piangendo.
059_00	Coloro che vennero dopo di loro tralasciarono l'orazione, e si abbandonarono alle passioni. Incontreranno la perdizione.
060_00	Coloro che invece si pentono, credono e compiono il bene, entreranno nel Giardino e non subiranno alcun torto.
061_00	nei Giardini di Eden, che il Compassionevole ha promesso ai Suoi servi che nell'invisibile , ai Suoi servi, ché la Sua promessa è imminente.
062_00	e non ascolteranno colà nessun discorso vano, ma solo: «Pace!», e verranno sostentati al mattino e alla sera.
063_00	Questo è il Giardino che faremo ereditare ai nostri servi che saranno stati timorati.
064_00	«Noi scendiamo solo per ordine del tuo Signore. A Lui appartiene tutto quello che ci sta innanzi, tutto quello che è dietro di noi e ciò che vi è frammezzo. Il tuo Signore non è immemore.»
065_00	È il Signore dei cieli e della terra e di tutto ciò che vi è frammezzo, adoraLo dunque e persevera nell'adorazione. Conosci qualcuno che abbia il Suo stesso nome .
066_00	Dice l'uomo: «Quando sarò morto, chi mi riporterà alla vita?».
067_00	Non si ricorda l'uomo che fummo Noi a crearlo quando ancora non era nulla.
068_00	Per il tuo Signore, li riuniremo insieme ai diavoli e poi li condurremo inginocchiati attorno all'Inferno.
069_00	Quindi trarremo da ogni gruppo quello che fu più arrogante verso il Compassionevole.
070_00	ché meglio di tutti conosciamo coloro che più meritano di bruciarvi.
071_00	Nessuno di voi mancherà di passarvi : ciò è fermamente stabilito dal tuo Signore.
072_00	Salveremo coloro che Ci hanno temuto e lasceremo gli ingiusti in ginocchio.
073_00	Quando vengono recitati i Nostri chiari versetti, i miscredenti dicono a coloro che credono: «Quale dei due partiti ha miglior posizione e buona compagnia?».
074_00	Quante generazioni abbiamo annientato prima di loro, più ricche di beni e di prestigio.
075_00	Di': «Che il Compassionevole prolunghi di coloro che sono sviati, finché non vedranno il castigo e l'Ora che li minaccia.
075_01	Sapranno allora chi si trova nella peggiore situazione e la compagine più debole».
076_00	Allah rafforza la guida di quelli che seguono la retta via. Le buone tracce che restano sono le migliori, per la ricompensa e per il miglior esito presso Allah.
077_00	Che ti sembra di colui che ha rinnegato i Nostri segni asserendo: «Certo avrò beni e figli» .
078_00	Conosce il mistero o ha stretto un patto con il Compassionevole.
079_00	Certo che no! Annoteremo quello che dice e molto accresceremo il suo tormento.
080_00	Saremo Noi ad ereditare ciò di cui parla e si presenterà da solo dinnanzi a Noi.
081_00	Si sono presi dèi all'infuori di Allah che fossero loro d'aiuto.
082_00	Invece no! Essi rifiuteranno la loro adorazione e saranno loro nemici.
083_00	Non vedi che abbiamo mandato i diavoli contro i miscredenti per incitarli con forza.
084_00	Non aver fretta di combatterli. Siamo Noi a tenere il computo.
085_00	Il Giorno in cui riuniremo i timorati presso il Compassionevole come invitati d'onore
086_00	e spingeremo i malvagi nell'Inferno come all'abbeveratoio.
087_00	non beneficeranno di nessuna intercessione, a parte colui che avrà fatto un patto con il Compassionevole.
088_00	Dicono: «Allah Si è preso un figlio».
089_00	Avete detto qualcosa di mostruoso.
090_00	Manca poco che si spacchino i cieli, si apra la terra e cadano a pezzi le montagne.
091_00	perché attribuiscono un figlio al Compassionevole.
092_00	Non si addice al Compassionevole prendersi un figlio.
093_00	Tutte le creature dei cieli e della terra si presentano come servi al Compassionevole.
094_00	Egli li ha contati e tiene il conto
095_00	e nel Giorno della Resurrezione ognuno si presenterà da solo, davanti a Lui.
096_00	In verità il Compassionevole concederà il Suo Amore a coloro che credono e compiono il bene.
097_00	Lo rendemmo facile alla tua lingua, perché tu annunci la lieta novella ai timorati e avverta il popolo ostile.
098_00	Quante generazioni facemmo perire prima di loro ! Ne puoi ritrovare anche uno solo o sentire il minimo bisbiglio ?
