001_00	Invero prospereranno i credenti.
074_00	Pre-Eg. n. Di versetti. Il nome della sura deriva dal primo versetto. In nome di Allah, il Compassionevole, il Misericordioso. Invero coloro che non credono all'altra vita se ne allontanano.
075_00	Se li facessimo oggetto della misericordia e allontanassimo la miseria che li affligge , certamente persevererebbero alla cieca nella loro ribellione.
076_00	Già li colpimmo col castigo , ma non si sono arresi al loro Signore, non si sono umiliati.
077_00	fino a quando non apriremo su di loro la porta del castigo terribile, e allora saranno disperati.
078_00	Egli è Colui Che ha creato l'udito, la vista e i cuori. Eppure ben raramente Gli siete riconoscenti.
079_00	Egli è Colui Che vi ha distribuito sulla terra e presso di Lui sarete riuniti.
080_00	Egli è Colui Che dà la vita e dà la morte, a Lui l'alternarsi della notte e del giorno. Non capite dunque.
081_00	Dicono piuttosto quello che già dissero i loro antenati.
082_00	Dicono: «Quando saremo morti e ridotti in polvere e ossa, davvero saremo resuscitati.
083_00	Ci viene promesso questo, come già ai nostri avi: non sono altro che vecchie storie».
084_00	Di' : «A chi la terra e ciò che contiene? se lo sapete!».
085_00	Risponderanno: «Ad Allah». Di': «Non rifletterete dunque?».
086_00	Di': «Chi è il Signore dei sette cieli, il Signore del Trono Sublime?».
087_00	Risponderanno: «Allah». Di': «Non Lo temerete dunque?».
088_00	Di': «Chi nella Sua mano il regno di tutte le cose? Chi è Colui Che protegge e contro il Quale nessuno può essere protetto? se lo sapete!».
089_00	Risponderanno: «Allah». Di': «Com'è dunque che siete stregati?».
090_00	Abbiamo dato loro la verità, ma essi sono dei bugiardi.
091_00	Allah non Si è preso figlio alcuno e non esiste alcun dio al Suo fianco; ché altrimenti ogni dio se ne sarebbe andato con ciò che ha creato e ognuno avrebbe cercato di prevalere sugli altri.
091_01	Gloria ad Allah, ben oltre quello che affermano .
092_00	Conoscitore del visibile e dell'invisibile. Egli è ben più alto di quanto associano.
093_00	Di': «Mio Signore, se mai mi mostrerai quello che hai promesso loro…
094_00	ebbene, mio Signore, non mi annoverare tra gli ingiusti».
095_00	In verità Noi possiamo mostrarti quello che abbiamo loro promesso.
096_00	Respingi il male con ciò che è migliore. Ben sappiamo quel che dicono.
097_00	E di': «Signore, mi rifugio in Te contro le seduzioni dei diavoli.
098_00	e mi rifugio in Te, Signore, contro la loro presenza vicino a me».
099_00	Quando poi si presenta la morte a uno di loro, egli dice: «Mio Signore! Fatemi ritornare .
100_00	Che io possa fare il bene che ho omesso». No! Non è altro che una parola che pronuncia e dietro di loro sarà eretta una barriera fino al Giorno della Resurrezione.
101_00	Quando poi sarà suonato il Corno, in quel Giorno non ci saranno tra loro più legami parentali, e non si porranno più domande.
102_00	Coloro che avranno bilance pesanti avranno la beatitudine.
103_00	ma coloro che avranno bilance leggere, saranno quelli che avranno perduto loro stessi: rimarranno in perpetuo nell'Inferno.
104_00	il fuoco brucerà i loro volti e avranno torte le labbra.
105_00	«Non vi sono stati recitati i Miei versetti? E non li consideraste imposture?»
106_00	Risponderanno: «Nostro Signore, ha vinto la disgrazia, eravamo gente traviata.
107_00	Signore, facci uscire di qui! Se poi persisteremo, saremo allora davvero ingiusti».
108_00	Dirà: «Rimanetevi e non parlateMi più».
109_00	Invero c'era una parte dei Miei servi che diceva: «Signore, noi crediamo: perdonaci e usaci misericordia! Tu sei il Migliore dei misericordiosi!».
110_00	E invece li avete scherniti al punto da perdere il Ricordo di Me, mentre di essi ridevate.
111_00	In verità oggi li ho compensati di ciò che hanno sopportato con pazienza; essi sono coloro che hanno conseguito.
112_00	Dirà: «Quanti anni siete rimasti sulla terra?».
113_00	Risponderanno: «Siamo rimasti un giorno, o parte di un giorno. Interroga coloro che tengono il computo».
114_00	Dirà: «Davvero siete rimasti ben poco. Se lo aveste saputo.
115_00	Pensavate che vi avessimo creati per celia e che non sareste stati ricondotti a Noi?».
116_00	Sia esaltato Allah, il vero Re. Non c'è altro dio all'infuori di Lui, il Signore del Trono Sublime.
117_00	E chi invoca insieme ad Allah un'altra divinità senza averne prova alcuna, dovrà renderne conto al suo Signore. Certamente i miscredenti non prospereranno.
118_00	E di': «Signore, perdona e usaci misericordia, Tu sei il Migliore dei misericordiosi».
