001_00	Ljudima se bliži čas polaganja računa njihova, a oni, bezbrižni, ne mare za to.
087_00	I Zunnunu se, kada srdit ode i pomisli da ga nećemo kazniti – pa poslije u tminama zavapi: "Nema boga osim Tebe, hvaljen neka si, a ja sam se zaista ogriješio prema sebi!" –
088_00	odazvasmo i tegobe ga spasismo; eto, tako Mi spašavamo vjernike.
089_00	I Zekerijjau se – kada zamoli Gospodara svoga: "Gospodaru moj, ne ostavljaj me sama, a Ti si jedini vječan!" –
090_00	odazvasmo i, izliječivši mu ženu, Jahjaa mu poklonismo.
090_01	Oni su se trudili da što više dobra učine i molili su Nam se u nadi i strahu, i bili su prema Nama ponizni.
091_00	A i onu koja je sačuvala djevičanstvo svoje, u njoj život udahnusmo i nju i sina njezina znamenjem svjetovima učinismo.
092_00	Ova vaša vjera – jedina je prava vjera, a Ja sam – vaš Gospodar, zato se samo Meni klanjajte!
093_00	I oni su se između sebe u vjeri podvojili, a svi će se Nama vratiti.
094_00	Ko bude dobra djela činio i uz to vjernik bio, trud mu neće lišen nagrade ostati, jer smo mu ga, sigurno, Mi pribilježili.
095_00	A nezamislivo je da se stanovnici bilo kojeg naselja koje smo Mi uništili neće Nama vratiti.
096_00	I kada se otvore Jedžudž i Medžudž i kada se ljudi budu niz sve strmine žurno spuštali
097_00	i približi se istinita prijetnja, tada će se pogledi nevjernika ukočiti. "Teško nama, mi smo prema ovome ravnodušni bili; mi smo sami sebi nepravdu učinili!"
098_00	I vi, i oni kojima se, pored Allaha, klanjate – bićete gorivo u Džehennemu, a u nj ćete doista ući.
099_00	Da su oni bogovi, ne bi u nj ušli, i svi će u njemu vječno boraviti,
100_00	u njemu će prigušeno uzdisati, u njemu ništa radosno neće čuti.
101_00	A oni kojima smo još prije lijepu nagradu obećali, oni će od njega daleko biti,
102_00	huku njegovu neće čuti, i vječno će u onome što im budu duše željele uživati,
103_00	neće ih brinuti najveći užas, nego će ih meleki dočekivati: "Evo ovo je vaš dan, vama obećan!" –
104_00	onoga Dana kada smotamo nebesa kao što se smota list papira za pisanje. Onako kako smo prvi put iz ničega stvorili, tako ćemo ponovo iz ništa stvoriti – to je obećanje Naše, Mi smo doista kadri to učiniti.
105_00	Mi smo u Zeburu, poslije Tevrata, napisali da će Zemlju Moji čestiti robovi naslijediti.
106_00	U ovome je doista pouka za ljude koji se budu Allahu klanjali,
107_00	a tebe smo samo kao milost svjetovima poslali.
108_00	Reci: "Meni se objavljuje da je vaš Bog – jedan Bog, zato se samo Njemu klanjajte!"
109_00	I ako oni leđa okrenu, ti reci: "Ja sam vas sve, bez razlike, opomenuo, a ne znam da li je blizu ili daleko ono čime vam se prijeti;
110_00	On zna glasno izgovorene riječi, zna i ono što krijete,
111_00	a ja ne znam da nije to vama iskušenje, i pružanje uživanja još za izvjesno vrijeme."
112_00	"Gospodaru moj, presudi onako kako su zaslužili!" – reče on – "a od Gospodara našeg, Milostivog, treba tražiti pomoć protiv onoga što vi iznosite."
