001_00	Tā Hā.
055_00	Od zemlje vas stvaramo i u nju vas vraćamo i iz nje ćemo vas po drugi put izvesti.
056_00	I Mi smo faraonu sve dokaze Naše pokazali, ali je on ipak porekao i da povjeruje odbio.
057_00	"Zar si došao da nas pomoću vradžbine svoje iz zemlje naše izvedeš, o Musa?" – upitao je.
058_00	"I mi ćemo tebi vradžbinu sličnu ovoj doista pripremiti! Zakaži nam ročište koga ćemo se i mi i ti pridržavati, onako kako odgovara i nama i tebi!"
059_00	"Neka ročište bude za praznik" – reče Musa – "i nek se narod izjutra sakupi."
060_00	I faraon ode, sakupi čarobnjake svoje i poslije dođe.
061_00	"Teško vama!" – reče im Musa. "Ne iznosite laži o Allahu, pa da vas On kaznom uništi; a, sigurno, neće uspjeti onaj koji laži iznosi!"
062_00	I oni se, tiho šapćući, stadoše o svome poslu između sebe raspravljati.
063_00	"Ova dvojica su čarobnjaci" – rekoše jedni drugima – "hoće vas vradžbinama svojim iz zemlje vaše izvesti i uništiti vjeru vašu prelijepu;
064_00	zato lukavstvo svoje pametno pripremite, a onda u red stanite. Ko danas pobijedi, sigurno će postići šta želi!"
065_00	"O Musa" – rekoše oni – "hoćeš li ti ili ćemo najprije mi baciti?"
066_00	"Bacite vi!" – reče on – i odjednom mu se pričini da se konopi njihovi i štapovi njihovi, zbog vradžbine njihove, kreću,
067_00	i Musa u sebi osjeti zebnju.
068_00	"Ne boj se!" – rekosmo Mi – "ti ćeš, doista, pobijediti!
069_00	Samo baci to što ti je u desnoj ruci, progutaće ono što su oni napravili, jer je ono što su oni napravili samo varka čarobnjaka, a čarobnjak neće, ma gdje došao, uspjeti."
070_00	I čarobnjaci se baciše licem na tle govoreći: "Mi vjerujemo u Musaova i Harunova Gospodara!"
071_00	"Vi ste mu povjerovali" – viknu faraon – "prije nego što sam vam ja dopustio!
071_01	On je učitelj vaš, on vas je vradžbini naučio i ja ću vam, zacijelo, unakrst ruke i noge vaše odsjeći i po stablima palmi vas razapeti i sigurno ćete saznati ko je od nas u mučenju strašniji i istrajniji!"
072_00	"Mi nećemo tebe staviti iznad jasnih dokaza koji su nam došli, tako nam Onoga koji nas je stvorio!" – odgovoriše oni – "pa čini što hoćeš; to možeš učiniti samo u životu na ovome svijetu!
073_00	Mi vjerujemo u Gospodara našeg da bi nam grijehe naše oprostio i vradžbine na koje si nas ti primorao. A Allah bolje nagrađuje i kažnjava trajnije."
074_00	Onoga koji pred Gospodara svoga kao nevjernik iziđe čeka Džehennem, u njemu neće ni umrijeti ni živjeti;
075_00	a one koji pred Njega iziđu kao vjernici, a koji su dobra djela činili – njih sve čekaju visoki stepeni,
076_00	edenski vrtovi kroz koje će rijeke teći, u njima će oni vječno ostati, i to će biti nagrada za one koji se budu od grijeha očistili.
077_00	I Mi objavismo Musau: "Noću izvedi robove Moje i s njima suhim putem kroz more prođi, ne strahujući da će te oni stići i da ćeš se utopiti."
078_00	A faraon je za njima s vojskama svojim krenuo, ali su ih talasi mora prekrili;
079_00	faraon je narod svoj u zabludu doveo, a nije na Pravi put izveo.
080_00	O sinovi Israilovi, Mi smo vas od neprijatelja vašeg izbavili, i na desnu stranu Tura vas doveli, i manu i prepelice vam slali.
081_00	"Jedite ukusna jela kojima vas opskrbljujemo i ne budite u tome obijesni da vas ne bi snašla srdžba Moja; a koga snađe srdžba Moja – nastradao je!
082_00	Ja ću sigurno oprostiti onome koji se pokaje i uzvjeruje i dobra djela čini, i koji zatim na Pravome putu istraje."
083_00	"A zašto si prije naroda svoga požurio, o Musa?"
084_00	"Evo ide za mnom" – odgovori on – "a požurio sam k Tebi, Gospodaru moj, da budeš zadovoljan."
085_00	"Mi smo narod tvoj poslije tvog odlaska u iskušenje doveli" – reče On – "njega je zaveo Samirija."
086_00	I Musa se narodu svome vrati srdit i žalostan.
086_01	"O narode moj" – reče – "zar vam Gospodar vaš nije dao lijepo obećanje? Zar vam se vrijeme oduljilo, ili hoćete da vas stigne srdžba Gospodara vašeg, pa se zato niste držali obećanja koje ste mi dali!"
087_00	"Nismo prekršili dato ti obećanje od svoje volje" – odgovoriše. "Bili smo natovareni teretima, nakitom narodnim, pa smo to bacili." A to isto uradio je i Samirija,
088_00	pa im izlio tele koje je davalo glas kao da mûčē, i oni su onda rekli: "Ovo je vaš bog i Musaov bog, on ga je zaboravio!"
089_00	Zar oni nisu vidjeli da im ono ni riječi ne odgovara i da od njih ne može nikakvu nevolju otkloniti niti im ikakvu korist pribaviti?
090_00	A njima je Harun još prije govorio: "O narode moj, vi ste njime samo u iskušenje dovedeni; Gospodar vaš je Milostivi, zato slijedite mene i slušajte naređenje moje!"
091_00	"Mi ćemo mu se klanjati sve dok nam se ne vrati Musa" – odgovorili su oni.
092_00	"O Harune" – povika Musa – "šta te je spriječilo, kad si ih vidio da su zalutali,
093_00	da za mnom nisi pošao? Zašto nisi naređenje moje poslušao?"
094_00	"O sine majke moje" – reče Harun – "ne hvataj me za bradu i za kosu moju! Ja sam se plašio da ti ne rekneš: 'Razdor si među sinovima Israilovim posijao i nisi postupio onako kako sam ti rekao.'"
095_00	"A šta si to ti htio, o Samirija?" – upita Musa.
096_00	"Ja sam vidio ono što oni nisu vidjeli" – odgovori on – "pa sam šaku zemlje ispod izaslanikove stope uzeo i to bacio, i eto tako je u mojoj duši ponikla zla misao."
097_00	"E onda se gubi!" – reče Musa – "čitavog svog života ćeš govoriti: 'Neka me niko ne dotiče!', a čeka te još i određeni čas koji te neće mimoići.
097_01	Pogledaj samo ovog tvog 'boga' kojem si se klanjao; mi ćemo ga, sigurno, spaliti i po moru mu prah rasuti.
098_00	Vaš bog je – Allah, drugog boga, osim Njega, nema! On sve zna!"
099_00	I tako, eto, kazujemo ti neke vijesti o onima koji su bili i nestali, i objavljujemo ti od Sebe Kur'an.
100_00	Ko za njega ne bude mario, na Sudnjem danu će doista teško breme ponijeti,
101_00	vječno će u muci ostati, a jeziv tovar će im na Sudnjem danu biti,
102_00	na Dan kada će se u Rog puhnuti. Toga dana ćemo nevjernike modre sakupiti
103_00	i jedan drugom će tiho govoriti: "Niste ostali više od deset dana."
104_00	Mi dobro znamo o čemu će oni govoriti kad najrazboritiji između njih rekne: "Ostali ste samo dan jedan!"
105_00	A pitaju te o planinama, pa ti reci: "Gospodar moj će ih u prah pretvoriti i razasuti,
106_00	a mjesta na kojima su bile ravnom ledinom ostaviti,
107_00	ni udubinā ni uzvisinā na Zemlji nećeš vidjeti."
108_00	Toga dana će se oni glasniku odazvati, moraće ga slijediti i pred Milostivim glasovi će se stišati i ti ćeš samo šapat čuti.
109_00	Toga dana će biti od koristi posredovanje samo onoga kome Milostivi dopusti i dozvoli da za nekoga govori.
110_00	On zna šta su radili i šta ih čeka, a oni znanjem ne mogu Njega obuhvatiti.
111_00	Ljudi će se Živom i Vječnom pokoriti, onaj koji Mu je druge ravnim smatrao svaku nadu će izgubiti,
112_00	a onaj ko je dobra djela činio, a vjernik bio, neće se nepravde ni zakidanja nagrade plašiti.
113_00	I eto tako, Mi Kur'an na arapskom jeziku objavljujemo i u njemu opomene ponavljamo da bi se oni grijeha klonili ili da bi ih na poslušnost pobudio.
114_00	Neka je uzvišen Allah, Vladar Istiniti! I ne žuri s čitanjem Kur'ana prije nego što ti se objavljivanje njegovo ne završi, i reci: "Gospodaru moj, Ti znanje moje proširi!"
115_00	A Ademu smo odmah u početku naredili; ali on je zaboravio, i nije odlučan bio.
116_00	A kad smo melekima rekli: "Sedždu učinite Ademu!" – svi su sedždu učinili, samo Iblis nije htio.
117_00	"O Ademe" – rekli smo – "ovaj je doista neprijatelj tebi i tvojoj ženi, zato nikako ne dozvoli da on bude uzrok vašem izlasku iz Dženneta, pa da se onda mučiš.
118_00	U njemu nećeš ni ogladnjeti, ni go biti,
119_00	u njemu nećeš ni ožednjeti, ni žegu osjetiti."
120_00	Ali šejtan mu poče bajati i govoriti: "O Ademe, hoćeš li da ti pokažem drvo besmrtnosti i carstvo koje neće nestati?"
121_00	I njih dvoje pojedoše s njega i ukazaše im se stidna mjesta njihova pa počeše po njima lišće džennetsko stavljati – tako Adem nije Gospodara svoga poslušao i s Puta je skrenuo.
122_00	Poslije ga je Gospodar njegov izabranikom učinio, pa mu oprostio i na Pravi put ga uputio.
123_00	"Izlazite iz njega svi" – reče On – "jedni drugima ćete neprijatelji biti!" Od Mene će vam uputa dolaziti, i onaj ko bude slijedio uputu Moju neće zalutati i neće nesretan biti.
124_00	A onaj ko okrene glavu od Knjige Moje, taj će teškim životom živjeti i na Sudnjem danu ćemo ga slijepim oživiti.
125_00	"Gospodaru moj" – reći će – "zašto si me slijepa oživio kada sam vid imao?"
126_00	"Evo zašto" – reći će On: "Dokazi Naši su ti dolazili, ali si ih zaboravljao, pa ćeš danas ti isto tako biti zaboravljen."
127_00	I tako ćemo Mi kazniti sve one koji se pohotama previše odaju i u dokaze Gospodara svoga ne vjeruju. A patnja na onome svijetu biće, uistinu, bolnija i vječna.
128_00	Zar njima nije poznato koliko smo naroda prije njih uništili, onih po čijim nastambama oni hode! To su, zaista, dokazi za ljude pametne.
129_00	I da nije ranije izrečene riječi Gospodara tvoga, kazna bi već bila neminovna.
130_00	Zato otrpi njihove riječi i obavljaj molitvu, hvaleći Gospodara svoga, prije izlaska Sunca i prije zalaska
130_01	njegova, i obavljaj je u noćnim satima, i na krajevima dana – da bi bio zadovoljan.
131_00	I nikako ne gledaj dugo ljepote ovoga svijeta koje Mi kao užitak raznim sortama nevjernika pružamo, da ih time na kušnju stavimo, ta nagrada Gospodara tvoga je bolja i vječna.
132_00	Naredi čeljadi svojoj da molitvu obavljaju i istraj u tome! Mi ne tražimo od tebe da se sam hraniš, Mi ćemo te hraniti! A samo one koji se budu Allaha bojali i grijeha klonili čeka lijep svršetak.
133_00	Mnogobošci govore: "Zašto nam ne donese kakvo čudo od Gospodara svoga?" A zar im ne dolazi objašnjenje o onome što ima u davnašnjim listovima?
134_00	A da smo ih kakvom kaznom prije njega uništili, sigurno bi rekli: "Gospodaru naš, zašto nam nisi poslanika poslao, pa bismo riječi Tvoje slijedili prije nego što smo poniženi i osramoćeni postali."
135_00	Reci: "Svi mi čekamo, pa čekajte i vi, a sigurno ćete saznati ko su bili sljedbenici prave vjere i ko je bio na Pravome putu."
