001_00	Obznana od Allaha i Njegova Poslanika onim mnogobošcima s kojima ste zaključili ugovore:
013_00	Zar se nećete boriti protiv ljudi koji su zakletve svoje prekršili i nastojali protjerati Poslanika, i prvi vas napali?
013_01	Zar ih se bojite? Preče je da se Allaha bojite, ako ste vjernici.
014_00	Borite se protiv njih! Allah će ih rukama vašim kazniti i poniziti, a vas će protiv njih pomoći, i grudi vjernika zaliječiti
015_00	i iz srca njihovih brigu odstraniti. A Allah će onome kome On hoće oprostiti. – Allah sve zna i mudar je.
016_00	Zar mislite da ćete biti ostavljeni, a da Allah ne ukaže na one među vama koji se bore i koji, umjesto Allaha i Poslanika Njegova i vjernika, nisu uzeli nikoga za prisna prijatelja?
016_01	– A Allah dobro zna za ono što radite.
017_00	Mnogobošci nisu dostojni da Allahove džamije održavaju kad sami priznaju da su nevjernici. Djela njihova će se poništiti i u vatri će vječno ostati.
018_00	Allahove džamije održavaju oni koji u Allaha i u onaj svijet vjeruju i koji molitvu obavljaju i
018_01	zekat daju i koji se nikoga osim Allaha ne boje; oni su, nadati se je, na Pravome putu.
019_00	Zar smatrate da je onaj koji hodočasnike vodom napaja i koji vodi brigu o Časnome hramu ravan onome koji u Allaha i u onaj svijet vjeruje i koji se na Allahovu putu bori?
019_01	Nisu oni jednaki pred Allahom. A Allah neće ukazati na Pravi put onima koji sami sebi nepravdu čine.
020_00	U većoj su časti kod Allaha oni koji vjeruju i koji se iseljavaju i koji se bore na Allahovu putu zalažući imetke svoje i živote svoje; oni će postići što žele.
021_00	Gospodar njihov im šalje radosne vijesti da će im milostiv i blagonaklon biti i da će ih u džennetske bašče uvesti, u kojima će neprekidno uživati,
022_00	vječno i zauvijek će u njima boraviti. Uistinu, u Allaha je nagrada velika.
023_00	O vjernici, ne prijateljujte ni sa očevima vašim ni sa braćom vašom ako više vole nevjerovanje od vjerovanja.
023_01	Onaj od vas koji bude s njima prijateljevao, on se doista prema sebi ogriješio.
024_00	Reci: "Ako su vam očevi vaši, i sinovi vaši, i braća vaša, i žene vaše, i rod vaš, i imanja vaša koja ste stekli, i trgovačka roba za koju strahujete da prođe neće imati, i kuće vaše u kojima se prijatno osjećate – miliji od Allaha i Njegova Poslanika i od borbe na Njegovu putu, onda pričekajte dok Allah Svoju odluku ne donese.
024_01	A Allah grješnicima neće ukazati na Pravi put."
025_00	Allah vas je na mnogim bojištima pomogao, a i onoga dana na Hunejnu kada vas je mnoštvo vaše zanijelo, ali vam ono nije
025_01	ni od kakve koristi bilo, nego vam je zemlja, koliko god da je bila prostrana, tijesna postala, pa ste se u bijeg dali.
026_00	Zatim je Allah na Poslanika Svoga i na vjernike milost Svoju spustio, i vojske koje vi niste vidjeli poslao i one koji nisu vjerovali na muke stavio; i to je bila kazna za nevjernike.
027_00	Allah je poslije toga onome kome je htio oprostio, a Allah prašta i samilostan je.
028_00	O vjernici, mnogobošci su sama pogan, i neka više ne dolaze na hadž Svetome hramu poslije ovogodišnjeg hadža.
028_01	A ako se bojite oskudice, pa Allah će vas, ako hoće, iz obilja Svoga imućnim učiniti. – Allah zaista sve zna i mudar je.
029_00	Borite se protiv onih kojima je data Knjiga, a koji ne vjeruju ni u Allaha ni u onaj svijet, ne smatraju
029_01	zabranjenim ono što Allah i Njegov Poslanik zabranjuju i ne ispovijedaju istinsku vjeru – sve dok ne daju glavarinu poslušno i smjerno.
030_00	Jevreji govore: "Uzejr je – Allahov sin", a kršćani kažu: "Mesih je – Allahov sin." To su riječi njihove, iz usta njihovih, oponašaju riječi nevjernika prijašnjih – ubio ih Allah!
030_01	Kuda se odmeću?
031_00	Oni, pored Allaha, bogovima smatraju svećenike svoje i monahe svoje i Mesiha, sina Merjemina, a naređeno im je da se samo jednom Bogu klanjaju – nema boga osim Njega.
031_01	On je vrlo visoko iznad onih koje oni Njemu ravnim smatraju.
032_00	Oni žele da ustima svojim utrnu Allahovo svjetlo, a Allah želi vidljivim učiniti svjetlo Svoje, makar ne bilo po volji nevjernicima.
033_00	On je poslao Poslanika Svoga s uputstvom i pravom vjerom da bi je izdigao iznad ostalih vjera, makar ne bilo po volji mnogobošcima.
034_00	O vjernici, mnogi svećenici i monasi doista na nedozvoljen način tuđa imanja jedu i od Allahova puta odvraćaju.
034_01	Onima koji zlato i srebro gomilaju i ne troše ga na Allahovom putu – navijesti bolnu patnju
035_00	na Dan kad se ono u vatri džehennemskoj bude usijalo, pa se njime čela njihova i slabine njihove i leđa njihova budu žigosala. "Ovo je ono što ste za sebe zgrtali; iskusite zato kaznu za ono što ste gomilali!"
036_00	Broj mjeseci u Allaha je dvanaest, prema Allahovoj Knjizi, od dana kada je nebesa i Zemlju stvorio, a četiri su sveta; to je prava vjera.
036_01	U njima ne griješite! A borite se protiv svih mnogobožaca, kao što se oni svi bore protiv vas; i znajte da je Allah na strani onih koji se Allaha boje i grijeha klone.
037_00	Premještanjem svetih mjeseci samo se povećava nevjerovanje, čime se nevjernici dovode u zabludu; jedne godine ga proglašavaju običnim, a druge godine ga proglašavaju svetim – da bi ispunili broj onih mjeseci koje je Allah učinio svetim.
037_01	Ružni postupci njihovi predstavljeni su im kao lijepi.
037_02	A Allah neće ukazati na Pravi put onima koji neće da vjeruju.
038_00	O vjernici, zašto ste neki oklijevali kada vam je bilo rečeno: "Krenite u borbu na Allahovu putu!", kao da ste za zemlju prikovani?
038_01	Zar vam je draži život na ovome svijetu od onoga svijeta? A uživanje na ovome svijetu, prema onome na onome svijetu, nije ništa.
039_00	Ako ne budete u boj išli, On će vas na nesnosne muke staviti i drugim će vas narodom zamijeniti, a vi Mu nećete nimalo nauditi. A Allah sve može.
040_00	Ako ga vi ne pomognete – pa pomogao ga je Allah onda kad su ga oni koji ne vjeruju prisilili da ode, kad je s njim bio samo
040_01	drug njegov, kada su njih dvojica bila u pećini i kada je on rekao drugu svome: "Ne brini se, Allah je s nama!", pa je Allah spustio smirenost
040_02	na druga njegova, a njega pomogao vojskom koju vi niste vidjeli i učinio da riječ nevjernika bude donja, a Allahova riječ, ona je – gornja. Allah je silan i mudar.
041_00	Krećite u boj, bili slabi ili snažni, i borite se na Allahovu putu zalažući imetke svoje i živote svoje! To vam je, da znate, bolje!
042_00	Da se radilo o plijenu nadohvat ruke i ne toliko dalekom pohodu, licemjeri bi te slijedili, ali im je put izgledao dalek.
042_01	I oni će se zaklinjati Allahom: "Da smo mogli, doista bismo s vama pošli", i tako upropastiti sami sebe, a Allah zna da su oni lažljivci.
043_00	Neka ti Allah oprosti što si dozvolio da izostanu, dok se nisi uvjerio koji od njih govore istinu, a koji lažu.
044_00	Oni koji vjeruju u Allaha i u onaj svijet neće od tebe tražiti dozvolu da se ne bore zalažući imetke svoje i živote svoje. – A Allah dobro zna one koji su bogobojazni.
045_00	Od tebe će tražiti dozvolu samo oni koji ne vjeruju u Allaha i u onaj svijet i čija se srca kolebaju, pa sumnjaju i neodlučni su.
046_00	Da su imali namjeru poći, sigurno bi za to pripremili ono što je potrebno, ali Allahu nije bilo po volji da idu, pa ih je zadržao, i bî im rečeno: "Sjedite sa onima koji sjede!"
047_00	Da su pošli s vama, bili bi vam samo na smetnji i brzo bi među vas smutnju ubacili, a među vama ima i onih koji ih rado slušaju. A Allah zna nasilnike.
048_00	Oni su i prije smutnju priželjkivali i smicalice ti smišljali sve dok nije, uprkos njima, Istina pobijedila i Allahova vjera zavladala.
049_00	Ima ih koji govore: "Oslobodi me i ne dovedi me u iskušenje!" Eto, baš u iskušenje su pali! A nevjernici sigurno neće umaći Džehennemu.
050_00	Ako postigneš uspjeh, to ih ogorči; a kad te pogodi nesreća, oni govore: "Mi smo i ranije bili oprezni" – i odlaze veseli.
051_00	Reci: "Dogodiće nam se samo ono što nam Allah odredi, On je Gospodar naš." I neka se vjernici samo u Allaha pouzdaju!
052_00	Reci: "Očekujete li za nas šta drugo već jedno od dva dobra?
052_01	A mi očekujemo da vas Allah sam ili rukama našim kazni. Pa iščekujte, i mi ćemo s vama čekati."
053_00	Reci: "Trošili milom ili silom, od vas se neće primiti, jer vi ste opak narod."
054_00	A prilozi njihovi neće biti primljeni zato što u Allaha i u Njegova Poslanika ne vjeruju, što s predanošću molitve ne obavljaju i što samo preko volje udjeljuju.
055_00	Neka te ne oduševljavaju bogatstva njihova, a ni djeca njihova! Allah hoće da ih njima kazni na ovome svijetu i da skončaju kao nevjernici.
056_00	Oni se zaklinju Allahom da su doista vaši, a oni nisu vaši, nego su narod kukavički.
057_00	Kada bi našli kakvo skrovište ili kakve pećine ili kakvu jamu, oni bi tamo trkom pohrlili.
058_00	Ima ih koji ti prigovaraju zbog raspodjele zekata. Ako im se iz njega da, zadovolje se, a ako im se ne da, odjednom se razljute.
059_00	A trebali bi se zadovoljiti onim što im daju Allah i Poslanik Njegov i kazati: "Dovoljan nam je Allah, Allah će nam dati iz obilja Svoga, a i Poslanik Njegov, mi samo Allaha hoćemo."
060_00	Zekat pripada samo siromasima i nevoljnicima, i onima koji ga skupljaju, i onima čija srca treba pridobiti, i za otkup iz ropstva, i prezaduženima, i u svrhe na Allahovom putu, i putniku.
060_01	Allah je odredio tako! – A Allah sve zna i mudar je.
061_00	Ima ih koji vrijeđaju Vjerovjesnika govoreći: "On vjeruje što god čuje!" Reci: "On čuje
061_01	ono što je dobro, vjeruje u Allaha i ima vjere u vjernike, i milost
061_02	je onima između vas koji vjeruju." A one koji Allahova Poslanika vrijeđaju čeka patnja nesnosna.
062_00	Zaklinju vam se Allahom da bi vas zadovoljili, a preče bi im bilo da Allaha i Njegova Poslanika zadovolje, ako su vjernici.
063_00	Zar oni ne znaju da onoga koji se suprotstavlja Allahu i Poslaniku Njegovu čeka vatra džehennemska, u kojoj će vječno ostati? To je ruglo veliko!
064_00	Licemjeri se plaše da se vjernicima ne objavi sura koja bi im otkrila ono što je u srcima licemjera. Reci: "Samo se vi rugajte, Allah će doista na vidjelo iznijeti ono čega se vi plašite."
065_00	A ako ih zapitaš, oni će sigurno reći: "Mi smo samo razgovarali i zabavljali se." Reci: "Zar se niste Allahu i riječima Njegovim i Poslaniku Njegovu rugali?
066_00	Ne ispričavajte se! Jasno je da ste nevjernici, a tvrdili ste da ste vjernici." Ako nekima od vas i oprostimo, druge ćemo kazniti zato što su krivci.
067_00	Licemjeri i licemjerke slični su jedni drugima: traže da se čine nevaljala djela, a odvraćaju od dobrih, i ruke su im stisnute; zaboravljaju Allaha, pa je i On njih zaboravio.
067_01	Licemjeri su zaista pravi nevjernici.
068_00	Licemjerima i licemjerkama i nevjernicima Allah prijeti džehennemskom vatrom, vječno će u njoj boraviti, dosta će im ona biti! Allah ih je prokleo, i njih čeka patnja neprekidna.
069_00	Vi ste kao i onī prije vas!
069_01	Oni su jači od vas bili i više su blaga i djece imali i slatkim životom su živjeli, a i vi slatkim životom živite isto onako kao što su oni prije vas živjeli; i vi se upuštate u nevaljalštine kao što su se i oni upuštali.
069_02	To su oni čija će djela biti poništena i na ovome i na onome svijetu; njima propast predstoji.
070_00	Zar do njih nije doprla vijest o onima prije njih: o narodu Nuhovu i o Adu, i o Semudu, i o narodu Ibrahimovu, i o stanovnicima Medjena, i o onima čija su naselja izvrnuta?
070_01	Poslanici njihovi su im jasne dokaze donosili i Allah im nije učinio nikakvu nepravdu, nego su je oni sami sebi nanijeli.
071_00	A vjernici i vjernice su prijatelji jedni drugima: traže da se čine dobra djela, a od nevaljalih odvraćaju, i molitvu obavljaju i zekat daju, i Allahu i Poslaniku Njegovu se pokoravaju.
071_01	To su oni kojima će se Allah, sigurno, smilovati.
071_02	– Allah je doista silan i mudar.
072_00	Allah obećava vjernicima i vjernicama džennetske bašče kroz koje će rijeke teći, u kojima će vječno boraviti, i divne dvorove u vrtovima edenskim.
072_01	A i malo naklonosti Allahove veće je od svega toga; to će, doista, uspjeh veliki biti!
073_00	O Vjerovjesniče, bori se protiv nevjernika i licemjera i budi prema njima strog! Prebivalište njihovo biće Džehennem, a grozno je on boravište.
074_00	Licemjeri se zaklinju Allahom da nisu govorili, a sigurno su govorili nevjerničke riječi i pokazali da su nevjernici, nakon što su javno islam bili primili, i htjeli su učiniti ono što nisu uspjeli.
074_01	A prigovaraju samo zato što su ih Allah, iz obilja Svoga, i Poslanik Njegov imućnim učinili.
074_02	Pa ako se pokaju, biće im dobro; a ako glave okrenu, Allah će ih i na ovome i na onome svijetu na muke nesnosne staviti, a na Zemlji ni zaštitnika ni pomagača neće imati.
075_00	Ima ih koji su se obavezali Allahu: "Ako nam iz obilja Svoga dade, udjeljivaćemo, zaista, milostinju i bićemo, doista, dobri!"
076_00	A kad im je On dao iz obilja Svoga, oni su u tome postali škrti i okrenuli se – a oni ionako glave okreću.
077_00	I nadovezao im je On na to pritvornost u srcima njihovim sve do dana kada će pred Njega stati, zato što se onoga što su Allahu obećali ne pridržavaju i zato što stalno lažu.
078_00	Zar oni ne znaju da Allah zna ono što oni u sebi kriju i ono o čemu se sašaptavaju i da je Allah znalac svega skrivenog.
079_00	One koji vjernike ogovaraju zato što zekat daju, a rugaju se i onima koji ih s mukom daju – Allah će kazniti za izrugivanje njihovo, i njih čeka patnja nesnosna.
080_00	Molio ti oprosta za njih ili ne molio, molio čak i sedamdeset puta, Allah im neće oprostiti – zato što u Allaha i Njegova Poslanika ne vjeruju.
080_01	A Allah neće ukazati na Pravi put nevjernicima.
081_00	Oni koji su izostali iza Allahova Poslanika veselili su se kod kuća svojih – mrsko im je bilo da se bore na Allahovu putu zalažući imetke
081_01	svoje i živote svoje, i jedni drugima su govorili: "Ne krećite u boj po vrućini!" Reci: "Džehennemska vatra je još vruća!" – kad bi oni samo znali!
082_00	Malo će se oni smijati, a dugo će plakati, biće to kazna za ono što su zaslužili.
083_00	I ako te Allah ponovo vrati nekima od njih, pa te zamole da im dopustiš da pođu s tobom u boj, ti im reci: "Nikad sa mnom u boj nećete ići i nikada se sa mnom protiv neprijatelja nećete boriti!
083_01	Bili ste zadovoljni što ste prvi put izostali, zato ostanite s onima koji ionako ne idu u boj."
084_00	I nijednom od njih, kad umre, nemoj molitvu obaviti, niti sahrani njegovoj prisustvovati, jer oni u Allaha i Njegova Poslanika ne vjeruju i kao nevjernici oni umiru.
085_00	Neka te ne ushićuju bogatstva njihova i djeca njihova! Allah želi da ih njima na ovome svijetu namuči i da skončaju kao nevjernici.
086_00	A kada je objavljena sura da u Allaha vjerujete i da se zajedno sa Poslanikom Njegovim borite, najimućniji od njih su zatražili odobrenje od tebe i rekli: "Ostavi nas da budemo s onima koji ne idu u boj!"
087_00	Zadovoljavaju se da budu s onima koji ne idu u boj, srca njihova su zapečaćena, pa oni ne shvaćaju!
088_00	Ali, Poslanik i oni koji s njim vjeruju bore se zalažući imetke svoje i živote svoje. Njima će svako dobro pripasti i oni će ono što žele ostvariti.
089_00	Allah im je pripremio džennetske bašče kroz koje će rijeke teći, u kojima će vječno boraviti. To je veliki uspjeh!
090_00	Dolazili su i neki beduini koji su se izvinjavali i tražili dopuštenje da ne idu, i tako su izostali oni koji su Allahu i Njegovu Poslaniku lagali; a teška patnja pogodiće one među njima koji nisu vjerovali.
091_00	Neće se ogriješiti nemoćni i bolesni, i oni koji ne mogu naći sredstva za borbu, samo ako su prema Allahu i Njegovu Poslaniku iskreni.
091_01	Nema razloga da se išta prigovara onima koji čine dobra djela – a Allah prašta i samilostan je –
092_00	ni onima kojima si rekao, kada su ti došli da im daš životinje za jahanje: "Ne mogu naći za vas životinje za jahanje" – pa su se vratili suznih očiju, tužni što ih ne mogu kupiti,
093_00	a ima razloga da se prigovara onima koji od tebe traže dozvolu da izostanu, a imućni su.
093_01	Zadovoljavaju se da ostanu sa onima koji ne idu u boj, Allah je njihova srca zapečatio, pa oni ne znaju.
094_00	Kad se među njih vratite, oni će vam se pravdati.
094_01	Reci: "Ne pravdajte se, jer mi vama ne vjerujemo, zato što nas je Allah o vama obavijestio. Allah i Njegov Poslanik će vidjeti kako ćete postupati, zatim, vi ćete biti ponovo vraćeni Onome kome je poznat i nevidljivi i vidljivi svijet, pa će vas On o onome što ste radili obavijestiti."
095_00	Kad se među njih vratite, zaklinjaće vam se Allahom, samo da ih se okanite, pa okanite ih
095_01	se jer su oni pogan i prebivalište njihovo biće Džehennem kao kazna za ono što su radili!
096_00	Oni vam se zaklinju zato da biste bili zadovoljni njima. Ako vi budete zadovoljni njima, Allah, sigurno, nije zadovoljan narodom nevjerničkim.
097_00	Beduini su najveći nevjernici i najgori licemjeri, i razumljivo je što ne poznaju propise koje Allah Svome Poslaniku objavljuje. A Allah sve zna i mudar je.
098_00	Ima beduina koji ono što daju smatraju nametom. I jedva čekaju da vas nesreća stigne – neka njih pogodi nesreća! A Allah sve čuje i sve zna.
099_00	A ima beduina koji vjeruju u Allaha i u onaj svijet i koji smatraju da je ono što daju put da se Allahu približe i da Poslanikove blagoslove zasluže.
099_01	To im je, zaista, dobro djelo. Allah će ih, sigurno, milošću Svojom obasuti, jer Allah prašta i samilostan je.
100_00	Allah je zadovoljan prvim muslimanima, muhadžirima i ensarijama i svima onima koji ih slijede dobra djela čineći, a i oni su zadovoljni Njime; za njih je On pripremio džennetske bašče kroz koje će rijeke teći, i oni će vječno i zauvijek u njima boraviti.
100_01	To je veliki uspjeh.
101_00	Među beduinima oko vas ima licemjera, a ima ih i među stanovnicima Medine, koji su u licemjerstvu spretni – ti ih ne poznaješ, ali ih Mi poznajemo.
101_01	Njih ćemo na dvostruke muke staviti, a zatim će biti u veliku patnju vraćeni.
102_00	A ima i drugih koji su grijehe svoje priznali, i koji su dobra djela s drugim koja su hrđava izmiješali, njima će, može biti, Allah oprostiti jer Allah prašta i samilostan je.
103_00	Uzmi od dobara njihovih zekat, da ih njime očistiš i blagoslovljenim ih učiniš, i pomoli se za njih, molitva tvoja će ih, sigurno, smiriti. – A Allah sve čuje i sve zna.
104_00	Zar ne znaju oni da jedino Allah prima pokajanje od robova Svojih i da samo On prihvaća milostinje, i da je samo Allah onaj koji prašta i da je On milostiv?!
105_00	I reci: "Trudite se! Allah će trud vaš vidjeti, a i Poslanik Njegov i vjernici, i vi ćete biti vraćeni Onome koji zna nevidljivi i vidljivi svijet, pa će vas On o onome što ste radili obavijestiti."
106_00	Ima i drugih koji su u neizvjesnosti da li će ih Allah kazniti ili će im oprostiti. – A Allah sve zna i mudar je.
107_00	A oni koji su džamiju sagradili da bi štetu nanijeli i nevjerovanje osnažili i razdor među vjernike unijeli, pripremajući je za onoga koji se protiv Allaha
107_01	i Njegova Poslanika još prije borio – sigurno će se zaklinjati: "Mi smo samo najbolje željeli" – a Allah je svjedok da su oni pravi lažljivci.
108_00	Ti u njoj nemoj nikada molitvu obaviti!
108_01	Džamija čiji su temelji, već od prvoga dana, postavljeni na strahu od Allaha zaista više zaslužuje da u njoj obavljaš molitvu. U njoj su ljudi koji se vole često prati, a Allah voli one koji se mnogo čiste.
109_00	Da li je bolji onaj koji je temelj zgrade svoje postavio na strahu od Allaha i u želji da Mu se umili – ili onaj koji je temelj zgrade svoje postavio na rub podlokane obale koja se nagnula, da se zajedno s njim u vatru džehennemsku sruši?
109_01	– A Allah neće ukazati na Pravi put narodu koji sam sebi nepravdu čini.
110_00	Zgrada koju su oni sagradili stalno će unositi nemir u srca njihova, sve dok im srca ne popucaju. – A Allah sve zna i mudar je.
111_00	Allah je od vjernika kupio živote njihove i imetke njihove u zamjenu za Džennet koji će im dati – oni će se na Allahovu putu boriti, pa ubijati i ginuti.
111_01	On im je to zbilja obećao u Tevratu, i Indžilu, i Kur'anu – a ko od Allaha dosljednije ispunjava obećanje Svoje?
111_02	Zato se radujte pogodbi svojoj koju ste s Njim ugovorili, i to je veliki uspjeh.
112_00	Oni se kaju, i Njemu klanjaju, i Njega hvale, i poste, i molitvu obavljaju, i traže da se čine dobra djela, a od nevaljalih odvraćaju i Allahovih propisa se pridržavaju.
112_01	A vjernike obraduj!
113_00	Vjerovjesniku i vjernicima nije dopušteno da mole oprosta za mnogobošce, makar im bili i rod najbliži, kad im je jasno da će oni stanovnici Džehennema biti.
114_00	A što je Ibrahim tražio oprosta za svoga oca bilo je samo zbog obećanja koje mu je dao.
114_01	A čim mu je bilo jasno da je on Allahov neprijatelj, on ga se odrekao. Ibrahim je doista bio pun sažaljenja i obazriv.
115_00	Allah neće nazvati zalutalim narod koji je na Pravi put uputio prije nego što učine ono što im je On zabranio. – Allah zaista sve dobro zna.
116_00	Allahova je vlast na nebesima i na Zemlji, On život i smrt daje, i vi osim Allaha nemate ni zaštitnika ni pomagača.
117_00	Allah je oprostio Vjerovjesniku, i muhadžirima i ensarijama, koji su ga u teškom času slijedili, u vrijeme kada se srca
117_01	nekih od njih zamalo nisu pokolebala; On je poslije i njima oprostio, jer je On prema njima blag i milostiv,
118_00	a i onoj trojici koja su bila izostala, i to tek onda kad im je zemlja, koliko god da je bila prostrana, postala tijesna, i kad im se bilo stisnulo u dušama njihovim i kada su uvidjeli da nema utočišta od Allaha nego samo u Njega.
118_01	On je poslije i njima oprostio da bi se i ubuduće kajali, jer Allah, uistinu, prima pokajanje i milostiv je.
119_00	O vjernici, bojte se Allaha i budite s onima koji su iskreni!
120_00	Nije trebalo da stanovnici Medine ni beduini u njenoj blizini iza Allahova Poslanika izostanu i da svoj život njegovu životu pretpostave jer njih neće zadesiti
120_01	ni žeđ, ni umor, ni glad na Allahovu putu, niti će stupiti na neko mjesto koje će nevjernike naljutiti, niti će ikakvu nevolju od neprijatelja
120_02	pretrpjeti, a da im to sve neće kao dobro djelo upisano biti – Allah zaista neće dopustiti da propadne nagrada onima koji čine dobro –
121_00	i neće dati nikakav prilog, ni mali ni veliki, niti će ikakvu dolinu prevaliti, a da im to neće zapisano biti, da bi ih Allah nagradio za djela njihova nagradom ljepšom od one koju su zaslužili.
122_00	Svi vjernici ne trebaju ići u boj.
122_01	Neka se po nekoliko njih iz svake zajednice njihove potrudi da se upute u vjerske nauke i neka opominju narod svoj kad mu se vrate, da bi se Allaha pobojali.
123_00	O vjernici, borite se protiv nevjernika koji su u blizini vašoj i neka oni osjete vašu strogost! I znajte da je Allah na strani čestitih.
124_00	A kad bude objavljena neka sura, ima ih koji govore: "Kome je od vas ova učvrstila vjerovanje?" Što se tiče vjernika, njima je učvrstila vjerovanje, i oni se raduju;
125_00	a što se tiče onih čija su srca bolesna, ona im je nevjerovanje dodala na nevjerovanje koje već imaju, i oni kao nevjernici umiru.
126_00	Zar oni ne vide da svake godine jedanput ili dva puta u iskušenje padaju, pa opet, nit' se kaju nit' se opamećuju.
127_00	A kad bude objavljena koja sura, samo se zgledaju: "Da li vas ko vidi?" – i onda se udaljuju. Neka Allah srca njihova bez podrške ostavi, zato što su od onih ljudi koji neće da razumiju.
128_00	Došao vam je Poslanik, jedan od vas, teško mu je što ćete na muke udariti, jedva čeka da Pravim putem pođete, a prema vjernicima je blag i milostiv.
129_00	A ako oni glave okrenu, ti reci: "Meni je dovoljan Allah, nema boga osim Njega; samo se uzdam u Njega, On je Gospodar svemira veličanstvenoga!"
