001_00	Elif Lām Mīm.
046_01	što se objavljuje nama i u ono što je objavljeno vama, a naš Bog i vaš Bog jeste – jedan, i mi se Njemu pokoravamo."
047_00	Kao i njima, Mi tebi objavljujemo Knjigu, a neki od onih kojima smo već dali Knjigu –
047_01	i u ovu vjeruju, a i od ovih neki u nju vjeruju, a dokaze Naše samo nevjernici osporavaju.
048_00	Ti prije nje nijednu knjigu nisi čitao, a nisi je ni desnom rukom svojom pisao; inače, posumnjali bi oni što laži govore.
049_00	A to su ajeti jasni, u srcima su onih kojima je razum dat; a Naše ajete samo nepravedni osporavaju –
050_00	i govore: "Zašto mu od Gospodara njegova nisu neka čuda poslana?" Reci: "Čuda su jedino u Allaha, a ja samo jasno opominjem."
051_00	A zar im nije dosta to što Mi tebi objavljujemo Knjigu koja im se kazuje; u njoj je, doista, blagodat i pouka narodu koji vjeruje.
052_00	Reci: "Allah je dovoljan svjedok meni i vama, On zna sve što je na nebesima i na Zemlji.
052_01	A oni koji u kumire vjeruju, a u Allaha ne vjeruju, oni su izgubljeni.
053_00	Oni traže od tebe da ih što prije stigne kazna. A da nije određenog roka za to, kazna bi im došla, a doći će im, sigurno, iznenada, oni neće predosjetiti.
054_00	Oni traže od tebe da ih što prije stigne kazna, a Džehennem će sigurno sve nevjernike obuhvatiti
055_00	na Dan kad ih patnja i odozgo i odozdo obuzme, a melek rekne: "Ispaštajte za ono što ste radili!"
056_00	O robovi Moji koji vjerujete, Moja je Zemlja prostrana, zato se samo Meni klanjajte!
057_00	Svako živo biće će smrt okusiti, i Nama ćete se poslije vratiti.
058_00	One koji budu vjerovali i dobra djela činili smjestićemo u džennetske odaje, ispred kojih će rijeke teći, u njima će vječno boraviti. Kako će divna biti nagrada onima koji su se trudili,
059_00	onima koji su trpjeli i u Gospodara svoga se uzdali!
060_00	A koliko ima životinja koje ne sakupljaju hranu sebi, Allah ih hrani, a i vas! On sve čuje i sve zna.
061_00	A da ih upitaš: "Ko je nebesa i Zemlju stvorio i ko je Sunce i Mjesec potčinio?" – sigurno bi rekli: "Allah!" Pa kuda se onda odmeću?
062_00	Allah u izobilju daje hranu onome kome hoće od robova Svojih, a nekome i uskraćuje; – Allah, zaista, zna sve.
063_00	A ako ih upitaš: "Ko s neba kišu spušta i njome mrtvu zemlju oživljava?" –
063_01	sigurno će reći: "Allah!" – a ti reci: "Hvala Allahu!" – ali većina njih ne shvaća.
064_00	Život na ovome svijetu nije ništa drugo do zabava i igra, a samo onaj svijet je – život, kad bi samo oni znali!
065_00	Kad se u lađe ukrcaju, iskreno se mole Allahu, a kad ih On do kopna dovede, odjednom druge Njemu ravnim smatraju
066_00	da bi pokazali nezahvalnost prema onome što im Mi dajemo, i da bi uživali. A znaće oni!
067_00	Zar ne vide da smo Harem svetim i sigurnim učinili, dok se svuda okolo njih otima i pljačka? I zar u laž vjeruju, a na Allahovim blagodatima su nezahvalni?
068_00	I ima li onda nepravednijeg od onoga koji o Allahu izmišlja laži ili poriče Istinu koja mu dolazi? I zar nevjernicima nije mjesto u Džehennemu?
069_00	One koji se budu zbog Nas borili Mi ćemo, sigurno, putevima koji Nama vode uputiti; a Allah je, zaista, na strani onih koji dobra djela čine!
