001_00	Jā Sīn.
034_00	Mi po njoj stvaramo bašče, palmike i vinograde – i činimo da iz nje izvori izviru –
035_00	da oni jedu plodove njihove i od onoga što ruke njihove privrijede, pa zašto neće da budu zahvalni?
036_00	Neka je hvaljen Onaj koji u svemu stvara pol: u onome što iz zemlje niče, u njima samima, i u onome što oni ne znaju!
037_00	I noć im je dokaz: Mi uklanjamo dnevnu svjetlost i oni ostaju u mraku.
038_00	I Sunce se kreće do svoje određene granice, to je odredba Silnoga i Sveznajućeg.
039_00	I Mjesecu smo odredili položaje; i on se uvijek ponovo vraća kao stari savijeni palmin prut.
040_00	Nit' Sunce može Mjesec dostići nit' noć dan prestići, svi oni u svemiru plove.
041_00	Dokaz im je i to što potomke njihove u lađama krcatim prevozimo
042_00	i što za njih, slične njima, stvaramo one na kojima se voze.
043_00	I ako želimo, Mi ih potopimo, i neće im spasa biti, neće se izbaviti,
044_00	osim ako im se ne smilujemo, da bi do roka određenog uživali.
045_00	A kad im se rekne: "Bojte se onoga što se prije vas dogodilo i onoga što vas čeka da biste pomilovani bili…"
046_00	I ne dođe im nijedan dokaz od Gospodara njihova kojem oni leđa ne okrenu.
047_00	A kad im se kaže: "Udjeljujte od onoga što vam Allah daje" – onda nevjernici govore vjernicima: "Zar da hranimo onoga koga je Allah, da je htio, mogao nahraniti? Vi ste, uistinu, u pravoj zabludi!"
048_00	I govore: "Kad će već jednom ta prijetnja, ako istinu govorite?"
049_00	A ne čekaju drugo do strašan glas koji će ih, dok se budu jedni s drugima prepirali, obuzeti,
050_00	pa neće moći ništa oporučiti, niti se čeljadi svojoj vratiti.
051_00	I puhnuće se u rog, pa će oni iz grobova prema Gospodaru svome pohrliti,
052_00	govoreći: "Teško nama! Ko nas iz naših grobova oživi?" – "Eto ostvaruje se prijetnja Milostivog, poslanici su istinu govorili!"
053_00	Biće to samo jedan glas i oni će se svi pred Nama obreti.
054_00	Danas se neće nikome nepravda učiniti i vi ćete, prema onom kako ste radili, nagrađeni biti.
055_00	stanovnici Dženneta uživaće toga dana u blagodatima veseli i radosni,
056_00	oni i žene njihove biće u hladovini na ukrašenim divanima naslonjeni,
057_00	u njemu će imati voća, i ono što budu željeli.
058_00	"Mir vama!" – biće riječi Gospodara Milostivog –
059_00	"a vi, o grješnici, danas se odvojite!"
060_00	O sinovi Ademovi, zar vam nisam naredio: "Ne klanjajte se šejtanu, on vam je neprijatelj otvoreni,
061_00	već se klanjajte Meni; to je Put pravi.
062_00	On je mnoge od vas u zabludu odveo, kako niste pameti imali?!
063_00	Ovo je Džehennem kojim vam se prijetilo,
064_00	pržite se sada u njemu zato što niste vjerovali!"
065_00	Danas ćemo im usta zapečatiti, njihove ruke će Nam govoriti, a noge njihove će o onome što su radili svjedočiti.
066_00	Da smo htjeli, mogli smo ih vida njihova lišiti, pa kad bi na put pošli, kako bi vidjeli?
067_00	A da smo htjeli, mogli smo ih na mjestu na kome su zgriješili u nešto pretvoriti, pa ne bi mogli nikuda otići niti se vratiti.
068_00	Onome kome dug život damo, Mi mu izgled nagore izmijenimo. Zar oni ne razumiju?
069_00	Mi poslanika nismo pjesništvu učili, to mu ne priliči. Ovo je samo pouka – Kur'an jasni,
070_00	da opominje onoga ko ima pameti, i da zasluže kaznu nevjernici.
071_00	Kako oni ne vide da Mi samo zbog njih stoku stvaramo i da oni njome raspolažu kao vlasnici
072_00	i da smo im dali da se njome služe – na nekim jašu, a nekima se hrane,
073_00	i drugih koristi od nje imaju, i mlijeko, pa zašto nisu zahvalni,
074_00	već pored Allaha druge bogove prihvaćaju u nadi da će im oni na pomoći biti;
075_00	oni im, međutim, neće moći pomoći, a oni su njima poslušna vojska.
076_00	I nek te ne žaloste riječi njihove; Mi, doista, znamo i ono što kriju i ono što pokazuju.
077_00	Kako čovjek ne vidi da ga Mi od kapi sjemena stvaramo, i opet je otvoreni protivnik,
078_00	i Nama navodi primjer, a zaboravlja kako je stvoren, i govori: "Ko će oživiti kosti kad budu truhle?"
079_00	Reci: "Oživiće ih Onaj koji ih je prvi put stvorio; On dobro zna sve što je stvorio,
080_00	Onaj koji vam iz zelenog drveća vatru stvara i vi njome potpaljujete."
081_00	Zar Onaj koji je stvorio nebesa i Zemlju nije kadar stvoriti njima slične? Jeste, On sve stvara i On je Sveznajući;
082_00	kada nešto hoće, On samo za to rekne: "Budi!" – i ono bude.
083_00	Pa neka je hvaljen Onaj u čijoj je ruci vlast nad svim, Njemu ćete se vratiti!
