001_00	Kāf Hā Jā Ajīn Sād.
061_00	u edenske vrtove koje je Milostivi robovima Svojim obećao zato što su u njih vjerovali, a nisu ih vidjeli – a obećanje Njegovo će se doista ispuniti –
062_00	u njima prazne besjede neće slušati, već samo: "Mir!" i u njima će i ujutro i navečer opskrbljeni biti.
063_00	Daćemo da takav Džennet naslijedi onaj od robova Naših koji se bude grijeha klonio.
064_00	"Mi smo u Džennet ušli samo dobrotom Gospodara tvoga, On je vladar svega, On zna budućnost našu i prošlost našu i ono što je između toga" – govoriće. Gospodar tvoj ne zaboravlja.
065_00	On je Gospodar nebesa i Zemlje i onoga što je između njih, zato se samo Njemu klanjaj i u tome budi istrajan! Znaš li da ime Njegovo ima iko?
066_00	Čovjek kaže: "Zar ću, kad umrem, zbilja biti oživljen?"
067_00	A zar se čovjek ne sjeća da smo ga još prije stvorili, a da nije bio ništa?
068_00	I tako mi Gospodara tvoga, Mi ćemo i njih i šejtane sakupiti, zatim ćemo ih dovesti da oko Džehennema na koljenima kleče,
069_00	a onda ćemo iz svake skupine izdvojiti one koji su prema Milostivome najdrskiji bili,
070_00	jer Mi dobro znamo one koji su najviše zaslužili da u njemu gore.
071_00	I svaki od vas će do njega stići! Gospodar tvoj se, sigurno, tako obavezao!
072_00	Zatim ćemo one koji su se grijeha klonili spasiti, a nevjernike ćemo da u njemu na koljenima kleče ostaviti.
073_00	Kad su im se Naši jasni ajeti kazivali, onda su oni koji nisu vjerovali govorili onima koji su vjerovali: "Ili smo mi ili vi u boljem položaju i ko ima više pobornika?"
074_00	A koliko smo Mi prije njih naroda uništili koji su blagom i izgledom divljenje izazivali!
075_00	Reci: "Onome ko je u zabludi, neka Milostivi dug život dâ!" – Ali kad takvi dožive da se opomene
075_01	ostvare, bilo kazna, bilo Smak svijeta, zbilja će saznati ko je u gorem položaju i ko ima pobornika manje –
076_00	i Allah će pomoći onima koji su na Pravome putu! A dobra djela koja vječno ostaju – od Gospodara tvoga biće bolje nagrađena i ljepše uzvraćena.
077_00	Zar nisi vidio onoga koji u dokaze Naše ne vjeruje i govori: "Zacijelo će mi biti dato bogatstvo i djeca!"
078_00	Ili je on budućnost prozreo ili je od Milostivog obećanje primio?
079_00	Nijedno! Mi ćemo ono što on govori zapisati i patnju mu veoma produžiti,
080_00	a ono što smo mu dali – naslijediti, i sam samcat će Nam se vratiti.
081_00	Oni kao zagovornike nekakva božanstva, a ne Allaha, uzimaju.
082_00	A ne valja tako! Božanstva ta će poreći da su im se klanjali, i biće im protivnici.
083_00	Zar ne vidiš da Mi nevjernike šejtanima prepuštamo da ih što više na zlo navraćaju?
084_00	Zato ne traži da što prije stradaju, Mi im polako dane odbrajamo!
085_00	Onoga Dana kada čestitē kao uzvanike pred Milostivim sakupimo,
086_00	a kad u Džehennem žedne grješnike potjeramo,
087_00	niko se ni za koga neće moći zauzimati, osim onoga kome Milostivi dopusti.
088_00	Oni govore: "Milostivi je uzeo dijete!" –
089_00	Vi, doista, nešto odvratno govorite!
090_00	Gotovo da se nebesa raspadnu, a Zemlja provali i planine zdrobe
091_00	što Milostivom pripisuju dijete.
092_00	Nezamislivo je da Milostivi ima dijete –
093_00	ta svi će oni, i oni na nebesima i oni na Zemlji, kao robovi u Milostivog tražiti utočište!
094_00	On ih je sve zapamtio i tačno izbrojio,
095_00	i svi će Mu na Sudnjem danu doći pojedinačno.
096_00	One koji su vjerovali i dobra djela činili Milostivi će, sigurno, voljenim učiniti.
097_00	Mi smo Kur'an učinili lahkim, na tvome jeziku, da bi njime one koji se Allaha boje i grijeha klone obradovao, a inadžije nepopustljive opomenuo.
098_00	A koliko smo samo naroda prije njih uništili! Da li ijednog od njih vidiš i da li i najslabiji glas njihov čuješ?
