001_00	Hā Mīm.
023_00	I eto tako, prije tebe, Mi ni u jedan grad nismo poslanika poslali, a da oni koji su raskošnim životom živjeli nisu govorili: "Zatekli smo pretke naše kako ispovijedaju vjeru i mi ih slijedimo u stopu."
024_00	"Zar i onda" – govorio bi on – "kad vam ja donosim bolju od one koju ste od predaka vaših upamtili?" A oni bi odgovarali: "Ne vjerujemo mi u ono što je po vama poslano!"
025_00	I Mi smo ih kažnjavali, pa vidi kako su skončali oni koji su poslanike u laž ugonili.
026_00	A kad Ibrahim reče ocu svome i narodu svome: "Nemam ja ništa s onima kojima se vi klanjate,
027_00	ja se klanjam samo Onome koji me je stvorio, jer će mi On, doista, na Pravi put ukazati" –
028_00	On učini riječi Tevhida trajnim za potomstvo svoje, da bi se dozvali.
029_00	A Ja sam dopustio ovima, a i precima njihovim, da uživaju sve dok im nije došla Istina i Poslanik očevidni.
030_00	A sada, kada im Istina dolazi, oni govore: "Ovo je vradžbina, i mi u nju nikako ne vjerujemo!"
031_00	I još kažu: "Trebalo je da ovaj Kur'an bude objavljen kakvom uglednom čovjeku iz jednog od ova dva grada!"
032_00	Zar oni da raspolažu milošću Gospodara tvoga?
032_01	Mi im dajemo sve što im je potrebno za život na ovome svijetu i Mi jedne nad drugima uzdižemo po nekoliko stepeni da bi jedni druge služili. – A milost Gospodara tvoga bolja je od onoga što oni gomilaju.
033_00	A da neće svi ljudi postati nevjernici, Mi bismo krovove kuća onih koji ne vjeruju u Milostivog od srebra učinili, a i stepenice uz koje se penju,
034_00	i vrata kuća njihovih i divane na kojima se odmaraju,
035_00	i ukrase od zlata bismo im dali, jer sve je to samo uživanje u životu na ovome svijetu, a onaj svijet u Gospodara tvoga biće za one koji budu Njegova naređenja izvršavali, a Njegovih zabrana se klonili.
036_00	Onome ko se bude slijepim pravio da ne bi Milostivog veličao, Mi ćemo šejtana natovariti, pa će mu on nerazdvojni drug postati;
037_00	oni će ih od Pravoga puta odvraćati, a ljudi će misliti da su na Pravome putu.
038_00	I kada koji dođe pred Nas, reći će: "Kamo sreće da je između mene i tebe bila tolika razdaljina kolika je između istoka i zapada! Kako si ti bio zao drug!"
039_00	Toga dana vam neće biti od koristi to što ćete u muci zajedno biti, kad je jasno da ste druge Allahu ravnim smatrali.
040_00	Zar ti da dozoveš gluhe i uputiš slijepe i one koji su u očitoj zabludi?!
041_00	Ako bismo ti dušu uzeli, njih bismo, sigurno, kaznili,
042_00	ili, kad bismo ti htjeli pokazati ono čime im prijetimo – pa Mi njih možemo svakom kaznom kazniti.
043_00	Zato se drži onoga što ti se objavljuje, jer ti si, uistinu, na Pravome putu.
044_00	Kur'an je, zaista, čast tebi i narodu tvome; odgovaraćete vi.
045_00	Pogledaj u odredbama objavljenim poslanicima Našim, koje smo prije tebe slali, da li smo naredili da se, mimo Milostivog, klanjaju božanstvima nekakvim.
046_00	Još davno Mi smo poslali Musaa sa znamenjima Našim faraonu i glavešinama njegovim, i on je rekao: "Ja sam, doista, Gospodara svjetova poslanik!"
047_00	I pošto im je donio znamenja Naša, oni su ih, odjednom, počeli ismijavati.
048_00	I Mi smo im dokaze pokazivali, sve jedan veći od drugog, i na muke smo ih stavljali ne bi li se dozvali.
049_00	"O ti čarobnjače!" – govorili su oni – "zamoli Gospodara svoga, u naše ime, na temelju tebi datog obećanja, mi ćemo, sigurno, Pravim putem poći!"
050_00	A čim bismo ih nevolje oslobodili, začas bi obavezu prekršili.
051_00	I faraon obznani narodu svome: "O narode moj" – reče on – "zar meni ne pripada carstvo u Misiru i ovi rukavci rijeke koji ispred mene teku, shvaćate li?
052_00	I zar nisam ja bolji od ovog bijednika koji jedva umije govoriti?
053_00	Zašto mu nisu stavljene narukvice od zlata ili zašto zajedno sa njim nisu došli meleki?"
054_00	I on zavede narod svoj, pa mu se pokori; oni su, doista, bili narod grješni.
055_00	A kad izazvaše Naš gnjev, Mi ih kaznismo i sve ih potopismo,
056_00	i učinismo ih primjerom i poukom narodima kasnijim.
057_00	A kad je narodu tvome kao primjer naveden sin Merjemin, odjednom su oni, zbog toga, zagalamili
058_00	i rekli: "Da li su bolji naši kumiri ili on?" A naveli su ti ga kao primjer samo zato da bi spor izazvali, jer su oni narod svađalački.
059_00	On je bio samo rob koga smo Mi poslanstvom nagradili i primjerom za pouku sinovima Israilovim učinili,
060_00	a da hoćemo, mogli bismo neke od vas u meleke pretvoriti da vas oni na Zemlji naslijede;
061_00	i Kur'an je predznak Smaka svijeta, zato nikako ne sumnjajte u nj i slijedite uputstvo Moje, to je Pravi put,
062_00	i neka vas šejtan nikako ne odvrati, ta on vam je, doista, neprijatelj otvoreni.
063_00	A kad je Isa očita znamenja donio, on je rekao: "Donosim vam mudrost i dolazim da vam objasnim ono oko čega se razilazite. Zato se Allaha bojte i meni se pokoravajte,
064_00	Allah je moj i vaš Gospodar, pa se Njemu klanjajte, to je Pravi put!"
065_00	Ali su se stranke između sebe podvojile, pa neka iskuse nesnosnu patnju na Dan bolni oni koji o Njemu krivo govore!
066_00	Zar ovi čekaju da im Smak svijeta iznenada dođe, a oni bezbrižni?
067_00	Tog Dana će oni koji su jedni drugima bili prijatelji postati neprijatelji, samo to neće biti oni koji su se Allaha bojali i grijeha klonili:
068_00	"O robovi Moji, za vas danas straha neće biti, niti ćete i za čim tugovati;
069_00	oni koji su u ajete Naše vjerovali i poslušni bili –
070_00	uđite u Džennet, vi i žene vaše, radosni!"
071_00	Oni će biti služeni iz posuda i čaša od zlata, u njemu će biti sve što duše zažele i čime se oči naslađuju, i u njemu ćete vječno boraviti.
072_00	"Eto, to je Džennet koji vam je darovan kao nagrada za ono što ste radili,
073_00	u njemu ćete svakovrsnog voća imati od kojeg ćete nekō jesti."
074_00	A nevjernici će u patnji džehennemskoj vječno ostati,
075_00	ona im se neće ublažiti i nikakve nade u spas neće imati.
076_00	Nismo im nepravedni bili, oni su sami sebi nepravdu nanijeli.
077_00	Oni će dozivati: "O Malik! Neka Gospodar tvoj učini da umremo!" – a On će reći: "Vi ćete tu vječno ostati!"
078_00	Mi vam Istinu šaljemo, ali većini vam je Istina odvratna.
079_00	Ako oni pletu zamke, i Mi ćemo zamke njima postaviti.
080_00	Zar oni misle da Mi ne čujemo šta oni nasamo razgovaraju i kako se među sobom dogovaraju? Čujemo Mi, a izaslanici Naši, koji su uz njih, zapisuju.
081_00	Reci: "Kad bi Milostivi imao sina, ja bih se prvi klanjao!
082_00	Neka je uzvišen Gospodar nebesa i Zemlje, Onaj koji svemirom vlada i koji je iznad onoga kako Ga oni opisuju!"
083_00	Zato ih ostavi neka se iživljavaju i zabavljaju dok ne dožive Dan kojim im se prijeti,
084_00	On je Bog i na nebu i na Zemlji, On je Mudri i Sveznajući!
085_00	I neka je uzvišen Onaj čija je vlast na nebesima i na Zemlji, i između njih, On jedini zna kada će Smak svijeta biti, i Njemu ćete se svi vratiti!
086_00	Onī kojima se oni, pored Njega, klanjaju – neće se moći za druge zauzimati; moći će samo oni koji Istinu priznaju, oni koji znaju.
087_00	A ako ih zapitaš ko ih je stvorio, sigurno će reći: "Allah!" Pa kuda se onda odmeću?
088_00	I tako mi Poslanikovih riječi: "Gospodaru moj, ovo su, zaista, ljudi koji neće vjerovati!" –
089_00	ti se oprosti od njih i reci: "Ostajte u miru!" – ta sigurno će oni zapamtiti!
