001_00	Elif Lām Rā. Ovo su ajeti Knjige jasne!
019_00	I dođe jedna karavana, te poslaše vodonošu svoga i on spusti vedro svoje. "Muštuluk!" – viknu on – "evo jednog dječaka!" I oni su ga kao trgovačku robu sakrili, a Allah dobro zna ono što su uradili.
020_00	I prodadoše ga za jeftine pare, za nekoliko groša; jedva su čekali da ga se oslobode.
021_00	I onda onaj iz Misira, koji ga je kupio, reče ženi svojoj: "Učini mu boravak prijatnim!
021_01	Može nam koristan biti, a možemo ga i posiniti!" I eto tako Mi Jusufu dadosmo lijepo mjesto na Zemlji i naučismo ga tumačenju snova – a Allah čini šta hoće, ali većina ljudi ne zna.
022_00	I kad on stasa, Mi ga mudrošću i znanjem obdarismo; tako Mi nagrađujemo one koji dobra djela čine.
023_00	I poče da ga na grijeh navodi ona u čijoj je kući bio, pa pozaključa sva vrata i reče: "Hodi!"
023_01	– "Sačuvaj Bože!" – uzviknu on – "vlasnik me moj lijepo pazi; a oni koji dobro uzvrate zlim neće nikad uspjeti."
024_00	I ona je bila poželjela njega, a i on bi nju poželio da od Gospodara svoga nije opomenu ugledao – tako bî, da odvratimo od njega izdajstvo i blud, jer je on uistinu bio Naš iskreni rob.
025_00	I njih dvoje prema vratima potrčaše – a ona razdera straga košulju njegovu – i muža njezina kraj vrata zatekoše.
025_01	"Kakvu kaznu zaslužuje onaj koji je htio ženi tvojoj zlo učiniti" – reče ona – "ako ne tamnicu ili kaznu bolnu?"
026_00	"Ona je pokušala mene na grijeh navesti" – reče Jusuf. – "Ako je košulja njegova sprijeda razderana, onda ona istinu govori, a on neistinu" – primijeti jedan rođak njezin –
027_00	"a ako je košulja njegova straga razderana, onda ona laže, a on govori istinu."
028_00	I kada on vidje da je košulja njegova straga razderana, reče: "To je jedno od vaših lukavstava, vaša su lukavstva zaista velika!
029_00	Ti, Jusufe, ostavi se toga, a ti traži oproštenje za grijeh svoj, jer si zaista htjela zgriješiti!"
030_00	I žene u gradu počeše govorkati: "Upravnikova žena navraćala momka svoga na grijeh, u njega se ludo zagledala! Mi mislimo da jako griješi."
031_00	I kad ona ču za ogovaranja njihova, posla po njih, te im priredi divane, dade svakoj od njih po nož i reče: "Izađi pred njih!" A
031_01	kad ga one ugledaše, zadiviše se ljepoti njegovoj i po rukama svojim se porezaše: "Bože, Bože!" – uskliknuše – "ovo nije čovjek, ovo je melek plemeniti!"
032_00	"E to vam je onaj zbog koga ste me korile" – reče ona.
032_01	"Istina je da sam ga htjela na grijeh navratiti, ali se on odupro. Ako ne učini ono što od njega tražim, biće, sigurno, u tamnicu bačen i ponižen."
033_00	"Gospodaru moj" – zavapi on – "draža mi je tamnica od ovoga na što me one navraćaju. I ako Ti ne odvratiš od mene lukavstva njihova, ja mogu prema njima naklonost osjetiti i lahkomislen postati."
034_00	I Gospodar njegov usliša molbu njegovu i spasi ga lukavstva njihova; On, uistinu, sve čuje i zna.
035_00	Poslije im na pamet pade, iako su se bili uvjerili da je nedužan, da ga za neko vrijeme bace u tamnicu.
036_00	S njim su u tamnicu ušla još dva momka. "Ja sam sanjao da cijedim grožđe" – reče jedan od njih.
036_01	– "A ja, opet" – reče drugi – "kako na glavi nosim hljeb koji ptice kljuju. Protumači nam to, jer vidimo da si zaista dobar čovjek."
037_00	"Nijedan obrok hrane neće vam donesen biti, a da vam ja prije ne kažem šta ćete dobiti" – reče Jusuf.
037_01	"To je samo dio onoga čemu me naučio Gospodar moj, ja se klonim vjere naroda koji u Allaha ne vjeruje i koji onaj svijet ne priznaje,
038_00	i ispovijedam vjeru predaka svojih, Ibrahima i Ishaka i Jakuba; nama ne priliči da ikoga Allahu smatramo ravnim.
038_01	To je Allahova milost prema nama i ostalim ljudima, ali većina ljudi nije zahvalna.
039_00	O drugovi moji u tamnici, ili su bolji raznorazni bogovi ili Allah, Jedini i Svemoćni?
040_00	Oni kojima se, mimo Njega, klanjate samo su imena koja ste im nadjenuli vi i preci vaši – Allah o njima nikakva dokaza nije objavio.
040_01	Sud pripada jedino Allahu, a On je naredio da se klanjate samo Njemu. To je jedino prava vjera, ali većina ljudi ne zna.
041_00	O drugovi moji u tamnici, jedan od vas će gospodara svoga vinom pojiti, a drugi će raspet biti, pa će mu ptice glavu kljuvati.
041_01	Ono što ste pitali samo to znači!"
042_00	A onome od njih dvojice za koga je znao da će spasen biti reče: "Spomeni me gospodaru svome!" – ali šejtan učini te on zaboravi da ga spomene gospodaru svome, i Jusuf ostade u tamnici nekolike godine.
043_00	I vladar reče: "Sanjao sam kako sedam mršavih krava pojede sedam debelih, i sanjao sam sedam klasova zelenih i sedam drugih sasušenih.
043_01	O velikaši, protumačite mi san moj ako snove znate tumačiti!"
044_00	"Zbrkanih li snova!" – rekoše oni – "mi snove ne znamo tumačiti."
045_00	I tada, poslije toliko vremena, sjeti se jedan od one dvojice, onaj koji se spasio, i reče: "Ja ću vam protumačiti san, samo me pošaljite!"
046_00	"Jusufe, o prijatelju, protumači nam šta znači: sedam mršavih krava pojede sedam debelih; i sedam
046_01	klasova zelenih i sedam drugih sasušenih – pa da se vratim ljudima, da bi oni saznali."
047_00	"Sijaćete sedam godina uzastopno" – reče – "pa ono što požanjete u klasu ostavite, osim ono malo što ćete jesti,
048_00	jer će poslije toga doći sedam teških koje će pojesti ono što ste za njih pripremili, ostaće jedino ono malo što ćete za sjetvu sačuvati.
049_00	Zatim će, poslije toga, doći godina u kojoj će ljudima kiše u obilju biti i u kojoj će cijediti."
050_00	I vladar reče: "Dovedite mi ga!" I kad Jusufu izaslanik dođe, on reče: "Vrati se gospodaru svome i
050_01	upitaj ga: 'Šta je s onim ženama koje su svoje ruke porezale – Vlasnik moj dobro zna spletke njihove!'"
051_00	"Šta se dogodilo kad ste Jusufa na grijeh navraćale?" – upita vladar.
051_01	– "Bože sačuvaj!" – rekoše one – "mi o njemu ništa ružno ne znamo!" – "Sad će istina na vidjelo izaći" – reče upravnikova žena – "ja sam njega na grijeh navraćala, on je istinu rekao.
052_00	Isto tako on neka zna da ga ja nisam, dok je bio odsutan, iznevjerila jer Allah ne dâ da se ostvare lukavstva podmuklih.
053_00	Ja ne pravdam sebe, ta duša je sklona zlu, osim one kojoj se Gospodar moj smiluje. Gospodar moj zaista prašta i samilostan je."
054_00	I vladar reče: "Dovedite mi ga, uzeću ga u svoju svitu" – i pošto porazgovara s njim, reče mu: "Ti ćeš od danas kod nas utjecajan i pouzdan biti."
055_00	"Postavi me" – reče – "da vodim brigu o stovarištima u zemlji, ja sam zaista čuvaran i znan."
056_00	I tako Mi Jusufu dadosmo vlast u zemlji, boravio je ondje gdje je htio: milost svoju Mi dajemo onome kome hoćemo i ne dopuštamo da propadne nagrada onima koji dobra djela čine.
057_00	A nagrada na onome svijetu je bolja za one koji vjeruju i koji se grijeha čuvaju.
058_00	I dođoše braća Jusufova i uđoše k njemu, pa ih on poznade, a oni njega ne poznadoše.
059_00	I kad ih namiri hranom potrebnom, reče: "Dovedite mi svoga brata koji je ostao s ocem vašim, zar ne vidite da punu mjeru dajem i da goste ne može biti bolje primam.
060_00	Ako mi ga ne dovedete, nećete više od mene hrane dobiti i ne dolazite mi!"
061_00	"Pobrinućemo se da ga nekako od oca njegova izmamimo, zaista ćemo tako postupiti" – rekoše oni.
062_00	A Jusuf reče momcima svojim: "Stavite njihove stvari u tovare njihove, oni će ih, kad se vrate svojima, prepoznati i opet će se vratiti."
063_00	I pošto se vratiše ocu svome, rekoše: "O oče naš, više nam neće hranu davati. Zato pošalji s nama brata našeg da bismo dobili hranu, a mi ćemo ga zaista čuvati."
064_00	"Zar da vam ga povjerim kao što sam prije povjerio brata njegova?" – reče on. "Ali, Allah je najbolji čuvar i On je najmilostiviji!"
065_00	A kad otvoriše tovare svoje i nađoše da su im vraćene stvari njihove, oni rekoše: "O oče naš, šta možemo više poželjeti?
065_01	Evo, vraćene su nam stvari naše, i hranom ćemo čeljad našu namiriti, i brata našeg ćemo čuvati, a i jedan kamilin tovar hrane ćemo više dobiti; to je neznatan tovar."
066_00	"Ja ga s vama neću poslati" – reče – "dok mi se tvrdo Allahom ne zakunete da ćete mi ga doista
066_01	vratiti, osim ako ne nastradate." I pošto mu se oni zakleše, on reče: "Allah je jamac za ono što smo utanačili!"
067_00	"O sinovi moji" – reče onda – "ne ulazite na jednu kapiju, već na razne kapije, a ja vas ne mogu spasiti od onoga
067_01	što vam Allah odredi; moć pripada jedino Njemu, ja se u Njega uzdam, i neka se samo u Njega uzdaju oni koji se uzdaju!"
068_00	I kad uđoše onako kako im je otac njihov naredio, to im nimalo nije pomoglo da budu pošteđeni onoga što im je Allah bio odredio,
068_01	jedino se ostvarila želja Jakubova, koju je izvršio, a on je, uistinu, veliki znalac bio, zato što smo ga Mi naučili, ali većina ljudi ne zna.
069_00	I kad iziđoše pred Jusufa, on privi na grudi brata svoga i reče: "Ja sam, doista, brat tvoj i ne žalosti se zbog onoga što su oni uradili."
070_00	I pošto ih namiri potrebnom hranom, stavi jednu čašu u tovar brata svoga, a poslije jedan glasnik stade vikati: "O karavano, vi ste, doista, kradljivci!"
071_00	Oni im pristupiše i upitaše: "Šta tražite?"
072_00	"Tražimo vladarevu čašu" – odgovoriše. – "Ko je donese, dobiće kamilin tovar hrane. Ja za to jamčim!"
073_00	"Allaha nam" – rekoše oni – "vi znate da mi nismo došli činiti nered na Zemlji, i mi nismo kradljivci."
074_00	"A kakva mu je kazna ako ne govorite istinu?" – upitaše.
075_00	"Kazna je onome u čijem se tovaru nađe – sam on" – odgovoriše. – "Eto tako mi kažnjavamo kradljivce."
076_00	I on poče s vrećama njihovim, prije vreće brata svoga, a onda izvadi čašu iz vreće brata svoga. – Mi poučismo Jusufa da tako varku izvede.
076_01	– On po vladarevu zakonu nije mogao uzeti kao roba brata svoga, ali je mogao Allahovim dopuštenjem. Mi uzvisujemo onoga koga Mi hoćemo, a nad svakim znalcem ima još znaniji.
077_00	"Ako je on ukrao" – rekoše oni – "pa i prije je brat njegov krao!" I Jusuf im ne reče ništa.
077_01	"Vi ste u gorem položaju" – pomisli u sebi – "a Allah dobro zna kako je bilo to o čemu govorite."
078_00	"O upravniče" – rekoše oni – "on ima vrlo stara oca, pa uzmi jednog od nas umjesto njega! Mi vidimo da si ti dobar čovjek."
079_00	"Sačuvaj Bože" – reče – "da uzmemo nekog drugog do onoga u koga smo naš predmet našli! Tada bismo zaista bili nepravedni!"
080_00	I kad izgubiše svaku nadu, odvojiše se u stranu da se posavjetuju.
080_01	"Zar ne znate" – reče najstariji među njima – "da ste se ocu svom Allahom zakleli, a i prije Jusufa upropastili.
080_02	Neću napustiti ovu zemlju dok mi to otac moj ne dozvoli ili dok Allah u moju korist ne presudi, a On je Sudija najbolji.
081_00	Vratite se ocu svome pa recite: 'O oče naš, sin tvoj je ukrao; mi tvrdimo samo ono što smo vidjeli, a mi se nismo mogli onoga što je bilo suđeno sačuvati.
082_00	Pitaj grad u kome smo boravili i karavanu s kojom smo došli. Mi zaista govorimo istinu!'"
083_00	"Nije tako" – reče Jakub – "u dušama vašim je ponikla zla misao, i ja se neću jadati, nadam se da će mi ih Allah sve vratiti; uistinu On sve zna i mudar je."
084_00	I okrenu se od njih i reče: "O Jusufe, tugo moja!" – a oči su mu bile pobijeljele od jada, bio je vrlo potišten.
085_00	"Allaha nam" – rekoše oni – "ti toliko spominješ Jusufa da ćeš teško oboljeti ili umrijeti!"
086_00	"Ja tugu svoju i jad svoj pred Allaha iznosim, a od Allaha znam ono što vi ne znate" – reče on.
087_00	"O sinovi moji, idite i raspitajte se za Jusufa i brata njegova, i ne gubite nadu u milost Allahovu; samo nevjernici gube nadu u Allahovu milost."
088_00	I kad oni iziđoše pred Jusufa, rekoše: "O upravniče, i nas i čeljad našu pritisla je nevolja; donijeli smo malo
088_01	vrijedne stvari, ali ti nam podaj punu mjeru i udijeli nam milostinju, jer Allah doista nagrađuje one koji milostinju udjeljuju."
089_00	"A znate li" – upita on – "šta ste s Jusufom i bratom njegovim nepromišljeno uradili?"
090_00	"A da ti nisi, uistinu, Jusuf?" – povikaše oni.
090_01	– "Da, ja sam Jusuf, a ovo je brat moj, Allah nam je milost darovao; ko se bude Allaha bojao i ko strpljiv bude bio – pa, Allah, uistinu, neće dopustiti da propadne nagrada onima koji dobra djela čine."
091_00	"Allaha nam" – rekoše oni – "Allah te je nad nama uzvisio, mi smo doista zgriješili."
092_00	"Ja vas sada neću koriti" – reče – "Allah će vam oprostiti, od milostivih On je najmilostiviji!
093_00	Ovu košulju moju odnesite i na lice moga oca je stavite, on će progledati, i svu čeljad svoju mi dovedite!"
094_00	I kada karavana napusti Misir, otac njihov reče: "Ja zbilja osjećam miris Jusufov, samo ne recite da sam pomatuhio."
095_00	"Allaha nam" – rekoše oni – "ti i sada kao i prije griješiš."
096_00	A kad glasonoša radosne vijesti dođe, on stavi košulju na lice njegovo i on progleda. "Zar vam ne rekoh" – reče – "da ja znam od Allaha ono što vi ne znate?"
097_00	"O oče naš" – rekoše oni – "zamoli da nam se grijesi oproste, mi smo, zaista, zgriješili."
098_00	"Zamoliću Gospodara svoga da vam oprosti" – odgovori on – "jer On prašta i On je milostiv."
099_00	I kad iziđoše pred Jusufa, on privi roditelje svoje na grudi i reče: "Nastanite se u Misiru, svakog straha, ako Bog da, oslobođeni!"
100_00	I on roditelje svoje postavi na prijesto i oni mu se svi pokloniše, pa on reče: "O oče moj, ovo je tumačenje moga sna nekadašnjeg, Gospodar moj ga je ispunio.
100_01	Allah je bio dobar prema meni kad me je iz tamnice izbavio i vas iz pustinje doveo, nakon što je šejtan između mene i braće moje bio razdor posijao.
100_02	Gospodar moj je zaista milostiv onome kome On hoće, i On, zaista, sve zna i mudar je!
101_00	Gospodaru moj, Ti si mi dao dio vlasti i naučio me tumačenju nekih snova!
101_01	O Stvoritelju nebesa i Zemlje, Ti si Zaštitnik moj i na ovome i na onome svijetu; daj da umrem kao musliman i pridruži me onima koji su dobri!"
102_00	Eto to su neke nepoznate vijesti koje Mi tebi objavljujemo, a ti nisi bio s njima kada su se oni odlučili, i kada su onako lukavi bili.
103_00	A većina ljudi, ma koliko ti želio, neće biti vjernici.
104_00	Ti od ovih ne tražiš nagradu za Kur'an, on je samo opomena svim svjetovima.
105_00	A koliko ima znamenja na nebesima i na Zemlji pored kojih prolaze, od kojih oni glave okreću!
106_00	Većina ovih ne vjeruje u Allaha, nego druge Njemu smatra ravnim.
107_00	Zar mogu biti sigurni da ih nevolja, kao Allahova kazna, neće stići ili da ih Čas suđeni neće iznenaditi, a da oni to neće ni primijetiti?
108_00	Reci: "Ovo je put moj, ja pozivam k Allahu, imajući jasne dokaze, ja, i svaki onaj koji me slijedi, i neka je hvaljen Allah, ja Njemu nikoga ne smatram ravnim."
109_00	A Mi smo i prije tebe samo ljude slali, građane kojima smo objave objavljivali.
109_01	Zar ovi ne putuju po svijetu, pa ne vide kako su skončali oni prije njih – a onaj svijet je doista bolji za one koji se budu Allaha bojali – zar se nećete opametiti!
110_00	I kad bi poslanici gotovo nadu izgubili i pomišljali da će ih lašcima proglasiti, pomoć Naša bi im došla; Mi bismo spasili one koje smo Mi htjeli, a kazna Naša ne bi mimoišla narod nevjernički.
111_00	U kazivanju o njima je pouka za one koji su razumom obdareni.
111_01	Kur'an nije izmišljena besjeda, on priznaje da su istinite knjige prije njega objavljene, i objašnjava sve, i putokaz je i milost narodu koji vjeruje.
