001_00	Elif Lām Mīm.
064_00	vi ste poslije toga odustali, i da nije bilo Allahove dobrote prema vama i milosti Njegove, uistinu biste stradali.
065_00	Vama je poznato ono što se dogodilo onima od vas koji su se o subotu ogriješili, kao i to da smo im Mi rekli: "Budite majmuni prezreni!"
066_00	Savremenicima i pokoljenjima njihovim to smo učinili opomenom, a poukom onima koji se boje Allaha.
067_00	A kada je Musa rekao narodu svome: "Allah vam naređuje da zakoljete kravu" – oni upitaše: "Zbijaš
067_01	li ti to s nama šalu?" – "Ne dao mi Allah da budem neznalica!" – reče on.
068_00	"Zamoli Gospodara svoga, u naše ime" – rekoše – "da nam objasni kojih godina ona treba biti." – "On kaže" – odgovori on – "da ta krava ne smije biti ni stara ni mlada, nego između toga, srednje dobi, pa izvršite to što se od vas traži!"
069_00	"Zamoli Gospodara svoga, u naše ime" – rekoše – "da nam objasni kakve boje treba biti." – "On poručuje" – odgovori on – "da ta krava treba biti jarkorumene boje, da se svidi onima koji je vide."
070_00	"Zamoli Gospodara svoga, u naše ime" – rekoše – "da nam objasni kakva još treba biti jer, nama krave izgledaju slične, a mi ćemo nju, ako Allah htjedne, sigurno pronaći."
071_00	"On poručuje" – reče on – "da ta krava ne smije biti istrošena oranjem zemlje i natapanjem usjeva; treba biti bez
071_01	mahane i bez ikakva biljega." – "E sad si je opisao kako treba!" – rekoše, pa je zaklaše, i jedva to učiniše.
072_00	I kada ste jednog čovjeka ubili, pa se oko njega prepirati počeli – Allah je dao da iziđe na vidjelo ono što ste bili sakrili –
073_00	Mi smo rekli: "Udarite ga jednim njezinim dijelom!" – i eto tako Allah vraća mrtve u život i pruža vam dokaze Svoje da biste shvatili.
074_00	Ali srca vaša su poslije toga postala tvrda, kao kamen su ili još tvrđa, a ima i kamenja iz kojeg rijeke izbijaju, a ima, zaista, kamenja koje puca i iz kojeg voda izlazi, a ima ga, doista, i koje se od straha pred Allahom ruši.
074_01	– A Allah motri na ono što radite.
075_00	Zar se vi nadate da će vam se jevreji odazvati i vama za ljubav vjernici postati, a neki među njima su Allahove riječi slušali pa su ih, pošto su ih shvatili, svjesno izvrnuli.
076_00	Kad sretnu vjernike, oni govore: "Vjerujemo!", a čim se osame jedni s drugima, kažu: "Zar ćete im kazivati o onome što je Allah samo vama objavio, pa da im to bude dokaz protiv vas pred Gospodarom vašim?
076_01	Zar se nećete opametiti?"
077_00	A zar oni ne znaju da Allah zna i ono što oni kriju i ono što pokazuju?
078_00	Neki od njih su neuki, oni ne znaju za Knjigu, nego samo za gatke, i oni se samo domišljaju.
079_00	A teško onima koji svojim rukama pišu Knjigu, a zatim govore: "Evo, ovo je od Allaha" – da bi za to korist neznatnu izvukli.
079_01	I teško njima zbog onoga što ruke njihove pišu i teško njima što na taj način zarađuju!
080_00	Oni govore: "Vatra će nas doticati samo neko vrijeme." Reci: "Da li ste o tome dobili od Allaha
080_01	obećanje – jer, Allah će sigurno ispuniti obećanje Svoje – ili na Allaha iznosite ono što ne znate?"
081_00	A nije tako! Oni koji budu zlo činili i grijesi njihovi ih budu sa svih strana stigli, oni će stanovnici Džehennema biti i u njemu će vječno ostati.
082_00	A oni koji budu vjerovali i dobra djela činili – oni će stanovnici Dženneta biti i u njemu će vječno boraviti.
083_00	I kada smo od sinova Israilovih zavjet uzeli da ćete se jedino Allahu klanjati, i roditeljima, i bližnjima, i siročadi, i siromasima dobročinstvo
083_01	činiti, a ljudima lijepe riječi govoriti i molitvu obavljati i zekat davati, vi ste se poslije, izuzev vas malo, izopačili i zavjet iznevjerili;
084_00	i kada smo od vas zavjet uzeli da krv jedni drugima nećete proljevati i da jedni druge iz zemlje vaše nećete izgoniti – vi priznajete da je tako i svjedoci ste –
085_00	vi ipak jedni druge ubijate, a pojedine od vas iz zavičaja njihova izgonite – pomažući jedan drugom protiv njih, čineći i grijeh i nasilje; a ako vam kao sužnji dođu, vi ih otkupljujete – a zabranjeno vam je da ih izgonite.
085_01	Kako to da u jedan dio Knjige vjerujete, a drugi odbacujete?!
085_02	Onoga od vas koji čini tako stići će na ovome svijetu poniženje, a na Sudnjem danu biće stavljen na muke najteže.
085_03	– A Allah motri na ono što radite.
086_00	To su oni koji su život na ovome svijetu pretpostavili onome na onom svijetu, zato im se patnja neće olakšati niti će im iko u pomoć priteći.
087_00	I Mi smo Musau Knjigu dali i poslije njega smo jednog za drugim poslanike slali, a Isau, sinu Merjeminu, očigledne dokaze dali i Džibrilom ga pomogli.
087_01	I kad god vam je koji poslanik donio ono što nije godilo dušama vašim, vi ste se oholili, pa ste jedne u laž utjerivali, a druge ubijali.
088_00	Oni govore: "Naša su srca okorjela." A nije tako, nego je Allah njih prokleo zbog nevjerovanja njihova, i zato je vrlo malo njih koji vjeruju.
089_00	A kada im Knjiga od Allaha dolazi, koja priznaje kao istinitu Knjigu koju imaju oni – a još ranije su pomoć protiv mnogobožaca
089_01	molili – i kada im dolazi ono što im je poznato, oni u to neće da vjeruju, i neka zato stigne nevjernike Allahovo prokletstvo!
090_00	Jadno je to za što su se prodali: da ne vjeruju u ono što Allah objavljuje, samo iz zlobe što Allah, od dobrote
090_01	Svoje, šalje Objavu onome kome On hoće od robova Svojih; i navukli su na sebe gnjev za gnjevom – a nevjernike čeka sramna patnja.
091_00	A kada im se kaže: "Vjerujte u ono što Allah objavljuje!" – oni odgovaraju: "Mi vjerujemo samo u ono što je nama objavljeno" – i neće da vjeruju u ono što se poslije objavljuje, a to je istina koja potvrđuje da je istinito ono što oni imaju.
091_01	Reci: "Pa zašto ste još davno neke Allahove vjerovjesnike ubili, ako ste vjernici bili?
092_00	I Musa vam je jasne dokaze bio donio, pa ste, ipak, u odsutnosti njegovoj sebi nepravdu nanoseći, tele prihvatili."
093_00	I kada smo od vas vaš zavjet primili, i brdo iznad vas podigli: "Ozbiljno prihvatite ono što vam dajemo i budite poslušni!" – oni su odgovorili: "Čujemo, ali poslušati nećemo!" – srca njihova su, zbog nevjerovanja njihova, još bila nadojena teletom.
093_01	Reci: "Ružno je to na što vas vjerovanje vaše navodi, ako ste uopće vjernici."
094_00	Reci: "Ako je u Allaha Džennet osiguran samo za vas, a ne i za ostali svijet, onda vi smrt zaželite, ako istinu govorite."
095_00	A neće je nikada zaželjeti zbog onoga što čine! – A Allah dobro zna nevjernike.
096_00	I naći ćeš ih, sigurno, da više žude za životom od svih ostalih ljudi, čak i od mnogobožaca; svaki bi volio poživjeti hiljadu godina, mada ga to, i kada bi toliko živio, ne bi od patnje udaljilo!
096_01	– A Allah dobro vidi ono što oni rade.
097_00	Reci: "Ko je neprijatelj Džibrilu? – a on, Allahovom voljom, tebi stavlja na srce Kur'an – koji potvrđuje da su i prijašnje objave istinite – kao putokaz i radosnu vijest vjernicima."
098_00	Ko je neprijatelj Allahu i melekima Njegovim i poslanicima Njegovim i Džibrilu i Mikailu – pa Allah je, doista, neprijatelj onima koji neće da vjeruju.
099_00	A Mi tebi jasne dokaze objavljujemo i jedino nevjernici neće u njih da vjeruju.
100_00	Zar svaki put kada neku obavezu preuzmu – neki od njih je odbace jer većina njih ne vjeruje.
101_00	A kada im je poslanik od Allaha došao, potvrđujući da je istinito ono što već imaju, mnogi
101_01	od onih kojima je Knjiga dana – za leđa svoja Allahovu Knjigu odbacuju, kao da ne znaju,
102_00	i povode se za onim što su šejtani o Sulejmanovoj vladavini kazivali.
102_01	A Sulejman nije bio nevjernik – šejtani su nevjernici: učili su ljude vradžbini i onome što je bilo nadahnuto dvojici meleka, Harutu i Marutu, u Babilonu.
102_02	A njih dvojica nisu nikoga učili dok mu ne bi rekli: "Mi samo iskušavamo, i ti ne budi nevjernik!" I ljudi su od njih dvojice učili kako će muža od žene rastaviti, ali nisu mogli time nikome bez Allahove volje nauditi.
102_03	Učili su ono što će im nauditi i od čega nikakve koristi neće imati iako su znali da onaj koji tom vještinom vlada neće nikakve sreće na onome svijetu imati.
102_04	A doista je jadno ono za što su se prodali, kada bi samo znali!
103_00	A da oni vjeruju i boje se, nagrada od Allaha bi im bila bolja, kada bi samo znali!
104_00	O vjernici, ne služite se riječima: "Ra‘ina", nego recite: "Unzurna" i slušajte! A nevjernike bolna patnja čeka.
105_00	Ne vole oni koji ne vjeruju, ni sljedbenici Knjige ni mnogobošci, da se vama od Gospodara vašeg bilo kakvo dobro objavi.
105_01	A Allah milost Svoju daruje kome On hoće; Allah je neizmjerno dobar.
106_00	Mi nijedan propis ne promijenimo, niti ga u zaborav potisnemo, a da bolji od njega ili sličan njemu ne donesemo. Zar ti ne znaš da Allah sve može?
107_00	Zar ti ne znaš da je samo Allahova vlast i na nebesima i na Zemlji i da vi osim Allaha ni zaštitnika, ni pomagača nemate?
108_00	Zar da tražite od svoga Poslanika kao što su prije tražili od Musaa? A, ko vjerovanju pretpostavi nevjerovanje, s Pravoga puta zalutao je!
109_00	Mnogi sljedbenici Knjige jedva bi dočekali da vas, pošto ste postali vjernici, vrate u nevjernike, iz lične zlobe svoje, iako im je Istina poznata; ali vi oprostite i preko toga pređite dok Allah Svoju odluku ne donese.
109_01	– Allah, zaista, sve može.
110_00	I molitvu obavljajte i zekat dajite, a za dobro koje za sebe pripremite naći ćete nagradu kod Allaha, jer Allah dobro vidi ono što radite.
111_00	Oni govore da će u Džennet ući samo jevreji, odnosno samo kršćani. – To su puste želje njihove! – Ti reci: "Dokaz svoj dajte ako je istina to što govorite!"
112_00	A nije tako! Onoga ko se bude Allahu pokoravao i uz to dobra djela činio, toga čeka nagrada kod Gospodara njegova, takvi se neće ničega bojati i ni za čim neće tugovati.
113_00	Jevreji govore: "Kršćani nisu na Pravome putu!" a kršćani vele: "Jevreji nisu na Pravome putu!" – a oni čitaju Knjigu.
113_01	Tako, slično kao oni, govore i oni koji ne znaju. Allah će im na Sudnjem danu presuditi o onome u čemu se oni ne slažu.
114_00	Ima li većeg nasilnika od onoga koji brani da se u Allahovim hramovima ime Njegovo spominje i koji radi na tome da se oni poruše?
114_01	Takvi bi trebali u njih samo sa strahom ulaziti. Na ovome svijetu doživjeće sramotu, a na onom svijetu patnju veliku!
115_00	A Allahov je i istok i zapad; kuda god se okrenete, pa – tamo je Allahova strana. – Allah je, zaista, neizmjerno dobar i On sve zna.
116_00	Nevjernici govore: "Allah je uzeo sebi dijete." Hvaljen neka je On! Naprotiv, Njegovo je sve ono što je na nebesima i na Zemlji. Njemu se sve pokorava;
117_00	On je stvoritelj nebesa i Zemlje, i kada nešto odluči, za to samo rekne: "Budi!" – i ono bude.
118_00	A oni koji ne znaju govore: "Trebalo bi da Allah s nama razgovara ili da nam kakvo čudo dođe!" Tako su, gotovo istim riječima, govorili i oni prije njih, srca su im slična!
118_01	A Mi dokaze objašnjavamo ljudima koji čvrsto vjeruju.
119_00	Mi smo te poslali da istinu objaviš i da radosne vijesti i opomenu doneseš, i ti nećeš biti pitan za one koji su u Džehennemu.
120_00	Ni jevreji, ni kršćani neće biti tobom zadovoljni sve dok ne prihvatiš vjeru njihovu.
120_01	Reci: "Allahov put je jedini Pravi put!" A ako bi se ti poveo za željama njihovim, nakon Objave koja ti dolazi, od Allaha te niko ne bi mogao zaštititi niti odbraniti.
121_00	Neki od sljedbenika Knjige čitaju je onako kako je objavljena; oni u nju vjeruju. A nastradaće sigurno oni koji u nju ne vjeruju.
122_00	O sinovi Israilovi, sjetite se milosti Moje koju sam vam darovao i toga što sam vas nad ostalim ljudima bio uzdigao.
123_00	I bojte se Dana kada niko ni za koga neće moći ništa učiniti, kada se ni od koga otkup neće primiti, kada nikome zagovor neće koristiti i kada im niko neće moći pomoći!
124_00	A kada je Ibrahima Gospodar njegov s nekoliko zapovijedi u iskušenje stavio, pa ih on potpuno izvršio, Allah je rekao: "Učiniću da ti budeš ljudima u vjeri uzor!" – "I neke moje potomke!" – zamoli on.
124_01	– "Obećanje Moje neće obuhvatiti nevjernike" – kaza On.
125_00	I učinili smo Hram utočištem i sigurnim mjestom ljudima.
125_01	"Neka vam mjesto na kojem je stajao Ibrahim bude prostor iza koga ćete molitvu obavljati!" – I Ibrahimu i Ismailu smo naredili: "Hram Moj očistite za one koji ga budu obilazili, koji budu tu boravili i koji budu molitvu obavljali."
126_00	A kada je Ibrahim zamolio: "Gospodaru moj, učini ovo mjesto sigurnim gradom, a snabdij plodovima stanovnike njegove, one koji budu vjerovali u Allaha i u onaj svijet!" –
126_01	On je rekao: "Onome koji ne bude vjerovao daću da neko vrijeme uživa, a onda ću ga prisiliti da uđe u paklenu vatru, a grozno će ona prebivalište biti!"
127_00	I dok su Ibrahim i Ismail temelje Hrama podizali, oni su molili: "Gospodaru naš, primi od nas, jer Ti, uistinu, sve čuješ i sve znaš!
128_00	Gospodaru naš, učini nas dvojicu Tebi odanim, i porod naš neka bude odan Tebi, i pokaži nam obrede naše i oprosti nam, jer Ti primaš pokajanje i samilostan si!
129_00	Gospodaru naš, pošalji im poslanika, jednog od njih, koji će im ajete Tvoje kazivati i Knjizi ih i mudrosti učiti i očistiti ih, jer Ti si, uistinu, silan i mudar!"
130_00	Vjeru Ibrahimovu izbjegava samo onaj koji ne drži do sebe. A Mi smo njega na ovome svijetu odabrali, i na onome će biti među dobrima.
131_00	Kada mu je Gospodar njegov rekao: "Budi poslušan!" – on je odgovorio: "Ja sam poslušan Gospodaru svjetova!"
132_00	I Ibrahim ostavi u amanet sinovima svojim a i Jakub: "Sinovi moji, Allah vam je odabrao pravu vjeru, i nipošto ne umirite drugačije nego kao muslimani!"
133_00	Vi niste bili prisutni kada je Jakubu smrtni čas došao i kada je sinove svoje upitao: "Kome ćete se, poslije mene, klanjati?" –
133_01	"Klanjaćemo se" – odgovorili su – "Bogu tvome, Bogu tvojih predaka Ibrahima i Ismaila i Ishaka, Bogu jednome, i mi se Njemu pokoravamo!"
134_00	Taj narod je bio i nestao; njega čeka ono što je zaslužio, i vas će čekati ono što ćete zaslužiti, i vi nećete biti pitani za ono što su oni radili.
135_00	Oni govore: "Budite jevreji, odnosno kršćani, i bićete na pravome putu!" Ti reci: "Ne, mi smo vjere Ibrahimove, koji je ispravno vjerovao; on nije nikoga Allahu ravnim smatrao."
136_00	Recite: "Mi vjerujemo u Allaha i u ono što se objavljuje nama, i u ono što je objavljeno Ibrahimu, i Ismailu, i Ishaku, i Jakubu, i unucima, i u
136_01	ono što je dato Musau i Isau, i u ono što je dato vjerovjesnicima od Gospodara njihova; mi ne pravimo nikakve razlike među njima, i mi se samo Njemu pokoravamo."
137_00	Pa, ako budu vjerovali u ono u što vi vjerujete, na Pravome su putu; a ako glave okrenu, oni su onda samo inadžije i Allah će te sigurno od njih zaštititi, jer On sve čuje i sve zna.
138_00	"Allah je nas uputio, a zar ima ljepše upute od Allahove? Mi se samo Njemu klanjamo."
139_00	Reci: "Zar se s nama o Allahu raspravljate, kad je On i naš i vaš Gospodar? Nama – naša djela, a vama – vaša djela! A samo Mu mi iskreno ispovijedamo vjeru."
140_00	Kako govorite: "I Ibrahim, i Ismail, i Ishak, i Jakub, i unuci su bili jevreji, odnosno kršćani?" Reci: "Znate li bolje vi ili Allah?
140_01	Zar je iko gori od onoga koji skriva istinu znajući da je od Allaha? – A Allah motri na ono što radite."
141_00	Taj narod je bio i nestao; njega čeka ono što je zaslužio, i vas će čekati ono što ćete zaslužiti, i vi nećete biti pitani za ono što su oni radili.
142_00	Neki ljudi kratke pameti reći će: "Šta ih je odvratilo od kible njihove prema kojoj su se
142_01	okretali?" Reci: "Allahov je i istok i zapad; On ukazuje na Pravi put onome kome On hoće."
143_00	I tako smo od vas stvorili pravednu zajednicu da budete svjedoci protiv ostalih ljudi, i da Poslanik bude protiv vas svjedok.
143_01	I Mi smo promijenili kiblu prema kojoj si se prije okretao samo zato da bismo ukazali na one koji će slijediti Poslanika i na one koji će se stopama svojim vratiti – nekima je to bilo doista teško, ali ne i onima kojima je Allah ukazao na Pravi put.
143_02	Allah neće dopustiti da propadnu molitve vaše. – A Allah je prema ljudima zaista vrlo blag i milostiv.
144_00	Vidimo Mi kako sa žudnjom bacaš pogled prema nebu, i Mi ćemo sigurno učiniti da se okrećeš prema strani koju ti želiš: okreni zato lice svoje prema Časnome hramu!
144_01	I ma gdje bili, okrenite lica svoja na tu stranu.
144_02	Oni kojima je data Knjiga sigurno znaju da je to istina od Gospodara njihova – a Allah motri na ono što oni rade.
145_00	I kada bi ti onima kojima je data Knjiga sve dokaze donio, oni opet ne bi prihvatili tvoju kiblu, a ni ti nećeš prihvatiti njihovu kiblu, niti će iko od njih prihvatiti ičiju kiblu.
145_01	A ako bi se ti za njihovim željama poveo, kada ti je već došla Objava, tada bi ti sigurno nepravedan bio.
146_00	Oni kojima smo dali Knjigu znaju Poslanika kao što sinove svoje znaju, ali neki od njih doista svjesno istinu prikrivaju.
147_00	Istina od Gospodara tvoga dolazi, zato ne budi nikako od onih koji sumnjaju!
148_00	Svako se okreće prema svojoj kibli, a vi se potrudite da druge, čineći dobra djela, pretečete! Ma gdje bili, Allah će vas sve sabrati – Allah, zaista, sve može.
149_00	I iz svakog mjesta u kome budeš, ti lice svoje Časnom hramu okreni, istina doista od Gospodara tvoga dolazi – Allah motri na ono što radite.
150_00	I iz svakoga mjesta u koje dođeš, ti lice svoje Svetom hramu okreni, i gdje god se nalazili, vi lica
150_01	svoja prema toj strani okrenite, da vam ljudi ne bi imali šta prigovoriti, osim inadžija između njih – njih se
150_02	ne bojte, Mene se bojte! – da bih blagodat Svoju prema vama upotpunio i da biste na Pravome putu bili.
151_00	Mi smo vam jednog od vas kao poslanika poslali, da vam riječi Naše kazuje i da
151_01	vas očisti i da vas Knjizi i mudrosti pouči i da vas ono što niste znali nauči.
152_00	Sjećajte se vi Mene, i Ja ću se vas sjetiti, i zahvaljujte Mi, i na blagodatima Mojim nemojte neblagodarni biti!
153_00	O vjernici, tražite sebi pomoći u strpljivosti i obavljanju molitve! Allah je doista na strani strpljivih.
