001_00	Hā Mīm.
037_00	staza nebeskih, ne bih li se popeo do Musaova Boga, a ja smatram da je on, zaista, lažac." I eto tako su
037_01	se faraonu njegova ružna djela učinila lijepim i on je bio odvraćen od Pravog puta, a lukavstvo faraonovo se završilo na njegovu štetu.
038_00	I onda onaj vjernik reče: "O narode moj, ugledajte se u mene, ja ću vam na Pravi put ukazati!
039_00	O narode moj, život na ovome svijetu samo je prolazno uživanje, a onaj svijet je, zaista, Kuća vječna.
040_00	Ko učini zlo, biće prema njemu kažnjen, a ko učini dobro – bio muškarac ili žena,
040_01	a vjernik je – u Džennet će; u njemu će imati u obilju svega, bez računa.
041_00	O narode moj, šta je ovo, ja vas pozivam da vas spasim, a vi mene pozivate u vatru:
042_00	pozivate me da ne vjerujem u Allaha i da prihvatim Njemu ravnim onoga o kome baš ništa ne znam, a ja vas pozivam Silnome, Onome koji mnogo prašta.
043_00	Nema nimalo sumnje u to da se oni kojima me pozivate neće nikome ni na ovome ni na onome svijetu odazvati i da ćemo se Allahu vratiti i da će mnogobošci stanovnici u ognju biti.
044_00	Tada ćete se, sigurno, mojih riječi sjetiti! A ja Allahu prepuštam svoj slučaj; Allah, uistinu, robove Svoje vidi."
045_00	I Allah ga je sačuvao nevolje koju su mu oni snovali, a faraonove ljude zla kob zadesi.
046_00	Oni će se ujutro i navečer u vatri pržiti, a kada nastupi Čas: "Uvedite faraonove ljude u patnju najtežu!"
047_00	I kada se u vatri budu prepirali, pa oni koji su bili potlačeni reknu glavešinama svojim: "Mi smo se za vama povodili, možete li nas makar malo vatre osloboditi?",
048_00	onda će glavešine reći: "Evo nas, svi smo u njoj, jer Allah je presudio robovima Svojim."
049_00	I oni koji će u vatri biti govoriće stražarima džehennemskim: "Zamolite Gospodara svoga da nam bar jedan dan patnju ublaži!"
050_00	"A zar vam poslanici vaši nisu jasne dokaze donosili?" – upitaće oni. – "Jesu!" – odgovoriće. – "Molite onda vi!" – reći će oni. Ali će molba onih koji nisu vjerovali uzaludna biti.
051_00	Mi ćemo, doista, pomoći poslanike Naše i vjernike u životu na ovome svijetu, a i na Dan kad se dignu svjedoci,
052_00	na Dan kada krivcima pravdanja njihova neće od koristi biti; njih će prokletstvo i najgore prebivalište čekati.
053_00	Mi smo Musau uputstvo dali i sinovima Israilovim u nasljedstvo Knjigu ostavili
054_00	da bude putokaz i opomena onima koji pameti budu imali.
055_00	Zato ti budi strpljiv – Allahovo obećanje je istina – i moli da ti budu oprošteni tvoji grijesi, i Gospodara svoga krajem i početkom dana veličaj i hvali!
056_00	Oni koji o Allahovim znamenjima raspravljaju, iako im nikakav dokaz nije došao, u srcima njihovim je samo oholost koja
056_01	ih neće dovesti do cilja željenog, zato moli od Allaha zaštitu, jer On, uistinu, sve čuje i sve vidi.
057_00	Stvaranje nebesa i Zemlje je, sigurno, veće nego stvaranje roda ljudskog, ali većina ljudi ne zna.
058_00	Nisu isto slijepac i onaj koji vidi, nisu isto vjernici koji dobra djela čine i zlotvori. – Kako vas malo prima pouku!
059_00	Doći će Čas oživljenja, u to nema nimalo sumnje, ali većina ljudi neće da vjeruje.
060_00	Gospodar vaš je rekao: "Pozovite Me i zamolite, Ja ću vam se odazvati! Oni koji iz oholosti neće da Mi se klanjaju – ući će, sigurno, u Džehennem poniženi."
061_00	Allah vam je dao noć da se u njoj odmarate, a dan da vidite. Allah je neizmjerno dobar prema ljudima, ali većina ljudi neće da zahvaljuje.
062_00	To vam je, eto, Allah, Gospodar vaš, Stvoritelj svega, drugog boga osim Njega nema, pa kuda se onda odmećete?
063_00	Tako su se odmetali i oni koji su Allahove dokaze poricali.
064_00	Allah vam je učinio Zemlju prebivalištem, a nebo zdanjem, i On vam obličje daje i likove vaše čini lijepim, i jelima vas opskrbljuje ukusnim.
064_01	To je Allah, Gospodar vaš, i neka je uzvišen Allah, Gospodar svjetova!
065_00	On je Živi, nema boga osim Njega, zato se samo Njemu klanjajte, iskreno Mu ispovijedajući vjeru: "Neka je hvaljen Allah, Gospodar svjetova!"
066_00	Reci: "Meni je zabranjeno, o tome su mi došli jasni dokazi od Gospodara moga, da se klanjam onima kojima se, pored Allaha, klanjate, a naređeno mi je da se pokoravam Gospodaru svjetova.
067_00	On vas stvara od zemlje, zatim od kapi sjemena, zatim od ugruška, zatim čini da se kao dojenčad rađate, i da do muževnog
067_01	doba stignete, i da starci postanete – a neki od vas umiru prije – i da do suđenoga časa poživite kako biste mogli shvatiti.
068_00	Život i smrt Njegovo su djelo! A kad nešto odluči, samo za to rekne: 'Budi!' – i ono bude."
069_00	Zar ne vidiš kako se okreću oni koji o Allahovim dokazima raspravljaju?
070_00	Oni koji poriču Knjigu i ono što smo slali po poslanicima – saznaće posljedice toga
071_00	kada sa okovima o vratu i sindžirima budu vučeni
072_00	po ključaloj vodi, a zatim u vatri prženi,
073_00	i potom upitani: "Gdje su oni kojima ste se klanjali,
074_00	a ne Allahu?" – "Izgubili su nam se iz vida" – odgovoriće – "ta mi se prije, ustvari, nismo nikome ni klanjali." – Eto tako Allah ostavlja u zabludi nevjernike.
075_00	To vam je zato što ste bez ikakva osnova na Zemlji bahati bili i što ste likovali.
076_00	Ulazite kroz kapije Džehennema, u njemu ćete vječno ostati – a ružno je prebivalište oholih!
077_00	Zato ti budi strpljiv, Allahova prijetnja će se, sigurno, obistiniti! Bilo da ti pokažemo dio onoga čime im Mi prijetimo, bilo da ti prije život oduzmemo, Nama će se oni vratiti.
078_00	I prije tebe smo poslanike slali, o nekima od njih smo ti kazivali, a o nekima ti nismo kazivali.
078_01	I nijedan poslanik nije mogao učiniti nikakvo čudo bez Allahove volje. A kad se Allahova prijetnja ispuni, biće presuđeno po pravdi i tada će nevaljali nastradati.
079_00	Allah je za vas stvorio životinje, da na nekima jašete, a neke da jedete,
080_00	Vi od njih koristi imate i vi na njima za vas važne potrebe ostvarujete – i na njima i na lađama vi se vozite.
081_00	On vam pokazuje dokaze moći Svoje, pa koje od Allahovih dokaza ne priznajete?
082_00	Zašto oni ne putuju po svijetu, pa da vide kako su završili oni prije njih?
082_01	Oni su bili od njih mnogobrojniji i jači i više spomenika su na Zemlji ostavili, i ništa im nije koristilo ono što su stekli.
083_00	Kada su im poslanici njihovi jasne dokaze donosili, oni su se znanjem koje su imali dičili, i snašlo ih je ono čemu su se stalno rugali.
084_00	A kad bi kaznu Našu doživjeli, onda bi govorili: "Mi vjerujemo u Allaha, u Njega jedinog, a odričemo se onih koje smo Njemu ravnim smatrali!"
085_00	Ali im vjerovanje njihovo, kada bi kaznu Našu doživjeli, ne bi nimalo bilo od koristi, prema Allahovom zakonu koji je vrijedio za sve robove Njegove koji su bili i nestali – i tada bi nevjernici stradali.
