001_00	Elif Lām Mīm.
021_00	i jedan od dokaza Njegovih je to što za vas, od vrste vaše, stvara žene da se uz
021_01	njih smirite, i što između vas uspostavlja ljubav i samilost; to su, zaista, pouke za ljude koji razmišljaju;
022_00	i jedan od dokaza Njegovih je stvaranje nebesa i Zemlje, i raznovrsnost jezika vaših i boja vaših; to su, zaista, pouke za one koji znaju;
023_00	i jedan od dokaza Njegovih je san vaš noću i po danu, i nastojanje vaše da steknete nešto iz obilja Njegova; to su, zaista, pouke za ljude koji čuju;
024_00	i jedan od dokaza Njegovih je to što vam pokazuje munju, da se pobojite i ponadate, i to što
024_01	spušta s neba kišu i oživljava njome zemlju poslije mrtvila njezina; to su, zaista, pouke za ljude koji razumiju.
025_00	I jedan od dokaza Njegovih je i to što nebo i Zemlja postoje voljom Njegovom. Zatim to što ćete, čim vas On samo jednom iz zemlje pozove, brzo ustati.
026_00	Njemu pripada sve što je na nebesima i na Zemlji, sve je Njemu poslušno.
027_00	On je Taj koji iz ničega stvara i On će to ponovo učiniti, to je Njemu lahko; On je uzvišen i na nebesima i na Zemlji; On je silan i mudar.
028_00	On vam kao primjer navodi vas same: da li su oni koji su u posjedu vašem izjednačeni s
028_01	vama u onome što vam Mi dajemo, pa ste u tome isti, i da li ih se bojite
028_02	kao što se vi jedni drugih bojite? – Eto, tako Mi, podrobno, izlažemo dokaze Naše ljudima koji razmišljaju.
029_00	Ali, nevjernici lahkomisleno slijede strasti svoje – a ko će na Pravi put uputiti onoga koga je Allah u zabludi ostavio? – njima neće moći niko u pomoć priteći.
030_00	Ti upravi lice svoje vjeri, kao pravi vjernik, vjeri, djelu Allahovu, prema kojoj je On ljude načinio –
030_01	ne treba se mijenjati Allahova vjera, jer to je prava vjera, ali većina ljudi to ne zna –
031_00	obraćajući Mu se predano! Bojte se Njega i obavljajte molitvu, i ne budite od onih koji Mu druge ravnim smatraju,
032_00	od onih koji su vjeru svoju razbili i u stranke se podijelili; svaka stranka zadovoljna onim što ispovijeda.
033_00	A kad ljude nevolja snađe, oni se Gospodaru svome pokajnički obraćaju, a poslije, kad im On dâ da okuse milost Njegovu, odjednom neki od njih Gospodaru svome druge ravnim smatraju
034_00	da bi bili nezahvalni na onome što im Mi dajemo. "Pa uživajte, a saznaćete!"
035_00	Zar smo im Mi poslali kakav dokaz koji govori u prilog onih koje Njemu ravnim smatraju?
036_00	Kad dopustimo ljudima da se blagodatima naslađuju, oni im se obraduju, a kad ih pogodi nevolja, zbog onoga što su ruke njihove činile, odjednom očajavaju.
037_00	Zar oni ne znaju da Allah u obilju daje hranu onome kome On hoće, i da uskraćuje? To su, uistinu, dokazi za ljude koji vjeruju.
038_00	Zato podaj bližnjemu pravo njegovo, i siromahu i putniku! To je bolje za one koji nastoje da se Allahu umile; ti će postići šta žele.
039_00	A novac koji dajete da se uveća novcem drugih ljudi neće se kod Allaha uvećati, a
039_01	za milostinju koju udijelite da biste se Allahu umilili – takvi će dobra djela svoja umnogostručiti.
040_00	Allah vas stvara, i opskrbljuje; On će vam život oduzeti i na kraju vas oživiti.
040_01	Postoji li ijedno božanstvo vaše koje bilo šta od toga čini? Hvaljen neka je On i vrlo visoko iznad onih koje Njemu smatraju ravnim!
041_00	Zbog onoga što ljudi rade, pojavio se metež i na kopnu i na moru, da im On dâ da iskuse kaznu zbog onoga što rade, ne bi li se popravili.
042_00	Reci: "Putujte po svijetu pa pogledajte kako su onī prije završili; većinom su oni mnogobošci bili."
043_00	Zato ti upravi lice svoje prema pravoj vjeri, prije nego što Allahovom voljom nastupi Dan koji niko neće moći odbiti. Toga dana On će ih razdvojiti:
044_00	oni koji nisu vjerovali – na svoju štetu nisu vjerovali, a oni koji su dobra djela činili – sebi su Džennet pripremili,
045_00	da On iz obilja Svoga nagradi one koji su vjerovali i dobra djela činili; a On, zaista, ne voli nevjernike.
046_00	Jedan od dokaza Njegovih je to što On šalje vjetrove kao nosioce radosnih vijesti da vam dâ da milost Njegovu osjetite i da lađe voljom Njegovom plove i da iz obilja Njegova stječete, i da biste zahvalni bili.
047_00	I prije tebe smo poslanike narodima njihovim slali i oni su im prave dokaze donosili,
047_01	pa smo one koji su griješili kažnjavali – a dužnost Nam je bila vjernike pomoći.
048_00	Allah je Taj koji vjetrove šalje, pa oni oblake tjeraju i On ih po nebu, kako On hoće, rasprostire i na komade dijeli,
048_01	pa ti vidiš kišu kako iz njih pada, i kad je On na robove Svoje na koje želi prolije, oni se odjednom radošću ispune,
049_00	iako su bili očajni prije nego što se spustila na njih.
050_00	Zato pogledaj tragove Allahove milosti – kako On oživi zemlju nakon mrtvila njezina! On će, uistinu, i mrtve oživiti, On sve može.
051_00	A da pošaljemo vjetar i da oni vide da je sve požutjelo, oni bi, i poslije toga, blagodati poricali.
052_00	Ti ne možeš mrtve dozvati, ni gluhe, kad se od tebe okrenu, dovikati,
053_00	niti možeš slijepe od zablude njihove odvratiti; možeš jedino dozvati one koji u ajete Naše vjeruju, jedino oni će se odazvati.
054_00	Allah je Taj koji vas nejakim stvara, i onda vam, poslije nejakosti, snagu daje, a
054_01	poslije snage iznemoglost i sijede vlasi; On stvara što hoće; On sve zna i sve može.
055_00	A na Dan kad nastupi Čas oživljenja, zločinci će se zaklinjati da su u grobovima samo jedan čas ostali; a i prije su istinu izbjegavali.
056_00	A reći će oni kojima je dato znanje i vjerovanje: "Vi ste ostali, prema Allahovoj
056_01	odredbi, sve do Dana oživljenja – a ovo je Dan oživljenja, samo što vi niste znali."
057_00	Toga Dana neće ničem poslužiti pravdanja onima koji su se prema sebi ogriješili i neće se od njih tražiti da se Allahu umile.
058_00	U ovom Kur'anu Mi navodimo ljudima svakovrsne primjere. A kad bi im ti ne znam kakvo čudo donio, opet bi rekli oni koji neće da vjeruju: "Vi samo iznosite laži!"
059_00	Eto tako Allah pečati srca onih koji neće da znaju.
060_00	A ti budi strpljiv! Allahovo obećanje je, zaista, istina i neka te nikako ne obmanu oni koji čvrsto ne vjeruju.
