001_00	Alif Lam Ra. Hizo ni Aya za Kitabu chenye Hikima.
015_01	Mimi sifuati ila ninayo funuliwa kwa Wahyi. Hakika mimi naogopa, nikimuasi Mola wangu Mlezi, adhabu ya Siku iliyo kuu.
016_00	Sema: Mwenyezi Mungu angeli taka nisingeli kusomeeni, wala nisingeli kujuvyeni. Kwani nalikwisha kaa nanyi umri mzima kabla yake! Basi, je! Hamzingatii?
017_00	Basi ni nani aliye dhaalimu zaidi kuliko yule anaye mzulia uwongo Mwenyezi Mungu na akazikanusha Ishara zake? Hakika hawafanikiwi wakosefu.
018_00	Nao, badala ya Mwenyezi Mungu, wanaabudu wasio wadhuru wala kuwanufaisha, na wanasema: Hawa ndio waombezi wetu kwa Mwenyezi Mungu! Sema: Je!
018_01	Mnamwambia Mwenyezi Mungu asiyo yajua ya katika mbingu wala katika ardhi? Subhanahu wa Taa'la! Ametakasika na ametukuka na hao wanao mshirikisha naye.
019_00	Wala watu hawakuwa ila Umma mmoja tu. Kisha wakakhitalifiana. Na lau kuwa si neno lililo kwisha tangulia kutokana na Mola wako Mlezi, hapana shaka hukumu ingeli kwisha katwa baina yao katika hayo wanayo khitalifiana.
020_00	Na wanasema: Kwa nini hakuteremshiwa Ishara kutoka kwa Mola wake Mlezi? Sema: Mambo ya ghaibu ni ya Mwenyezi Mungu. Basi nyinyi ngojeni, na mimi ni pamoja nanyi katika wanao ngojea.
021_00	Na tunapo waonjesha watu rehema baada ya shida waliyo ipata, utawaona wana vitimbi kuzipangia Ishara zetu.
021_01	Sema: Mwenyezi Mungu ni Mwepesi zaidi wa kupanga. Hakika wajumbe wetu wanayaandika mnayo yapanga.
022_00	Yeye ndiye anaye kuendesheni bara na baharini. Hata mnapo kuwa majahazini na yakawa yanakwenda nao kwa upepo
022_01	mzuri wakaufurahia, upepo mkali ukawazukia, na yakawajia mawimbi kutoka kila upande, na wakaona wamesha zongwa, basi hapo
022_02	humwomba Mwenyezi Mungu kwa kumsafishia niya: Ukituokoa na haya bila ya shaka tutakuwa miongoni mwa wanao shukuru.
023_00	Lakini akisha waokoa, mara wanafanya jeuri tena katika nchi bila ya haki. Enyi watu!
023_01	Jeuri zenu zitakudhuruni wenyewe. Hii ni starehe ya maisha ya dunia tu. Kisha marejeo yenu ni kwetu, na hapo tutakuambieni mliyo kuwa mkiyatenda.
024_00	Hakika mfano wa maisha ya dunia ni kama maji tuliyo yateremsha kutoka mbinguni, kisha yakachanganyika na mimea ya ardhi wanayo ila watu na wanyama.
024_01	Mpaka ardhi ilipo kamilika uzuri wake, na ikapambika, na wenyewe wakadhani wamesha iweza, iliifikia amri yetu usiku au mchana, tukaifanya kama iliyo fyekwa - kama kwamba haikuwapo jana.
024_02	Namna hivi tunazipambanua Ishara zetu kwa watu wanao fikiri.
025_00	Na Mwenyezi Mungu anaita kwendea Nyumba ya Amani, na anamwongoa amtakaye kwenye Njia Iliyo Nyooka.
026_00	Kwa wafanyao wema ni wema na zaidi. Wala vumbi halitawafunika nyuso zao, wala madhila. Hao ndio watu wa Peponi. Humo watadumu.
027_00	Na wale walio chuma maovu, malipo ya uovu ni mfano wake vile vile, na yatawafika madhila. Hawatakuwa na wa kuwalinda na Mwenyezi Mungu.
027_01	Nyuso zao kama kwamba zimefunikwa na vipande vya usiku wa giza. Hao ndio watu wa Motoni, wao humo watadumu.
028_00	Na siku tutakapo wakusanya wote, kisha tutawaambia walio shirikisha: Simameni mahali penu nyinyi na wale mlio wafanya washirika.
028_01	Kisha tutawatenga baina yao. Na hao walio washirikisha watasema: Nyinyi hamkuwa mkituabudu sisi.
029_00	Mwenyezi Mungu anatosha kuwa ni shahidi baina yetu na nyinyi. Hakika sisi tulikuwa hatuna khabari ya ibada yenu.
030_00	Huko kila mtu atayajua aliyo yatanguliza. Na watarudishwa kwa Mwenyezi Mungu, Mola wao wa Haki, na yote waliyo kuwa wakiyazua yatawapotea.
031_00	Sema: Ni nani anaye kuruzukuni kutoka mbinguni na kwenye ardhi? Au ni nani anaye miliki kusikia na kuona? Na nani amtoaye hai kutoka maiti, na akamtoa maiti kutoka aliye hai?
031_01	Na nani anaye yadabiri mambo yote? Watasema: Allah, Mwenyezi Mungu. Basi sema: Je! Hamchi?
032_00	Basi huyo ndiye Mwenyezi Mungu, Mola Mlezi wenu wa haki. Na kipo kitu gani baada ya haki, isipokuwa upotovu tu? Basi huwaje mkageuzwa?
033_00	Ndio kama hivyo kauli ya Mola wako Mlezi itakavyo wathibitikia wale walio potoka, ya kwamba hawatoamini.
034_00	Sema: Je! Yupo katika miungu yenu ya ushirikina aliye anzisha kuumba viumbe, na kisha akavirejesha? Huwaje, basi, mkadanganywa?
035_00	Sema: Je! Yupo katika miungu yenu ya ushirikina anaye ongoa kwendea Haki? Sema: Mwenyezi Mungu anaongoa kwendea Haki.
035_01	Basi, je, anaye stahiki kufuatwa ni yule Mwenye kuongoa kwendea Haki au asiye ongoa ila aongozwe yeye? Basi nyinyi mna nini? Mnahukumu namna gani?
036_00	Na wengi wao hawafuati ila dhana tu. Na dhana haifai kitu mbele ya haki. Hakika Mwenyezi Mungu anajua yote wanayo yatenda.
037_00	Na haiwezekani Qur'ani hii kuwa imetungwa na haitoki kwa Mwenyezi Mungu. Lakini hii inasadikisha yaliyo tangulia, na ni mfafanuo wa Kitabu kisicho na shaka ndani yake, kutokana na Mola Mlezi wa viumbe vyote.
038_00	Je! Ndiyo wanasema ameizua? Sema: Hebu leteni sura moja mfano wake na muwaite (kukusaidieni) muwawezao, isipo kuwa Mwenyezi Mungu, ikiwa nyinyi mnasema kweli.
039_00	Bali wameyakanusha wasio yaelewa ilimu yake kabla hayajawajia maelezo yake. Kadhaalika walio kabla yao walikanusha vile vile. Basi angalia jinsi ulivyo kuwa mwisho wa madhaalimu hao.
040_00	Na miongoni mwao wapo wanao iamini, na miongoni mwao wapo wasio iamini. Na Mola wako Mlezi anawajua vyema mafisadi.
041_00	Na wakikukanusha wewe, sema: Mimi nina a'mali yangu, na nyinyi mna a'mali yenu. Nyinyi hamna jukumu kwa niyatendayo, wala mimi sina jukumu kwa myatendayo.
042_00	Na wapo miongoni mwao wanao kusikiliza. Je, wewe unaweza kuwafanya viziwi wasikie ijapo kuwa hawafahamu?
043_00	Na wapo miongoni mwao wanao kutazama. Je, wewe utawaongoa vipofu ingawa hawaoni?
044_00	Hakika Mwenyezi Mungu hawadhulumu watu kitu chochote; lakini watu wenyewe wanajidhulumu nafsi zao.
045_00	Na Siku atakapo wakusanya, itakuwa kama kwamba hawakukaa ila saa moja tu ya mchana!
045_01	Watatambuana. Hakika wamekhasirika walio kanusha kukutana na Mwenyezi Mungu, wala hawakuwa wenye kuongoka.
046_00	Na vyovyote vile, tukikuonyesha baadhi ya tunayo waahidi, au tukakufisha kabla yake, marejeo yao ni kwetu. Kisha Mwenyezi Mungu ni Shahidi wa wanayo yafanya.
047_00	Na kila umma una Mtume. Alipo wajia Mtume wao walihukumiwa baina yao kwa uadilifu, wala hawakudhulumiwa.
048_00	Na wanasema: Lini ahadi hii, ikiwa mnasema kweli?
049_00	Sema: Sijimilikii nafsi yangu shari wala kheri ila apendavyo Mwenyezi Mungu.
049_01	Kila umma una muda wao walio wekewa. Ukifika muda wao hawakawii hata saa moja wala hawatangulii.
050_00	Sema: Mwaonaje ikikufikieni hiyo adhabu yake usiku au mchana, sehemu gani ya adhabu wanaihimiza wakosefu?
051_00	Tena je! Ikisha tokea mtaiamini? Je! Ndio sasa tena? Na nyinyi mlikuwa mkiihimiza.
052_00	Kisha walio dhulumu wataambiwa: Onjeni adhabu ya kudumu. Kwani mtalipwa isipo kuwa yale mliyo kuwa mkiyachuma?
053_00	Na wanakuuliza: Je! Ni kweli hayo? Sema: Ehe! Naapa kwa Mola wangu Mlezi! Hakika hayo ni kweli, na wala nyinyi hamshindi!
054_00	Na lau kuwa kila nafsi iliyo dhulumu inamiliki kila kiliomo duniani, bila ya shaka ingeli toa vyote kujikombolea.
054_01	Na watakapo iona adhabu wataficha majuto. Na patahukumiwa baina yao kwa uadilifu, nao hawatadhulumiwa.
055_00	Jueni kuwa hakika vyote viliomo katika mbingu na katika ardhi ni vya Mwenyezi Mungu. Jueni kuwa hakika ahadi ya Mwenyezi Mungu ni ya haki. Lakini wengi wao hawajui.
056_00	Yeye ndiye anaye fufua na anaye fisha. Na kwake mtarejeshwa.
057_00	Enyi watu! Yamekujieni mawaidha kutoka kwa Mola wenu Mlezi, na poza kuponyesha yaliyomo vifuani, na uwongofu, na rehema kwa Waumini.
058_00	Sema: Kwa fadhila ya Mwenyezi Mungu na rehema yake! Basi nawafurahi kwa hayo. Haya ni bora kuliko hayo wanayo yakusanya.
059_00	Sema: Je! Mwaonaje zile riziki alizo kuteremshieni Mwenyezi Mungu, nanyi mkafanya katika hizo nyengine haramu na nyengine halali. Sema: Je! Mwenyezi Mungu amekuruhusuni, au mnamzulia Mwenyezi Mungu tu?
060_00	Na nini dhana ya wanao mzulia Mwenyezi Mungu kwa Siku ya Kiyama? Hakika Mwenyezi Mungu ana fadhila juu ya watu, lakini wengi wao hawashukuru.
061_00	Na huwi katika jambo lolote, wala husomi sehemu yoyote katika Qur'ani, wala hamtendi kitendo chochote ila Sisi huwa ni mashahidi juu yenu mnapo shughulika nayo.
061_01	Na hakifichikani kwa Mola wako Mlezi chenye uzito hata wa chembe katika ardhi na katika mbingu, wala kidogo kuliko hicho wala kikubwa ila kimo katika Kitabu kilicho wazi.
062_00	Jueni kuwa vipenzi vya Mwenyezi Mungu hawatakuwa na khofu wala hawatahuzunika.
063_00	Hao ni ambao wameamini na wakawa wanamcha Mungu.
064_00	Wao wana bishara njema katika maisha ya dunia na katika Akhera. Hapana mabadiliko katika maneno ya Mwenyezi Mungu. Huko ndiko kufuzu kukubwa.
065_00	Wala yasikuhuzunishe maneno yao. Hakika utukufu wote ni wa Mwenyezi Mungu. Yeye ndiye Mwenye kusikia Mwenye kujua.
066_00	Jueni kuwa ni vya Mwenyezi Mungu vyote viliomo mbinguni na ardhinii.
066_01	Na wala hawawafuati hao wanao waomba badala ya Mwenyezi Mungu kuwa ni washirika wake. Wao hawafuati ila dhana tu, na hawasemi ila uwongo.
067_00	Yeye ndiye aliye kujaalieni usiku mpate kutulia humo, na mchana wa kuonea. Hakika katika haya zipo Ishara kwa watu wanao sikia.
068_00	Wamesema: Mwenyezi Mungu ana mwana. Subhanahu, Aliye takasika! Yeye ni Mkwasi, Mwenye Kujitosheleza.
068_01	Vyote viliomo katika mbingu na katika ardhi ni vyake peke yake. Nyinyi hamna uthibitisho wowote wa haya! Mnamzulia Mwenyezi Mungu msiyo yajua?
069_00	Sema: Hao wanao mzulia uwongo Mwenyezi Mungu hawatafanikiwa.
070_00	Hiyo ni starehe ya katika dunia tu, kisha marejeo yao ni kwetu. Tena tutawaonjesha adhabu kali kwa sababu ya kukufuru kwao.
071_00	Wasomee khabari za Nuhu alipo waambia watu wake: Enyi watu wangu! Ikiwa kukaa kwangu nanyi na kukumbusha kwangu kwa Ishara za Mwenyezi Mungu kunakutieni mashaka basi mimi namtegemea Mwenyezi Mungu.
071_01	Nanyi tengezeni mambo yenu pamoja na washirika wenu, na wala mambo yenu yasifichikane kwenu. Kisha nihukumuni, wala msinipe muhula.
072_00	Lakini mkigeuka, basi mimi sikukuombeni ujira. Ujira wangu hauko ila kwa Mwenyezi Mungu. Na nimeamrishwa niwe miongoni mwa Waislamu.
073_00	Wakamkanusha. Basi tukamwokoa, pamoja na walio kuwa naye, katika jahazi.
073_01	Na tukawafanya wao ndio walio bakia, na tukawazamisha walio zikanusha Ishara zetu. Basi angalia vipi ulikuwa mwisho wa walio onywa.
074_00	Kisha baada yake tukawatuma Mitume kwa watu wao. Nao wakawajia kwa Ishara zilizo wazi.
074_01	Lakini hawakuwa wenye kuyaamini waliyo yakanusha kabla yake. Ndio kama hivyo tunapiga muhuri juu ya nyoyo za warukao mipaka.
075_00	Kisha baada yao tukamtuma Musa na Haruni kwa Firauni na waheshimiwa wake, kwa Ishara zetu. Wakajivuna, na wakawa watu wakosefu.
076_00	Basi ilipo wajia Haki kutoka kwetu walisema: Hakika huu ni uchawi dhaahiri.
077_00	Akasema Musa: Mnasema hivi juu ya Haki ilipo kujieni? Huu ni uchawi? Na wachawi hawafanikiwi!
078_00	Wakasema: Je! Umetujia ili utuachishe tuliyo wakuta nayo baba zetu, na mpate nyinyi wawili ukubwa katika nchi? Wala sisi hatukuaminini nyinyi.
079_00	Na Firauni akasema: Nileteeni kila mchawi mjuzi!
080_00	Basi walipo kuja wachawi, Musa aliwaambia: Tupeni mnavyo tupa!
081_00	Walipo tupa, Musa alisema: Mliyo leta ni uchawi. Hakika Mwenyezi Mungu haitengenezi kazi ya waharibifu.
082_00	Na Mwenyezi Mungu huhakikisha Haki kwa maneno yake, hata wanga chukia wakosefu
083_00	Basi hawakumuamini Musa isipo kuwa baadhi ya vijana vya kaumu yake, kwa kumwogopa Firauni na wakuu wao wasiwatese.
083_01	Kwani hakika Firauni alikuwa jeuri katika nchi. Na kwa yakini alikuwa miongoni mwa walio pita kiasi.
084_00	Na Musa alisema: Enyi watu wangu! Ikiwa nyinyi mmemuamini Mwenyezi Mungu, basi mtegemeeni Yeye, ikiwa nyinyi ni Waislamu.
085_00	Wakasema: Tunamtegemea Mwenyezi Mungu. Ewe Mola wetu Mlezi! Usitufanye wenye kutiwa misukosuko na hao watu madhaalimu.
086_00	Na utuokoe kwa rehema yako na watu makafiri.
087_00	Na tukampelekea Musa na ndugu yake wahyi huu: Watengenezeeni majumba watu wenu katika Misri na zifanyeni nyumba zenu ndio mwahali mwa ibada, na mshike Sala, na wabashirie Waumini.
088_00	Na Musa akasema: Mola wetu Mlezi! Hakika wewe umempa Firauni na wakuu wake mapambo na mali katika maisha ya dunia.
088_01	Hivyo wanapoteza watu na Njia yako. Mola wetu Mlezi! Yafutilie mbali mali yao na zifunge nyoyo zao, wasiamini mpaka waione adhabu chungu.
089_00	Mwenyezi Mungu akasema: Maombi yenu yamekubaliwa. Basi simameni sawa sawa, wala msifuate njia za wale wasio jua.
090_00	Tukawavusha bahari Wana wa Israili, na Firauni na askari wake wakawafuatia kwa dhulma na uadui.
090_01	Hata Firauni alipo kuwa anataka kuzama akasema: Naamini kuwa hapana mungu ila yule waliye muamini Wana wa Israili, na mimi ni miongoni mwa walio nyenyekea!
091_00	Ala! Sasa? Na hali uliasi kabla yake na ukawa miongoni mwa mafisadi!
092_00	Leo, basi, tutakuokoa kwa mwili wako, ili uwe Ishara kwa ajili ya walio nyuma yako. Na hakika watu wengi wameghafilika na Ishara zetu.
093_00	Na hakika tuliwaweka Wana wa Is raili kikao chema, na tukawaruzuku vitu vizuri.
093_01	Nao hawakukhitalifiana mpaka ilipo wafikia ilimu. Hakika Mola wako Mlezi atahukumu baina yao Siku ya Kiyama katika yale waliyo kuwa wakikhitalifiana.
094_00	Na ikiwa unayo shaka katika tuliyo kuteremshia, basi waulize wasomao Kitabu kabla yako.
094_01	Kwa yakini imekwisha kujia Haki kutoka kwa Mola wako Mlezi. Basi usiwe miongoni mwa wenye shaka.
095_00	Na kabisa usiwe miongoni mwa wale wanao zikanusha Ishara za Mwenyezi Mungu, usije kuwa katika walio khasiri.
096_00	Hakika wale ambao neno la Mola wako Mlezi limekwisha thibitika juu yao, hawataamini,
097_00	Ijapo kuwa itawajia kila Ishara, mpaka waione adhabu iliyo chungu.
098_00	Kwa nini usiwepo mji mmoja ukaamini na Imani yake ikawafaa - isipo kuwa kaumu Yunus? Waliamini na Sisi tukawaondolea adhabu ya hizaya katika maisha ya dunia, na tukawastarehesha kwa muda.
099_00	Angeli taka Mola wako Mlezi wangeli amini wote waliomo katika ardhi. Je, wewe utawalazimisha watu kwa nguvu mpaka wawe Waumini?
100_00	Na hawezi mtu kuamini ila kwa idhini ya Mwenyezi Mungu. Naye hujaalia adhabu iwafike wasio tumia akili zao.
101_00	Sema: Angalieni yaliomo mbinguni na kwenye ardhi! Na Ishara zote na maonyo hayawafai kitu watu wasio amini.
102_00	Basi, je! Wanangojea jingine ila kama yaliyo tokea siku za watu walio pita kabla yao? Ngojeni! Nami ni pamoja nanyi katika wanao ngoja.
103_00	Kisha Sisi huwaokoa Mitume wetu na walio amini. Ndio kama hivyo, inatustahiki kuwaokoa Waumini.
104_00	Sema: Enyi watu! Ikiwa nyinyi mnayo shaka katika Dini yangu, basi mimi siwaabudu mnao waabudu nyinyi badala ya Mwenyezi Mungu.
104_01	Lakini mimi namuabudu Mwenyezi Mungu anaye kufisheni. Na nimeamrishwa niwe miongoni mwa Waumini.
105_00	Na uelekeze uso wako kwenye Dini ya Kweli, wala usiwe katika washirikina.
106_00	Na wala usiwaombe wasio kuwa Mwenyezi Mungu ambao hawakufai kitu wala hawakudhuru. Ukifanya hivyo basi utakuwa miongoni mwa walio dhulumu.
107_00	Na Mwenyezi Mungu akikugusisha madhara, basi hapana wa kukuondolea ila Yeye.
107_01	Na akikutakia kheri, basi hapana awezaye kurudisha fadhila yake. Huifikisha kwa amtakaye katika waja wake, na Yeye ni Mwenye kusamehe, Mwenye kurehemu.
108_00	Sema: Enyi watu! Haki imekwisha kukujieni kutoka kwa Mola wenu Mlezi.
108_01	Basi anaye ongoka anaongoka kwa faida ya nafsi yake, na anaye potea anapotea kwa khasara ya nafsi yake. Na mimi si mwakilishi juu yenu.
109_00	Na wewe fuata yanayo funuliwa kwako kwa wahyi. Na vumilia mpaka Mwenyezi Mungu ahukumu, na Yeye ndiye mbora wa mahakimu.
