001_00	Enyi watu! Mcheni Mola wenu Mlezi. Hakika tetemeko la Saa (ya Kiyama) ni jambo kuu.
026_00	Na pale tulipomweka Ibrahim pahala penye ile Nyumba tukamwambia: Usinishirikishe na chochote; na isafishe Nyumba yangu kwa ajili ya wanao izunguka kwa kut'ufu, na wanao kaa hapo kwa ibada, na wanao rukuu, na wanao sujudu.
027_00	Na watangazie watu Hija; watakujia kwa miguu na juu ya kila ngamia aliye konda, wakija kutoka katika kila njia ya mbali.
028_00	Ili washuhudie manufaa yao na walitaje jina la Mwenyezi Mungu katika siku maalumu juu ya nyama hoa alio waruzuku.
028_01	Basi kuleni katika hao na mlisheni mwenye shida aliye fakiri.
029_00	Kisha wajisafishe taka zao, na waondoe nadhiri zao, na waizunguke Nyumba ya Kale.
030_00	Ndio hivyo iwe! Na anaye vitukuza vitakatifu vya Mwenyezi Mungu basi hayo ndiyo kheri yake mbele ya Mola wake Mlezi.
030_01	Na mmehalalishiwa nyama hoa ila wale mlio somewa. Basi jiepusheni na uchafu wa masanamu, na jiepusheni na usemi wa uwongo.
031_00	Kwa kumtakasikia Imani Mwenyezi Mungu, bila ya kumshirikisha. Na anaye mshirikisha Mwenyezi Mungu ni kama kwamba ameporomoka kutoka mbinguni, kisha ndege wakamnyakua au upepo ukamtupa pahala mbali.
032_00	Ndio hivyo! Na anayetukuza ibada za Mwenyezi Mungu, basi hayo ni katika unyenyekevu wa nyoyo.
033_00	Katika hao nyinyi mna manufaa mpaka muda maalumu. Kisha pahala pa kuchinjiwa kwake ni kwenye Nyumba ya Kale.
034_00	Na kila umma tumewafanyia mahala pa kuchinjia mihanga ya ibada ili walitaje jina la Mwenyezi Mungu juu ya vile walivyo ruzukiwa katika wanyama wa mifugo.
034_01	Basi Mungu wenu ni Mungu Mmoja tu. Jisalimishieni kwake tu, na wabashirie wanyenyekevu,
035_00	Ambao, anapo tajwa Mwenyezi Mungu nyoyo zao hutetemeka, na wanao vumilia kwa yanao wasibu, na wanao shika Sala, na wanatoa katika tulivyo waruzuku.
036_00	Na ngamia wa sadaka tumekufanyieni kuwa ni kudhihirisha matukuzo kwa Mwenyezi Mungu; kwa hao mna kheri nyingi. Basi litajeni jina la Mwenyezi Mungu juu yao wanapo simama kwa safu.
036_01	Na waangukapo ubavu kuleni katika hao na walisheni walio kinai na wanao lazimika kuomba. Ndio kama hivi tumewafanya hawa wanyama dhalili kwenu ili mpate kushukuru.
037_00	Nyama zao hazimfikii Mwenyezi Mungu wala damu zao, lakini unamfikia uchamngu wenu.
037_01	Namna hivi tumewadhalilisha kwenu ili mumtukuze Mwenyezi Mungu kwa alivyo kuongoeni. Na wabashirie wafanyao mema.
038_00	Hakika Mwenyezi Mungu huwakinga walio amini. Hakika Mwenyezi Mungu hampendi kila khaini mwingi wa kukanya mema.
039_00	Wameruhusiwa kupigana wale wanao pigwa vita kwa sababu wamedhulumiwa - na kwa yakini Mwenyezi Mungu ni Muweza wa kuwasaidia -
040_00	Wale ambao wametolewa majumbani mwao pasipo haki, ila kwa kuwa wanasema: Mola wetu Mlezi ni Mwenyezi Mungu!
040_01	Na lau kuwa Mwenyezi Mungu hawakingi watu kwa watu, basi hapana shaka zingeli vunjwa nymba za wat'awa, na makanisa, na masinagogi, na misikiti, ambamo ndani yake jina la Mwenyezi Mungu linatajwa kwa wingi.
040_02	Na bila ya shaka Mwenyezi Mungu humsaidia yule anaye msaidia Yeye. Hakika Mwenyezi Mungu ni Mwenye nguvu Mtukufu.
041_00	Wale ambao tukiwapa madaraka katika nchi husimamisha Sala, na wakatoa Zaka, na wakaamrisha mema, na wakakataza mabaya. Na kwa Mwenyezi Mungu ndio marejeo ya mambo yote.
042_00	Na wakikukanusha basi walikwisha kanusha kabla yao watu wa Nuhu, na kina A'ad na kina Thamud,
043_00	Na watu wa Ibrahim na watu wa Lut'i
044_00	Na watu wa Madiana. Na Musa pia alikanushwa. Nikawapa muda makafiri, kisha nikawatia mkononi. Basi ilikuwaje adhabu yangu!
045_00	Miji mingapi tuliiangamiza iliyo kuwa ikidhulumu, ikawa imebaki magofu, na visima vilivyo achwa, na majumba yaliyo kuwa madhubuti?
046_00	Je!
046_01	Hawatembei katika ardhi ili wapate kuwa na nyoyo zao za kuzingatia, au masikio ya kusikilia? Kwani hakika si macho yanayo pofuka, lakini zinazo pofuka ni nyoyo ziliomo vifuani.
047_00	Na wanakuhimiza ulete adhabu, lakini Mwenyezi Mungu hatakwenda kinyume na ahadi yake kabisa. Na hakika siku moja kwa Mola wako Mlezi ni kama miaka elfu mnavyo hisabu nyinyi.
048_00	Na miji mingapi niliipa muda na hali ilikuwa imedhulumu, na kisha nikaitia mkononi? Na kwangu Mimi ndio marudio yote.
049_00	Sema: Enyi watu! Hakika mimi ni mwonyaji kwenu niliye dhaahiri.
050_00	Basi walio amini na wakatenda mema watapata maghfira na riziki za ukarimu.
051_00	Na wanao jitahidi kuzipinga Aya zetu hao ndio watu wa Motoni.
052_00	Na hatukumtuma kabla yako Mtume wala Nabii ila anapo soma, Shet'ani hutumbukiza katika masomo yake.
052_01	Lakini Mwenyezi Mungu huyaondoa anayo yatia Shet'ani; kisha Mwenyezi Mungu huzithibitisha Aya zake. Na Mwenyezi Mungu ni Mjuzi Mwenye hikima.
053_00	Hayo ni ili alifanye lile analo litia Shet'ani liwe ni fitna kwa wale wenye maradhi ndani ya nyoyo zao, na wale ambao nyoyo zao ni ngumu. Na hakika madhaalimu wamo katika mfarakano wa mbali.
054_00	Na ili walio pewa ilimu wajue kuwa hayo ni Haki itokayo kwa Mola wako Mlezi na waamini, na zipate kutua nyoyo zao.
054_01	Na hakika Mwenyezi Mungu ndiye anaye waongoa wenye kuamini kwenye Njia Iliyo Nyooka.
055_00	Na walio kufuru hawatoacha kuwa katika wasiwasi kwa hilo mpaka Saa iwafikie ghafla, au iwafikie adhabu ya Siku Tasa.
056_00	Ufalme wote siku hiyo utakuwa wa Mwenyezi Mungu. Atahukumu baina yao. Basi walio amini na wakatenda mema watakuwa katika Bustani zenye neema.
057_00	Na walio kufuru na kuzikanusha Ishara zetu, basi hao watapata adhabu ya kufedhehesha.
058_00	Na walio hama kwa ajili ya Mwenyezi Mungu, kisha wakauwawa au wakafa, bila ya shaka Mwenyezi Mungu atawaruzuku riziki njema. Na hakika Mwenyezi Mungu ni Mbora wa wanao ruzuku.
059_00	BIla ya shaka atawaingiza pahala watakapo paridhia. Na hakika Mwenyezi Mungu ni Mjuzi na Mpole.
060_00	Ndio namna hivi. Na anaye lipiza mfano wa alivyo adhibiwa, kisha akadhulumiwa, basi hapana shaka Mwenyezi Mungu atamsaidia. Hakika Mwenyezi Mungu ni Msamehevu Mwenye maghfira.
061_00	Hayo ni kwa kuwa Mwenyezi Mungu huingiza usiku katika mchana, na huuingiza mchana katika usiku, na ya kwamba Mwenyezi Mungu ni Mwenye kusikia Mwenye kuona.
062_00	Hayo ni kwa kuwa Mwenyezi Mungu ndiye Wa Kweli, na kwamba wale wanao waomba badala yake, ni baat'ili, na hakika Mwenyezi Mungu ndiye Aliye Juu na ndiye Mkubwa.
063_00	Je! Huoni kwamba Mwenyezi Mungu huteremsha maji kutoka mbinguni, na mara ardhi inakuwa chanikiwiti? Hakika Mwenyezi Mungu ni Mpole na Mwenye kujua.
064_00	Ni vyake viliomo mbinguni na viliomo katika ardhi. Na hakika Mwenyezi Mungu ni Mwenye kujitosha na Mwenye kusifiwa.
065_00	Je!
065_01	Huoni kwamba Mwenyezi Mungu amevidhalilisha kwenu viliomo katika ardhi, na marikebu zipitazo baharini kwa amri yake, na amezishika mbingu zisianguke juu ya ardhi ila kwa idhini yake. Hakika Mwenyezi Mungu ni Mwenye huruma kwa watu, Mwenye kurehemu.
066_00	Na Yeye ndiye aliye kuhuisheni kisha akakufisheni, na kisha atakufufueni. Hakika mwanaadamu hana fadhila.
067_00	Kila umma tumewajaalia na ibada zao wanazo zishika. Basi wasizozane nawe katika jambo hili. Na waite watu kwendea kwa Mola wako Mlezi. Hakika wewe uko kwenye Uwongofu Ulio Nyooka.
068_00	Na wakikujadili basi sema: Mwenyezi Mungu anajua zaidi mnayo yatenda.
069_00	Mwenyezi Mungu atahukumu baina yenu Siku ya Kiyama katika hayo mnayo khitalifiana.
070_00	Je! Hujui kwamba Mwenyezi Mungu anayajua yaliomo mbinguni na katika ardhi? Hakika hayo yamo Kitabuni. Hakika hayo kwa Mwenyezi Mungu ni mepesi.
071_00	Na wanaabudu badala ya Mwenyezi Mungu ambavyo hakuviteremshia ushahidi, na ambavyo hawana ujuzi navyo. Na madhaalimu hawatakuwa na wa kuwasaidia.
072_00	Na wanapo somewa Aya zetu zilizo wazi utaona chuki katika nyuso za walio kufuru. Hukaribia kuwavamia wale wanao wasomea hizo Aya zetu. Sema: Je!
072_01	Nikwambieni yaliyo mabaya zaidi kuliko haya? Ni Moto. Mwenyezi Mungu amewaahidi walio kufuru, na ni marudio mabaya hayo.
073_00	Enyi watu! Unapigwa mfano, basi usikilizeni.
073_01	Hakika wale mnao waomba badala ya Mwenyezi Mungu, hawatoumba hata nzi ijapo kuwa watajumuika kwa hilo. Na nzi akiwapokonya kitu hawawezi kukipata kwake. Amedhoofika kweli huyo mwenye kutaka na mwenye kutakiwa.
074_00	Hawakumuadhimisha Mwenyezi Mungu anavyo stahiki kuadhimishwa. Hakika Mwenyezi Mungu bila ya shaka ni Mwenye kushinda.
075_00	Mwenyezi Mungu huteuwa Wajumbe miongoni mwa Malaika na miongoni mwa watu. Hakika Mwenyezi Mungu ni Mwenye kusikia, Mwenye kuona.
076_00	Anayajua yaliyo mbele yao na yaliyo nyuma yao. Na kwa Mwenyezi Mungu yatarejeshwa mambo yote.
077_00	Enyi mlio amini! Rukuuni na msujudu, na muabuduni Mola wenu Mlezi, na tendeni mema, ili mfanikiwe.
078_00	Na fanyeni juhudi kwa ajili ya Mwenyezi Mungu kama inavyo stahiki jihadi yake. Yeye amekuteueni.
078_01	Wala hakuweka juu yenu mambo mazito katika Dini. Nayo ni mila ya baba yenu Ibrahim.
078_02	Yeye (Mwenyezi Mungu) alikuiteni Waislamu tangu zamani, na katika hii (Qur'ani) pia, ili awe Mtume shahidi juu yenu, na nyinyi muwe mashahidi kwa watu. Basi shikeni Sala na toeni Zaka na shikamaneni na Mwenyezi Mungu. Yeye ndiye Mlinzi wenu, Mlinzi bora kabisa, na Msaidizi bora kabisa.
