001_00	Kaf Ha Ya A'yn S'ad
018_00	(Maryamu) akasema: Hakika mimi najikinga kwa Mwingi wa Rehema aniepushe nawe, ukiwa ni mchamngu.
019_00	(Malaika) akasema: Hakika mimi ni mwenye kutumwa na Mola wako Mlezi ili nikubashirie tunu ya mwana aliye takasika.
020_00	Akasema: Nitampataje mwana hali mwanaadamu yeyote hajanigusa, wala mimi si kahaba?
021_00	(Malaika) akasema: Ndio hivyo hivyo! Mola wako Mlezi amesema: Haya ni mepesi kwangu! Na ili tumfanye kuwa ni Ishara kwa watu, na Rehema itokayo kwetu, na hilo ni jambo lilio kwisha hukumiwa.
022_00	Basi akachukua mimba yake, na akaondoka nayo mpaka mahali pa mbali.
023_00	Kisha uchungu ukampeleka kwenye shina la mtende; akasema: Laiti ningeli kufa kabla ya haya, na nikawa niliye sahaulika kabisa!
024_00	Pakatangazwa kutoka chini yake: Usihuzunike! Hakika Mola wako Mlezi amejaalia chini yako kijito kidogo cha maji!
025_00	Na litikise kwako hilo shina la mtende, utakuangushia tende nzuri zilizo mbivu.
026_00	Basi kula, na kunywa, na litue jicho lako. Na pindi ukimwona mtu yeyote basi sema: Hakika mimi nimeweka nadhiri kwa Mwenyezi Mungu ya kufunga; kwa hivyo leo sitasema na mtu.
027_00	Akenda naye (mwanawe) kwa jamaa zake amembeba. Wakasema: Ewe Maryamu! Hakika umeleta kitu cha ajabu!
028_00	Ewe dada yake Harun! Baba yako hakuwa mtu muovu, wala mama yako hakuwa kahaba.
029_00	Akawaashiria (mtoto). Wakasema: Vipi tumsemeze aliye bado mdogo yumo katika mlezi?
030_00	(Mtoto) akasema: Hakika mimi ni mtumwa wa Mwenyezi Mungu. Amenipa Kitabu, na amenifanya Nabii.
031_00	Na amenijaalia ni mwenye kubarikiwa popote pale niwapo. Na ameniusia Sala na Zaka maadamu ni hai,
032_00	Na nimtendee wema mama yangu. Wala hakunifanya niwe jeuri, mwovu.
033_00	Na amani iko juu yangu siku niliyo zaliwa, na siku nitakayo kufa, na siku nitakayo fufuliwa kuwa hai.
034_00	Huyo ndiye Isa mwana wa Maryamu. Ndiyo kauli ya haki ambayo wanaifanyia shaka.
035_00	Haiwi kwa Mwenyezi Mungu kuwa na mwana, Subhanahu, Yeye ametakasika! Anapo lihukumia jambo basi huliambia tu: Kuwa! Likawa.
036_00	Na hakika Mwenyezi Mungu ni Mola wangu Mlezi, na Mola wenu Mlezi. Basi muabuduni Yeye. Hii ndiyo Njia Iliyo Nyooka.
037_00	Lakini makundi yakakhitalifiana wao kwa wao. Basi ole wao hao walio kufuru kwa kuhudhuria Siku iliyo kuu!
038_00	Watasikia na wataona vizuri vilioje Siku watakayo tufikia! Lakini madhaalimu sasa wamo katika upotofu ulio dhaahiri.
039_00	Na waonye siku ya majuto itapo katwa amri. Nao wamo katika ghafla, wala hawaamini.
040_00	Hakika Sisi tutairithi ardhi na walio juu yake. Na kwetu watarejeshwa.
041_00	Na mtaje katika Kitabu Ibrahim. Hakika yeye alikuwa mkweli, Nabii.
042_00	Alipo mwambia baba yake: Ewe baba yangu! Kwa nini unaabudu visivyo sikia, na visivyo ona, na visivyo kufaa chochote?
043_00	Ewe baba yangu! Kwa yakini imenifikia ilimu isiyo kufikia wewe. Basi nifuate mimi, nami nitakuongoza Njia Iliyo Sawa.
044_00	Ewe baba yangu! Usimuabudu Shet'ani. Hakika Shet'ani ni mwenye kumuasi Mwingi wa Rehema.
045_00	Ewe baba yangu! Hakika mimi naogopa isikupate adhabu inayo toka kwa Mwingi wa Rehema ukaja kuwa mwenziwe Shet'ani.
046_00	(Baba) akasema: Unaichukia miungu yangu, ewe Ibrahim? Kama huachi, basi lazima nitakupiga mawe. Na niondokelee mbali kwa muda!
047_00	(Ibrahim) akasema: Salamun a'laika! Amani iwe juu yako! Mimi nitakuombea msamaha kwa Mola wangu Mlezi. Hakika Yeye ananihurumia sana.
048_00	Nami najitenga nanyi na hayo mnayo yaabudu badala ya Mwenyezi Mungu. Na ninamwomba Mola wangu Mlezi; asaa nisiwe mwenye kukosa bahati kwa kumwomba Mola wangu Mlezi.
049_00	Basi alipo jitenga nao na yale waliyo kuwa wakiyaabudu badala ya Mwenyezi Mungu, tulimpa Is-haq na Yaaqub, na kila mmoja tukamfanya Nabii.
050_00	Na tukawapa rehema zetu na tukawajaalia kupewa sifa za kweli tukufu.
051_00	Na mtaje Musa katika Kitabu. Hakika yeye alikuwa ni mwenye kuchaguliwa, na alikuwa Mtume, Nabii.
052_00	Na tulimwita upande wa kulia wa mlima na tukamsogeza kunong'ona naye.
053_00	Nasi kwa rehema zetu tukampa nduguye, Harun, awe Nabii.
054_00	Na mtaje katika Kitabu Ismail. Bila ya shaka yeye alikuwa ni mkweli wa ahadi, na alikuwa Mtume, Nabii.
055_00	Na alikuwa akiwaamrisha watu wake Sala na Zaka, na alikuwa mbele ya Mola wake Mlezi mwenye kuridhiwa.
056_00	Na mtaje katika Kitabu Idris. Hakika yeye alikuwa ni mkweli Nabii.
057_00	Na tulimuinua daraja ya juu.
058_00	Hao ndio alio waneemesha Mwenyezi Mungu miongoni mwa Manabii katika uzao wa Adam, na katika uzao wa wale tulio wapandisha pamoja na Nuhu, na katika uzao wa Ibrahim na Israil, na katika wale tulio waongoa na tukawateuwa.
058_01	Wanapo somewa Aya za Mwingi wa Rehema huanguka kusujudu na kulia.
059_00	Lakini wakaja baada yao walio wabaya, wakaacha Sala, na wakafuata matamanio. Basi watakuja kuta malipo ya ubaya.
060_00	Isipo kuwa walio tubu, wakaamini, na wakatenda mema. Hao, basi, wataingia Peponi wala hawatadhulumiwa chochote.
061_00	Bustani za milele alizo waahidi Rahmani waja wake katika siri. Hakika ahadi yake hapana shaka itafika.
062_00	Humo hawatasikia upuuzi, ila Salama tu. Na watapata humo riziki zao asubuhi na jioni.
063_00	Hiyo ndiyo Pepo tutayo warithisha katika waja wetu walio kuwa wachamngu.
064_00	(Nao watasema:) Wala hatuteremki ila kwa amri ya Mola wako Mlezi. Ni yake Yeye yaliyoko mbele yetu na yaliyoko nyuma yetu, na yaliyomo katikati ya hayo. Na Mola wako Mlezi si mwenye kusahau.
065_00	Mola Mlezi wa mbingu na ardhi na vilivyo baina yake. Basi muabudu Yeye tu, na udumu katika ibada yake. Je, mnamjua mwenye jina kama lake?
066_00	Na mwanaadamu husema: Hivyo, nitakapo kufa, ni kweli nitafufuliwa niwe hai tena?
067_00	Je! Hakumbuki mwanaadamu ya kwamba tulimuumba kabla, na hali hakuwa chochote?
068_00	Basi naapa kwa Mola wako Mlezi! Kwa yakini tutawakusanya wao pamoja na mashet'ani; kisha tutawahudhurisha kuizunguka Jahannamu, nao wamepiga magoti!
069_00	Kisha kwa yakini tutawatoa katika kila kundi wale miongoni mwao walio zidi kumuasi Arrahmani, Mwingi wa Rahema..
070_00	Tena hakika Sisi tunawajua vyema zaidi wanao stahiki kuunguzwa humo.
071_00	Wala hapana yeyote katika nyinyi ila ni mwenye kuifikia. Hiyo ni hukumu ya Mola wako Mlezi ambayo lazima itimizwe.
072_00	Kisha tutawaokoa wale walio mchamngu; na tutawaacha madhaalimu humo wamepiga magoti.
073_00	Na wanapo somewa Aya zetu zilizo wazi, walio kufuru huwaambia walio amini: Lipi katika makundi mawili lenye cheo kizuri na lilio bora barazani?
074_00	Na kaumu ngapi tuliziangamiza zilizo kuwa na mapambo mazuri zaidi na wazuri zaidi kwa kuwatazama!
075_00	Sema: Walio katika upotofu basi Arrahmani Mwingi wa Rahema atawapururia muda mpaka wayaone waliyo onywa - ama ni adhabu au ni Saa.
075_01	Hapo ndipo watapo jua ni nani mwenye makao mabaya na mwenye askari dhaifu.
076_00	Na Mwenyezi Mungu huwazidishia uwongofu wenye kushika uwongofu. Na mema yenye kudumu ni bora katika malipo mbele ya Mola wako Mlezi na yana mwisho mwema.
077_00	Je, umemwona aliye zikanya Ishara zetu na akasema: Kwa hakika mimi nitapewa mali na wana!
078_00	Kwani yeye amepata khabari za ghaibu, au amechukua ahadi kwa Arrahmani Mwingi wa Rehema?
079_00	Hasha! Tutaandika anayo yasema, tutamkunjulia muda wa adhabu.
080_00	Na tutamrithi hayo anayo yasema, na atatufikia mtupu peke yake!
081_00	Na wamechukua miungu mingine badala ya Mwenyezi Mungu ili ati iwape nguvu.
082_00	Sivyo kabisa! Wataikataa hiyo ibada yao, na watakuwa ndio dhidi yao.
083_00	Kwani huoni ya kwamba tumewatuma mashet'ani kwa makafiri wawachochee kwa uchochezi?
084_00	Basi usiwafanyie haraka. Sisi tunawahisabia idadi ya siku zao.
085_00	Siku tutayo wakusanya wachamngu kuwapeleka kwa Arrahmani Mwingi wa Rehema kuwa ni wageni wake.
086_00	Na tukawachunga wakhalifu kuwapeleka Jahannamu hali ya kuwa wana kiu.
087_00	Hawatakuwa na mamlaka ya uombezi ila wale walio chukua ahadi kwa Arrahmani Mwingi wa Rehema..
088_00	Na wao ati husema kuwa Arrahmani Mwingi wa Rehema ana mwana!
089_00	Hakika mmeleta jambo la kuchusha mno!
090_00	Zinakaribia mbingu kutatuka kwa hilo, na ardhi kupasuka, na milima kuanguka vipande vipande.
091_00	Kwa kudai kwao kuwa Arrahmani Mwingi wa Rehema ana mwana.
092_00	Wala hahitajii Arrahmani Mwingi wa Rehema kuwa na mwana.
093_00	Hapana yeyote aliomo mbinguni na ardhini ila atafika kwa Arrahmani Mwingi wa Rehema kuwa ni mtumwa wake.
094_00	Yeye hakika amewadhibiti na amewahisabu sawa sawa.
095_00	Na kila mmoja katika wao atamfikia Siku ya Kiyama peke yake.
096_00	Hakika walio amini na wakatenda mema Arrahmani Mwingi wa Rehema atawajaalia mapenzi.
097_00	Na hakika tumeifanya nyepesi (Qur'ani) kwa ulimi wako, ili uwabashirie kwayo wachamngu, na uwaonye kwayo watu wabishi.
098_00	Na kaumu ngapi tumezihiliki kabla yao. Je! Unawaona hata mmoja katika wao au unasikia hata mchakato wao?
