001_00	ALIF LAM MYM 'SAAD
020_01	wenu hakukukatazeni mti huu ila msije mkawa Malaika, au msije mkawa katika wanao ishi milele.
021_00	Naye akawaapia: Kwa yakini mimi ni miongoni wa wanao kunasihini.
022_00	Basi akawateka kwa khadaa.
022_01	Walipo uonja ule mti, tupu zao zilifichuka na wakaingia kujibandika majani ya Bustanini. Mola wao Mlezi akawaita: Je, sikukukatazeni mti huo, na kukwambieni ya kwamba Shet'ani ni adui yenu wa dhaahiri?
023_00	Wakasema: Mola wetu Mlezi! tumejidhulumu nafsi zetu, na kama hutusamehe na kuturehemu, hakika tutakuwa katika wenye kukhasirika.
024_00	Akasema: Teremkeni! Mtakuwa nyinyi kwa nyinyi maadui. Na kwenye ardhi itakuwa ndio makao yenu na starehe yenu mpaka ufike muda.
025_00	Akasema: Humo mtaishi, na humo mtakufa, na kutoka humo mtatolewa.
026_00	Enyi wanaadamu! Tumekuteremshieni nguo za kuficha tupu zenu, na nguo za pambo.
026_01	Na nguo za uchamngu ndio bora. Hayo ni katika Ishara za Mwenyezi Mungu mpate kukumbuka.
027_00	Eny wanaadamu! Asije Shet'ani kukufitinini kama alivyo watoa wazazi wenu Peponi, akawavua nguo zao kuwaonyesha tupu zao.
027_01	Hakika yeye na kabila yake wanakuoneni, na nyinyi hamuwaoni. Hakika Sisi tumewafanya Mashet'ani kuwa ni marafiki wa wasio amini.
028_00	Na wanapo fanya mambo machafu husema: Tumewakuta nayo baba zetu, na Mwenyezi Mungu ametuamrisha hayo.
028_01	Sema: Hakika Mwenyezi Mungu haamrishi mambo machafu. Mnamzulia Mwenyezi Mungu msiyo yajua?
029_00	Sema: Mola Mlezi wangu ameamrisha uadilifu, na mumuelekeze nyuso zenu kila mnapo sujudu, na muombeni Yeye kwa kumsafia Dini. Kama alivyo kuumbeni mwanzo ndivyo mtavyo rudi,
030_00	Hali ya kuwa kundi moja amelihidi, na kundi jengine limethibitikiwa na upotofu. Kwa hakika hao waliwafanya mashet'ani kuwa ndio marafiki walinzi badala ya Mwenyezi Mungu, na wanadhani kuwa wao wameongoka.
031_00	Enyi wanaadamu! Chukueni pambo lenu kwenye kila pahala wakati wa ibada, na kuleni, na kunyweni na wala msifanye ubadhirifu. Kwa hakika Yeye hapendi wanao fanya israfu.
032_00	Sema: Ni nani aliye harimisha pambo la Mwenyezi Mungu alilo watolea waja wake, na vilivyo vizuri katika riziki.
032_01	Sema hivyo ni kwa walio amini katika uhai wa duniani, na Siku ya Kiyama vitakuwa vyao wao tu. Namna hivi tunazieleza Ishara kwa watu wanao jua.
033_00	Sema: Mola Mlezi wangu ameharimisha mambo machafu ya dhaahiri na ya siri, na dhambi, na uasi
033_01	bila ya haki, na kumshirikisha Mwenyezi Mungu na asicho kiletea uthibitisho, na kumzulia Mwenyezi Mungu msiyo yajua.
034_00	Na kila umma una muda wake. Utakapo fika muda wao basi hawatakawia hata saa moja, wala hawatatangulia.
035_00	Enyi wanaadamu! Watakapo kufikieni Mitume miongoni mwenu wakakuelezeni Ishara zangu, basi watakao mchamngu na wakatengenea haitakuwa khofu kwao, wala hawatahuzunika.
036_00	Na wale watakao kanusha Ishara zetu na wakazifanyia kiburi, hao ni watu wa Motoni; humo watadumu.
037_00	Basi ni nani dhaalimu mkubwa kuliko yule anaye mzulia Mwenyezi Mungu uwongo, au anaye zikanusha Ishara zake?
037_01	Hao itawafikia sehemu yao waliyo andikiwa, mpaka watakapo wafikia wajumbe wetu kuwafisha, watawaambia: Wako wapi mlio kuwa mkiwaomba badala ya Mwenyezi Mungu?
037_02	Watasema: Wametupotea! Na watajishuhudia wenyewe kwamba walikuwa makafiri.
038_00	Mwenyezi Mungu atasema: Ingieni Motoni pamoja na umma zilizo pita kabla yenu za majini na watu.
038_01	Kila utakapo ingia umma utawalaani wenzake.
038_02	Mpaka watakapo kusanyika wote humo, wa mwisho wao watawasema wa mwanzo wao: Mola wetu Mlezi! Hawa ndio walio tupoteza; basi wape adhabu ya Motoni marudufu. Atasema: Itakuwa kwenu nyote marudufu, lakini nyinyi hamjui tu.
039_00	Na wa mwanzo wao watawaambia wa mwisho wao: Basi nyinyi pia hamkuwa na ubora kuliko sisi. Basi onjeni adhabu kwa sababu ya mliyo kuwa mkiyachuma.
040_00	Hakika wale wanao zikanusha Ishara zetu na wakazifanyia kiburi hawatafunguliwa milango ya mbingu, wala hawataingia Peponi mpaka apite ngamia katika tundu ya sindano.
040_01	Na hivi ndivyo tunavyo walipa wakosefu.
041_00	Jahannamu itakuwa kitanda chao na juu yao nguo za moto za kujifunika. Na hivi ndivyo tunavyo walipa madhaalimu.
042_00	Na wale wanao amini na wakatenda mema - hatumkalifishi mtu yoyote ila kwa kiasi cha uwezo wake - hao ndio watu wa Peponi. Wao watadumu humo.
043_00	Na tutaondoa chuki vifuani mwao, na mbele yao iwe inapita mito. Na watasema: Alhamdulillah!
043_01	Kuhimidiwa ni kwa Mwenyezi Mungu, ambaye aliye tuhidi kufikia haya. Wala hatukuwa wenye kuhidika wenyewe ingeli kuwa Mwenyezi Mungu hakutuhidi.
043_02	Hakika Mitume wa Mola wetu Mlezi walileta Haki. Na watanadiwa kwamba: Hiyo ndiyo Pepo mliyo rithishwa kwa sababu ya mliyo kuwa mkiyafanya.
044_00	Na watu wa Peponi watawanadia watu wa Motoni: Sisi tumekuta aliyo tuahidi Mola wetu Mlezi kuwa ni kweli. Je, na nyinyi pia mmekuta aliyo kuahidini Mola wenu Mlezi kuwa ni kweli?
044_01	Watasema: Ndiyo! Basi mtangazaji atawatangazia: Laana ya Mwenyezi Mungu iwapate walio dhulumu,
045_00	Wale ambao walikuwa wakizuilia Njia ya Mwenyezi Mungu, na wakataka kuipotosha, nao wanaikanusha Akhera.
046_00	Na baina ya makundi mawili hayo patakuwapo pazia.
046_01	Na juu ya Mnyanyuko patakuwa watu watakao wajua wote kwa alama zao, na wao watawaita watu wa Peponi: Assalamu Alaykum, Amani juu yenu! Wao bado hawajaingia humo, lakini wanatumai.
047_00	Na yanapo geuzwa macho yao kuelekea watu wa Motoni, watasema: Mola Mlezi wetu! Usitujaalie kuwa pamoja na watu walio dhulumu.
048_00	Na hao watu wa Mnyanyukoni watawaita watu wanao wajua kwa alama zao. Watasema: Kujumuika kwenu hakukufaini kitu, wala hicho mlicho kuwa mnafanyia kiburi.
049_00	Je, hawa sio wale mlio kuwa mkiwaapia kuwa Mwenyezi Mungu hatawafikishia rehema. Ingieni Peponi, hapana khofu kwenu, wala hamtahuzunika!
050_00	Na watu wa Motoni watawaita watu wa Peponi: Tumimieni maji, au chochote alicho kuruzukuni Mwenyezi Mungu.
050_01	Nao watasema: Hakika Mwenyezi Mungu ameviharimisha hivyo kwa makafiri,
051_00	Ambao waliifanya dini yao kuwa ni pumbao na mchezo, na maisha ya dunia yakawadanganya.
051_01	Basi leo Sisi tunawasahau kama walivyo usahau mkutano wa Siku yao hii, na kwa sababu ya kule kuzikataa Ishara zetu.
052_00	Na hakika tumewaletea Kitabu tulicho kipambanua kwa ilimu, uwongofu na rehema kwa watu wenye kuamini.
053_00	Je, lipo wanalo lingojea isipo kuwa matokeo yake?
053_01	Siku yatapo fika matokeo yake watasema wale walio kisahau: Kweli Mitume wa Mola Mlezi wetu walileta Haki!
053_02	Je, tunao waombezi ili watuombee? Au turudishwe ili tufanye yasiyo kuwa yale tuliyo kuwa tukiyafanya? Bila ya shaka wamejikhasiri nafsi zao, na yamewapotea waliyo kuwa wakiyazua.
054_00	Hakika Mola Mlezi wenu ni Mwenyezi Mungu aliye ziumba mbingu na ardhi katika siku sita. Kisha akatawala juu ya Kiti cha Enzi.
054_01	Huufunika usiku kwa mchana, ufuatao upesi upesi. Na jua, na mwezi, na nyota zinazo tumika kwa amri yake.
054_02	Fahamuni! Kuumba na amri ni zake. Ametukuka kabisa Mwenyezi Mungu, Mola Mlezi wa viumbe vyote.
055_00	Muombeni Mola wenu Mlezi kwa unyenyekevu na kwa siri. Hakika Yeye hawapendi warukao mipaka.
056_00	Wala msifanye uharibifu katika nchi baada ya kuwa imekwisha tengenezwa. Na muombeni kwa kuogopa na kwa kutumai. Hakika rehema ya Mwenyzi Mungu iko karibu na wanao fanya mema.
057_00	Na Yeye ndiye anaye peleka pepo (za kuvuma) kuwa ni bishara kabla ya kufika rehema yake.
057_01	Hata hizo pepo zinapo beba mawingu mazito tunayachunga mpaka kwenye nchi iliyo kufa.
057_02	Kisha tunateremsha kwayo maji, ndio kama hivyo tukatolesha kila aina ya matunda. Basi hali kadhaalika tunavyo wafufua wafu, ili mpate kukumbuka.
058_00	Na ardhi njema, yenye udongo wa rutba, hutoa mimea yenye kukua vizuri yenye uhai, kwa idhini ya Mola Mlezi wake. Na ardhi mbaya haitoi ila mimea michache, isiyo na faida, tena kwa shida. Na hivyo ndivyo tunavyo zipambanua Ishara (Aya) kwa watu wanao shukuru.
059_00	Tulimpeleka Nuhu kwa kaumu yake, naye akasema: Enyi kaumu yangu! Muabuduni Mwenyezi Mungu. Nyinyi hamna Mungu ila Yeye. Hakika mimi ninakukhofieni adhabu ya Siku iliyo kuu.
060_00	Wale watukufu katika kaumu yake wakasema: Hakika sisi tunakuona wewe umo katika upotofu ulio dhaahiri.
061_00	Akasema: Enyi watu wangu! Mimi simo katika upotofu, lakini mimi ni Mtume nitokaye kwa Mola Mlezi wa viumbe vyote.
062_00	Nakufikishieni Ujumbe wa Mola Mlezi wangu, na ninakunasihini; na ninayajua kwa Mwenyezi Mungu msiyo yajua nyinyi.
063_00	Je, mnastaajabu kukujieni mawaidha yanayotoka kwa Mola Mlezi wenu kwa njia ya mtu aliye ni mmoja katika nyinyi, ili akuonyeni na ili mumchemngu, na ili mpate kurehemewa?
064_00	Basi walimkanusha. Nasi tukamwokoa yeye na walio kuwa pamoja naye katika jahazi. Na tukawazamisha wale walio kanusha Ishara zetu. Hakika hao walikuwa watu vipofu.
065_00	Na kwa A'adi tulimpeleka ndugu yao, Hud. Akasema: Enyi watu wangu! Muabuduni Mwenyezi Mungu. Nyinyi hamna mungu ila Yeye. Basi je, hamumchi?
066_00	Wakasema watukufu wa wale walio kufuru katika kaumu yake: Sisi tunakuona umo katika upumbavu, na hakika sisi tunakufikiria kuwa wewe ni katika waongo.
067_00	Akasema: Enyi watu wangu! Mimi sina upumbavu. Lakini mimi ni Mtume niliye toka kwa Mola Mlezi wa viumbe vyote.
068_00	Nakufikishieni ujumbe wa Mola wangu Mlezi. Na mimi kwenu ni mwenye kukunasihini, muaminifu.
069_00	Mnaona ajabu kukufikieni mawaidha yanayo toka kwa Mola wenu Mlezi kwa mtu aliye mmoja wenu nyinyi ili akuonyeni?
069_01	Na kumbukeni alivyo kufanyeni mshike pahala pa kaumu ya Nuhu, na akakuzidisheni katika umbo. Basi zikumbukeni neema za Mwenyezi Mungu ili mpate kufanikiwa.
070_00	Wakasema: Je! Umetujia ili tumuabudu Mwenyezi Mungu peke yake, na tuyaache waliyo kuwa wakiyaabudu baba zetu? Basi tuletee hayo unayo tuahidi, ukiwa miongoni mwa wasemao kweli.
071_00	Akasema: Bila ya shaka adhabu na ghadhabu zimekwisha kukuangukieni kutoka kwa Mola wenu Mlezi.
071_01	Mnabishana nami kwa ajili ya majina tu mliyo yaita nyinyi na baba zenu ambayo kwayo Mwenyezi Mungu hakuteremsha uthibitisho? Basi ngojeni, mimi pia ni pamoja nanyi katika wanao ngoja.
072_00	Basi tukamwokoa yeye na walio kuwa pamoja naye kwa rehema zetu, na tukakata mizizi ya wale walio zikanusha Ishara zetu, na hawakuwa wenye kuamini.
073_00	Na kwa Thamud tulimpeleka ndugu yao, Saleh. Akasema: Enyi watu wangu! Muabuduni Mwenyezi Mungu.
073_01	Nyinyi hamna Mungu ila Yeye. Hakika imekwisha kukufikieni Ishara iliyo wazi kutoka kwa Mola wenu Mlezi. Huyu ni ngamia jike wa Mwenyezi Mungu aliye ni Ishara kwenu. Basi mwachieni ale kwenye ardhi ya Mwenyezi Mungu, wala msimdhuru, isije kukushukieni adhabu chungu.
074_00	Na kumbukeni alivyo kufanyeni wa kushika pahala pa A'adi na akakuwekeni vizuri katika nchi, mnajenga majumba ya fakhari katika nyanda zake, na mnachonga majumba katika milima.
074_01	Basi zikumbukeni neema za Mwenyezi Mungu wala msitende uovu katika nchi kwa ufisadi.
075_00	Waheshimiwa wa kaumu yake wanao jivuna waliwaambia wanao onewa wenye kuamini miongoni mwao: Je, mnaitakidi ya kwamba Saleh ametumwa na Mola Mlezi wake?
075_01	Wakasema: Hakika sisi tunayaamini yale aliyo tumwa.
076_00	Wakasema wale wanao jivuna: Sisi tunayakataa hayo mnayo yaamini.
077_00	Na wakamuuwa yule ngamia, na wakaasi amri ya Mola Mlezi wao, na wakasema: Ewe Saleh! Tuletee unayo tuahidi ikiwa wewe ni miongoni mwa Mitume.
078_00	Basi tetemeko la ardhi likawanyakua, na kulipo kucha wakawa majumbani mwao kifudifudi wamekwisha kufa.
079_00	Basi Saleh akwaacha na akasema: Enyi watu wangu! Nilikufikishieni Ujumbe wa Mola wangu Mlezi, na nikakunasihini, lakini nyinyi hamwapendi wenye nasaha.
080_00	Na tulimtuma Lut', alipo waambia watu wake: Je, mnafanya uchafu ambao hajakutangulieni yeyote kwa uchafu huo katika viumbe vyote!
081_00	Hivyo nyinyi mnawaingilia wanaume kwa matamanio mkwawacha wanawake? Kumbe nyinyi ni watu wafujaji!
082_00	Na haikuwa jawabu ya kaumu yake isipo kuwa kuambizana: Wafukuzeni katika mji wenu, maana hao ni watu wanao jitakasa.
083_00	Basi tukamwokoa yeye na watu wake, isipo kuwa mkewe, alikuwa miongoni mwa walio bakia nyuma.
084_00	Na tukawamiminia mvua. Basi tazama jinsi ulivyo kuwa mwisho wa wakosefu.
085_00	Na kwa watu wa Madyana tulimtuma ndugu yao Shua'ib. Akasema: Enyi watu wangu!
085_01	Muabuduni Mwenyezi Mungu. Hamna mungu mwengine isipo kuwa Yeye.
085_02	Imekwisha kufikieni hoja wazi kutoka kwa Mola Mlezi wenu. Basi timizeni sawasawa vipimo na mizani, wala msiwapunje watu vitu vyao, wala msifanye uharibifu katika nchi, baada ya kuwa imekwisha tengenea. Hivi ndivyo bora kwenu ikiwa nyinyi ni Waumini.
086_00	Wala msikae katika kila njia mkitisha watu, na kuwazuilia na Njia ya Mwenyezi Mungu wale wenye kumuamini, na mkataka njia ipotoke.
086_01	Na kumbukeni mlipo kuwa wachache, naye akakufanyeni kuwa wengi. Na tazameni jinsi ulivyo kuwa mwisho wa mafisadi.
087_00	Na kama liko kundi miongoni mwenu lililo amini haya niliyo tumwa, na kundi jengine halikuamini, basi subirini mpaka Mwenyezi Mungu ahukumu baina yetu.
087_01	Naye ndiye Mbora wa wenye kuhukumu.
088_00	WAHESHIMIWA WALIO TAKABARI katika kaumu yake wakasema: Ewe Shua'ib!
088_01	Tutakutoa wewe pamoja na wale walio kuamini katika mji wetu, au mrejee katika mila yetu. Akasema: Je, ingawa tunaichukia?
089_00	Bila ya shaka itakuwa tumemzulia uwongo Mwenyezi Mungu tukirudi katika mila yenu baada ya kwisha tuokoa nayo Mwenyezi Mungu. Wala haiwi kwetu sisi kuirejea mila hiyo, ila akitaka Mwenyezi Mungu, Mola Mlezi wetu.
089_01	Ujuzi wa Mola Mlezi wetu umeenea katika kila kitu. Kwa Mwenyezi Mungu tunategemea.
089_02	Ewe Mola Mlezi wetu! Tuhukumie baina yetu na kaumu yetu kwa haki, nawe ndiye mbora wa wanao hukumu.
090_00	Na waheshimiwa walio kufuru katika kaumu yake wakasema: Mkimfuata Shua'ib, basi hakika hapo nyinyi mtakuwa mlio khasiri.
091_00	Basi tetemeko la ardhi likawanyakua, na wakaamkia majumbani mwao wamejifudikiza, wamekwisha kufa.
092_00	Wale walio mkanusha Shua'ib wakawa kama kwamba hawakuwako. Walio mkanusha Shua'ib ndio walio kuwa wenye kukhasiri.
093_00	Basi akawaachilia mbali na akasema: Enyi kaumu yangu! Nimekufikishieni Ujumbe wa Mola Mlezi wangu, na nimekunasihini; basi vipi niwahuzunikie watu makafiri?
094_00	Na hatukumtuma Nabii yeyote katika mji ila tuliwapatiliza wakaazi wake kwa taabu na mashaka ili wapate kunyenyekea.
095_00	Kisha Sisi hubadilisha mahala pa ubaya kwa wema, hata wakazidi, na wakasema: Taabu na raha ziliwafikia baba zetu. Basi kwa ghafla tukawashika, hali ya kuwa hawajatambua.
096_00	Na lau kuwa watu wa miji wangeli amini na wakamchamngu, kwa yakini tungeli wafungulia baraka kutoka mbinguni na katika ardhi. Lakini walikanusha basi tukawapatiliza kwa sababu ya yale waliyo kuwa wakiyachuma.
097_00	Je, watu wa mijini wameaminisha ya kuwa adhabu yetu haitawafika usiku, nao wamelala?
098_00	Au watu wa mijini wameaminisha ya kuwa adhabu yetu haitawafika mchana, nao wanacheza?
099_00	Je, wamejiaminisha na mipango ya Mwenyezi Mungu? Kwani hawajiaminishi na mipango ya Mwenyezi Mungu ila watu wenye kukhasiri.
100_00	Je, hawahidiki hawa wanao rithi ardhi baada ya wale wenyewe kwamba tukitaka tutawapatiliza kwa madhambi yao, na tutapiga muhuri juu ya nyoyo zao, na kwa hivyo hawatasikia?
101_00	Miji hiyo, tunakusimulia baadhi ya khabari zake. Na hapana shaka Mitume wao waliwafikia kwa hoja zilizo waziwazi.
101_01	Lakini hawakuwa wenye kuamini waliyo yakanusha zamani. Namna hivi Mwenyezi Mungu anazipiga muhuri nyoyo za makafiri.
102_00	Wala hatukuwaona wengi wao kuwa wanatimiza ahadi; bali kwa hakika tuliwakuta wengi wao ni wapotofu.
103_00	Kisha baada yao tukamtuma Musa na Ishara zetu kwa Firauni na waheshimiwa wake. Nao wakazikataa. Basi tazama ulikuwaje mwisho wa waharibifu.
104_00	Na Musa alisema: Ewe Firauni! Hakika mimi ni Mtume nitokaye kwa Mola Mlezi wa viumbe vyote.
105_00	Inafaa nisiseme juu ya Mwenyezi Mungu ila lilio la Haki. Nami hakika nimekujieni na dalili waziwazi kutokana na Mola Mlezi wenu. Basi waache Wana wa Israili wende nami.
106_00	Akasema Firauni: Ikiwa umekuja na Ishara, basi ilete ukiwa ni katika wasemao kweli.
107_00	Basi akaitupa fimbo yake, na mara ikawa nyoka dhaahiri.
108_00	Na akatoa mkono wake, mara ukawa mweupe kwa watazamao.
109_00	Wakasema waheshimiwa wa kaumu ya Firauni: Hakika huyo ni mchawi mjuzi.
110_00	Anataka kukutoeni katika nchi yenu. Basi mnatoa shauri gani?
111_00	Wakasema: Mwache kidogo yeye na nduguye, na watume mijini wakusanyao,
112_00	Wakuletee kila mchawi mjuzi.
113_00	Wakaja wachawi kwa Firauni, wakasema: Hakika tutapata ujira ikiwa tutashinda.
114_00	Akasema: Naam! Nanyi bila ya shaka mtakuwa katika wa karibu nami.
115_00	Wakasema: Ewe Musa! Je, utatupa wewe, au tutakuwa sisi tutao tupa?
116_00	Akasema: Tupeni! Basi walipo tupa waliyazuga macho ya watu na wakawatia khofu, na wakaleta uchawi mkubwa.
117_00	Nasi tukamfunulia Musa kumwambia: Tupa fimbo yako. Mara ikavimeza vyote vile walivyo vibuni.
118_00	Kweli ikathibiti na yakabat'ilika waliyo kuwa wakiyatenda.
119_00	Kwa hivyo walishindwa hapo, na wakageuka kuwa wadogo.
120_00	Na wachawi wakapoomoka wakisujudu.
121_00	Wakasema: Tumemuamini Mola Mlezi wa viumbe vyote,
122_00	Mola Mlezi wa Musa na Haarun.
123_00	Akasema Firauni: Mmemuamini kabla sijakupeni idhini? Hizi ni njama mlizo panga mjini mpate kuwatoa wenyewe. Lakini karibu mtajua!
124_00	Lazima nitaikata mikono yenu na miguu yenu mbali mbali. Kisha nitakutundikeni misalabani.
125_00	Wakasema: Sisi ni wenye kurejea kwa Mola wetu Mlezi.
126_00	Nawe hukuudhika nasi ila kwa kuwa tumeziamini Ishara za Mola Mlezi wetu zilipo tujia. Ewe Mola Mlezi wetu! Tumiminie uvumilivu na utufishe hali ni Waislamu.
127_00	Wakasema waheshimiwa wa kaumu ya Firauni: Unamuacha Musa na watu wake walete uharibifu katika nchi na wakuache wewe na miungu yako?
127_01	Akasema: Tutawauwa wavulana wao, na tutawaacha hai wanawake wao. Na bila ya shaka sisi ni wenye nguvu juu yao.
128_00	Musa akawaambia watu wake: Ombeni msaada kwa Mwenyezi Mungu, na subirini. Hakika ardhi ni ya Mwenyezi Mungu. Naye humrithisha amtakaye katika waja wake. Na mwisho ni wa wachamngu.
129_00	Wakasema: Tumeudhiwa kabla hujatufikia, na baada ya wewe kutujia!
129_01	Musa akasema: Huenda Mola wenu Mlezi akamhiliki adui wenu, na akakufanyeni nyinyi ndio wa kufuatia kushika nchi, ili atazame mtavyo kuja tenda nyinyi.
130_00	Na hakika tuliwaadhibu watu wa Firauni kwa miyaka (ya ukame) na kwa upungufu wa mazao, ili wapate kukumbuka.
131_00	Likiwafika jema wakisema: Haya ni haki yetu. Na likiwafika ovu husema: Musa na walio pamoja naye ni wakorofi.
131_01	Hakika ukorofi wao huo unao wafikia unatoka kwa Mwenyezi Mungu. Lakini wengi wao hawajui.
132_00	Na wakisema: Hata ukituletea Ishara yoyote kutuzuga hatuto kuamini.
133_00	Basi tukawapelekea tufani, na nzige, na chawa, na vyura, na damu, kuwa ni Ishara mbali mbali. Nao wakapanda kiburi, na wakawa watu wakosefu.
134_00	Na ilipo waangukia adhabu wakasema: Ewe Musa!
134_01	Tuombee kwa Mola wako Mlezi kwa aliyo kuahidi. Ukituondolea adhabu hii hapana shaka tutakuamini, na tutawaachilia Wana wa Israili wende nawe.
135_00	Lakini tukiwaondolea adhabu mpaka muda fulani wao waufikie, mara wakivunja ahadi yao.
136_00	Basi tuliwapatiliza, tuka- wazamisha baharini kwa sababu walizikanusha Ishara zetu, na wakaghafilika nazo.
137_00	Na tukawarithisha watu walio kuwa wanadharauliwa mashariki na magharibi ya ardhi tuliyo ibariki.
137_01	Na likatimia neno jema la Mola Mlezi wako juu ya Wana wa Israili, kwa vile walivyo subiri. Na tukayaangamiza aliyo kuwa akiyafanya Firauni na kaumu yake, na waliyo kuwa wakiyajenga.
138_00	Na tukawavusha bahari Wana wa Israili, wakafika kwa watu wanao abudu masanamu yao. Wakasema: Ewe Musa!
138_01	Hebu tufanyie na sisi miungu kama hawa walivyo kuwa na miungu. Musa akasema: Hakika nyinyi ni watu msio jua kitu.
139_00	Hakika haya waliyo nayo watu hawa yatakuja angamia, na hayo waliyo kuwa wakiyafanya yamepotea bure.
140_00	Akasema: Je, nikutafutieni mungu asiye kuwa Mwenyezi Mungu, na Yeye ndiye aliye kufadhilisheni juu ya viumbe vyote?
141_00	Na pale tulipo kuokoeni kwa watu wa Firauni walio kupeni adhabu za mwisho wa uovu.
141_01	Wakiwauwa wavulana wenu, na wakawaacha hai wanawake wenu. Na katika hayo yalikuwa majaribio makubwa kutokana na Mola wenu Mlezi.
142_00	Tulimuahidi Musa masiku thalathini na tukayatimiza kwa kumi; ikatimia miadi ya Mola wake Mlezi masiku arubaini.
142_01	Na Musa akamwambia nduguye Haarun: Shika mahala pangu kwa watu wangu na utengeneze wala usifuate njia ya waharibifu.
143_00	Na alipo kuja Musa kwenye miadi yetu, na Mola wake Mlezi akamsemeza, alisema: Mola wangu Mlezi! Nionyeshe nikutazame.
143_01	Mwenyezi Mungu akasema: Hutoniona. Lakini utazame huo mlima.
143_02	Ukibaki pahala pake basi utaniona. Basi alipo jionyesha Mola Mlezi wake kwa mlima, aliufanya uvurugike, na Musa akaanguka chini amezimia. Alipo zindukana alisema: Subhanaka, Umetakasika! Natubu kwako, na mimi ni wa kwanza wa Waumini.
144_00	(Mwenyezi Mungu) akasema: Ewe Musa! Mimi nimekuteuwa wende kwa watu na Ujumbe wangu na maneno yangu. Basi chukua niliyo kupa na uwe katika wanao shukuru.
145_00	Na tukamuandikia katika mbao kila kitu, mawaidha na maelezo ya mambo yote.
145_01	(Tukamwambia): Basi yashike kwa nguvu na uwaamrishe watu wako wayashike kwa ubora wake. Nami nitakuonyesheni makaazi ya wapotofu.
146_00	Nitawatenga na Ishara zangu wale wanao fanya kiburi katika nchi bila ya haki.
146_01	Na wao wakiona kila Ishara hawaiamini.
146_02	Wakiiona njia ya uwongofu hawaishiki kuwa ndiyo njia; lakini wakiiona njia ya upotofu wanaishika kuwa ndiyo njia. Hayo ni kwa sababu wamezikanusha Ishara zetu, na wameghafilika nazo.
147_00	Na walio zikanusha Ishara zetu na mkutano wa Akhera a'mali zao zimeharibika. Kwani watalipwa ila kwa yale waliyo kuwa wakiyatenda?
148_00	Na baada yake walimfanya ndama kutokana na mapambo yao (kumuabudu), kiwiliwili tu kilicho kuwa na sauti.
148_01	Hivyo, hawakuona kuwa hawasemezi wala hawaongoi njia? Wakamuabudu, na wakawa wenye kudhulumu.
149_00	Na walipo juta na wakaona ya kwamba wamekwisha potea, walisema: Ikiwa Mola wetu Mlezi hakuturehemu na akatusamehe, bila ya shaka tutakuwa miongoni mwa walio khasiri.
150_00	Na alipo rudi Musa kwa watu wake, naye amekasirika na kuhuzunika, alisema: Ni maovu yalioje mlio nifanyia nyuma yangu! Je, mmeitangulia amri ya Mola wenu Mlezi?
