001_00	T'AHA!
042_00	Nenda, wewe na ndugu yako, pamoja na ishara zangu, wala msichoke kunikumbuka.
043_00	Nendeni kwa Firauni. Hakika yeye amepindukia mipaka.
044_00	Mwambieni maneno laini, huenda akazingatia au akaogopa.
045_00	Wakasema: Ewe Mola wetu Mlezi! Hakika sisi tunaogopa asije akapindukia mipaka juu yetu au kufanya jeuri.
046_00	Akasema: Msiogope! Hakika Mimi ni pamoja nanyi. Nasikia na ninaona.
047_00	Basi mwendeeni, na mwambieni: Hakika sisi ni Mitume wa Mola wako Mlezi! Basi waache Wana wa Israili watoke nasi, wala usiwaadhibu.
047_01	Sisi tumekuletea ishara itokayo kwa Mola wako Mlezi. Na amani itakuwa juu ya aliye fuata uwongofu.
048_00	Hakika tumefunuliwa sisi kwamba hapana shaka adhabu itamsibu anaye kadhibisha na akapuuza.
049_00	(Firauni) akasema: Basi Mola wenu Mlezi ni nani, ewe Musa?
050_00	Akasema: Mola wetu Mlezi ni yule aliye kipa kila kitu umbo lake, kisha akakiongoa.
051_00	Akasema: Nini hali ya karne za kwanza?
052_00	Akasema: Ilimu yake iko kwa Mola wangu Mlezi katika Kitabu. Mola wangu Mlezi hapotei wala hasahau.
053_00	Ambaye amekufanyieni ardhi kuwa tandiko, na akakupitishieni humo njia, na akakuteremshieni kutoka mbinguni maji. Na kwa hayo tukatoa namna mbali mbali za mimema.
054_00	Kuleni, na mchunge wanyama wenu. Hakika katika hayo zipo ishara kwa wenye akili.
055_00	Kutokana nayo (ardhi) tumekuumbeni, na humo tunakurudisheni, na kutoka humo tutakutoeni mara nyengine.
056_00	Na hakika tulimwonyesha ishara zetu zote. Lakini alikadhibisha na akakataa.
057_00	Akasema: Ewe Musa! Hivyo umetujia kututoa katika nchi yetu kwa uchawi wako?
058_00	Basi sisi hakika tutakueletea uchawi kama huo. Basi weka miadi baina yetu na wewe, ambayo tusiivunje sisi wala wewe, mahali patapo kuwa sawa.
059_00	Akasema: Miadi yenu ni siku ya Sikukuu; na watu wakusanywe kabla ya adhuhuri.
060_00	Basi Firauni akarudi na akatengeneza hila yake, kisha akaja.
061_00	Musa akamwambia: Ole wenu! Msimzulie Mwenyezi Mungu uwongo, asije akakufutilieni mbali kwa adhabu. Na mwenye kuzua lazima ashindwe!
062_00	Basi wakazozana kwa shauri yao wenyewe kwa wenyewe, na wakanong'ona kwa siri.
063_00	Wakasema: Hakika hawa wawili ni wachawi, wanataka kukutoeni katika nchi yenu kwa uchawi wao, na waondoe mila zenu zilizo bora kabisa.
064_00	Kwa hivyo kusanyeni hila zenu zote, kisha mfike kwa kujipanga safu, na kwa yakini atafuzu kweli kweli leo atakaye shinda.
065_00	Wakasema: Ewe Musa! Je! Utatupa wewe, au tutakuwa sisi wa kwanza kutupa?
066_00	Akasema: Bali tupeni nyinyi! Tahamaki kamba zao na fimbo zao zikaonekana mbele yake, kwa uchawi wao, kuwa zinapiga mbio.
067_00	Basi Musa akaingia khofu nafsi yake.
068_00	Tukasema: Usikhofu! Hakika wewe ndiye utakaye shinda.
069_00	Na kitupe kilicho katika mkono wako wa kulia; kitavimeza walivyo viunda. Hakika walivyo unda ni hila za mchawi tu, na mchawi hafanikiwi popote afikapo.
070_00	Basi wachawi wakaangushwa wanasujudu. Wakasema: Tumemuamini Mola Mlezi wa Harun na Musa!
071_00	(Firauni) akasema: Oh! Mnamuamini kabla sijakupeni ruhusa?
071_01	Hakika yeye ndiye mkubwa wenu aliye kufundisheni uchawi. Basi kwa yakini nitakukateni mikono yenu na miguu yenu kwa kutafautisha. Na nitakutundikeni misalabani katika vigogo vya mitende, na hapo kwa yakini mtajua ni nani katika sisi aliye mkali wa kuadhibu na kuiendeleza adhabu yake.
072_00	Wakasema: Hatutokukhiari wewe kuliko ishara waziwazi zilizo tujia, na kuliko yule aliye tuumba. Basi hukumu utavyo hukumu; kwani wewe unahukumu haya ya maisha ya duniani tu.
073_00	Hakika sisi tumemuamini Mola wetu Mlezi ili atusamehe makosa yetu na uchawi ulio tulazimisha kuufanya. Na Mwenyezi Mungu ndiye Mbora na Mwenye kudumu zaidi.
074_00	Hakika ataye mjia Mola wake Mlezi naye ni mkhalifu, basi kwa yakini, yake huyo ni Jahannamu. Hafi humo wala haishi.
075_00	Na atakaye mjia naye ni Muumini aliye tenda mema, basi hao ndio wenye vyeo vya juu.
076_00	Bustani za milele zipitazo mito kati yake, wadumu humo. Na hayo ni malipo ya mwenye kujitakasa.
077_00	Na tulimfunulia Musa: Toka usiku na waja wangu, na uwapigie njia kavu baharini. Usikhofu kukamatwa, wala usiogope.
078_00	Firauni akawafuata pamoja na majeshi yake. Basi kiliwafudikiza humo baharini kilicho wafudikiza.
079_00	Na Firauni aliwapoteza watu wake wala hakuwaongoa.
080_00	Enyi Wana wa Israili! Hakika tulikuokoeni na adui yenu, na tukakuahidini upande wa kulia wa mlima. Na tulikuteremshieni Manna na Salwa.
081_00	Kuleni katika vitu vizuri hivyo tulivyo kuruzukuni, wala msiruke mipaka katika hayo, isije ikakushukieni ghadhabu yangu. Na inaye mshukia ghadhabu yangu basi huyo ameangamia.
082_00	Na hakika Mimi ni Mwingi wa Kusamehe kwa anaye tubia, na akaamini, na akatenda mema, tena akaongoka.
083_00	Na nini kilicho kutia haraka ukawaacha watu wako, ewe Musa?
084_00	Akasema: Hao wapo nyuma yangu wananifuatia. Na nimefanya haraka kukujia, Mola wangu Mlezi, ili uridhike.
085_00	(Mwenyezi Mungu) akasema: Sisi tumewatia mtihani watu wako baada yako, na Msamaria amewapoteza.
086_00	Musa akarudi kwa watu wake kwa ghadhabu na kusikitika. Akasema: Enyi watu wangu!
086_01	Kwani Mola wenu Mlezi hakukuahidini ahadi nzuri? Je, umekuwa muda mrefu kwenu au mmetaka ikushukieni ghadhabu ya Mola wenu Mlezi, ndio maana mkavunja miadi yangu?
087_00	Wakasema: Sisi hatukuvunja miadi yako kwa khiari yetu, lakini tulibebeshwa mizigo ya mapambo ya watu, basi tukaitupa. Na hivyo ndivyo alivyo toa shauri Msamaria.
088_00	Na akawaundia ndama, kiwiliwili chenye sauti. Na wakasema: Huyu ndiye mungu wenu, na mungu wa Musa, lakini alisahau.
089_00	Je! Hawakuona kuwa hakuwarudishia neno, wala hakuweza kuwadhuru wala kuwafaa?
090_00	Na hakika Harun alikwisha waambia kabla yake: Enyi watu wangu! Hakika nyinyi mmetiwa mtihanini tu kwa kitu hiki. Na kwa yakini Mola wenu Mlezi ni Arrahmani, Mwingi wa Rehema. Basi nifuateni mimi, na t'iini amri yangu!
091_00	Wakasema: Hatutaacha kumuabudu mpaka Musa atapo rejea kwetu.
092_00	(Musa) akasema: Ewe Harun! Ni nini kilicho kuzuia, ulipo waona wamepotea,
093_00	Hata usinifuate? Je, umeasi amri yangu?
094_00	Akasema: Ewe mwana wa mama yangu! Usinishike ndevu zangu, wala kichwa changu. Kwa hakika naliogopa usije sema: Umewafarikisha Wana wa Israil, na hukungojea kauli yangu.
095_00	(Musa) akasema: Ewe Msamaria! Unataka nini?
096_00	Akasema: Niliona wasiyo yaona wao, nikashika gao katika unyao wa Mtume. Kisha nikalitupa. Na hivi ndivyo ilivyo nielekeza nafsi yangu.
097_00	(Musa) akasema: Basi ondoka! Na kwa yakini utakuwa katika maisha ukisema: Usiniguse.
097_01	Na hakika una ahadi kwako isiyo vunjwa. Na mtazame huyo mungu wako uliye endelea kumuabudu - Sisi kwa hakika tutamchoma moto, kisha tutamtawanya baharini atawanyike.
098_00	Hakika Mungu wenu ni Allah, Mwenyezi Mungu, tu. Hapana Mungu isipo kuwa Yeye. Ujuzi wake umeenea kila kitu.
099_00	Namna hivi tunakuhadithia katika khabari za yaliyo tangulia. Na hakika tumekuletea kutoka kwetu mawaidha ya kukumbukwa.
100_00	Atakaye jitenga nayo, basi kwa yakini Siku ya Kiyama atabeba mzigo.
101_00	Wadumu humo. Na ni mzigo muovu kwao kuubeba Siku ya Kiyama!
102_00	Siku litakapo pulizwa barugumu, na tukawakusanya wakhalifu Siku hiyo, hali macho yao ya kibuluu.
103_00	Watanong'onezana wao kwa wao: Hamkukaa ila siku kumi tu.
104_00	Sisi tunajua zaidi watakayo yasema, atakapo sema mbora wao katika mwendo: Nyinyi hamkukaa ila siku moja tu.
105_00	Na wanakuuliza khabari za milima. Waambie: Mola wangu Mlezi ataivuruga vuruga.
106_00	Na ataiacha tambarare, uwanda.
107_00	Hutaona humo mdidimio wala muinuko.
108_00	Siku hiyo watamfuata muitaji asiye na upotofu. Na sauti zote zitamnyenyekea Arrahmani Mwingi wa Rahema. Basi husikii ila mchakato na mnong'ono.
109_00	Siku hiyo uombezi haufai kitu, ila wa aliye mruhusu Arrahmani Mwingi wa Rehema na akamridhia kusema.
110_00	Yeye anajua yaliyo mbele yao, na yaliyo nyuma yao. Wala wao hawawezi kumjua Yeye vilivyo.
111_00	Na zitadhalilika nyuso mbele ya Aliye Hai Milele, Mwangalizi Mkuu. Na atakuwa ameharibikiwa mwenye kubeba dhulma.
112_00	Na anaye tenda mema, naye ni Muumini, basi hatakhofu kudhulumiwa wala kupunjwa.
113_00	Na namna hivi tumeiteremsha Qur'ani kwa Kiarabu, na tumekariri humo maonyo ili wapate kuogopa na kujilinda na iwaletee makumbusho.
114_00	Ametukuka Mwenyezi Mungu, Mfalme wa Haki. Wala usiifanyie haraka hii Qur'ani, kabla haujamalizika ufunuo wake. Na sema: Mola wangu Mlezi! Nizidishie ilimu.
115_00	Na hapo zamani tuliagana na Adam, lakini alisahau, wala hatukuona kwake azma kubwa.
116_00	Na tulipo waambia Malaika: Msujudieni Adam! Wakasujudu, isipo kuwa Iblisi, alikataa.
117_00	Tukasema: Ewe Adam! Hakika huyu ni adui yako na wa mkeo. Basi asikutoeni katika Bustani hii, mkaingia mashakani.
118_00	Hakika humo hutakuwa na njaa wala hutakuwa uchi.
119_00	Na hakika hutapata kiu humo wala hutapata joto.
120_00	Lakini Shet'ani alimtia wasiwasi, akamwambia: Ewe Adam! Nikujuulishe mti wa kuishi milele na ufalme usio koma?
121_00	Basi wakaula wote wawili, na uchi wao ukawadhihirikia na wakaanza kujibandika majani ya Bustani. Na Adam akamuasi Mola wake Mlezi, na akapotea njia.
122_00	Kisha Mola wake Mlezi akamteuwa, naye akamkubalia toba yake, naye akamwongoa.
123_00	Akasema: Ondokeni humu nyote, hali ya kuwa ni maadui nyinyi kwa nyinyi. Na ukikufikieni uwongofu kutoka kwangu basi atakaye ufuata uwongofu wangu, hatapotea wala hatataabika.
124_00	Na atakaye jiepusha na mawaidha yangu, basi kwa yakini atapata maisha yenye dhiki, na Siku ya Kiyama tutamfufua hali ya kuwa kipofu.
125_00	Aseme: Ewe Mola wangu Mlezi! Mbona umenifufua kipofu, nami nilikuwa nikiona?
126_00	(Mwenyezi Mungu) atasema: Ndivyo vivyo hivyo. Zilikufikia ishara zetu, nawe ukazisahau; na kadhaalika leo unasahauliwa.
127_00	Na hivi ndivyo tutakavyo mlipa kila apitaye kiasi, na asiye amini ishara za Mola wake Mlezi. Na hakika adhabu ya Akhera ni kali zaidi, na inadumu zaidi.
128_00	Je! Haikuwabainikia tu; vizazi vingapi tuliviangamiza kabla yao, nao wanatembea katika maskani zao? Hakika katika hayo zimo ishara kwa wenye akili.
129_00	Na lau kuwa si neno lililo kwisha tangulia kutoka kwa Mola wako Mlezi na muda ulio wekwa, bila ya shaka inge fika adhabu (hapa hapa).
130_00	Yavumilie haya wayasemayo.
130_01	Na umtakase Mola wako Mlezi kwa kumsifu kabla ya kuchomoza jua, na kabla halijachwa, na nyakati za usiku pia umtakase, na ncha za mchana ili upate ya kukuridhisha.
131_00	Wala usivikodolee macho tulivyo wastareheshea baadhi ya watu miongoni mwao, kwa ajili ya mapambo ya duniani, ili tuwajaribu. Na riziki ya Mola wako Mlezi ni bora na inadumu zaidi.
132_00	Na waamrishe watu wako kusali, na uendelee mwenyewe kwa hayo. Sisi hatukuombi wewe riziki, bali Sisi ndio tunakuruzuku. Na mwisho mwema ni kwa mchamngu.
133_00	Na walisema: Kwa nini hakutuletea muujiza kutoka kwa Mola wake Mlezi? Je! Haikuwafikilia dalili wazi ya yaliyomo katika Vitabu vya kale?
134_00	Na lau kuwa tuliwaangamiza kwa adhabu kabla yake, wangeli sema: Ewe Mola wetu Mlezi! Kwa nini usituletee Mtume tukazifuata ishara zako kabla hatujadhilika na kuhizika.
135_00	Sema: Kila mmoja anangoja. Basi ngojeni! Hivi karibuni mtajua nani mwenye njia sawa na nani aliye ongoka.
