001_00	Alif Lam Mim.
101_01	wale walio pewa Kitabu lilitupa Kitabu cha Mwenyezi Mungu hicho nyuma ya migongo yao kama kwamba hawajui.
102_00	Na wakafuata yale waliyo zua mashet'ani kuuzulia ufalme wa Su leiman.
102_01	Na wala Suleiman hakukufuru, bali mashet'ani ndio walio kufuru, wakiwafundisha watu uchawi, na yaliyo teremshwa kwa Malaika wawili, Haaruta na Maaruta katika Baabil.
102_02	Wala hao hawakumfundisha yeyote mpaka wamwambie: Hakika sisi ni mtihani; basi usikufuru.
102_03	Wakajifunza kwa hao wawili yale ya kumfarikisha mtu na mkewe.
102_04	Wala hawawezi kumdhuru mtu ila kwa kutaka Mwenyezi Mungu. Na wanajifunza yatayo wadhuru wala hayawanufaishi. Na hakika wanajua kwamba aliye khiari haya hatakuwa na fungu lolote katika Akhera. Na hakika ni kiovu mno walicho jiuzia nafsi zao laiti wangelijua.
103_00	Na lau kuwa wangeamini na wakaogopa, bila ya shaka malipo yatokayo kwa Mwenyezi Mungu yange kuwa bora. Laiti wangeli kuwa wanajua!
104_00	Enyi mlio amini! Msiseme: "Raa'ina", na semeni: "Ndhurna". Na sikieni! Na makafiri watapata adhabu chungu.
105_00	Walio kufuru miongoni mwa watu wa Kitabu na washirikina hawapendi mteremshiwe kheri yoyote kutoka kwa Mola wenu Mlezi.
105_01	Na Mwenyezi Mungu humkusudia kumpa rehema yake ampendaye. Na Mwenyezi Mungu ni mwenye fadhila kubwa.
106_00	Ishara yoyote tunayo ifuta au tunayo isahaulisha tunailetea iliyo bora kuliko hiyo, au iliyo mfano wake. Hujui kwamba Mwenyezi Mungu ni Muweza wa kila kitu?
107_00	Hujui kwamba Mwenyezi Mungu ana ufalme wa mbingu na ardhi? Nanyi hamna mlinzi wala msaidizi isipo kuwa Mwenyezi Mungu.
108_00	Au mnataka kumwomba Mtume wenu kama alivyo ombwa Musa zamani? Na anaye badilisha Imani kwa ukafiri bila ya shaka huyo ameipotea njia iliyo sawa.
109_00	Wengi miongoni mwa watu wa Kitabu wanatamani lau wange kurudisheni nyinyi muwe makafiri baada ya kuamini kwenu, kwa ajili ya uhasidi uliomo ndani ya nafsi zao, baada ya kwisha wapambanukia Haki.
109_01	Basi sameheni na wachilieni mbali mpaka Mwenyezi Mungu atapo leta amri yake. Hakika Mwenyezi Mungu ni Muweza wa kila kitu.
110_00	Na shikeni Sala na toeni Zaka; na kheri mtakazo jitangulizia nafsi zenu mtazikuta kwa Mwenyezi Mungu. Hakika Mwenyezi Mungu anayaona mnayo yafanya.
111_00	Na walisema: Hataingia Peponi ila aliyekuwa Yahudi au Mkristo. Hayo ni matamanio yao. Sema: Leteni ushahidi wenu kama nyinyi ni wasema kweli.
112_00	Sivyo hivyo! Yeyote anaye elekeza uso wake kwa Mwenyezi Mungu naye ni mtenda mema, basi ana malipo yake kwa Mola wake Mlezi, wala haitakuwa khofu juu yao wala hawatahuzunika.
113_00	Na Mayahudi husema: Wakristo hawana lao jambo. Na Wakristo husema: Mayahudi hawana lao jambo.
113_01	Na ilhali wote wanasoma Kitabu hicho hicho (Biblia). Na kadhaalika walisema wale wasio jua kitu mfano wa kauli yao hii. Basi Mwenyezi Mungu atahukumu baina yao Siku ya Kiyama katika yale waliyo kuwa wakikhitilafiana.
114_00	Na ni nani dhaalimu mkubwa kuliko yule anaye zuia misikiti ya Mwenyezi Mungu kutajwa ndani yake jina lake na akajitahidi kuiharibu?
114_01	Watu hao haitawafalia kuingia humo ila nao wanaogopa. Duniani watapata hizaya na Akhera watapata adhabu kubwa.
115_00	Na mashariki na magharibi ni za Mwenyezi Mungu. Basi kokote mnako elekea, huko Mwenyezi Mungu yupo. Hakika Mwenyezi Mungu ni mwenye wasaa na Mjuzi.
116_00	Na ati wanasema: Mwenyezi Mungu ana mwana. Subhanahu! Ametakasika na hayo. Bali vyote viliomo mbinguni na duniani ni vyake. Vyote vinamt'ii Yeye.
117_00	Yeye ndiye Muumba wa mbingu na ardhi pasina ruwaza; na anapo taka jambo basi huliambia tu: Kuwa! Nalo huwa.
118_00	Na walisema wale wasio jua kitu: Mbona Mwenyezi Mungu hasemi nasi au zikatufikia Ishara. Kama hivyo walisema wale walio kuwa kabla yao mfano wa kauli yao hii.
118_01	Nyoyo zao zimefanana. Hakika Sisi tumeziweka wazi Ishara kwa watu wenye yakini.
119_00	Hakika Sisi tumekutuma kwa Haki uwe mbashiri, na mwonyaji. Na wala hutaulizwa juu ya watu wa Motoni.
120_00	Mayahudi hawawi radhi nawe, wala Wakristo, mpaka ufuate mila yao.
120_01	Sema: Hakika uwongofu wa Mwenyezi Mungu ndio uwongofu. Na kama ukifuata matamanio yao baada ya ujuzi ulio kwisha kujia, hutapata mlinzi wala msaidizi kwa Mwenyezi Mungu.
121_00	Wale tulio wapa Kitabu, wakakisoma kama ipasavyo kusomwa, hao ndio kweli wanakiamini. Na wanao kikataa basi hao ndio wenye kukhasiri.
122_00	Enyi Wana wa Israili! Kumbukeni neema yangu niliyo kuneemesheni, na hakika Mimi nikakufadhilisheni kuliko wengineo wote.
123_00	Na iogopeni siku ambayo hatamfaa mtu mwenziwe kwa lolote, wala hakitakubaliwa kwake kikomboleo, wala maombezi hayatamfaa, wala hawatanusuriwa.
124_00	Na Mola wake Mlezi alipo mjaribu Ibrahim kwa kumpa amri fulani, naye akazitimiza, akamwambia: Hakika Mimi nitakufanya uwe mwongozi wa watu.
124_01	Akasema: Je, na katika vizazi vyangu pia? Akasema: Ahadi yangu haitawafikia wenye kudhulumu.
125_00	Na kumbukeni tulipo ifanya ile Nyumba (ya Alkaaba) iwe pahala pa kukusanyikia watu na pahala pa amani.
125_01	Na alipo kuwa akisimama Ibrahim pafanyeni pawe pa kusalia. Na tuliagana na Ibrahim na Ismail: Itakaseni Nyumba yangu kwa ajili ya wanao izunguka kwa kut'ufu na wanao jitenga huko kwa ibada, na wanao inama na kusujudu.
126_00	Na alipo sema Ibrahim: Ee Mola wangu Mlezi!
126_01	Ufanye huu uwe mji wa amani, na uwaruzuku watu wake matunda, wale wanao muamini Mwenyezi Mungu na Siku ya Mwisho. Akasema: Na mwenye kukufuru pia nitamstarehesha kidogo, kisha nitamsukumiza kwenye adhabu ya Moto, napo ni pahala pabaya mno pa kurejea.
127_00	Na kumbukeni Ibrahim na Ismail walipo inyanyua misingi ya ile Nyumba wakaomba: Ewe Mola Mlezi wetu! Tutakabalie! Hakika Wewe ndiye Msikizi Mjuzi.
128_00	Ewe Mola Mlezi wetu! Tujaalie tuwe ni wenye kusilimu kwako, na pia miongoni mwa vizazi vyetu wawe umma ulio silimu kwako. Na utuonyeshe njia za ibada yetu na utusamehe. Bila shaka Wewe ndiye Mwenye kusamehe Mwenye kurehemu.
129_00	Ewe Mola Mlezi wetu! Waletee Mtume anaye tokana na wao, awasomee Aya zako, na awafundishe Kitabu na hikima na awatakase. Hakika Wewe ndiye Mwenye nguvu, Mwenye hikima.
130_00	Na nani atajitenga na mila ya Ibrahim isipo kuwa anayeitia nafsi yake katika upumbavu? Na kwa yakini Sisi tulimteuwa yeye katika dunia; na hakika yeye katika Akhera atakuwa miongoni mwa watu wema.
131_00	Na Mola wake Mlezi alipo mwambia: Silimu, Nyenyekea! Alinena: Nimesilimu, nimenyenyekea kwa Mola wa walimwengu wote.
132_00	Na Ibrahim akawausia wanawe, na pia Yaaqub: Enyi wanangu! Hakika Mwenyezi Mungu amekuteulieni Dini hii; basi msife ila nanyi mmekuwa Waislamu, wanyenyekevu.
133_00	Je!
133_01	Mlikuwapo yalipo mfikia Yaaqub mauti, akawaambia wanawe: Mtamuabudu nani baada yangu? Wakasema: Tutamuabudu Mungu wako na Mungu wa baba zako, Ibrahim na Ismail na Is- hak, Mungu Mmoja tu, na sisi tunasilimu kwake.
134_00	Hao ni watu walio kwisha pita. Watapata waliyo yachuma, nanyi mtapata mtakayo yachuma; wala hamtaulizwa nyinyi waliyo kuwa wakiyafanya wao.
135_00	Na wakasema: Kuweni Mayahudi au Wakristo ndio mtaongoka. Sema: Bali tunashika mila ya Ibrahim mwongofu, wala hakuwa katika washirikina.
136_00	Semeni nyinyi: Tumemuamini Mwenyezi Mungu na yale tuliyo teremshiwa sisi, na yaliyo teremshwa kwa Ibrahim na Ismail na Is-hak na Yaakub na wajukuu zake, na
136_01	waliyo pewa Musa na Isa, na pia waliyo pewa Manabii wengine kutoka kwa Mola wao Mlezi; hatutafautishi baina ya yeyote katika hao, na sisi tumesilimu kwake.
