001_00	Alif Lâm Mîm.
027_00	En Hij is Degene Die de schepping schept en haar daarna herhaalt en dat is voor Hem nog gemakkelijker. En aan Hem behoren de meest verheven eigenschappen in de hemelen en op de aarde. En Hij is de Almachtige, de Alwijze.
028_00	Hij geeft jullie een vergelijking met julliezelf.
028_01	Zijn er voor jullie die over slaven beschikken deelgenoten in de voorzieningen die Wij jullie hebben geschonken, zodat jullie daarin gelijk zijn?
028_02	En vrezen jullie hen zoals jullie elkaar vrezen? Zo leggen Wij de Tekenen uit aan een volk dat begrijpt.
029_00	Maar degenen die onrecht pleegden volgden hun begeerten. zonder kennis. En wie kan dan hen leiden die Allah deed dwalen? En voor hen zijn er geen helpers.
030_00	Wend dan jouw aangezicht (O Moehammad) naar de godsdienst als een Hanîf.
030_01	(Volg) de na tuurlijke aanleg, die Allah in de mens geschapen heeft. Er is geen verandering in de schepping van Allah Dat is de juiste godsdienst, maar de meeste mensen weten het niet.
031_00	(Wendt jullie) als berouwvollen tot Hem, en vreest Hem en onderhoudt de shalât en behoort niet tot de veelgodenaanbidders.
032_00	Behorend tot degenen die hun godsdienst hebben opgesplitst en tot groepen zijn geworden. Iedere groep verbeugt zich in wat zij hebben.
033_00	En wanneer tegenspoed de mensen treft, dan roepen zij hun Heer aan, als berouwvollen tot Hem. Daarna, wanneer Hij hun Barmhartigheid van Hem doet proeven, dan kont een groep van hen deelgenoten aan hun Heer toe.
034_00	Om ondankbaarheid te tonen voor wat Wij hen hebben gegeven. Geniet maar, spoedig zuilen jullie het weten.
035_00	Hebben Wij een bewijs neergezonden dat spreekt over de deelgenoten die zij am Hem toekennen?
036_00	En wanneer Wij de mensen Barmhartigheid doen proeven, dan zijn zij daar blij mee, maar wanneer kwaad hen treft, wegens wat zij bedreven, dan wanhopen zij.
037_00	En zien zij niet dat Allah ck voorzieningen verruimt voor wie Hij wil, en dat Hij beperkt? Voorwaar, daarin zijn zeker Tekenen voor een volk dat gelooft.
038_00	Geeft dan de verwant zijn recht, en de behoeftige en de reiziger (zonder proviand). Dat is beter voor degenen die het welbehagen van Allah wensen. En zij zijn degenen die de welslagenden zijn.
039_00	Wat jullie van eigendommen van de mensen gegevon hebben als rente om te vermeerderen: het vermeerdert niets bij Allah.
039_01	Maar wat jullie aan zakât hebben gegeven, het welbehagen van Allah wensend: zij zijn degenen voor wie (hun beloningen) verveelvuldigd worden.
040_00	Allah is Degene Die jullie heeft geschapen en jullie daarop voorzag. Vervolgens doet Hij jullie sterven en daarna doet Hij jullie weer leven.
040_01	Is er één onder jullie deelgenoten die ook maar iets van deze deden kan verrichten? Heilig is Hij en Verheven boven de deelgenoten die zij (Hem) toekennen.
041_00	Het verderf is op het land en de zee zichtbaar door wat de mensen hebben verricht, zodat Hij hun een gedeelte van wat zij hebben verricht, doet proeven. Hopelijk zij zullen berouw tonen.
042_00	Zeg: "Reist op aarde en zie hoe het einde was van degenen v??r hen." De meegen van hen waren veelgoden aanbidders.
043_00	Wend daarom jouw aangezicht tot de juiste godsdienst v??rdat er van Allah een Dag komt die onafwendbaar is. Op die Dag worden zij gegroepeerd.
044_00	Wie niet gelooft is verantwoordelijk voor zijn ongeloof. En degenen die goede daden verrichten, zij hebben voor zichzelf voorbereidingen getroffen.
045_00	Opdat Hij degenen die geloven en goede werken verrichten zal belonen, van Zijn gunst. Voorwaar, Hij houdt niet van de ongelovigen.
046_00	En tot Zijn Tekenen behoort dat Hij de winden zendt als verkondigers van verheugende tijdingen en om jullie van Zijn Barmhartigheid te doen proeven. En opdat de schepen varen op Zijn bevel en opdat jullie Zijn gunst zoeken. Hopelijk zullen jullie dankbaar zijn.
047_00	En voorzeker, Wij hebben v??r jou Boodschappers tot kan volken gezonden, en zij kwamen tot hen met de duidelijke bewijzen, waarna Wij degenen die zonden begingen vergolden.
047_01	En Wij hebben Onszelf verplicht de gelovigen te helpen.
048_00	Allah is Degene Die de winden zendt die dan wolken voortdrijven, waarna Hij hen in de hemel uitspreidt hoe Hij wil, en hen in stukken verdeelt.
048_01	Dan zie jij de regen vanuit hun midden komen. Fn wanneer deze neerkomt op wie Hij wil van Zijn dienaren verheugen zij zich.
049_00	Hoewel zij, v??rdat deze op hen neer wordt gezonden, zeker wanhoopten.
050_00	Zie dan de sporen van de Barmhartigheid van Allah: hoe Hij de aarde doet leven na haar dood. Voorwaar, zo is Hij Die de doden zeker doet leven. En Hij is Almachtig over alle zaken.
051_00	Maar als Wij een wind zonden, waarna zij (hun gewassen) geel zien worden, dan blijven zij zeker daarna ongelovig.
052_00	Voorwaar, jij kunt de doden, noch de doven de oproep doen horen als zij zich afwenden en de rug toe keren.
053_00	En jij kunt nooit de blinden leiden uit hun dwaling. Jij kunt niemand doen horen, behalve wie in Onze Tekenen gelooft. Zij zijn Moslims.
054_00	Allah is Degene Die jullie heeft geschapen uit een zwak (vocht), daarna maakt Hij na zwakte sterkte.
054_01	Waarop Hij van sterkte zwakte en ouderdom maakt. Hij schept wat Hij wil, en Hij is de Alwijze, de Almachtige.
055_00	En op de Dag waarop het Uur valt, zweren de misdadigers dat zij niet langer dan een uur (in hun graven verbleven). Zo zijn zij bedrogen.
056_00	En degenen aan wie de kennis en het geloof zijn gegeven, zullen zeggen: "Voorzeker, jullie verbleven er zoals is vastgelegd door Allah, tot de Dag der Opstanding.
056_01	Dit is dan de Dag der Opkwekking, maar jullie wisten het niet."
057_00	Op die Dag zullen de verontschuldigingen van degenen die onrecht pleegden hun met baten. En hun zal geen gelegenheid worden gegeven om berouw te tonen.
058_00	En voorzeker, Wij hebben voor de mensen in deze Koran allerlei vergelijkingen gegeven; en als jij hen een Vers brengt, dan zeggen degenen die niet geloven zeker: "Jij bent niets dan een vervalser."
059_00	Zo vergrendelt Allah de harten van degenen die niet weten.
060_00	Wees daarom geduldig: voorwaar, de belofte van Allah is waar. En wordt niet verontrust door degenen die niet (door jou) overtuigd zijn.
