001_00	Thâ Hâ.
073_00	Voorwaar, wij geloven in onze Heer, opdat Hij onze zonden zal vergeven en (ook) de tovenarij, waartoe jij ons gedwongen hebt. En Allah is beter (in het belonen) en blijvender (in de bestraffinjg)."
074_00	Voorwaar, wie als een zondaar war zijn Heer komt, voor hem is zeker de Hel, waarin hij noch leeft noch sterft.
075_00	En zij die als gelovigen naar Hem komen en waarlijk goede daden verrichten: zij zijn degenen die de hoge rangen krijgen.
076_00	De Tuinen van 'Adn ( het Paradijs), waar onder door de rivieren stromen, zij zijn eeuwig levenden darin. Dat is de beloning voor wie zich reinigt.
077_00	En voorzeker, Wij hebben aan Môesa geopenbaard: "Reis in de nacht met Mijn dienaren en sla (met je staf) voor hen een droge weg door de zee. Wees niet bang om bereikt te worden en wees niet angstig."
078_00	Toen volgde Fir'aun hen met zijn legers, daarop werden zij bedekt door de vloedgolf die over hen kwam.
079_00	En Fir'aun deed zijn volk dwalen en leidde hen niet.
080_00	O Kinderen van Israël, Wij hebben jullie waarlijk van jullie vijand gered en Wij sloten een verbond met jullie bij de rechterzijde van (de berg) Thôer en Wij deden Manna en kwartels voor jullie neerdalen.
081_00	Eet van de gome dingen, waarmee Wij jullie hebben voorzien en overdrijft niet zodat Mijn woede jullie niet treft. En wie door Mijn woede getroffen wordt zal waarlijk ten onder gaan.
082_00	En voorwaar, Ik ben zeker een Vergevensgezinde voor degene die berouw toonde en geloofde en goede daden verrichtte en vervolgens Leiding volgde.
083_00	(Allah zei:) "En wat heeft jou je van jouw volk doen weghaasten, O Môesa?"
084_00	Hij zei: "Zij volgen in mijn voetstappen en ik haastte mij naar U, O mijn Heer, om door U behaagd te worden."
085_00	Hij (Allah) zei: "Wij hebben jou op de proef gesteld nadat jij (vertrok) en de Sâmirî bracht hen tot dwaling."
086_00	Toen keerde Môesa terug naar zijn volk, woedend en vol spijt, en zei.
086_01	"O mijn volk, heeft jullie Heer jullie geen goede belofte gedaan? Duurde (de vervulling van) de belofte te lang of wilden jullie dat de woede van jullie Heer jullie trof, zodat jullie mijn afspraak (met jullie) afzegden?"
087_00	Zij zeiden: "Wij hebben de afspraak met jou niet uit vrije wil afgezegd, maar wij werden belast met ladingen sieraden van het volk. Toen gooiden wij die (in het vuur), net zoals de Sâmirî (ze in het vuur) wierp.
088_00	Toen haalde de Sâmirî voor hen een beeld van een kalf (uit het vuur), met geloei. En zij zeiden: "Dit is jullie god en de god van Môesa, maar hij vergat (hem)."
089_00	Zien zij niet dat het geen woord aan hen terug gaf en het ook geen kracht had om voor hen schade (te voorkomen) of te baten?
090_00	En voorzeker, Hârôen had tevoren gezegd: "O mijn volk, jullie worden daarmee op de proef gesteld. En voorwaar, jullie Heer is de Barmhartige. Volgt mij daarom en gehoorzaamt mijn bevel."
091_00	Zij (de aanbidders van het kalf) zeiden: "Wij zullen nooit ophouden hein (te aanbidden), totdat Môesa tot ons terugkeert."
092_00	Hij (Môesa) zei: "O Hârôen, wat hield jou tegen toen jij ben zag dwalen?
093_00	Om mij te volgen? Ben jij dan ongehoor-zaam aan mijn bevel geweest?"
094_00	Hij (Hârôen) zei: "Zoon van mijn moeder, grijp mij niet bij mijn baard of bij mijn hoofd. Ik was bang dat jij zou zeggen: 'Jij hebt de Kinderen van Israël verdeeld en jij hebt mijn woorden niet in acht genomen."
095_00	Hij (Môesa) zei: "Wat was jouw geval, O sâmirî?"
096_00	Hij (de Sâmiri) zei: "Ik doorzag wat zij niet doorzagen en ik nam een handvol uit het spoor van de gezant en ik strooide het (over het kalt). En zo verblijdde ik mijzelf"
097_00	Hij (Môesa) zei: "Ga dan maar heen. Voorwaar, voor jou is er in het leven, dat jij slechts kan zeggen: 'Raak mij niet aan, 'en voorwaar, voor jou is er een afspraak (in het Hiernamaals), die nooit afgezegd kan worden.
097_01	En kijk naar jouw god die jij voortdurend aan het aanbidden was: wij zullen hem zeker verbranden. En vervolgens werpen wij hem zeker als as in de zee!"
098_00	Voorwaar, jullie god is slechts Allah, er is geen god dan Hij. Hij omvat alle zaken met (Zijn) kennis.
099_00	Zo verhalen Wij jou van de geschiedenissen van wat voorafgegaan is. En waarlijk, Wij hebben jou van Onze Zijde de Vermaning gegeven.
100_00	Hij, die zich ervan afwendt: voorwaar, hij zal op de Dag der Opstanding een zonde dragen.
101_00	Zij zullen daarin eeuwig levenden zijn. Slecht zal de last voor hen zijn op de Dag der Opstanding!
102_00	Op de Dag, waarop op de bazuin wordt geblazen en Wij de zondaren verzamelen, met hun afschrikwekkende gezichten.
103_00	Fluisterend onder elkaar zeggen ze: "Jullie hebben slechts tien dagen op aarde verbleven."
104_00	Wij weten het beste wat zij zeggen wanneer degene die het meest voorbeeldig de Weg volgde onder hen zegt. "Jullie hebben er slechts één dag verbleven."
105_00	En zij vragen jou over de bergen. Zeg dan: "Mijn Heer zal ze als pulver doen uiteenvallen.
106_00	En Hij laat hen achter als een kale vlakte.
107_00	Waarop je geen lage en hoge (plaatsen) ziet."
108_00	Op die dag zullen zij de Oproeper volgen; er is geen (mogelijkeid) om aan hem te ontsnappen. En stemmen zullen zacht klinken tegenover de Barmhartige, zodat je niets dan gefluister hoort.
109_00	Op de Dag is bemiddeling niet van nut, behalve voor hem, aan wie de Barmhartige toestemming geeft en wiens woorden Hem welgevallen.
110_00	Hij weet wat vôôr hen is en wat achter hen is, en zij kunnen Hem met kennis niet omvatten.
111_00	En alle gezichten zullen eerbiedig neerbuigen voor de Levende, de Zelfstandige. En waarlijk, hij die onrecht pleegde zal teleurgesteld worden.
112_00	En hij die goede daden verrichtte en een gelovige was, hoeft niet bang te zijn voor onrecht of verlies.
113_00	En zo hebben Wij hem neergezonden als een Arabische Koran en Wij hebben daarin waarschuwingen uiteengezet. Hopelijk zullen zij (Allah) vrezen of zal hij (de Koran) hen lering brengen.
114_00	En Verheven is Allah, de Ware Koning. En haast je niet met de Koran (O Moehammad), voordat zijn openbaring an jou voltooid is. En zeg: "'Mijn Heer, vermeerder voor mijn kennis."
115_00	En Wij hadden vroeger met Adam een verbond gesloten, maar hij vergat het. Wij vonden bij hem geen vastberadenheid.
116_00	En toen Wij tegen de Engelen Zeiden: "Werpt jullie neer voor Adam," wierpen zij zich neer, behalvc lblîs, hij weigerde.
117_00	Daarop zeiden Wij: "O Adam, voorwaar, dit is zeker een vijand van jou en jouw vrouw. Laat hem daarom jullie niet uit het Paradijs verdrijven, want dan zal jij zeker ongelukkig worden.
118_00	Voorwaar, daarin is voor jou geen honger en jij bent er niet naakt.
119_00	Jij hebt ef zeker geen dorst en jij wordt er niet blootgesteld aan hitte."
120_00	Maar de Satan fluisterde hem in, en zei: "O Adam, zal ik jou de eeuwige boom wijzen en een koninkrij'k dat niet vergaat?"
121_00	Vervolgens aten zij ervan, zodat hun schaamte zichtbaar werd en zij begonnen zich te bedekken uwt bladeren van het Paradijs; en zo was Adam zijn Hecr ongehoorzaam en dwaalde hij.
122_00	Daarna koos zijn Heer hem uit en Hij aanvaardde zün berouw en leidde (hem).
123_00	Hij (Allah) zei: "Daalt hieruit af, tezamen, onder jullie zal de één de vijand zijn van de ander. Maar als van Mij Leiding tot jullie komt: wie Mijn Leiding volgt dwaalt niet en is niet ongelukkig.
124_00	En hij die zich afwendt van Mijn Vemaning: voorwaar, er zal dan voor hem een benauwd leven zijn. En Wij zullen hen verzamelen op de Dag der Opstanding, in blinde toestand.
125_00	Hij zal zeggen: "Mijn Heer, waarom verzamelt U mij in blinde toestand, terwijl ik vroeger in staat was om te zien?"
126_00	Hij (Allah) zai zeggen: "Zo is het. Onze Tekkenen zijn tot jou gekomen, maar jij verpt ze, en daaroin wordt jij vandaag vergeten."
127_00	En zo vergeiden Wij wie overschrijdt en niet in de Tekenen van zijn Heer gelooft. En de bestraffing in het Hiernamaals is zeker strenger en blijvender.
128_00	Is er voor hen den geen Leiding in hoeveel genenties v??r hen Wij vernietigd hebben, en over wiens (vernietigde) woningen zij rondwandeled? Voorwaar, daarin zijn zeker Tekenen voor de bezittem van verstand.
129_00	En als er geen Wood van jouw Heer voorafgegan was, en het tijdstip niet vastgesteld was, dan zou (de bestraffing) ben zeker treffen.
130_00	Wees daarom geduldig (O Moehammad) met wat zij zeggen en prijs de lof van jouw Heer v??r de zonsopgang en v??r haar ondergang en tijdens de nacht en prijs (Hem) op de uiteinden van de dag.
130_01	Hopelijk ben jij tevreden.
131_00	En kijk niet met uitpuilende ogen naar wat Wij sommigen van hen aan genietingen hebben geschonken, (het is slechts) de versiering van het wereldse leven, om hen ermee op de proef te stellen. Ein de voorziening van jouw Heer is beter en blijvender.
132_00	En beveel jouw familie de shalât te verrichten en volhard daarin. Wij wagen van jou geen voorziening (te geven), Wij geven jou voorziening. Het (goede) einde is voor degene die (Allah) vreest.
133_00	En zij (de ongelovigen) zeggen: "Waarom is hij niet met een Teken van Zijn Heer tot ons gekomen?" Is er dan geen duidelijk Teken tot hen gekomen in de voorafgaande Geschriften?
134_00	En als Wij hen vernietigd hadden door een bestraffing voor hem (de Koran), dan zouden zij zeker zeggen: "Onze Heer, had U maar een Boodschapper naar ons gestuurd, dan zouden wij Uw Tekenen hebben gevolgd, voordat wij vemederd en te schande gemaakt werden!"'
135_00	Zeg: "Allen wachten af, wacht dus af. Jullie zullen te weten komen wie de volgers van het rechte Pad zijn en wie Leiding volgden."
