001_00	Degenen die ongelovig zijn en afhouden van de Weg van Allah: Hij zal hun werken verloren doen gaan.
025_00	Voorwaar, degenen die afvallig werden nadat de Leiding voor hen duidelijk was geworden: de Satan maakte (hun daden) schoonschijnend voor hen en bedroog hen.
026_00	Dat is omdat zij tot degenen die haatten wat Allah heeft neergezonden (de Joden), zeiden: "Wij zullen jullie gehoorzamen in sommige zaken." Maar Allah kent hun geheimen.
027_00	Hoe zal het zijn wanneer de Engelen hen wegnemen en hun gezichten en hun ruggen slaan?
028_00	Dat is omdat zij dat wat de toorn van Allah opwekte volgden en zij dat wat Zijn behagen opwekte haatten. Toen deed Allah hun werken verloren gaan.
029_00	Of dachten zij in wier harten een ziekte is, dat Allah hun afgunst niet zou onthullen?
030_00	Als Wij het zouden willen, dan zouden Wij het jullie tonen. Zodat jij de tekenen ervan zeker zou kennen en jij die zeker zou herkennen door hun zinspelingen. En Allah kent jullie daden.
031_00	En Wij zullen jullie zeker beproeven, totdat Wij toetsen wie van jullie de strijders en de geduldigen zijn. En Wij beproeven jullie daden.
032_00	Voorwaar, degenen die niet geloven en die afhouden van de Weg van Allah en die de Boodschapper tegenstreven nadat de Leiding hun duidelijk was geworden zullen Allah nooit iets kunnen schaden. En Hij zal hun werken vruchteloos maken.
033_00	O jullie die geloven, gehoorzaamt Allah en gehoorzaamt de Boodschapper en maakt jullie werken niet nietig.
034_00	Voorwaar, degenen die ongelovig zijn en die afhouden van de Weg van Allah en die dan sterven terwijl zij ongelovigen zijn: Allah zal hen nooit vergeven.
035_00	Weest daarom niet vernederd en roept niet op tot vrede terwijl jullie de overhand hebben. En Allah is met jullie. En Hij benadeelt jullie nooit (in de beloning) voor jullie werken.
036_00	Voorwaar, het wereldse leven is slechts spel en vermaak. Maar als jullie geloven en (Allah) vrezen, dan zal Hij jullie je beloningen geven en Hij zal niet om jullie bezittingen vragen.
037_00	Als Hij jullie die (bezittingen) zou vragen en bij jullie zou aandringen, dan zouden jullie gierig worden en zou Hij jullie afgunst onthullen.
038_00	Weet dat jullie degenen zijn die opgeroepen worden om bijdragen te geven op de Weg van Allah. En onder jullie zijn er die gierig zijn, en wie gierig is: voorwaar, hij is slechts gierig ten nadele van zichzelf.
038_01	En Allah is de Behoefteloze, terwijl jullie de behoeftigen zijn. En als jullie je afwenden, dan zal Hij jullie door een ander volk vervangen, waarna zij niet als jullie zijn.
