001_00	Dichter bij voor de mensen is hun afrekening gekomen, terwijl zij zich in onachtzaamheid afwenden.
019_00	Aan Hem behoort wat in de hemelen en op de aarde is. En degenen die niet Hem zijn (de Engelen), zijn niet te hoogmoedig om Hem te dienen en zij worden er niet moe van.
020_00	Zij prijzen Zijn Glorie tijdens de nacht en de dag en versagen niet.
021_00	Of hebben zij (de ongelovigen) goden uit de aarde genomen die (de doden kunnen) opwekken?
022_00	Als er andere goden dan Allah in zouden zijn, dan zou zij (de hemelen en de aarde) zeker vergaan: maar Heilig is Allah, Heer van de Troon, boven wat zij Hem toeschrijven!
023_00	Hij kan niet over Zijn handelen ondervraagd worden, terwijt zij wel ondervraagd worden.
024_00	Of hebben zij naast Hem goden genomen?
024_01	Zeg (O Moehammad): "Brengt jullie bewijs, dit is de Varmaning van degenen met mij en v??r mij." Maar de meesten van hen kennen de Waarheid niet, daarom keren zij zich af.
025_00	En Wij stuurden niet één van de Boodschappers v??r jou, of Wij openbaarden aan hem dat er geen andere god dan Ik is, aanbidt Mij daarom.
026_00	En zij zeiden: "De Bamhartige heeft Zich een zoon genomen." Heilig is Hij! Zij (de Engelen) zijn slechts geëerde dienaren!
027_00	Zij nemen het wooird niet v??r Hem en zij handelen op Zijn bevel.
028_00	Hij weet wat v??r hen is en wat achter hen is en zij zijn niet van voorspraak, behalve voor wie Hem welgevallig zijn. En uit ontzag voor Hem vrezen zij (Allah).
029_00	En wie van hen zegt: "Voorwaar, ik ben een god naast Hem," die vergelden Wij daarop niet de Het, zo vergelden Wij de onrechtplegers.
030_00	Weten degenen die ongelovig zijn niet dat de hemelen en de aarde als een gemengde massa waren en dat Wij hen beide daarop splitsten en dat Wij alle levende dingen uit het water maakten? Geloven zij niet?
031_00	En Wij maakten stevige bergen op de aarde, zodat zij niet met hen schudt. En Wij maakten daarin brede passen als wegen. Hopelijk zullen zij Leiding volgen.
032_00	En Wij maakten de hemel als een beschermende kap, maar zij wendden zich af van zijn Tekenen.
033_00	En Hij is Degene Die de nacht en de dag geschapen heeft, en de zon en de maan, allen bewegen in een baan.
034_00	En Wij hebben geen mens v??r jou onsterfelijkheid gegeven. Als jij zou sterven; zouden zij dan eeuwig leven?
035_00	Iedere ziel zal de dood ervaren en Wij stellen jullie op de proef met het slechte en het goede, als een beproeving, en tot Ons worden jullie teruggkeerd.
036_00	En als degenen die ongelovig zijn jou zien, zullen zij jou slechts spottend behandelen: "Is dit degene die jullie goden verwijten maakt?" En in het gedenken van de Barmhartige geloven zij niet.
037_00	De mens is haastig (van aard) geschapen. Spoedig zal ik jullie mijn Tekenen laten zien, vraagt daarom geen verhaasting (ervan).
038_00	Zij zeggen: "Wanneer vindt (de vervulling van) deze belofte plaats als jullie waarachtigen zijn?"
039_00	Als degenen die ongelovig zijn maar het moment gekend hadden waarop zij de Hel niet van hun gezichten kunnen afhouden, en niet van hun ruggen. En zij worden niet geholpen!
040_00	Integendeel, het zal hen onverwachts overvallen en hen verbijsteren. Daarom zijn zij niet in staat het tegen te houden. En hun (bestraffing) zal niet uitgesteld worden.
041_00	En voorzeker, er word v??r jou al de spot met de Boodschappers gedreven maar degenen die hen belachelijk maakten, werden omsingeld door hetgeen waarmee zij de spot plachten te drijven.
042_00	Zeg: "Wie kan jullie 's nacht en overdag veiligheid bieden tegen de Barmhartige?" Nee, zij keren zich af van de Vermaning van kun Heer.
043_00	Of hebben zij goden, die hen verdedigen tegen Ons? Zij zijn niet in staat zichzelf te helpen en zij worden niet tegen Ons bijgestaan.
044_00	Maar Wij hebben hun en hun vaderen genietingen geschonken, totdat de leeftijden voor hen veriengd werden.
044_01	Zien zij dan niet dat Wij het land (onder hun macht) doen verminderen vanaf haar buitengronzen? Zijn zij dan de overwinnaars?
045_00	Zeg: "Voorwaar, ik waarschuw jullie slechts met de Openbaring." Maar de doven luisteren niet naar de oproep, zelfs (niet) wanneer zij gewaarschuwd worden.
046_00	En als ook maar een adem van de bestraffing van jouw Heer ben trek zeggen zij zeker: "Wee ons! Voorwaar, wij waren onrechtvaardigen!"
047_00	En Wij zullen betrouwbare weegschalen opstellen op de Dag der Opstanding, zodat geen ziet iets van onrecht aangedaan wordt. En al gaat het om het gewicht van een mosterdzaadje: Wij zullen het naar voren brengen. En Wij zijn voldoende als Berekenaars.
048_00	En voorzeker hebben Wij aan Môesa en Hârôen een Foerqân gegeven, als een verheidering en een Vemaning voor de Moettaqôen.
049_00	Degenen die voor kun Heer vrezen in het verborgene. En zij zijn bang voor het Uur.
050_00	En dit is een gezegende Vermaning, die Wij neerzonden. Zullen jullie haar dan verwerpen?
051_00	En voorzeker gaven Wij vroeger Ibrâhîm zijn rechtgeleidheid en Wij waren bekend met hem.
052_00	(Gedenkt) toen hij tegen zijn vader en zijn voik zei: "Wat zijn dat voor beelden, die jullie aanbidden?"
053_00	Zij zeiden: "Wij vonden dat onze vaderen hen aanbaden."
054_00	Hij zei: "Voorzeker, jullie en jullie vaderen verkeren in duidelijke dwaling."
055_00	Zij zeiden: "Ben jij naar ons gekomen met de Waarheid, of behoor jij tot hen die spotten?"
056_00	Hij zei "Integendeel, jullie Heer is de Heer van de hemelen en de aarde, die Hij geschapen heeft. En ik behoor tot degenen die daarvan getuigen.
057_00	Bij Allah, ik zal zeker een plan beramen tegen jullie afgoden, nadat jullie weggaan, jullie ruggen toekerend."
058_00	Toen sloeg hij hen allemaal in stukken, behalve de grootste van hen, misschien zouden zij tot bem terugkeren.
059_00	Zij zeiden: "Wie heeft dat met onze afgoden gedaan? Voorwaar, hij behoort tot de onrechtplegers!"
060_00	Zij zeiden: "Wij hebben een jongeman over hen boren spreken, Ibrâhîm wordt hij genoemd."
061_00	Zij zeiden: "Brengt hem dan onder de ogen van de mensen, hopelijk zullen zij getuigen."
062_00	Zij zeiden: "Heb jij dit met onze goden gedaan, O Ibrâhîm?"
063_00	Hij zei: "Nee, de grootste van hen heeft het gedaan. Dus ondervraagt hen maar, als zij kunnen spreken."
064_00	Toen kwamen zij tot zichzelf, en zeiden (tegen elkaar): "Voorwaar, jullie zijn zelf de onrechtplegers."
065_00	Toen bogen zij hun hoofden (en zeiden:) "Voorzeker, jij weet dat zij niet kunnen spreken."
066_00	Hij (Ibrâhîm) zei: "Aanbidden jullie dan (een god) naast Allah, die jullie in niets baat en niet schaadt?
067_00	Foei jullie een wat jullie naast Allah aanbidden. Begrijpen jullie dan niet?"
068_00	Zij (de ongelovigen) zeiden: "Verbrandt hem en helpt jullie goden, als jullie (iets willen) doen."
069_00	Wij (Allah) zeiden: "O vuur, wees koud en veilig voor Ibrâhîm.
070_00	En zij wilden een list tegen hem beramen, maar Wij maakten hen tot de grootste verliezers.
071_00	En Wij redden hem en Lôeth naar het land dat Wij gezegend hebben voor de wereldbewoners.
072_00	En Wij schonken hem Ishâq en Ya'qôeb als een geschenk. En Wij maakten ieder van hen tot oprechten.
073_00	En Wij maakten hen tot leiders, die leiding gaven volgens Ons bevel. En Wij openbaarden aan hen goede daden te verrichten en de shalât te onderhouden en de zakât te geven. En zij waren aanbidders van Ons.
074_00	En aan Lôeth schonken Wij wijsheid en kennis en Wij redden hem uit de stad waarvan (de bevolking) vuiligheid placht te bedrijven. Voorwaar, zij waren een slecht volk, zwaar zondigen.
075_00	En Wij deden hem in Onze Barmhartigheid binnengaan: voorwaar, hij behoorde tot de oprechten.
076_00	En (gedenkt) Nôeh, toen bij Ons vroeger aanriep en Wij hem daarop verhoorden: Wij redden hem en zijn familie van een geweldige ramp.
077_00	En Wij hielpen hem tegen het volk dat Onze Tekorten loochende. Voorwaar, zij waren een slecht volk. Toen deden Wij hen allen verdrinken.
078_00	En (gedenkt) Dâwôcd en Soelaimân toen zij een oordeel gaven over het akkerland, waarop de schapen van het volk grazend rondgelopen hadden. En Wij waren getuigen van hun oordeel."'
079_00	En Wij deden Soelaimân (de zaak) begrijpen. En aan ieder van hen gaven Wij wijsheid en kennis. En Wij maakten Dâwôcd met de bergen en de vogels dienstbaar om (Allah's) Glorie te prijzen, Eii Wij waren het Die dat deden.
080_00	En Wij leerden hem kleding (maliënkolders) te maken om jullie te beschermen in jullie oorlog. Zullen jullie dan dankbaren zijn?
081_00	En aait Soelaimin (onderwierpen Wij) de stormachtige wind, die met Zijn verlof naar het land bewoog dat Wij gezegend hadden. En Wij zijn Alwetend over alle zaken.
082_00	En van de Satans doken er voor hem en zij verrichtten daarnaast ander werk. En Wij waren Wakers over hen.
083_00	En (gedenkt) Ayyôeb toen hij zijn Heer aanriep (en zei:) "Voorwaar, tegenspoed heeft mij getroffen en U bent de Bamhartigste der Barmhartigen."
084_00	Toen verhoorden Wij hem en hieven de tegenspoed voor hem op. En Wij gaven hem zijn familie en het daaraan gelijke aan hem (erbij), als een Barmhartigheid van Ons en als een vermaning voor de aanbidders.
085_00	En (gedenkt) Ismâ'îl, Idrîs en Dzôelkifl: allen behoorden tot de geduldigen.
086_00	En Wij deden ben in Onze Barmhartigheid binnengaan. Voorwaar, zij behoorden tot de oprechten.
087_00	En (gedenkt) Dzôennôen toen hij kwaad wegging en meende dat Wij geen macht over hem hadden. Toen riep hij uit in de duisternissen: "Er is geen god dan U, Heilig bent U: voorwaar, ik behoorde tot de onrechtvaardigen."
088_00	Toen verhoorden Wij hem en Wij redden hem iuit de nood. En zo redden Wij de gelovigen.
089_00	En (gedenkt) Zakariyyâ, toen hij zijn Heer aanriep: "Mijn Heer, laat mij niet alleen (zonder nageslacht) en U bent de beste van de erfgenamen."
090_00	Toen verhoorden Wij hem en Wij schonken hem Yahya en Wij maakten zijn vrouw geschikt (om te baren).
090_01	Voorwaar, zij wedijverden in goede daden en riepen Ons aan, verlangend (naar Onze Genade) en vol ontzag (voor Onze bestraffing). En zij waren nederig tegenover Ons.
091_00	En zij (Maryam) bewaarde haar eerbaarheid, toen bliezen Wij van Onze Geest in haar. En Wij maakten haar en haar zoon een Teken voor de werelden.
092_00	Voorwar, deze godsdienst (Islam) is jullie godsdienst, de enigste. Ik ben jullie Heer, aanbidt Mij daarom.
093_00	Maar zij raakten onderling verdeeld over hun zaak (van eenheid). Allen zulleit tot Ons terugkeren.
094_00	En wie goede daden verricht en een gelovige is: zijn streven zal niet ontkend worden. Voorwaar, Wij zullen het voor hem opschrijven.
095_00	En het is onmogelijk voor (de bewoners van) een stad die Wij vernietigd hebben dat zij terugkeren (cm zich te beteren).
096_00	Totdat voor Ya'djôedj en Ma'djôedj (de muur) geopend wordt en zij van iedere hoogte komen aansnellen.
097_00	En de ware belofte nabij komt. Dan zullen de blikken van degenen die ongelovig zijn verstarren: "Wee ons, wij verkeerden in onachtzaamheid daaromtrent, wij waren zelfs onrechtvaardigen!"
098_00	Voorwaar, jullie en wat jullie naast Allah aanbidden zal brandstof zijn voor de Hel, jullie zullen er binnengaan.
099_00	En als diegenen goden waren, dan zouden zij er niet binnengaan. En allen zullen daarin eeuwig levenden zijn.
100_00	Zij zullen het daarin uitgillen en zij horen daarin niets.
101_00	Voorwaar, degenen aan wie het goede van Ons voorafgegaan is: zij zijn degenen die daar ver van gehouden worden.
102_00	Zij zullen er geen geluid van horen. En in wat hun zielen verlangen zullen zij eeuwig levenden zijn.
103_00	De grote verschrikking bedroeft hen niet en de Engelen zullen hun ontvangen (en zeggen:) "Dit is jullie dag, die jullie beloofd was.
104_00	(Gedenk) de Dag waarop Wij de hemelen oprollen, zoals het oprollen van het perkament om op te schrijven: net zoals Wij de eerste schepping begonnen zullen Wij haar herhalen, als een belofte die Wij op Ons namen. Voorwaar, Wij zullen het doen.
105_00	En voorzeker hebben Wij in de Zabôer geschreven, na de vermelding (in de Lauhoelmahfôezh), dat de aarde geërfd zal worden door Mijn rechtschapen dienaren.
106_00	Voorwaar, in deze (Koran) is zeker een Boodschap voor een volk van aanbidders.
107_00	En Wij hebben jou (O Moehammad) slechts gezonden als een barmhartigheid voor de werelden.
108_00	Zeg: "Voorwaar, wat aan mij geopenbaard is, is dat jullie god één God is, zullen jullie je dan aan Hem onderwerpen?"
109_00	Maar als zij zich afwenden, zeg dan: "Ik heb jullie opgeroepen tot hetzelfde en ik weet niet of wat jullie aangezegd is dichtbij of ver weg is.
110_00	Voorwaar, Hij weet aat openlijk besproken wordt en Hij weet wat jullie verbergen.
111_00	En ik wed niet of dit een beproeving voor jullie is en een tijdelijk genot."
112_00	Zeg: "Mijn Heer, oordeel naar de Waarheid. En onze Heer, de Barmhartige, is Degene wiens hulp gevraagd wordt tegen wat jullie (Hem) toeschrijven."
