001_00	Ya Sîn.
050_00	Dan kunnen zij (elkaar) niet raadplegen en zij kunnen niet tot hun familie terugkeren.
051_00	En er wordt op de bazuin geblazen, daarop snellen zij uit de graven naar hun Heer.
052_00	Zij zeggen: "Wee ons! Wie heeft ons van onze rustplaatsen doen opstaan? Dat is wat de Barmhartige heeft aangezegd, en de Gezondenen hebben de waarheid gesproken."
053_00	Het zal slechts één enkele bliksemslag zijn en dan zullen zij allen bij Ons voorgeleid worden.
054_00	Dan zal op deze Dag niemand onrecht aangedaan worden en jullie zullen slechts worden beloond voor wat jullie plachten te doen.
055_00	Voorwaar, de bewoners van het Paradijs zullen op deze Dag bezig zijn te genieten.
056_00	Zij en hun echtgenotes zullen zich in schaduwen bevinden, op rustbanken leunend.
057_00	Voor hen zijn er vruchten en voor hen is er wat zij verlangen.
058_00	"Salâm!" Een Woord van een Meest Barmhartige Heer.
059_00	Gaat op deze Dag (van de gelovigen) weg, O jullie misdadigers!
060_00	Heb ik jullie, O kinderen van Adam, niet opgedragen om de Satan niet te dienen? Voorwaar, hij is voor jullie een duidelijke vijand.
061_00	En aanbidt Mij: dat is het rechte Pad.
062_00	En voorzeker, hij heeft vele schepselen onder jullie doen dwalen. Gebruikten jullie je verstand dan niet?
063_00	Dit is de Hel waarvoor jullie gewaarschuwd plachen te worden.
064_00	Gaat haar op deze Dag binnen wegens wat jullie plachten niet te geloven.
065_00	Op die Dag plaatsen Wij een zegel op hun monden, en hun handen zullen tot Ons spreken en hun voeten zullen getuigen over wat zij plachten te verrichten.
066_00	En als Wij gewild hadden, dan hadden Wij zeker het gezichtvermogen uitgewist van hun ogen, waarna zij een wedloop naar het Pad zouden houden, maar hoe zouden zij (dat) kunnen zien?
067_00	En als Wij gewild hadden, dan hadden Wij hun gestalten veranderd op hun plaatsen (van zondigheid), waarna zij niet weg zouden kunnen gaan en niet terug zouden gaan.
068_00	En voor wie Wij de leeftijd verlengen doen Wij zijn lichaam verzwakken. Denken zij dan niet na?
069_00	En Wij hebben hem (Mohammed) het dichten niet onderwezen en het past hem niet. Het is niets dan een Vermaning en een duidelijke Koran.
070_00	Opdat hij de levenden zal waarschuwen en opdat het Woord (van bestraffing) voor de ongelovigen bewaarheid wordt.
071_00	Zien zij dan niet dat onder wat Onze Handen voor hen geschapen hebben het vee is, zodat zij daarvan bezitter zijn?
072_00	En Wij hebben het (vee) voor hen onderworpen, sommige berijden zij ervan en sommige eten zij.
073_00	En voor hen is er nut in en een (bron van) driken. Zijn zij dan niet dankbaar?
074_00	En zij nemen naast Allah goden in de hoop dat zij geholpen zullen worden.
075_00	Zij zijn niet in staat om hen te helpen, en zij (de veelgodenaanbidders) zijn voor hen een leger dat wordt voorgeleid.
076_00	Laten hun woorden jou daarom niet treurig maken: Voorwaar, Wij weten wat zij verbergen en wat zij openlijk doen.
077_00	Ziet de mens niet dat Wij hem uit een druppel hebben geschapen? Toch is hij duidelijk een redetwister.
078_00	En hij geeft Ons een voorbeeld, terwijl hij vergeet hoe hij zelf geschapen is. Hij zei: "Wie doet de beenderen tot leven komen, terwijl ze gruis zijn?"
079_00	Zeg: "Hij Die ze de eerste keer heeft doen ontstaan, Die zal ze doen leven. En Hij is de Kenner van de gehele schepping.
080_00	(Hij is) Degene Die voor jullie van de groene boom vuur heeft gemaakt. Waarna jullie er een vuur mee ontsteken."
081_00	Is Degene Die de hemelen en de aarde heeft geschapen niet bij machte om het gelijke ervan te scheppen? Zeker wel! En Hij is de Schepper, de Alwetende.
082_00	Voorwaar, wanneer Hij iets wil (scheppen), dan zegt hij er slechts tegen: "Wees," en het is.
083_00	Heilig is Degene in Wiens Hand de heerschappij over alle zaken is en tot Hem worden jullie teruggekeerd.
